,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,7970.0,7990.0,8050.0,7900.0,230020.0,-19441,20872,-1431,0.0435,-2469264,20.0,RISE
2020-06-01,7950.0,7870.0,7980.0,7790.0,236095.0,-19830,15929,3901,0.0431,-2467833,100.0,RISE
2020-05-29,7850.0,7930.0,8040.0,7770.0,273305.0,39443,-44519,5076,0.0428,-2471734,100.0,FALL
2020-05-28,7950.0,7910.0,8250.0,7810.0,799014.0,-9740,-1084,10824,0.0437,-2476810,60.0,RISE
2020-05-27,7890.0,7880.0,7940.0,7780.0,198700.0,-2929,3974,-1045,0.0438,-2487634,10.0,RISE
2020-05-26,7880.0,7700.0,7900.0,7660.0,267327.0,-63522,42389,21133,0.0438,-2486589,200.0,RISE
2020-05-25,7680.0,7700.0,7720.0,7600.0,86751.0,662,1095,-1757,0.0431,-2507722,20.0,FALL
2020-05-22,7700.0,7780.0,7780.0,7600.0,146014.0,-8237,10078,-1841,0.0432,-2505965,40.0,FALL
2020-05-21,7740.0,7740.0,7800.0,7650.0,155861.0,,,,,,,
2020-05-20,7710.0,7690.0,7800.0,7640.0,162074.0,-14466.0,13301.0,1165.0,0.0431,-2308508.0,10.0,RISE
2020-05-19,7700.0,7580.0,7760.0,7570.0,215503.0,-7982.0,6113.0,1869.0,0.0428,-2309673.0,200.0,RISE
2020-05-18,7500.0,7490.0,7540.0,7400.0,81473.0,-3254.0,2381.0,873.0,0.0428,-2311542.0,80.0,RISE
2020-05-15,7420.0,7450.0,7500.0,7320.0,112230.0,-6023.0,168.0,5855.0,0.0429,-2312415.0,10.0,RISE
2020-05-14,7410.0,7530.0,7550.0,7350.0,133311.0,6972.0,-5606.0,-1366.0,0.0428,-2318270.0,120.0,FALL
2020-05-13,7530.0,7470.0,7590.0,7400.0,113923.0,-28174.0,18855.0,9319.0,0.043,-2316904.0,30.0,FALL
2020-05-12,7560.0,7670.0,7790.0,7500.0,183057.0,25075.0,-17697.0,-7378.0,0.0426,-2326223.0,190.0,FALL
2020-05-11,7750.0,7880.0,7890.0,7650.0,157190.0,-24081.0,4479.0,19602.0,0.0429,-2318845.0,130.0,FALL
2020-05-08,7880.0,7780.0,7890.0,7780.0,225380.0,-71513.0,76392.0,-4879.0,0.0428,-2338447.0,100.0,RISE
2020-05-07,7780.0,7860.0,7860.0,7750.0,165568.0,6098.0,-1097.0,-5001.0,0.0412,-2333568.0,10.0,RISE
2020-05-06,7770.0,7740.0,7790.0,7650.0,169813.0,-15888.0,20257.0,-4369.0,0.0413,-2328567.0,70.0,RISE
2020-05-04,7700.0,7900.0,7990.0,7700.0,274104.0,69057.0,-46180.0,-22877.0,0.0409,-2324198.0,90.0,FALL
2020-04-29,7790.0,7720.0,7790.0,7680.0,109564.0,-19415.0,17979.0,1436.0,0.0419,-2301321.0,40.0,RISE
2020-04-28,7750.0,7820.0,7820.0,7590.0,182031.0,8609.0,-5807.0,-2802.0,0.0416,-2302757.0,30.0,RISE
2020-04-27,7720.0,7660.0,7790.0,7660.0,142997.0,-26969.0,18687.0,8282.0,0.0418,-2299955.0,60.0,RISE
2020-04-24,7660.0,7860.0,7870.0,7600.0,263768.0,2237.0,3284.0,-5521.0,0.0415,-2308237.0,200.0,FALL
2020-04-23,7860.0,7950.0,7960.0,7620.0,272637.0,-11493.0,9462.0,2031.0,0.0414,-2302716.0,60.0,FALL
2020-04-22,7920.0,7670.0,7950.0,7500.0,295670.0,-12190.0,21803.0,-9613.0,0.0413,-2304747.0,110.0,RISE
2020-04-21,7810.0,8120.0,8350.0,7300.0,891912.0,3975.0,382.0,-4357.0,0.0412,-2295134.0,330.0,FALL
2020-04-20,8140.0,7900.0,8330.0,7820.0,694690.0,-27811.0,25804.0,2007.0,0.0411,-2290777.0,250.0,RISE
2020-04-17,7890.0,8030.0,8040.0,7820.0,353596.0,11988.0,-14698.0,2710.0,0.0405,-2292784.0,60.0,FALL
2020-04-16,7950.0,7600.0,8040.0,7360.0,756395.0,-42596.0,42777.0,-181.0,0.0407,-2295494.0,410.0,RISE
2020-04-14,7540.0,7400.0,7780.0,7370.0,679527.0,40995.0,-17065.0,-23930.0,0.0399,-2295313.0,190.0,RISE
2020-04-13,7350.0,7390.0,7490.0,7200.0,338818.0,29606.0,-32963.0,3357.0,0.0402,-2271383.0,110.0,FALL
2020-04-10,7460.0,7410.0,7520.0,7300.0,285131.0,-26825.0,1513.0,25312.0,0.0407,-2274740.0,50.0,FALL
2020-04-09,7510.0,7460.0,7650.0,7300.0,438514.0,19944.0,-25833.0,5889.0,0.0406,-2300052.0,150.0,RISE
2020-04-08,7360.0,7430.0,7530.0,7230.0,335231.0,-14961.0,15311.0,-350.0,0.0413,-2305941.0,140.0,FALL
2020-04-07,7500.0,7300.0,7900.0,7120.0,1035452.0,56286.0,-38820.0,-17466.0,0.040999999999999995,-2305591.0,330.0,RISE
2020-04-06,7170.0,7120.0,7350.0,7100.0,457777.0,-14060.0,-1843.0,15903.0,0.0421,-2288125.0,220.0,RISE
2020-04-03,6950.0,6990.0,7010.0,6740.0,287166.0,-6005.0,-557.0,6562.0,0.0421,-2304028.0,30.0,RISE
2020-04-02,6920.0,6620.0,7170.0,6500.0,459304.0,-30628.0,12733.0,17895.0,0.0421,-2310590.0,250.0,RISE
2020-04-01,6670.0,7050.0,7330.0,6490.0,784128.0,8304.0,-14754.0,6450.0,0.0419,-2328485.0,320.0,FALL
2020-03-31,6990.0,5990.0,7390.0,5920.0,1891675.0,42213.0,-37378.0,-4835.0,0.0422,-2334935.0,1120.0,RISE
2020-03-30,5870.0,5520.0,6000.0,5520.0,230313.0,-34186.0,33712.0,474.0,0.0429,-2330100.0,70.0,RISE
2020-03-27,5800.0,5890.0,5950.0,5640.0,267865.0,-1955.0,487.0,1468.0,0.0423,-2330574.0,100.0,RISE
2020-03-26,5700.0,5720.0,5930.0,5550.0,283427.0,10481.0,-21116.0,10635.0,0.0434,-2332042.0,0.0,EVEN
2020-03-25,5700.0,5340.0,5730.0,5150.0,330792.0,9899.0,-6861.0,-3038.0,0.0439,-2342677.0,650.0,RISE
2020-03-24,5050.0,4750.0,5050.0,4700.0,233705.0,-32582.0,23744.0,8838.0,0.0441,-2339639.0,355.0,RISE
2020-03-23,4695.0,4740.0,4750.0,4540.0,228248.0,34988.0,-15763.0,-19225.0,0.0439,-2348477.0,285.0,FALL
2020-03-20,4980.0,4520.0,4980.0,4520.0,320488.0,-42088.0,38293.0,3795.0,0.0444,-2329252.0,470.0,RISE
2020-03-19,4510.0,5310.0,5500.0,4500.0,662032.0,-72500.0,70436.0,2064.0,0.0436,-2333047.0,840.0,FALL
2020-03-18,5350.0,5690.0,5750.0,5350.0,269946.0,80681.0,-75284.0,-5397.0,0.0422,-2335111.0,330.0,FALL
2020-03-17,5680.0,5280.0,5750.0,5250.0,206815.0,-33280.0,29525.0,3755.0,0.0439,-2329714.0,60.0,FALL
2020-03-16,5740.0,5800.0,6000.0,5440.0,220426.0,13711.0,1830.0,-15541.0,0.0434,-2333469.0,10.0,RISE
2020-03-13,5730.0,5160.0,5730.0,5150.0,494399.0,-58584.0,55753.0,2831.0,0.0434,-2317928.0,430.0,FALL
2020-03-12,6160.0,6660.0,6710.0,6020.0,312837.0,24425.0,-31254.0,6829.0,0.0422,-2320759.0,550.0,FALL
2020-03-11,6710.0,6920.0,6930.0,6650.0,161498.0,27587.0,-20004.0,-7583.0,0.0427,-2327588.0,190.0,FALL
2020-03-10,6900.0,6800.0,7100.0,6790.0,159093.0,25059.0,-37683.0,12624.0,0.0431,-2320005.0,70.0,FALL
2020-03-09,6970.0,7050.0,7100.0,6910.0,165332.0,35551.0,-36061.0,510.0,0.0438,-2332629.0,190.0,FALL
2020-03-06,7160.0,7280.0,7340.0,7050.0,118967.0,40957.0,-29064.0,-11893.0,0.0446,-2333139.0,90.0,FALL
2020-03-05,7250.0,7110.0,7280.0,7100.0,88703.0,-4361.0,10594.0,-6233.0,0.0451,-2321246.0,160.0,RISE
2020-03-04,7090.0,6930.0,7120.0,6930.0,112343.0,3739.0,-2915.0,-824.0,0.0449,-2315013.0,80.0,RISE
2020-03-03,7010.0,7010.0,7120.0,6990.0,129319.0,14594.0,-2220.0,-12374.0,0.045,-2314189.0,80.0,RISE
2020-03-02,6930.0,6950.0,7040.0,6880.0,123825.0,14133.0,-14699.0,566.0,0.0446,-2301815.0,10.0,FALL
2020-02-28,6940.0,6970.0,7030.0,6890.0,174865.0,26068.0,-35724.0,9656.0,0.0446,-2302381.0,160.0,FALL
2020-02-27,7100.0,7200.0,7270.0,7040.0,111360.0,40663.0,-40555.0,-108.0,0.0452,-2312037.0,60.0,FALL
2020-02-26,7160.0,7180.0,7280.0,7100.0,112573.0,32939.0,-24797.0,-8142.0,0.046,-2311929.0,50.0,FALL
2020-02-25,7210.0,6960.0,7260.0,6960.0,107943.0,9279.0,-7790.0,-1489.0,0.0465,-2303787.0,100.0,RISE
2020-02-24,7110.0,7320.0,7460.0,7110.0,259223.0,68532.0,-70490.0,1958.0,0.0467,-2302298.0,400.0,FALL
2020-02-21,7510.0,7650.0,7660.0,7500.0,211143.0,68219.0,-62120.0,-6099.0,0.048,-2304256.0,170.0,FALL
2020-02-20,7680.0,7720.0,7770.0,7680.0,106276.0,45339.0,-37067.0,-8272.0,0.0493,-2298157.0,60.0,FALL
2020-02-19,7740.0,7900.0,7960.0,7700.0,102174.0,45608.0,-39643.0,-5965.0,0.05,-2289885.0,100.0,FALL
2020-02-18,7840.0,7970.0,8000.0,7810.0,124121.0,34922.0,-23601.0,-11321.0,0.0508,-2283920.0,120.0,FALL
2020-02-17,7960.0,8040.0,8050.0,7930.0,85978.0,5031.0,3883.0,-8914.0,0.0513,-2272599.0,80.0,FALL
2020-02-14,8040.0,8040.0,8100.0,7940.0,101516.0,-8124.0,10387.0,-2263.0,0.0512,-2263685.0,20.0,FALL
2020-02-13,8060.0,8160.0,8180.0,8060.0,124936.0,44889.0,-12531.0,-32358.0,0.051,-2261422.0,110.0,FALL
2020-02-12,8170.0,8200.0,8240.0,8110.0,86002.0,26232.0,-586.0,-25646.0,0.0512,-2229064.0,60.0,FALL
2020-02-11,8230.0,8200.0,8290.0,8150.0,107389.0,-41946.0,34765.0,7181.0,0.0511,-2203418.0,40.0,RISE
2020-02-10,8190.0,8190.0,8230.0,8100.0,79849.0,-10276.0,12970.0,-2694.0,0.0506,-2210599.0,20.0,FALL
2020-02-07,8210.0,8120.0,8260.0,8030.0,172763.0,-21750.0,26972.0,-5222.0,0.0502,-2207905.0,80.0,RISE
