,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,3470.0,3440.0,3500.0,3435.0,13699.0,0,0,0,0.0,-45804,35.0,RISE
2020-06-01,3435.0,3335.0,3445.0,3335.0,10577.0,-581,581,0,0.0915,-45804,60.0,RISE
2020-05-29,3375.0,3390.0,3420.0,3360.0,7983.0,-598,598,0,0.0915,-45804,15.0,FALL
2020-05-28,3390.0,3400.0,3440.0,3370.0,35076.0,380,-380,0,0.0914,-45804,10.0,FALL
2020-05-27,3400.0,3550.0,3550.0,3395.0,28033.0,177,-177,0,0.0924,-45804,130.0,FALL
2020-05-26,3530.0,3555.0,3610.0,3490.0,17036.0,-443,443,0,0.0925,-45804,15.0,FALL
2020-05-25,3545.0,3510.0,3595.0,3470.0,30695.0,536,-536,0,0.0924,-45804,5.0,RISE
2020-05-22,3540.0,3580.0,3620.0,3500.0,27615.0,118,-47,-71,0.0925,-45804,10.0,FALL
2020-05-21,3550.0,3535.0,3560.0,3485.0,15290.0,,,,,,,
2020-05-20,3535.0,3500.0,3595.0,3480.0,16132.0,-261.0,261.0,0.0,0.0925,-42796.0,45.0,RISE
2020-05-19,3490.0,3440.0,3545.0,3425.0,26954.0,312.0,-312.0,0.0,0.0925,-42796.0,90.0,RISE
2020-05-18,3400.0,3635.0,3635.0,3390.0,25958.0,-60.0,60.0,0.0,0.0925,-42796.0,45.0,FALL
2020-05-15,3445.0,3520.0,3590.0,3440.0,23245.0,-99.0,99.0,0.0,0.0925,-42796.0,105.0,FALL
2020-05-14,3550.0,3630.0,3695.0,3535.0,30080.0,-452.0,452.0,0.0,0.0925,-42796.0,90.0,FALL
2020-05-13,3640.0,3500.0,4040.0,3465.0,500729.0,780.0,-192.0,-588.0,0.0924,-42796.0,140.0,RISE
2020-05-12,3500.0,3425.0,3505.0,3380.0,9538.0,-81.0,-212.0,293.0,0.0924,-42208.0,90.0,RISE
2020-05-11,3410.0,3410.0,3500.0,3355.0,7830.0,-704.0,409.0,295.0,0.0925,-42501.0,30.0,RISE
2020-05-08,3380.0,3365.0,3410.0,3350.0,6643.0,-221.0,221.0,0.0,0.0924,-42796.0,15.0,RISE
2020-05-07,3365.0,3360.0,3375.0,3310.0,2876.0,0.0,0.0,0.0,0.0924,-42796.0,25.0,RISE
2020-05-06,3340.0,3315.0,3365.0,3315.0,2582.0,-33.0,33.0,0.0,0.0924,-42796.0,25.0,RISE
2020-05-04,3315.0,3350.0,3365.0,3300.0,5070.0,376.0,-376.0,0.0,0.0924,-42796.0,5.0,FALL
2020-04-29,3320.0,3295.0,3360.0,3295.0,3259.0,0.0,0.0,0.0,0.0924,-42796.0,35.0,RISE
2020-04-28,3285.0,3275.0,3340.0,3260.0,5503.0,-566.0,566.0,0.0,0.0924,-42796.0,35.0,FALL
2020-04-27,3320.0,3255.0,3355.0,3255.0,5676.0,-158.0,158.0,0.0,0.0924,-42796.0,20.0,RISE
2020-04-24,3300.0,3300.0,3330.0,3220.0,4255.0,-653.0,-117.0,770.0,0.0924,-42796.0,30.0,RISE
2020-04-23,3270.0,3235.0,3300.0,3195.0,8846.0,-2882.0,212.0,2670.0,0.0924,-43566.0,35.0,RISE
2020-04-22,3235.0,3190.0,3260.0,3100.0,4317.0,-45.0,0.0,45.0,0.0924,-46236.0,25.0,RISE
2020-04-21,3210.0,3330.0,3330.0,3155.0,3762.0,11.0,-11.0,0.0,0.0924,-46281.0,45.0,FALL
2020-04-20,3255.0,3290.0,3355.0,3235.0,26982.0,586.0,-304.0,-282.0,0.0924,-46281.0,30.0,FALL
2020-04-17,3285.0,3295.0,3330.0,3225.0,4492.0,54.0,-54.0,0.0,0.0924,-45999.0,60.0,RISE
2020-04-16,3225.0,3220.0,3225.0,3195.0,3075.0,-123.0,123.0,0.0,0.0924,-45999.0,5.0,RISE
2020-04-14,3220.0,3185.0,3245.0,3180.0,1503.0,21.0,-21.0,0.0,0.0924,-45999.0,20.0,RISE
2020-04-13,3200.0,3205.0,3275.0,3170.0,3497.0,-87.0,87.0,0.0,0.0924,-45999.0,5.0,FALL
2020-04-10,3205.0,3200.0,3250.0,3200.0,12996.0,385.0,-385.0,0.0,0.0924,-45999.0,5.0,RISE
2020-04-09,3200.0,3165.0,3205.0,3165.0,6406.0,61.0,-61.0,0.0,0.0924,-45999.0,45.0,RISE
2020-04-08,3155.0,3140.0,3190.0,3085.0,8628.0,40.0,-40.0,0.0,0.0924,-45999.0,35.0,RISE
2020-04-07,3120.0,3120.0,3205.0,3105.0,9249.0,-42.0,42.0,0.0,0.0924,-45999.0,40.0,RISE
2020-04-06,3080.0,3100.0,3145.0,3055.0,13537.0,31.0,-31.0,0.0,0.0924,-45999.0,20.0,FALL
2020-04-03,3100.0,3120.0,3120.0,3045.0,21083.0,0.0,0.0,0.0,0.0924,-45999.0,25.0,RISE
2020-04-02,3075.0,2995.0,3110.0,2980.0,8155.0,-62.0,62.0,0.0,0.0924,-45999.0,35.0,RISE
2020-04-01,3040.0,3060.0,3180.0,2985.0,24994.0,-149.0,149.0,0.0,0.0924,-45999.0,30.0,FALL
2020-03-31,3070.0,3030.0,3110.0,3000.0,11404.0,-3.0,3.0,0.0,0.0924,-45999.0,45.0,RISE
2020-03-30,3025.0,3145.0,3145.0,3000.0,9474.0,5.0,-5.0,0.0,0.0924,-45999.0,120.0,FALL
2020-03-27,3145.0,3065.0,3150.0,3005.0,7957.0,398.0,-398.0,0.0,0.0924,-45999.0,100.0,RISE
2020-03-26,3045.0,3000.0,3125.0,3000.0,4096.0,39.0,-39.0,0.0,0.0925,-45999.0,5.0,FALL
2020-03-25,3050.0,3050.0,3150.0,2965.0,13694.0,-744.0,744.0,0.0,0.0925,-45999.0,0.0,EVEN
2020-03-24,3050.0,2630.0,3070.0,2630.0,13425.0,480.0,-480.0,0.0,0.0924,-45999.0,420.0,RISE
2020-03-23,2630.0,2795.0,2840.0,2630.0,12200.0,29.0,-29.0,0.0,0.0924,-45999.0,175.0,FALL
2020-03-20,2805.0,2410.0,3000.0,2410.0,58963.0,-569.0,569.0,0.0,0.0924,-45999.0,205.0,RISE
2020-03-19,2600.0,3070.0,3105.0,2485.0,35571.0,564.0,-564.0,0.0,0.0924,-45999.0,480.0,FALL
2020-03-18,3080.0,3190.0,3250.0,3080.0,3480.0,213.0,-213.0,0.0,0.0934,-45999.0,90.0,FALL
2020-03-17,3170.0,3000.0,3170.0,2910.0,12442.0,104.0,-104.0,0.0,0.0957,-45999.0,10.0,FALL
2020-03-16,3180.0,3250.0,3330.0,3005.0,9515.0,315.0,-267.0,-48.0,0.0957,-45999.0,75.0,FALL
2020-03-13,3255.0,3245.0,3270.0,2940.0,41994.0,-934.0,934.0,0.0,0.0958,-45951.0,105.0,FALL
2020-03-12,3360.0,3600.0,3710.0,3310.0,23102.0,1116.0,-747.0,-369.0,0.0957,-45951.0,315.0,FALL
2020-03-11,3675.0,3700.0,3715.0,3570.0,12229.0,92.0,92.0,-184.0,0.0958,-45582.0,25.0,FALL
2020-03-10,3700.0,3745.0,3745.0,3650.0,5261.0,255.0,-255.0,0.0,0.0949,-45398.0,25.0,FALL
2020-03-09,3725.0,3715.0,3790.0,3670.0,13858.0,-64.0,64.0,0.0,0.095,-45398.0,75.0,FALL
2020-03-06,3800.0,3805.0,3805.0,3750.0,4305.0,100.0,-100.0,0.0,0.0949,-45398.0,15.0,FALL
2020-03-05,3815.0,3840.0,3840.0,3775.0,4563.0,312.0,0.0,-312.0,0.095,-45398.0,5.0,FALL
2020-03-04,3820.0,3795.0,3825.0,3790.0,1672.0,8.0,-8.0,0.0,0.095,-45086.0,20.0,RISE
2020-03-03,3800.0,3800.0,3860.0,3750.0,5964.0,-118.0,118.0,0.0,0.095,-45086.0,0.0,EVEN
2020-03-02,3800.0,3795.0,3850.0,3700.0,8121.0,-541.0,541.0,0.0,0.0949,-45086.0,5.0,RISE
2020-02-28,3795.0,3850.0,3890.0,3735.0,5292.0,-171.0,171.0,0.0,0.0949,-45086.0,95.0,FALL
2020-02-27,3890.0,3940.0,3940.0,3840.0,4040.0,0.0,0.0,0.0,0.0949,-45086.0,50.0,FALL
2020-02-26,3940.0,3815.0,3970.0,3815.0,13496.0,-3626.0,-104.0,3730.0,0.0944,-45086.0,125.0,RISE
2020-02-25,3815.0,3660.0,4170.0,3650.0,113366.0,-33767.0,-663.0,34430.0,0.0944,-48816.0,155.0,RISE
2020-02-24,3660.0,3775.0,3775.0,3660.0,14221.0,0.0,0.0,0.0,0.0945,-83246.0,115.0,FALL
2020-02-21,3775.0,3760.0,3815.0,3750.0,3346.0,0.0,0.0,0.0,0.0945,-83246.0,10.0,RISE
2020-02-20,3765.0,3810.0,3850.0,3765.0,4808.0,0.0,0.0,0.0,0.0945,-83246.0,45.0,FALL
2020-02-19,3810.0,3765.0,3835.0,3765.0,1809.0,0.0,0.0,0.0,0.0945,-83246.0,25.0,FALL
2020-02-18,3835.0,3925.0,3925.0,3835.0,3318.0,63.0,-63.0,0.0,0.0945,-83246.0,65.0,FALL
2020-02-17,3900.0,3875.0,3920.0,3835.0,4837.0,0.0,0.0,0.0,0.0945,-83246.0,25.0,RISE
2020-02-14,3875.0,3810.0,3880.0,3760.0,13904.0,0.0,0.0,0.0,0.0945,-83246.0,65.0,RISE
2020-02-13,3810.0,3800.0,3820.0,3780.0,3595.0,,,,,,,
2020-02-12,3800.0,3750.0,3800.0,3750.0,6305.0,0.0,0.0,0.0,0.0945,-83246.0,30.0,RISE
2020-02-11,3770.0,3775.0,3800.0,3740.0,4239.0,0.0,0.0,0.0,0.0945,-83246.0,5.0,FALL
2020-02-10,3775.0,3785.0,3785.0,3745.0,1454.0,,,,,,,
2020-02-07,3750.0,3785.0,3800.0,3745.0,8161.0,0.0,0.0,0.0,0.0945,-83246.0,35.0,FALL
2020-02-06,3785.0,3795.0,3795.0,3735.0,3069.0,-953.0,953.0,0.0,0.0945,-83246.0,30.0,RISE
2020-02-05,3755.0,3750.0,3820.0,3750.0,2398.0,-1.0,1.0,0.0,0.0944,-83246.0,30.0,FALL
2020-02-04,3785.0,3770.0,3790.0,3755.0,3613.0,0.0,0.0,0.0,0.0944,-83246.0,5.0,FALL
2020-02-03,3790.0,3795.0,3805.0,3615.0,3183.0,0.0,0.0,0.0,0.0944,-83246.0,20.0,FALL
2020-01-31,3810.0,3810.0,3820.0,3785.0,4848.0,0.0,0.0,0.0,0.0944,-83246.0,10.0,FALL
2020-01-30,3820.0,3830.0,3830.0,3800.0,2570.0,0.0,0.0,0.0,0.0945,-83246.0,10.0,FALL
2020-01-29,3830.0,3825.0,3830.0,3805.0,3429.0,,,,,,,
2020-01-28,3840.0,3870.0,3870.0,3815.0,3535.0,0.0,0.0,0.0,0.0945,-83246.0,30.0,FALL
