날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-09,12600.0,12600.0,12800.0,12550.0,340.0,,,,,,,
2014-04-10,12900.0,12600.0,12900.0,12500.0,1791.0,0.0,0.0,0.0,0.036,-10.0,300.0,RISE
2014-04-11,12850.0,12850.0,12850.0,12850.0,0.0,,,,,,,
2014-04-14,12600.0,12600.0,12600.0,12600.0,130.0,0.0,0.0,0.0,0.036,-10.0,250.0,FALL
2014-04-15,12850.0,12700.0,12900.0,12650.0,960.0,0.0,0.0,0.0,0.036,-10.0,250.0,RISE
2014-04-16,12900.0,12900.0,12900.0,12900.0,100.0,0.0,0.0,0.0,0.036,-10.0,50.0,RISE
2014-04-17,12800.0,12800.0,12800.0,12550.0,60.0,,,,,,,
2014-04-18,12900.0,12900.0,12900.0,12900.0,710.0,,,,,,,
2014-04-21,12800.0,12900.0,12900.0,12600.0,350.0,0.0,0.0,0.0,0.036,-10.0,100.0,FALL
2014-04-22,12900.0,12900.0,12900.0,12900.0,40.0,0.0,0.0,0.0,0.036,-10.0,100.0,RISE
2014-04-23,12900.0,12700.0,13000.0,12650.0,2710.0,0.0,0.0,0.0,0.036,-10.0,0.0,EVEN
2014-04-24,12700.0,13000.0,13000.0,12700.0,405.0,0.0,0.0,0.0,0.036,-10.0,200.0,FALL
2014-04-25,12850.0,12750.0,12900.0,12750.0,50.0,0.0,0.0,0.0,0.036,-10.0,150.0,RISE
2014-04-28,12800.0,12850.0,12850.0,12700.0,60.0,20.0,-20.0,0.0,0.036,-10.0,50.0,FALL
2014-04-29,12900.0,12900.0,12900.0,12700.0,190.0,60.0,-60.0,0.0,0.036,-10.0,100.0,RISE
2014-04-30,12750.0,12850.0,12900.0,12750.0,120.0,60.0,-60.0,0.0,0.036,-10.0,150.0,FALL
2014-05-02,12650.0,12450.0,12700.0,12200.0,1160.0,450.0,-450.0,0.0,0.033,-10.0,100.0,FALL
2014-05-07,12650.0,12750.0,12750.0,12500.0,40.0,10.0,-10.0,0.0,0.033,-10.0,0.0,EVEN
2014-05-08,12900.0,12700.0,12900.0,12700.0,410.0,0.0,0.0,0.0,0.033,-10.0,250.0,RISE
2014-05-09,12650.0,12700.0,12750.0,12650.0,80.0,0.0,0.0,0.0,0.033,-10.0,250.0,FALL
2014-05-12,12850.0,12600.0,12850.0,12600.0,30.0,0.0,0.0,0.0,0.033,-10.0,200.0,RISE
2014-05-13,12600.0,12700.0,12800.0,12300.0,1590.0,580.0,-570.0,-10.0,0.03,-20.0,250.0,FALL
2014-05-14,12600.0,12600.0,12800.0,12250.0,4470.0,2800.0,-2800.0,0.0,0.015,-20.0,0.0,EVEN
2014-05-15,12650.0,12600.0,12650.0,12600.0,140.0,,,,,,,
2014-05-16,12450.0,12700.0,12700.0,12450.0,140.0,0.0,0.0,0.0,0.015,-20.0,200.0,FALL
2014-05-19,12500.0,12500.0,12500.0,12300.0,30.0,,,,,,,
2014-05-20,12650.0,12650.0,12700.0,12650.0,250.0,,,,,,,
2014-05-21,12700.0,12700.0,12700.0,12500.0,1540.0,,,,,,,
2014-05-22,12750.0,12850.0,12850.0,12750.0,60.0,,,,,,,
2014-05-23,12900.0,12900.0,12900.0,12900.0,10.0,0.0,0.0,0.0,0.015,-20.0,150.0,RISE
2014-05-26,12900.0,12700.0,13000.0,12400.0,2990.0,0.0,0.0,0.0,0.015,-20.0,0.0,EVEN
2014-05-27,12950.0,12900.0,12950.0,12900.0,70.0,,,,,,,
2014-05-28,13000.0,12900.0,13000.0,12750.0,1210.0,0.0,0.0,0.0,0.015,-20.0,50.0,RISE
2014-05-29,12900.0,13000.0,13000.0,12900.0,190.0,0.0,0.0,0.0,0.015,-20.0,100.0,FALL
2014-05-30,13150.0,12900.0,13400.0,12900.0,560.0,0.0,0.0,0.0,0.015,-20.0,250.0,RISE
2014-06-02,12900.0,12900.0,13300.0,12700.0,218.0,36.0,0.0,-36.0,0.015,-56.0,250.0,FALL
2014-06-03,13000.0,12950.0,13350.0,12550.0,860.0,10.0,0.0,-10.0,0.015,-66.0,100.0,RISE
2014-06-05,13350.0,13000.0,13400.0,12800.0,1130.0,0.0,0.0,0.0,0.015,-66.0,350.0,RISE
2014-06-09,13250.0,13400.0,13400.0,13000.0,391.0,7.0,0.0,-7.0,0.015,-73.0,100.0,FALL
