날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-05-21,10550.0,8600.0,11150.0,8540.0,9428596.0,-29354,29354,0,0.0071,-767754,1970.0,RISE
2020-05-20,8580.0,8570.0,8950.0,8550.0,729436.0,3671,-3671,0,0.0057,-767754,50.0,RISE
2020-05-19,8530.0,8980.0,8980.0,8380.0,1157780.0,-75342,75342,0,0.0058,-767754,560.0,FALL
2020-05-18,9090.0,9230.0,9470.0,9060.0,1254936.0,-6347,6347,0,0.0023,-767754,10.0,RISE
2020-05-15,9080.0,9020.0,9750.0,8910.0,5327928.0,9566,-9566,0,0.002,-767754,280.0,RISE
2020-05-14,8800.0,8670.0,9480.0,8300.0,5758209.0,-45362,-4638,50000,0.0024,-767754,60.0,RISE
2020-05-13,8740.0,7900.0,9890.0,7890.0,16000220.0,-16429,16429,0,0.0027,-817754,880.0,RISE
2020-05-12,7860.0,7630.0,8310.0,7520.0,4587903.0,8327,-8327,0,0.0012,-817754,270.0,RISE
2020-05-11,7590.0,7810.0,7810.0,7430.0,834518.0,740,-740,0,0.0016,-817754,10.0,FALL
2020-05-08,7600.0,7400.0,7950.0,7310.0,2682799.0,35160,-85160,50000,0.0016,-817754,390.0,RISE
2020-05-07,7210.0,7180.0,7390.0,7050.0,493714.0,-94202,44202,50000,0.0057,-867754,80.0,RISE
2020-05-06,7130.0,7160.0,7160.0,7000.0,394732.0,-56132,36132,20000,0.0036,-917754,120.0,RISE
2020-05-04,7010.0,7050.0,7260.0,6960.0,480096.0,-59866,9866,50000,0.002,-937754,300.0,FALL
2020-04-29,7310.0,7540.0,7540.0,7310.0,444097.0,25348,-2348,-23000,0.0016,-987754,230.0,FALL
2020-04-28,7540.0,7680.0,7690.0,7260.0,1206659.0,7139,-7139,0,0.0017,-964754,50.0,FALL
2020-04-27,7590.0,7720.0,7730.0,7460.0,1183594.0,-1847,5347,-3500,0.0021,-964754,40.0,FALL
2020-04-24,7630.0,7300.0,7690.0,7180.0,2555771.0,-13470,4970,8500,0.0018,-961254,110.0,RISE
2020-04-23,7520.0,7090.0,7790.0,6890.0,2632945.0,-12774,-5226,18000,0.0016,-969754,460.0,RISE
2020-04-22,7060.0,6940.0,7070.0,6790.0,803770.0,2279,-2279,0,0.0018,-987754,90.0,FALL
2020-04-21,7150.0,6870.0,7430.0,6450.0,2808295.0,2637,-2637,0,0.0018,-987754,260.0,RISE
2020-04-20,6890.0,7110.0,7150.0,6710.0,1889965.0,-14717,14717,0,0.0019,-987754,340.0,FALL
2020-04-17,7230.0,7310.0,7500.0,7010.0,1941273.0,3574,-3574,0,0.0012,-987754,30.0,RISE
2020-04-16,7200.0,7800.0,7950.0,7160.0,2247112.0,971,-971,0,0.0014,-987754,1090.0,FALL
2020-04-14,8290.0,9050.0,9050.0,8130.0,3033445.0,492,-492,0,0.0016,-987754,870.0,FALL
2020-04-13,9160.0,9000.0,9890.0,8710.0,7877943.0,38498,-24498,-14000,0.0018,-987754,550.0,RISE
2020-04-10,8610.0,8750.0,10150.0,8220.0,21288811.0,-35433,21433,14000,0.004,-973754,800.0,RISE
2020-04-09,7810.0,8000.0,8090.0,7710.0,2413654.0,-12030,12030,0,0.0032,-987754,0.0,EVEN
2020-04-08,7810.0,8300.0,8840.0,7480.0,12558882.0,-3234,4534,-1300,0.0025,-987754,20.0,FALL
2020-04-07,7830.0,6170.0,7950.0,5560.0,14155242.0,14927,-16227,1300,0.0023,-986454,1710.0,RISE
2020-04-06,6120.0,5500.0,6120.0,5470.0,2085887.0,-9841,9841,0,0.0033,-987754,750.0,RISE
2020-04-03,5370.0,5630.0,5650.0,5200.0,768664.0,6841,7159,-14000,0.0031,-987754,240.0,FALL
2020-04-02,5610.0,6010.0,6080.0,5370.0,2567682.0,-13467,-533,14000,0.0028,-973754,170.0,RISE
2020-04-01,5440.0,5900.0,6430.0,5320.0,4264027.0,-3043,3043,0,0.0042,-987754,290.0,RISE
2020-03-31,5150.0,4960.0,5150.0,4575.0,1733863.0,380,-380,0,0.0041,-987754,335.0,RISE
2020-03-30,4815.0,4560.0,4980.0,4500.0,1430731.0,12592,-12592,0,0.0041,-987754,300.0,RISE
2020-03-27,4515.0,4370.0,5050.0,4050.0,2899444.0,-31956,31956,0,0.0047,-987754,260.0,RISE
2020-03-26,4255.0,4000.0,4375.0,3970.0,1603796.0,9907,-9907,0,0.0032,-987754,385.0,RISE
2020-03-25,3870.0,3500.0,4165.0,3340.0,1532702.0,-6417,6417,0,0.0037,-987754,520.0,RISE
2020-03-24,3350.0,3250.0,3490.0,3250.0,435163.0,11748,-11748,0,0.0034,-987754,120.0,RISE
2020-03-23,3230.0,2900.0,3575.0,2785.0,1491654.0,10509,-2209,-8300,0.0041,-987754,150.0,RISE
2020-03-20,3080.0,2935.0,3200.0,2935.0,295704.0,-7771,12771,-5000,0.0042,-979454,160.0,RISE
2020-03-19,2920.0,3475.0,3540.0,2850.0,384289.0,-3691,3692,-1,0.0036,-974454,500.0,FALL
