날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-09,4130.0,3950.0,4180.0,3905.0,118776.0,2000.0,-2210.0,210.0,0.002,6123.0,180.0,RISE
2014-04-10,4145.0,4125.0,4200.0,4055.0,29907.0,-222.0,222.0,0.0,0.002,6123.0,15.0,RISE
2014-04-11,4130.0,4100.0,4130.0,4010.0,23360.0,427.0,-427.0,0.0,0.002,6123.0,15.0,FALL
2014-04-14,4110.0,4075.0,4130.0,4070.0,18003.0,759.0,-759.0,0.0,0.002,6123.0,20.0,FALL
2014-04-15,4100.0,4130.0,4130.0,4040.0,15648.0,419.0,-419.0,0.0,0.001,6123.0,10.0,FALL
2014-04-16,4080.0,4120.0,4120.0,3900.0,15977.0,-802.0,802.0,0.0,0.002,6123.0,20.0,FALL
2014-04-17,4050.0,4080.0,4080.0,3980.0,11954.0,-335.0,335.0,0.0,0.002,6123.0,30.0,FALL
2014-04-18,4070.0,4050.0,4080.0,4005.0,6407.0,-675.0,675.0,0.0,0.002,6123.0,20.0,RISE
2014-04-21,4080.0,4070.0,4120.0,3990.0,21949.0,-152.0,152.0,0.0,0.002,6123.0,10.0,RISE
2014-04-22,4090.0,4080.0,4100.0,4025.0,14714.0,-472.0,472.0,0.0,0.002,6123.0,10.0,RISE
2014-04-23,4165.0,4090.0,4180.0,4060.0,30809.0,9108.0,892.0,-10000.0,0.002,-3877.0,75.0,RISE
2014-04-24,4170.0,4190.0,4210.0,4110.0,53863.0,720.0,-720.0,0.0,0.002,-3877.0,5.0,RISE
2014-04-25,4180.0,4165.0,4220.0,4100.0,23952.0,-312.0,312.0,0.0,0.002,-3877.0,10.0,RISE
2014-04-28,4170.0,4200.0,4205.0,4115.0,21838.0,499.0,-499.0,0.0,0.002,-3877.0,10.0,FALL
2014-04-29,4205.0,4110.0,4240.0,4110.0,9506.0,-122.0,122.0,0.0,0.002,-3877.0,35.0,RISE
2014-04-30,4145.0,4180.0,4225.0,4130.0,8589.0,-394.0,394.0,0.0,0.002,-3877.0,60.0,FALL
2014-05-02,4145.0,4190.0,4190.0,4090.0,8122.0,191.0,-191.0,0.0,0.002,-3877.0,0.0,EVEN
2014-05-07,4025.0,4140.0,4140.0,4020.0,22412.0,1914.0,-737.0,-1177.0,0.002,-5054.0,120.0,FALL
2014-05-08,4030.0,3950.0,4080.0,3950.0,22521.0,288.0,-288.0,0.0,0.002,-5054.0,5.0,RISE
2014-05-09,4100.0,4030.0,4100.0,3900.0,13297.0,-348.0,348.0,0.0,0.002,-5054.0,70.0,RISE
