,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,8640.0,8160.0,8960.0,8060.0,1236855.0,-81172,81511,-339,0.0545,-1902661,660.0,RISE
2020-06-01,7980.0,7760.0,8090.0,7700.0,474303.0,-52080,48616,3464,0.0523,-1902322,310.0,RISE
2020-05-29,7670.0,7700.0,8500.0,7510.0,2699536.0,267217,11883,-279100,0.0509,-1905786,270.0,RISE
2020-05-28,7400.0,7540.0,7540.0,7160.0,345695.0,82682,37555,-120237,0.0506,-1626686,100.0,FALL
2020-05-27,7500.0,7690.0,7700.0,7330.0,321526.0,123514,-8482,-115032,0.0496,-1506449,140.0,FALL
2020-05-26,7640.0,7620.0,7830.0,7470.0,166682.0,67989,-23914,-44075,0.0498,-1391417,20.0,RISE
2020-05-25,7620.0,7350.0,7810.0,7280.0,460455.0,84425,57025,-141450,0.0505,-1347342,300.0,RISE
2020-05-22,7320.0,7480.0,7480.0,7190.0,219635.0,66597,20995,-87592,0.0489,-1205892,160.0,FALL
2020-05-21,7480.0,7520.0,7630.0,7290.0,221034.0,73550.0,4567.0,-78117.0,0.0483,-1165172.0,40.0,FALL
2020-05-20,7520.0,7360.0,7640.0,7350.0,302524.0,88802.0,12388.0,-101190.0,0.0482,-1087055.0,160.0,RISE
2020-05-19,7360.0,7690.0,7690.0,7220.0,314380.0,11481.0,21317.0,-32798.0,0.0478,-985865.0,260.0,FALL
2020-05-18,7620.0,7780.0,7950.0,7520.0,329320.0,-17657.0,33293.0,-15636.0,0.0472,-953067.0,150.0,FALL
2020-05-15,7770.0,7910.0,8370.0,7410.0,636398.0,-14823.0,39193.0,-24370.0,0.0463,-937431.0,60.0,FALL
2020-05-14,7830.0,7650.0,8070.0,7590.0,345840.0,-7851.0,4897.0,2954.0,0.0452,-913061.0,40.0,RISE
2020-05-13,7790.0,7320.0,7800.0,7210.0,345498.0,30174.0,-14834.0,-15340.0,0.0451,-916015.0,470.0,RISE
2020-05-12,7320.0,7110.0,7600.0,7100.0,328368.0,-30410.0,-13355.0,43765.0,0.0455,-900675.0,210.0,RISE
2020-05-11,7110.0,7470.0,7540.0,7110.0,350190.0,48099.0,-11348.0,-36751.0,0.0459,-944440.0,390.0,FALL
2020-05-08,7500.0,7100.0,8190.0,7000.0,2191559.0,189020.0,14194.0,-203214.0,0.0462,-907689.0,610.0,RISE
2020-05-07,6890.0,6530.0,6910.0,6510.0,520766.0,52914.0,1569.0,-54483.0,0.0458,-704475.0,360.0,RISE
2020-05-06,6530.0,6370.0,6540.0,6280.0,181789.0,3563.0,19545.0,-23108.0,0.0458,-649992.0,240.0,RISE
2020-05-04,6290.0,6300.0,6400.0,6090.0,91050.0,-12098.0,-3792.0,15890.0,0.0452,-626884.0,80.0,FALL
2020-04-29,6370.0,6330.0,6410.0,6280.0,88938.0,-3880.0,3788.0,92.0,0.0453,-642774.0,40.0,RISE
2020-04-28,6330.0,6450.0,6480.0,6290.0,101922.0,10784.0,1307.0,-12091.0,0.0452,-642866.0,120.0,FALL
2020-04-27,6450.0,6250.0,6500.0,6230.0,294739.0,-101040.0,36676.0,64364.0,0.0452,-630775.0,270.0,RISE
2020-04-24,6180.0,6030.0,6290.0,5960.0,348592.0,-89961.0,-2480.0,92441.0,0.0442,-695139.0,130.0,RISE
2020-04-23,6050.0,5970.0,6090.0,5830.0,177044.0,-36388.0,37377.0,-989.0,0.0442,-787580.0,220.0,RISE
2020-04-22,5830.0,5710.0,5830.0,5590.0,91041.0,-9602.0,8672.0,930.0,0.0432,-786591.0,20.0,RISE
2020-04-21,5810.0,6040.0,6060.0,5650.0,295346.0,23539.0,3111.0,-26650.0,0.043,-787521.0,320.0,FALL
2020-04-20,6130.0,6220.0,6360.0,6090.0,275576.0,9352.0,10980.0,-20332.0,0.0429,-760871.0,30.0,FALL
2020-04-17,6160.0,6350.0,6370.0,6130.0,147859.0,4567.0,4970.0,-9537.0,0.0426,-740539.0,110.0,FALL
2020-04-16,6270.0,6290.0,6330.0,5900.0,252303.0,-101872.0,-12828.0,114700.0,0.0424,-731002.0,60.0,FALL
2020-04-14,6330.0,6400.0,6660.0,6250.0,370474.0,-5092.0,6303.0,-1211.0,0.0428,-845702.0,140.0,FALL
2020-04-13,6470.0,6350.0,6980.0,6040.0,1186782.0,110843.0,-27980.0,-82863.0,0.0426,-844491.0,470.0,RISE
2020-04-10,6000.0,5860.0,6000.0,5640.0,407909.0,18065.0,-22545.0,4480.0,0.0434,-761628.0,220.0,RISE
2020-04-09,5780.0,6310.0,6870.0,5750.0,1364407.0,206588.0,-68174.0,-138414.0,0.044000000000000004,-766108.0,280.0,RISE
2020-04-08,5500.0,5520.0,5580.0,5380.0,278942.0,-22225.0,21252.0,973.0,0.0459,-627694.0,20.0,FALL
2020-04-07,5520.0,5630.0,5670.0,5410.0,200168.0,11136.0,-15544.0,4408.0,0.0453,-628667.0,20.0,FALL
2020-04-06,5540.0,5450.0,5540.0,5290.0,489254.0,-77387.0,37520.0,39867.0,0.0458,-633075.0,180.0,RISE
2020-04-03,5360.0,5540.0,5600.0,5240.0,217023.0,-23286.0,3348.0,19938.0,0.0448,-672942.0,10.0,RISE
2020-04-02,5350.0,5320.0,5430.0,5220.0,127071.0,-6066.0,6057.0,9.0,0.0447,-692880.0,60.0,RISE
2020-04-01,5290.0,5200.0,5470.0,5080.0,419756.0,-31944.0,11221.0,20723.0,0.0448,-692889.0,50.0,RISE
2020-03-31,5240.0,5450.0,5650.0,4975.0,783092.0,66832.0,1139.0,-67971.0,0.0445,-713612.0,380.0,RISE
2020-03-30,4860.0,4825.0,4900.0,4680.0,362973.0,39547.0,-9542.0,-30005.0,0.0444,-645641.0,135.0,RISE
2020-03-27,4725.0,4780.0,5180.0,4510.0,1138184.0,10728.0,-10683.0,-45.0,0.0447,-615636.0,285.0,FALL
2020-03-26,5010.0,3905.0,5010.0,3845.0,959293.0,20231.0,-11690.0,-8541.0,0.045,-615591.0,1155.0,UPPER_LIMIT
2020-03-25,3855.0,3700.0,3970.0,3685.0,113974.0,24333.0,-24271.0,-62.0,0.0453,-607050.0,280.0,RISE
2020-03-24,3575.0,3345.0,3640.0,3345.0,126897.0,32530.0,-29028.0,-3502.0,0.0461,-606988.0,280.0,RISE
2020-03-23,3295.0,3250.0,3340.0,3230.0,101304.0,19599.0,-19609.0,10.0,0.0469,-603486.0,195.0,FALL
2020-03-20,3490.0,3340.0,3525.0,3340.0,107501.0,29609.0,-16950.0,-12659.0,0.0474,-603496.0,110.0,RISE
2020-03-19,3380.0,3900.0,4095.0,3345.0,184846.0,7114.0,-7201.0,87.0,0.0479,-590837.0,535.0,FALL
2020-03-18,3915.0,4050.0,4135.0,3915.0,89795.0,21866.0,-22790.0,924.0,0.0484,-590924.0,165.0,FALL
2020-03-17,4080.0,4050.0,4150.0,3880.0,140526.0,-8511.0,8450.0,61.0,0.0491,-591848.0,125.0,FALL
2020-03-16,4205.0,4285.0,4500.0,4205.0,164420.0,10751.0,-9412.0,-1339.0,0.0489,-591909.0,150.0,FALL
2020-03-13,4355.0,4550.0,4550.0,4125.0,155884.0,-10212.0,9556.0,656.0,0.0491,-590570.0,380.0,FALL
2020-03-12,4735.0,4960.0,5050.0,4735.0,289476.0,12931.0,-11875.0,-1056.0,0.0489,-591226.0,285.0,FALL
2020-03-11,5020.0,5130.0,5190.0,4980.0,92641.0,6338.0,-6035.0,-303.0,0.0492,-590170.0,120.0,FALL
2020-03-10,5140.0,5110.0,5310.0,5040.0,86411.0,19628.0,-19192.0,-436.0,0.0489,-589867.0,40.0,FALL
2020-03-09,5180.0,5430.0,5440.0,5110.0,161723.0,40893.0,-39610.0,-1283.0,0.0495,-589431.0,330.0,FALL
2020-03-06,5510.0,5600.0,5600.0,5470.0,52302.0,9459.0,-9949.0,490.0,0.0506,-588148.0,100.0,FALL
2020-03-05,5610.0,5580.0,5680.0,5510.0,88439.0,-17703.0,19952.0,-2249.0,0.051,-588638.0,100.0,RISE
2020-03-04,5510.0,5430.0,5530.0,5420.0,60050.0,6196.0,415.0,-6611.0,0.0504,-586389.0,30.0,RISE
2020-03-03,5480.0,5540.0,5600.0,5450.0,81526.0,-2003.0,2257.0,-254.0,0.0504,-579778.0,10.0,RISE
2020-03-02,5470.0,5530.0,5570.0,5430.0,169257.0,-19843.0,19746.0,97.0,0.0504,-579524.0,30.0,FALL
2020-02-28,5500.0,5800.0,5800.0,5440.0,241453.0,52290.0,-1420.0,-50870.0,0.0497,-579621.0,340.0,FALL
2020-02-27,5840.0,5870.0,5900.0,5780.0,43593.0,3602.0,-2850.0,-752.0,0.0498,-528751.0,30.0,FALL
2020-02-26,5870.0,5730.0,5960.0,5710.0,113431.0,-23221.0,18450.0,4771.0,0.0498,-527999.0,120.0,RISE
2020-02-25,5750.0,6040.0,6230.0,5700.0,352479.0,69004.0,-64468.0,-4536.0,0.0491,-532770.0,0.0,EVEN
2020-02-24,5750.0,5850.0,5850.0,5560.0,265807.0,-32134.0,32116.0,18.0,0.0509,-528234.0,130.0,FALL
2020-02-21,5880.0,6080.0,6080.0,5860.0,73275.0,3504.0,-3546.0,42.0,0.05,-528252.0,210.0,FALL
2020-02-20,6090.0,6080.0,6130.0,5980.0,46444.0,-8912.0,-3826.0,12738.0,0.0501,-528294.0,40.0,RISE
