,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,21100.0,21000.0,21400.0,20850.0,1368901.0,-67673,-28996,96669,0.1391,-8141181,250.0,RISE
2020-06-01,20850.0,20700.0,21050.0,20450.0,1139791.0,-705,-19071,19776,0.1394,-8237850,150.0,RISE
2020-05-29,20700.0,21300.0,21300.0,20600.0,1361902.0,108928,-73939,-34989,0.1396,-8257626,700.0,FALL
2020-05-28,21400.0,21500.0,22000.0,20950.0,3166883.0,-507992,-2268,510260,0.1404,-8222637,450.0,RISE
2020-05-27,20950.0,21350.0,21400.0,20550.0,3409841.0,-112997,-180800,293797,0.1404,-8732897,700.0,RISE
2020-05-26,20250.0,19600.0,20300.0,19550.0,2295923.0,-751731,443045,308686,0.1424,-9026694,900.0,RISE
2020-05-25,19350.0,19750.0,19750.0,19100.0,878850.0,-62741,43301,19440,0.1377,-9335380,250.0,FALL
2020-05-22,19600.0,20100.0,20150.0,19400.0,1217839.0,189049,-143129,-45920,0.1373,-9354820,500.0,FALL
2020-05-21,20100.0,19950.0,20350.0,19700.0,2510505.0,-590975.0,191193.0,399782.0,0.1388,-7232071.0,500.0,RISE
2020-05-20,19600.0,19000.0,19850.0,18850.0,1486271.0,-400660.0,-5640.0,406300.0,0.1368,-7631853.0,100.0,RISE
2020-05-19,19500.0,20200.0,20200.0,19050.0,4285639.0,-1083267.0,-6340.0,1089607.0,0.1368,-8038153.0,1450.0,RISE
2020-05-18,18050.0,18100.0,18200.0,17650.0,733920.0,47250.0,-91066.0,43816.0,0.1369,-9127760.0,150.0,FALL
2020-05-15,18200.0,18700.0,18700.0,18050.0,1008564.0,253659.0,-122615.0,-131044.0,0.1378,-9171576.0,700.0,FALL
2020-05-14,18900.0,17500.0,18900.0,17200.0,1839940.0,-369647.0,-57707.0,427354.0,0.1391,-9040532.0,700.0,RISE
2020-05-13,18200.0,18200.0,18550.0,17750.0,1111367.0,202119.0,-59123.0,-142996.0,0.1397,-9467886.0,100.0,FALL
2020-05-12,18300.0,18500.0,18700.0,18250.0,1293534.0,74784.0,18512.0,-93296.0,0.1403,-9324890.0,550.0,FALL
2020-05-11,18850.0,19200.0,19200.0,18750.0,894652.0,163573.0,-40376.0,-123197.0,0.1401,-9231594.0,350.0,FALL
2020-05-08,19200.0,19400.0,19450.0,19150.0,861938.0,68485.0,-22549.0,-45936.0,0.1405,-9108397.0,50.0,RISE
2020-05-07,19150.0,18750.0,20100.0,18700.0,2448966.0,310257.0,-246693.0,-63564.0,0.1407,-9062461.0,400.0,RISE
2020-05-06,18750.0,19000.0,19300.0,18500.0,1492011.0,242837.0,-186023.0,-56814.0,0.1433,-8998897.0,350.0,FALL
2020-05-04,19100.0,18800.0,19450.0,18700.0,1404498.0,186049.0,-5020.0,-181029.0,0.1453,-8942083.0,700.0,FALL
2020-04-29,19800.0,19900.0,19950.0,19750.0,1195736.0,26880.0,6114.0,-32994.0,0.1453,-8761054.0,100.0,RISE
2020-04-28,19700.0,19950.0,20000.0,19550.0,1183182.0,-29908.0,89775.0,-59867.0,0.1453,-8728060.0,200.0,FALL
2020-04-27,19900.0,20750.0,20900.0,19800.0,2479832.0,210992.0,-125759.0,-85233.0,0.1443,-8668193.0,100.0,RISE
2020-04-24,19800.0,20100.0,20250.0,19550.0,2424059.0,110560.0,-51601.0,-58959.0,0.1456,-8582960.0,50.0,RISE
2020-04-23,19750.0,19900.0,20150.0,19500.0,1799306.0,18403.0,56839.0,-75242.0,0.1462,-8524001.0,500.0,RISE
2020-04-22,19250.0,19350.0,19850.0,19200.0,2252530.0,383530.0,-163975.0,-219555.0,0.1456,-8448759.0,100.0,RISE
2020-04-21,19150.0,18200.0,19700.0,17750.0,3995839.0,267915.0,90817.0,-358732.0,0.1473,-8229204.0,400.0,FALL
2020-04-20,19550.0,21400.0,21850.0,19000.0,6811234.0,1554187.0,48095.0,-1602282.0,0.1462,-7870472.0,1350.0,FALL
2020-04-17,20900.0,19900.0,22650.0,19850.0,10793150.0,65076.0,73068.0,-138144.0,0.1455,-6268190.0,1300.0,RISE
2020-04-16,19600.0,19600.0,20150.0,19050.0,1268180.0,228969.0,-79496.0,-149473.0,0.1447,-6130046.0,0.0,EVEN
2020-04-14,19600.0,19450.0,19700.0,19200.0,1093672.0,200208.0,-30785.0,-169423.0,0.1454,-5980573.0,50.0,RISE
2020-04-13,19550.0,20350.0,20350.0,19500.0,1407900.0,474790.0,-125668.0,-349122.0,0.1457,-5811150.0,800.0,FALL
2020-04-10,20350.0,20250.0,20700.0,20000.0,1814721.0,77993.0,-129284.0,51291.0,0.147,-5462028.0,400.0,RISE
2020-04-09,19950.0,19500.0,20300.0,19300.0,2675324.0,-156342.0,-129298.0,285640.0,0.1483,-5513319.0,850.0,RISE
2020-04-08,19100.0,19150.0,19400.0,18700.0,1552064.0,40046.0,-43132.0,3086.0,0.1497,-5798959.0,50.0,FALL
2020-04-07,19150.0,19450.0,19600.0,18850.0,2383781.0,69529.0,-81377.0,11848.0,0.1502,-5802045.0,450.0,RISE
2020-04-06,18700.0,18650.0,18750.0,17900.0,2222663.0,120739.0,21284.0,-142023.0,0.151,-5813893.0,50.0,RISE
2020-04-03,18650.0,19000.0,19300.0,18500.0,1199424.0,292752.0,-92216.0,-200536.0,0.1508,-5671870.0,350.0,FALL
2020-04-02,19000.0,18700.0,19650.0,17900.0,1945272.0,-41263.0,-29836.0,71099.0,0.1517,-5471334.0,150.0,RISE
2020-04-01,18850.0,18400.0,22150.0,18000.0,5527052.0,166671.0,-116301.0,-50370.0,0.152,-5542433.0,150.0,RISE
2020-03-31,18700.0,19150.0,19300.0,18550.0,1312182.0,193693.0,-41189.0,-152504.0,0.1532,-5492063.0,0.0,EVEN
2020-03-30,18700.0,18000.0,18900.0,17550.0,1470195.0,-4282.0,-16806.0,21088.0,0.1537,-5339559.0,250.0,FALL
