,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,17600.0,17800.0,18250.0,17500.0,121367.0,17628,23588,-41216,0.0542,642987,100.0,RISE
2020-06-01,17500.0,17450.0,17650.0,17350.0,52665.0,14292,350,-14642,0.0533,684203,200.0,RISE
2020-05-29,17300.0,17500.0,17600.0,17300.0,94447.0,50924,-29312,-21612,0.0533,698845,450.0,FALL
2020-05-28,17750.0,18350.0,18400.0,17300.0,120008.0,41021,-24018,-17003,0.0545,720457,400.0,FALL
2020-05-27,18150.0,17800.0,18700.0,17800.0,131592.0,-8878,11881,-3003,0.0554,737460,350.0,RISE
2020-05-26,17800.0,17600.0,17900.0,17600.0,53796.0,10392,1650,-12042,0.055,740463,200.0,RISE
2020-05-25,17600.0,17800.0,18050.0,17500.0,58708.0,23069,-15282,-7787,0.0549,752505,350.0,FALL
2020-05-22,17950.0,18150.0,18250.0,17650.0,40181.0,-4775,472,4303,0.0555,760292,200.0,FALL
2020-05-21,18150.0,18000.0,18450.0,17750.0,115806.0,14252.0,-460.0,-13792.0,0.0554,538800.0,350.0,RISE
2020-05-20,17800.0,17750.0,18050.0,17500.0,35238.0,8547.0,-7815.0,-732.0,0.0554,552592.0,50.0,RISE
2020-05-19,17750.0,17400.0,18050.0,17350.0,95750.0,-30940.0,-2602.0,33542.0,0.0557,553324.0,550.0,RISE
2020-05-18,17200.0,17850.0,17850.0,17200.0,48027.0,16942.0,-10369.0,-6573.0,0.0559,519782.0,550.0,FALL
2020-05-15,17750.0,17750.0,17750.0,17350.0,35495.0,-11395.0,-382.0,11777.0,0.0563,526355.0,0.0,EVEN
2020-05-14,17750.0,17450.0,17750.0,17150.0,36039.0,10800.0,-3703.0,-7097.0,0.0563,514578.0,200.0,RISE
2020-05-13,17550.0,17450.0,17700.0,17250.0,35563.0,11802.0,-1156.0,-10646.0,0.0564,521675.0,200.0,FALL
2020-05-12,17750.0,18050.0,18050.0,17350.0,75171.0,11960.0,-14269.0,2309.0,0.0565,532321.0,400.0,FALL
2020-05-11,18150.0,18300.0,18300.0,18000.0,41577.0,-16612.0,1241.0,15371.0,0.0571,530012.0,0.0,EVEN
2020-05-08,18150.0,17650.0,18350.0,17600.0,84840.0,-30292.0,-9412.0,39704.0,0.057,514641.0,500.0,RISE
2020-05-07,17650.0,17600.0,17650.0,17100.0,40160.0,-15272.0,5072.0,10200.0,0.0574,474937.0,150.0,RISE
2020-05-06,17500.0,17350.0,17600.0,17250.0,42330.0,-2506.0,2462.0,44.0,0.0572,464737.0,250.0,RISE
2020-05-04,17250.0,18000.0,18000.0,17200.0,80417.0,23271.0,-978.0,-22293.0,0.0572,464693.0,900.0,FALL
2020-04-29,18150.0,18150.0,18450.0,18100.0,59156.0,12335.0,8363.0,-20698.0,0.0572,486986.0,150.0,FALL
2020-04-28,18300.0,18700.0,18850.0,18300.0,65244.0,-4390.0,4385.0,5.0,0.0569,507684.0,400.0,FALL
2020-04-27,18700.0,18150.0,18700.0,17850.0,106419.0,-17241.0,17406.0,-165.0,0.0567,507679.0,350.0,RISE
2020-04-24,18350.0,20050.0,22050.0,15100.0,812661.0,164608.0,-44894.0,-119714.0,0.055999999999999994,507844.0,550.0,FALL
2020-04-23,18900.0,18150.0,18900.0,18000.0,153086.0,-528.0,-3722.0,4250.0,0.0578,627558.0,650.0,RISE
2020-04-22,18250.0,17700.0,18300.0,17200.0,130706.0,53161.0,-11278.0,-41883.0,0.057999999999999996,623308.0,250.0,RISE
2020-04-21,18000.0,17850.0,18100.0,16800.0,150078.0,2829.0,5842.0,-8671.0,0.0584,665191.0,50.0,RISE
2020-04-20,17950.0,18400.0,18550.0,17950.0,105372.0,36863.0,-3852.0,-33011.0,0.0582,673862.0,350.0,FALL
2020-04-17,18300.0,18650.0,19600.0,17900.0,359982.0,86871.0,-4474.0,-82397.0,0.0584,706873.0,350.0,FALL
2020-04-16,18650.0,19000.0,19000.0,17900.0,165514.0,44942.0,-3687.0,-41255.0,0.0588,789270.0,600.0,FALL
2020-04-14,19250.0,17950.0,19250.0,17350.0,198158.0,51483.0,3340.0,-54823.0,0.0589,830525.0,1400.0,RISE
2020-04-13,17850.0,18100.0,18200.0,17300.0,189051.0,90337.0,-13293.0,-77044.0,0.0588,885348.0,250.0,FALL
2020-04-10,18100.0,16850.0,18200.0,16500.0,258231.0,52383.0,-12065.0,-40318.0,0.0599,962392.0,1350.0,RISE
2020-04-09,16750.0,17000.0,17100.0,16400.0,88183.0,25046.0,-8138.0,-16908.0,0.0604,1002710.0,0.0,EVEN
2020-04-08,16750.0,16450.0,16850.0,15900.0,123855.0,45171.0,-29351.0,-15820.0,0.0607,1019618.0,250.0,FALL
2020-04-07,17000.0,15800.0,17050.0,15200.0,345682.0,67130.0,-34637.0,-32493.0,0.0619,1035438.0,1750.0,RISE
2020-04-06,15250.0,14300.0,15500.0,13900.0,223282.0,29119.0,-10313.0,-18806.0,0.0633,1067931.0,1450.0,RISE
2020-04-03,13800.0,14000.0,14100.0,13450.0,84359.0,18489.0,-18185.0,-304.0,0.0637,1086737.0,200.0,RISE
2020-04-02,13600.0,13100.0,13600.0,12950.0,90741.0,-9066.0,7331.0,1735.0,0.0645,1087041.0,500.0,RISE
2020-04-01,13100.0,13200.0,13800.0,12800.0,133319.0,-25838.0,1065.0,24773.0,0.0642,1085306.0,250.0,FALL
2020-03-31,13350.0,13000.0,13600.0,12800.0,180006.0,8867.0,-502.0,-8365.0,0.0641,1060533.0,650.0,RISE
2020-03-30,12700.0,12200.0,12800.0,11800.0,88535.0,-14647.0,2968.0,11679.0,0.0642,1068898.0,200.0,RISE
2020-03-27,12500.0,13000.0,13150.0,12150.0,160862.0,-13768.0,1068.0,12700.0,0.0641,1057219.0,300.0,RISE
2020-03-26,12200.0,12600.0,12800.0,12150.0,181761.0,-19597.0,9928.0,9669.0,0.0645,1044519.0,200.0,FALL
2020-03-25,12400.0,12100.0,12500.0,11650.0,226383.0,12922.0,-10365.0,-2557.0,0.0641,1034850.0,1000.0,RISE
2020-03-24,11400.0,11000.0,11450.0,10700.0,112024.0,-27051.0,12307.0,14744.0,0.0646,1037407.0,850.0,RISE
2020-03-23,10550.0,11550.0,12100.0,10450.0,217784.0,91259.0,-8295.0,-82964.0,0.0646,1022663.0,2250.0,FALL
2020-03-20,12800.0,10900.0,13450.0,10900.0,159320.0,33793.0,-29097.0,-4696.0,0.065,1105627.0,1900.0,RISE
2020-03-19,10900.0,13000.0,13050.0,10800.0,233661.0,27192.0,-20268.0,-6924.0,0.0662,1110323.0,1750.0,FALL
2020-03-18,12650.0,13500.0,13500.0,12500.0,184797.0,50098.0,-31985.0,-18113.0,0.0673,1117247.0,50.0,RISE
2020-03-17,12600.0,10900.0,12750.0,10750.0,280390.0,15887.0,6356.0,-22243.0,0.0686,1135360.0,900.0,RISE
2020-03-16,11700.0,13000.0,13050.0,11700.0,269740.0,63630.0,24485.0,-88115.0,0.0693,1157603.0,750.0,FALL
2020-03-13,12450.0,13300.0,13350.0,11850.0,306400.0,9333.0,64515.0,-73848.0,0.0694,1245718.0,1800.0,FALL
2020-03-12,14250.0,15050.0,15400.0,14000.0,174489.0,-49911.0,46436.0,3475.0,0.0667,1319566.0,1250.0,FALL
2020-03-11,15500.0,16300.0,16300.0,15450.0,88524.0,4341.0,-8508.0,4167.0,0.0648,1316091.0,550.0,FALL
2020-03-10,16050.0,15800.0,16450.0,15750.0,75540.0,16801.0,11087.0,-27888.0,0.0649,1311924.0,150.0,FALL
2020-03-09,16200.0,16550.0,16650.0,15900.0,89387.0,-17376.0,1040.0,16336.0,0.0645,1339812.0,750.0,FALL
2020-03-06,16950.0,17650.0,17650.0,16900.0,92598.0,24521.0,-18675.0,-5846.0,0.0646,1323476.0,700.0,FALL
2020-03-05,17650.0,17600.0,17950.0,17300.0,105916.0,33979.0,14930.0,-48909.0,0.0654,1329322.0,200.0,RISE
2020-03-04,17450.0,16700.0,17450.0,16700.0,56313.0,12021.0,14514.0,-26535.0,0.0648,1378231.0,300.0,RISE
2020-03-03,17150.0,17550.0,17550.0,17150.0,50130.0,-9177.0,431.0,8746.0,0.0644,1404766.0,200.0,RISE
2020-03-02,16950.0,17050.0,17250.0,16650.0,75351.0,8009.0,12844.0,-20853.0,0.0644,1396020.0,50.0,RISE
2020-02-28,16900.0,17300.0,17550.0,16850.0,99223.0,13466.0,8740.0,-22206.0,0.0639,1416873.0,900.0,FALL
2020-02-27,17800.0,17500.0,18150.0,17450.0,163992.0,22031.0,-20310.0,-1721.0,0.0635,1439079.0,400.0,RISE
2020-02-26,17400.0,17300.0,17650.0,17100.0,48544.0,21177.0,-9938.0,-11239.0,0.0649,1440800.0,250.0,FALL
2020-02-25,17650.0,17000.0,17650.0,17000.0,76138.0,6502.0,6203.0,-12705.0,0.0653,1452039.0,550.0,RISE
2020-02-24,17100.0,18100.0,18100.0,17000.0,191858.0,25459.0,4357.0,-29816.0,0.065,1464744.0,1350.0,FALL
2020-02-21,18450.0,18850.0,19000.0,18400.0,85915.0,24750.0,-6639.0,-18111.0,0.0648,1494560.0,650.0,FALL
2020-02-20,19100.0,19500.0,19700.0,18950.0,55184.0,10177.0,2925.0,-13102.0,0.0651,1512671.0,400.0,FALL
2020-02-19,19500.0,19800.0,19800.0,19300.0,46725.0,-3163.0,-2155.0,5318.0,0.065,1525773.0,300.0,FALL
2020-02-18,19800.0,19250.0,19800.0,18600.0,172934.0,2580.0,1636.0,-4216.0,0.0652,1520455.0,600.0,RISE
2020-02-17,19200.0,20150.0,20250.0,19100.0,204749.0,55883.0,-4053.0,-51830.0,0.064,1524671.0,950.0,FALL
2020-02-14,20150.0,20200.0,20350.0,19950.0,84038.0,34994.0,5934.0,-40928.0,0.0641,1576501.0,100.0,FALL
2020-02-13,20250.0,20550.0,20750.0,20200.0,93112.0,15911.0,-7683.0,-8228.0,0.0639,1617429.0,400.0,FALL
2020-02-12,20650.0,20900.0,21050.0,20450.0,180394.0,64417.0,-29765.0,-34652.0,0.064,1625657.0,750.0,FALL
2020-02-11,21400.0,21350.0,21400.0,21100.0,19376.0,-2972.0,5267.0,-2295.0,0.0652,1660309.0,150.0,RISE
2020-02-10,21250.0,21300.0,21350.0,20950.0,18147.0,2384.0,-1260.0,-1124.0,0.065,1662604.0,100.0,FALL
2020-02-07,21350.0,21350.0,21350.0,20950.0,23692.0,-163.0,610.0,-447.0,0.065,1663728.0,0.0,EVEN
2020-02-06,21350.0,20700.0,21400.0,20700.0,51360.0,1056.0,11922.0,-12978.0,0.0649,1664175.0,750.0,RISE
2020-02-05,20600.0,20700.0,20850.0,20400.0,37500.0,18221.0,-4898.0,-13323.0,0.0647,1677153.0,0.0,EVEN
2020-02-04,20600.0,20550.0,20750.0,20350.0,24439.0,3867.0,1993.0,-5860.0,0.0649,1690476.0,300.0,RISE
2020-02-03,20300.0,20350.0,20600.0,19900.0,69421.0,-3491.0,-3184.0,6675.0,0.0644,1696336.0,300.0,FALL
2020-01-31,20600.0,20700.0,20900.0,20550.0,46525.0,-5582.0,7337.0,-1755.0,0.0645,1689661.0,50.0,RISE
2020-01-30,20550.0,20700.0,20750.0,20400.0,55688.0,977.0,9192.0,-10169.0,0.0642,1691416.0,0.0,EVEN
2020-01-29,20550.0,20700.0,20750.0,20400.0,49838.0,21601.0,184.0,-21785.0,0.0638,1701585.0,100.0,RISE
2020-01-28,20450.0,21200.0,21200.0,20300.0,118232.0,-2981.0,-10957.0,13938.0,0.0638,1723370.0,1150.0,FALL
2020-01-23,21600.0,21700.0,21850.0,21400.0,56686.0,20103.0,8891.0,-28994.0,0.0635,1709432.0,100.0,FALL
2020-01-22,21700.0,22000.0,22000.0,21600.0,28784.0,727.0,2733.0,-3460.0,0.0636,1738426.0,0.0,EVEN
2020-01-21,21700.0,22300.0,22300.0,21700.0,77944.0,30007.0,9786.0,-39793.0,0.0635,1741886.0,550.0,FALL
2020-01-20,22250.0,22050.0,22250.0,21850.0,68643.0,-7723.0,2168.0,5555.0,0.0631,1781679.0,150.0,RISE
2020-01-17,22100.0,21950.0,22100.0,21650.0,62960.0,-229.0,-3590.0,3819.0,0.0621,1776124.0,250.0,RISE
2020-01-16,21850.0,22000.0,22150.0,21850.0,46814.0,98.0,8447.0,-8545.0,0.0623,1772305.0,0.0,EVEN
2020-01-15,21850.0,21800.0,22050.0,21650.0,41412.0,-5616.0,588.0,5028.0,0.0621,1780850.0,100.0,RISE
2020-01-14,21750.0,22000.0,22000.0,21600.0,39609.0,8480.0,3200.0,-11680.0,0.062,1775822.0,150.0,FALL
2020-01-13,21900.0,21450.0,21900.0,21400.0,72479.0,247.0,-7565.0,7318.0,0.0619,1787502.0,250.0,RISE
2020-01-10,21650.0,21550.0,21700.0,21300.0,65127.0,16117.0,-11680.0,-4437.0,0.0622,1780184.0,100.0,RISE
2020-01-09,21550.0,21550.0,21750.0,21300.0,61098.0,18855.0,-12443.0,-6412.0,0.0626,1784621.0,400.0,RISE
2020-01-08,21150.0,21650.0,21800.0,21050.0,113385.0,30212.0,-10053.0,-20159.0,0.0632,1791033.0,700.0,FALL
2020-01-07,21850.0,21900.0,22000.0,21700.0,66072.0,22000.0,-5653.0,-16347.0,0.0636,1811192.0,100.0,RISE
2020-01-06,21750.0,22550.0,22550.0,21650.0,107155.0,41689.0,-9936.0,-31753.0,0.0637,1827539.0,950.0,FALL
2020-01-03,22700.0,23150.0,23150.0,22500.0,65888.0,18556.0,-1624.0,-16932.0,0.0642,1859292.0,300.0,FALL
2020-01-02,23000.0,23000.0,23150.0,22650.0,42533.0,-2497.0,-4534.0,7031.0,0.0644,1876224.0,0.0,EVEN
2019-12-30,23000.0,23300.0,23350.0,22900.0,54716.0,9054.0,-4614.0,-4440.0,0.0646,1869193.0,300.0,FALL
2019-12-27,23300.0,22900.0,23450.0,22750.0,83821.0,-23105.0,-932.0,24037.0,0.0648,1873633.0,400.0,RISE
2019-12-26,22900.0,23050.0,23250.0,22700.0,53020.0,-3944.0,1056.0,2888.0,0.0649,1849596.0,150.0,FALL
2019-12-24,23050.0,23250.0,23300.0,22750.0,92601.0,-1325.0,637.0,688.0,0.0651,1846708.0,100.0,FALL
2019-12-23,23150.0,23500.0,23500.0,22800.0,92630.0,14594.0,-24174.0,9580.0,0.0665,1846020.0,100.0,FALL
2019-12-20,23250.0,22950.0,23300.0,22650.0,201015.0,-23090.0,15584.0,7506.0,0.0677,1836440.0,600.0,RISE
2019-12-19,22650.0,22100.0,22850.0,22100.0,110526.0,-21659.0,15822.0,5837.0,0.067,1828934.0,450.0,RISE
2019-12-18,22200.0,22200.0,22400.0,21900.0,57286.0,-13090.0,7522.0,5568.0,0.0666,1823097.0,50.0,FALL
2019-12-17,22250.0,21950.0,22300.0,21500.0,87075.0,-18076.0,22552.0,-4476.0,0.0663,1817529.0,300.0,RISE
2019-12-16,21950.0,22350.0,22400.0,21900.0,46320.0,1129.0,5676.0,-6805.0,0.0655,1822005.0,250.0,FALL
2019-12-13,22200.0,22150.0,22900.0,22150.0,113643.0,5919.0,14290.0,-20209.0,0.0643,1828810.0,150.0,RISE
2019-12-12,22050.0,22000.0,22200.0,21900.0,48992.0,2816.0,6212.0,-9028.0,0.0638,1849019.0,50.0,FALL
2019-12-11,22100.0,22100.0,22200.0,21800.0,27787.0,7592.0,3425.0,-11017.0,0.0636,1858047.0,0.0,EVEN
2019-12-10,22100.0,21850.0,22100.0,21750.0,32681.0,-6988.0,11872.0,-4884.0,0.0635,1869064.0,150.0,RISE
2019-12-09,21950.0,21600.0,21950.0,21600.0,26258.0,-1928.0,7995.0,-6067.0,0.0631,1873948.0,250.0,RISE
2019-12-06,21700.0,21550.0,21950.0,21550.0,28705.0,-2168.0,9383.0,-7215.0,0.0629,1880015.0,150.0,RISE
2019-12-05,21550.0,21650.0,21900.0,21500.0,43499.0,6510.0,2515.0,-9025.0,0.0625,1887230.0,100.0,FALL
2019-12-04,21650.0,21600.0,21800.0,21550.0,22190.0,-6180.0,8406.0,-2226.0,0.0624,1896255.0,100.0,FALL
2019-12-03,21750.0,21550.0,21900.0,21550.0,29042.0,2759.0,6294.0,-9053.0,0.0621,1898481.0,0.0,EVEN
2019-12-02,21750.0,21900.0,22150.0,21750.0,25413.0,4259.0,632.0,-4891.0,0.0618,1907534.0,100.0,FALL
2019-11-29,21850.0,22400.0,22400.0,21750.0,51510.0,18881.0,-10654.0,-8227.0,0.0618,1912425.0,450.0,FALL
2019-11-28,22300.0,22300.0,22450.0,21900.0,44853.0,9016.0,4234.0,-13250.0,0.0622,1920652.0,0.0,EVEN
2019-11-27,22300.0,22400.0,22450.0,22100.0,29949.0,-687.0,4836.0,-4149.0,0.0621,1933902.0,0.0,EVEN
2019-11-26,22300.0,22300.0,22450.0,22200.0,46160.0,-1343.0,16599.0,-15256.0,0.0619,1938051.0,0.0,EVEN
2019-11-25,22300.0,21950.0,22350.0,21950.0,51179.0,-7993.0,14438.0,-6445.0,0.0612,1953307.0,400.0,RISE
