날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-05-21,66200.0,66000.0,66700.0,64700.0,171903.0,4621,-3850,-771,0.1294,569316,400.0,RISE
2020-05-20,65800.0,62800.0,66700.0,62800.0,273671.0,-59774,617,59157,0.1296,570087,3200.0,RISE
2020-05-19,62600.0,64000.0,64100.0,60500.0,441796.0,28053,72179,-100232,0.1296,510930,2200.0,FALL
2020-05-18,64800.0,67400.0,67700.0,64500.0,228823.0,-7532,16807,-9275,0.1256,611162,1900.0,FALL
2020-05-15,66700.0,66500.0,67400.0,65300.0,148625.0,-30100,41177,-11077,0.1247,620437,300.0,RISE
2020-05-14,66400.0,66600.0,69000.0,65300.0,231411.0,-1512,-7390,8902,0.1226,631514,300.0,FALL
2020-05-13,66700.0,65400.0,67200.0,64900.0,180443.0,-24650,-1226,25876,0.123,622612,300.0,RISE
2020-05-12,66400.0,65700.0,66700.0,63500.0,264205.0,20053,-13569,-6484,0.123,596736,1300.0,RISE
2020-05-11,65100.0,62500.0,66900.0,62500.0,319466.0,-74726,40520,34206,0.1238,603220,2800.0,RISE
2020-05-08,62300.0,61400.0,62600.0,60700.0,246026.0,-80026,5723,74303,0.1216,569014,1600.0,RISE
2020-05-07,60700.0,59500.0,63300.0,59300.0,599973.0,-83712,37978,45734,0.1213,494711,2600.0,RISE
2020-05-06,58100.0,57900.0,59600.0,55600.0,458227.0,-72391,-18306,90697,0.1192,448977,300.0,FALL
2020-05-04,58400.0,56500.0,58400.0,56000.0,120113.0,7547,-13895,6348,0.1204,358280,400.0,RISE
2020-04-29,58000.0,57700.0,58900.0,56900.0,190526.0,-19547,-11184,30731,0.1212,351932,0.0,EVEN
2020-04-28,58000.0,55000.0,58000.0,54600.0,322357.0,-34487,15557,18930,0.1218,321201,3400.0,RISE
2020-04-27,54600.0,54700.0,55700.0,54100.0,105601.0,1137,-7579,6442,0.1209,302271,200.0,RISE
2020-04-24,54400.0,55200.0,56000.0,53600.0,154028.0,-649,-6741,7390,0.1213,295829,1100.0,FALL
2020-04-23,55500.0,54600.0,56300.0,54000.0,264520.0,-20595,13052,7543,0.1217,288439,1500.0,RISE
2020-04-22,54000.0,52400.0,54200.0,51700.0,220467.0,-26491,-14828,41319,0.121,280896,700.0,RISE
2020-04-21,53300.0,53100.0,54100.0,49600.0,315931.0,-72609,8532,64077,0.1218,239577,0.0,EVEN
2020-04-20,53300.0,52200.0,54300.0,51500.0,290241.0,-68023,16511,51512,0.1213,175500,800.0,RISE
2020-04-17,52500.0,53300.0,53500.0,51100.0,401166.0,71052,-20033,-51019,0.1204,123988,0.0,EVEN
2020-04-16,52500.0,50300.0,52700.0,49450.0,330542.0,-39595,14287,25308,0.1215,175007,1700.0,RISE
2020-04-14,50800.0,48000.0,51000.0,47600.0,369150.0,-88853,34070,54783,0.1208,149699,3800.0,RISE
2020-04-13,47000.0,50100.0,50500.0,46950.0,285475.0,78683,-21807,-56876,0.1189,94916,2500.0,FALL
2020-04-10,49500.0,47850.0,50200.0,47600.0,449453.0,-8283,25810,-17527,0.1202,151792,2500.0,RISE
2020-04-09,47000.0,48550.0,48750.0,46550.0,363084.0,97126,-51387,-45739,0.1188,169319,1350.0,FALL
2020-04-08,48350.0,49650.0,49650.0,48300.0,277026.0,43625,-21981,-21644,0.1216,215058,1350.0,FALL
2020-04-07,49700.0,52600.0,52700.0,49550.0,377769.0,38639,22461,-61100,0.1228,236702,2800.0,FALL
2020-04-06,52500.0,53800.0,54700.0,51900.0,308006.0,37976,-9223,-28753,0.1216,297802,400.0,FALL
2020-04-03,52900.0,51800.0,53300.0,50200.0,387296.0,-78891,12854,66037,0.1222,326555,2000.0,RISE
2020-04-02,50900.0,50300.0,51800.0,46500.0,453073.0,-62995,-26898,89893,0.1214,260518,2800.0,RISE
2020-04-01,48100.0,47450.0,53800.0,47450.0,1177054.0,97188,-95935,-1253,0.1229,170625,4700.0,RISE
2020-03-31,43400.0,42850.0,45000.0,42800.0,185069.0,-19212,-4554,23766,0.1282,171878,1050.0,RISE
2020-03-30,42350.0,40150.0,42350.0,39800.0,133469.0,-33602,21343,12259,0.1284,148112,1200.0,RISE
2020-03-27,41150.0,42400.0,43000.0,39750.0,118740.0,20397,-14636,-5761,0.1273,135853,50.0,RISE
2020-03-26,41100.0,41200.0,42400.0,40300.0,161229.0,-27197,17952,9245,0.1281,141614,800.0,RISE
2020-03-25,40300.0,39200.0,40900.0,38900.0,201128.0,-43568,40499,3069,0.1271,132369,1650.0,RISE
2020-03-24,38650.0,38500.0,38700.0,37800.0,152658.0,31631,-16418,-15213,0.1251,129300,1450.0,RISE
2020-03-23,37200.0,37900.0,39050.0,37050.0,109928.0,9547,1328,-10875,0.1262,144513,2100.0,FALL
2020-03-20,39300.0,39000.0,39750.0,37900.0,113861.0,-442,-5080,5522,0.125,155388,1550.0,RISE
2020-03-19,37750.0,40300.0,41800.0,36100.0,224490.0,-5107,-6274,11381,0.1262,149866,1400.0,FALL
2020-03-18,39150.0,39950.0,42050.0,39050.0,175095.0,-29515,10616,18899,0.1266,138485,50.0,RISE
2020-03-17,39100.0,35750.0,39400.0,35400.0,154952.0,-38862,12137,26725,0.1259,119586,1600.0,RISE
2020-03-16,37500.0,40300.0,40450.0,37500.0,283236.0,57258,-69082,11824,0.1256,92861,2800.0,FALL
2020-03-13,40300.0,38800.0,41500.0,36000.0,315351.0,-3248,-30439,33687,0.1293,81037,2700.0,FALL
2020-03-12,43000.0,45300.0,46550.0,42650.0,229674.0,48844,-45240,-3604,0.131,47350,2000.0,FALL
2020-03-11,45000.0,46000.0,48050.0,44950.0,264953.0,30081,-50541,20460,0.1329,50954,0.0,EVEN
2020-03-10,45000.0,45300.0,45600.0,43550.0,155144.0,23796,-75052,51256,0.1356,30494,650.0,FALL
2020-03-09,45650.0,44850.0,46800.0,44250.0,241034.0,-58574,-35684,94258,0.1397,-20762,50.0,FALL
2020-03-06,45700.0,43200.0,46300.0,42800.0,169789.0,-26406,-50903,77309,0.1412,-115020,2200.0,RISE
2020-03-05,43500.0,43000.0,44500.0,42650.0,106338.0,25694,-17090,-8604,0.144,-192329,1150.0,RISE
2020-03-04,42350.0,41650.0,42350.0,41450.0,60920.0,15950,3268,-19218,0.1449,-183725,800.0,RISE
2020-03-03,41550.0,42500.0,43300.0,41300.0,63789.0,16815,-196,-16619,0.1447,-164507,200.0,FALL
2020-03-02,41750.0,42000.0,42150.0,40600.0,52085.0,2769,3876,-6645,0.145,-147888,650.0,RISE
2020-02-28,41100.0,42900.0,42900.0,40850.0,127907.0,-1810,16981,-15171,0.1448,-141243,2650.0,FALL
2020-02-27,43750.0,45150.0,45450.0,43600.0,69135.0,17589,-20932,3343,0.1437,-126072,1400.0,FALL
2020-02-26,45150.0,44000.0,45950.0,43400.0,87387.0,15763,-21271,5508,0.1445,-129415,750.0,RISE
2020-02-25,44400.0,43000.0,44550.0,43000.0,54326.0,-9102,11514,-2412,0.1456,-134923,900.0,RISE
2020-02-24,43500.0,44250.0,44950.0,43350.0,107431.0,25110,-11963,-13147,0.1449,-132511,2150.0,FALL
2020-02-21,45650.0,45400.0,46350.0,45150.0,71740.0,16582,-10881,-5701,0.1461,-119364,600.0,FALL
2020-02-20,46250.0,46150.0,47000.0,45750.0,98307.0,-16980,18986,-2006,0.1467,-113663,650.0,RISE
2020-02-19,45600.0,46250.0,46550.0,45050.0,119689.0,13215,6632,-19847,0.1457,-111657,700.0,FALL
2020-02-18,46300.0,46550.0,46600.0,46200.0,40287.0,1927,-1839,-88,0.1453,-91810,400.0,FALL
2020-02-17,46700.0,46500.0,46750.0,46100.0,79171.0,23292,-704,-22588,0.1454,-91722,300.0,RISE
2020-02-14,46400.0,47250.0,47250.0,46250.0,163308.0,53460,-11672,-41788,0.1456,-69134,900.0,FALL
2020-02-13,47300.0,47700.0,48300.0,47000.0,86607.0,20991,5306,-26297,0.1463,-27346,300.0,FALL
2020-02-12,47600.0,48400.0,48400.0,47350.0,123565.0,48536,-33281,-15255,0.1452,-1049,700.0,FALL
2020-02-11,48300.0,48450.0,49250.0,47950.0,98473.0,19887,-24180,4293,0.147,14206,50.0,FALL
2020-02-10,48350.0,48050.0,48550.0,48050.0,55685.0,9098,-11067,1969,0.1483,9913,350.0,RISE
2020-02-07,48000.0,49350.0,49350.0,47950.0,80865.0,39821,-37306,-2515,0.1489,7944,1300.0,FALL
2020-02-06,49300.0,47500.0,49300.0,47500.0,93328.0,-8623,-17713,26336,0.1509,10459,2100.0,RISE
2020-02-05,47200.0,49100.0,49250.0,47000.0,86438.0,29566,-1706,-27860,0.152,-15877,1150.0,FALL
2020-02-04,48350.0,47350.0,48400.0,47150.0,46282.0,8088,7365,-15453,0.1521,11983,1300.0,RISE
2020-02-03,47050.0,47150.0,47900.0,46300.0,54777.0,6490,2071,-8561,0.1517,27436,200.0,FALL
2020-01-31,47250.0,48350.0,48600.0,47250.0,43634.0,-2399,-711,3110,0.1516,35997,1100.0,FALL
2020-01-30,48350.0,48850.0,49000.0,47850.0,43040.0,6777,-1164,-5613,0.1516,32887,750.0,FALL
2020-01-29,49100.0,48550.0,49450.0,48350.0,53651.0,-8853,-2377,11230,0.1517,38500,750.0,RISE
2020-01-28,48350.0,48250.0,48650.0,47600.0,76588.0,-676,-8226,8902,0.1518,27270,1350.0,FALL
2020-01-23,49700.0,50000.0,50200.0,49400.0,59435.0,8713,-1227,-7486,0.1523,18368,600.0,FALL
2020-01-22,50300.0,50200.0,50500.0,49500.0,34996.0,9581,-1175,-8406,0.1523,25854,0.0,EVEN
2020-01-21,50300.0,50800.0,50900.0,49400.0,88645.0,20818,-9553,-11265,0.1524,34260,200.0,FALL
2020-01-20,50500.0,52300.0,52500.0,50100.0,102573.0,23999,7307,-31306,0.1529,45525,1700.0,FALL
2020-01-17,52200.0,52500.0,52500.0,51100.0,87936.0,374,3003,-3377,0.1525,76831,0.0,EVEN
2020-01-16,52200.0,53500.0,53600.0,51500.0,78056.0,17596,-6830,-10766,0.1523,80208,1200.0,FALL
