날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-05-21,3515.0,3575.0,3650.0,3500.0,510024.0,21487,-21489,2,0.0182,-237457,45.0,FALL
2020-05-20,3560.0,3475.0,3625.0,3410.0,757675.0,-93804,93808,-4,0.0196,-237459,105.0,RISE
2020-05-19,3455.0,3380.0,3540.0,3380.0,520393.0,-28395,28492,-97,0.0136,-237455,50.0,RISE
2020-05-18,3405.0,3345.0,3475.0,3310.0,385489.0,-65370,65411,-41,0.0118,-237358,65.0,RISE
2020-05-15,3340.0,3500.0,3735.0,3335.0,1790604.0,77634,-77686,52,0.0076,-237317,145.0,FALL
2020-05-14,3485.0,3400.0,3495.0,3370.0,367814.0,65215,-65276,61,0.0126,-237369,65.0,RISE
2020-05-13,3420.0,3330.0,3505.0,3325.0,391733.0,9098,-9106,8,0.0167,-237430,0.0,EVEN
2020-05-12,3420.0,3400.0,3460.0,3295.0,506864.0,-84405,84781,-376,0.0173,-237438,0.0,EVEN
2020-05-11,3420.0,3510.0,3530.0,3395.0,407392.0,-52081,52188,-107,0.0119,-237062,95.0,FALL
2020-05-08,3515.0,3550.0,3610.0,3490.0,707660.0,-32062,32543,-481,0.0086,-236955,30.0,FALL
2020-05-07,3545.0,3660.0,3665.0,3455.0,1024943.0,9438,-9730,292,0.0065,-236474,70.0,FALL
2020-05-06,3615.0,3510.0,4050.0,3510.0,9619865.0,9435,-9546,111,0.0071,-236766,55.0,RISE
2020-05-04,3560.0,3525.0,3690.0,3360.0,2384280.0,-31706,18873,12833,0.0079,-236877,30.0,RISE
2020-04-29,3530.0,3500.0,3945.0,3435.0,12527783.0,243995,-234153,-9842,0.0067,-249710,30.0,FALL
2020-04-28,3560.0,2760.0,3560.0,2760.0,9059843.0,197345,-208746,11401,0.0216,-239868,820.0,UPPER_LIMIT
2020-04-27,2740.0,2680.0,2755.0,2600.0,154509.0,-53434,53988,-554,0.035,-251269,75.0,RISE
2020-04-24,2665.0,2745.0,2745.0,2625.0,131452.0,9932,-9378,-554,0.0315,-250715,95.0,FALL
2020-04-23,2760.0,2725.0,2800.0,2695.0,145235.0,-32713,32709,4,0.0321,-250161,40.0,RISE
2020-04-22,2720.0,2610.0,2725.0,2585.0,155082.0,-13404,13415,-11,0.0301,-250165,30.0,RISE
2020-04-21,2690.0,2695.0,2785.0,2550.0,275560.0,-24435,24458,-23,0.0292,-250154,50.0,FALL
2020-04-20,2740.0,2770.0,2820.0,2725.0,235967.0,-22771,22855,-84,0.0276,-250131,35.0,FALL
2020-04-17,2775.0,2750.0,2830.0,2710.0,231249.0,17647,-17473,-174,0.0262,-250047,50.0,RISE
2020-04-16,2725.0,2720.0,2755.0,2630.0,564069.0,-59767,59790,-23,0.0273,-249873,140.0,FALL
2020-04-14,2865.0,2580.0,2865.0,2560.0,1247624.0,8396,-8036,-360,0.0235,-249850,290.0,RISE
2020-04-13,2575.0,2620.0,2670.0,2500.0,377899.0,-5908,4913,995,0.024,-249490,45.0,FALL
2020-04-10,2620.0,2635.0,2670.0,2450.0,272917.0,-9716,7751,1965,0.0237,-250485,15.0,FALL
2020-04-09,2635.0,2670.0,2680.0,2595.0,285375.0,-4133,4047,86,0.0232,-252450,30.0,RISE
2020-04-08,2605.0,2485.0,2665.0,2440.0,653709.0,23074,-23141,67,0.0229,-252536,120.0,RISE
2020-04-07,2485.0,2520.0,2560.0,2405.0,359276.0,11298,-11326,28,0.0244,-252603,20.0,RISE
2020-04-06,2465.0,2450.0,2500.0,2400.0,316794.0,-17041,17047,-6,0.0251,-252631,40.0,RISE
2020-04-03,2425.0,2395.0,2445.0,2255.0,328529.0,-729,424,305,0.024,-252625,80.0,RISE
2020-04-02,2345.0,2180.0,2345.0,2120.0,225933.0,-32091,32113,-22,0.024,-252930,150.0,RISE
2020-04-01,2195.0,2210.0,2520.0,2165.0,768089.0,43841,-43858,17,0.022,-252908,30.0,FALL
2020-03-31,2225.0,2160.0,2325.0,2130.0,884991.0,30539,-30608,69,0.0248,-252925,100.0,RISE
2020-03-30,2125.0,2005.0,2140.0,1975.0,377363.0,-23885,23869,16,0.0267,-252994,50.0,RISE
2020-03-27,2075.0,2190.0,2190.0,1970.0,535054.0,316,-591,275,0.0252,-253010,30.0,FALL
2020-03-26,2105.0,2055.0,2185.0,1975.0,585048.0,-31693,31786,-93,0.0258,-253285,50.0,RISE
2020-03-25,2055.0,2120.0,2195.0,1965.0,1300672.0,162814,-163279,465,0.0256,-253192,45.0,RISE
2020-03-24,2010.0,1720.0,2125.0,1700.0,1531420.0,209016,-204533,-4483,0.0361,-253657,345.0,RISE
2020-03-23,1665.0,1700.0,1765.0,1615.0,198114.0,28924,-17949,-10975,0.0504,-249174,100.0,FALL
2020-03-20,1765.0,1620.0,1800.0,1620.0,408048.0,-41941,48949,-7008,0.0515,-238199,135.0,RISE
2020-03-19,1630.0,2055.0,2100.0,1595.0,351688.0,10673,-10704,31,0.0484,-231191,390.0,FALL
2020-03-18,2020.0,2270.0,2290.0,2020.0,159508.0,29710,-34909,5199,0.0497,-231222,190.0,FALL
2020-03-17,2210.0,2050.0,2300.0,2000.0,303996.0,15539,-15458,-81,0.052,-236421,40.0,FALL
2020-03-16,2250.0,2310.0,2430.0,2250.0,264934.0,-10722,10690,32,0.0535,-236340,40.0,FALL
2020-03-13,2290.0,2380.0,2485.0,2100.0,519625.0,-13570,13895,-325,0.0552,-236372,340.0,FALL
2020-03-12,2630.0,2815.0,2895.0,2505.0,537191.0,-75542,74862,680,0.0543,-236047,240.0,FALL
2020-03-11,2870.0,3035.0,3090.0,2810.0,263627.0,4180,-4199,19,0.0496,-236727,160.0,FALL
2020-03-10,3030.0,2920.0,3045.0,2910.0,215023.0,-64839,64733,106,0.0498,-236746,50.0,RISE
2020-03-09,2980.0,3180.0,3220.0,2980.0,274111.0,-17555,17494,61,0.0457,-236852,245.0,FALL
2020-03-06,3225.0,3260.0,3305.0,3175.0,217823.0,-14270,14250,20,0.0446,-236913,75.0,FALL
2020-03-05,3300.0,3300.0,3340.0,3200.0,293150.0,-57838,57780,58,0.0437,-236933,40.0,RISE
2020-03-04,3260.0,3140.0,3290.0,3140.0,251131.0,-93056,93033,23,0.04,-236991,90.0,RISE
2020-03-03,3170.0,3320.0,3320.0,3130.0,534536.0,76543,-76671,128,0.0316,-237014,80.0,FALL
2020-03-02,3250.0,3030.0,3290.0,2980.0,512784.0,-47156,47132,24,0.0378,-237142,205.0,RISE
2020-02-28,3045.0,2970.0,3185.0,2945.0,489587.0,-119243,119180,63,0.0356,-237166,15.0,FALL
2020-02-27,3060.0,3225.0,3280.0,3060.0,365488.0,42789,-40946,-1843,0.0281,-237229,165.0,FALL
2020-02-26,3225.0,3205.0,3315.0,3205.0,270211.0,1603,-3351,1748,0.0319,-235386,65.0,FALL
2020-02-25,3290.0,3170.0,3305.0,3130.0,421503.0,-54518,55420,-902,0.0321,-237134,120.0,RISE
2020-02-24,3170.0,3125.0,3310.0,3115.0,589996.0,-109148,115700,-6552,0.0286,-236232,90.0,FALL
2020-02-21,3260.0,3430.0,3520.0,3180.0,854871.0,-124022,124538,-516,0.0212,-229680,220.0,FALL
2020-02-20,3480.0,3365.0,3615.0,3315.0,1643425.0,33351,-32732,-619,0.0131,-229164,120.0,RISE
2020-02-19,3360.0,3465.0,3485.0,3285.0,584662.0,-105619,105567,52,0.0151,-228545,70.0,FALL
2020-02-18,3430.0,3565.0,3670.0,3380.0,798817.0,-68136,68114,22,0.0084,-228597,140.0,FALL
2020-02-17,3570.0,3760.0,4135.0,3485.0,3358992.0,56256,-56266,10,0.0037,-228619,170.0,FALL
2020-02-14,3740.0,3905.0,4115.0,3620.0,1127485.0,-17713,10176,7537,0.0073,-228629,225.0,FALL
2020-02-13,3965.0,4120.0,4205.0,3965.0,895119.0,-7274,7293,-19,0.0066,-236166,135.0,FALL
