날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-05-21,9430.0,9450.0,9540.0,9300.0,10873.0,-1304,1304,0,0.0043,83013,20.0,FALL
2020-05-20,9450.0,9490.0,9600.0,9300.0,2441.0,750,-750,0,0.0042,83013,40.0,FALL
2020-05-19,9490.0,9450.0,9550.0,8890.0,19406.0,9,-9,0,0.0043,83013,40.0,RISE
2020-05-18,9450.0,9600.0,9890.0,9250.0,29687.0,2774,-2774,0,0.0043,83013,10.0,FALL
2020-05-15,9460.0,8780.0,9480.0,8710.0,43569.0,-487,487,0,0.0045,83013,760.0,RISE
2020-05-14,8700.0,8400.0,8840.0,8010.0,26176.0,-1283,1283,0,0.0045,83013,150.0,RISE
2020-05-13,8550.0,8550.0,8590.0,8430.0,7653.0,1023,-1023,0,0.0044,83013,30.0,RISE
2020-05-12,8520.0,8160.0,8530.0,8100.0,24939.0,-487,487,0,0.0045,83013,240.0,RISE
2020-05-11,8280.0,8500.0,8700.0,8100.0,20017.0,-824,824,0,0.0044,83013,10.0,RISE
2020-05-08,8270.0,8090.0,8700.0,8090.0,30171.0,-180,180,0,0.0043,83013,90.0,RISE
2020-05-07,8180.0,8170.0,8210.0,8050.0,9011.0,-266,266,0,0.0043,83013,20.0,RISE
2020-05-06,8160.0,7480.0,8240.0,7480.0,40320.0,-2205,2205,0,0.0043,83013,680.0,RISE
2020-05-04,7480.0,7500.0,7500.0,7100.0,15570.0,446,-446,0,0.0041,83013,340.0,RISE
2020-04-29,7140.0,7200.0,7200.0,6960.0,11714.0,-17,17,0,0.0041,83013,60.0,RISE
2020-04-28,7080.0,7250.0,7250.0,6900.0,35958.0,-768,768,0,0.0041,83013,30.0,FALL
2020-04-27,7110.0,6950.0,7110.0,6650.0,31841.0,-1623,1623,0,0.0041,83013,460.0,RISE
2020-04-24,6650.0,6700.0,6700.0,6480.0,10711.0,-144,144,0,0.0039,83013,20.0,RISE
2020-04-23,6630.0,6600.0,6670.0,6550.0,13285.0,-632,632,0,0.0039,83013,90.0,FALL
2020-04-22,6720.0,6690.0,6720.0,6320.0,17096.0,954,-954,0,0.0039,83013,10.0,RISE
2020-04-21,6710.0,6720.0,6810.0,6380.0,15840.0,809,-809,0,0.0039,83013,0.0,EVEN
