날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-05-21,101500.0,100700.0,102200.0,99800.0,36711.0,1,-691,690,0.2949,-421941,500.0,RISE
2020-05-20,101000.0,101000.0,104500.0,100800.0,39700.0,-1097,-1648,2745,0.295,-422631,300.0,RISE
2020-05-19,100700.0,105500.0,105900.0,100000.0,71222.0,2621,-3754,1133,0.2952,-425376,3000.0,FALL
2020-05-18,103700.0,104700.0,108100.0,101600.0,71032.0,-6251,7388,-1137,0.2955,-426509,0.0,EVEN
2020-05-15,103700.0,114500.0,120000.0,102000.0,210771.0,43230,-24892,-18338,0.2946,-425372,2200.0,RISE
2020-05-14,101500.0,97100.0,103000.0,97000.0,62814.0,6723,-1441,-5282,0.2973,-407034,3500.0,RISE
2020-05-13,98000.0,98100.0,98800.0,97200.0,13262.0,1080,-604,-476,0.2972,-401752,500.0,FALL
2020-05-12,98500.0,97500.0,99800.0,96500.0,21754.0,-379,-667,1046,0.297,-401276,1500.0,RISE
2020-05-11,97000.0,98600.0,100500.0,96700.0,36085.0,13740,-12968,-772,0.2969,-402322,2400.0,FALL
2020-05-08,99400.0,98200.0,100200.0,97800.0,25225.0,3520,-3619,99,0.2984,-401550,600.0,RISE
2020-05-07,98800.0,98600.0,100400.0,97800.0,19376.0,3301,-3074,-227,0.2988,-401649,1800.0,FALL
2020-05-06,100600.0,92800.0,101800.0,92800.0,50468.0,-14561,1627,12934,0.2992,-401422,8200.0,RISE
2020-05-04,92400.0,93500.0,94800.0,92300.0,15464.0,3490,1859,-5349,0.299,-414356,1900.0,FALL
2020-04-29,94300.0,97500.0,99800.0,94000.0,24572.0,8153,-5710,-2443,0.2987,-409007,3900.0,FALL
2020-04-28,98200.0,95500.0,99500.0,94600.0,25568.0,4097,-3783,-314,0.2992,-406564,1800.0,RISE
2020-04-27,96400.0,96500.0,97100.0,95200.0,18482.0,-406,-1787,2193,0.2997,-406250,100.0,FALL
2020-04-24,96500.0,101000.0,103500.0,96200.0,44136.0,4514,2114,-6628,0.2999,-408443,5500.0,FALL
2020-04-23,102000.0,97900.0,106600.0,97800.0,60913.0,992,6072,-7064,0.2994,-401815,2800.0,RISE
2020-04-22,99200.0,87300.0,100000.0,87300.0,83640.0,-21578,18174,3404,0.2987,-394751,9900.0,RISE
2020-04-21,89300.0,88000.0,89300.0,86200.0,34626.0,-9767,12046,-2279,0.2966,-398155,1300.0,RISE
2020-04-20,88000.0,89000.0,89500.0,86900.0,24817.0,83,3440,-3523,0.2953,-395876,500.0,FALL
2020-04-17,88500.0,87200.0,88900.0,86000.0,21435.0,-4492,-669,5161,0.2947,-392353,2900.0,RISE
2020-04-16,85600.0,82100.0,86300.0,81000.0,34569.0,-7925,6156,1769,0.2948,-397514,2700.0,RISE
2020-04-14,82900.0,80900.0,83200.0,80300.0,23263.0,-2783,4508,-1725,0.2941,-399283,2400.0,RISE
2020-04-13,80500.0,81500.0,82500.0,80500.0,22746.0,9739,-4968,-4771,0.2934,-397558,2000.0,FALL
2020-04-10,82500.0,83000.0,84000.0,81500.0,22161.0,4759,-1733,-3026,0.294,-392787,700.0,FALL
2020-04-09,83200.0,83000.0,84800.0,82600.0,36359.0,13255,-12004,-1251,0.294,-389761,1200.0,RISE
2020-04-08,82000.0,83500.0,83800.0,82000.0,30184.0,10673,-5040,-5633,0.2954,-388510,2300.0,FALL
2020-04-07,84300.0,85000.0,86300.0,83700.0,17743.0,2607,2478,-5085,0.296,-382877,700.0,FALL
2020-04-06,85000.0,82400.0,85600.0,81500.0,31623.0,-7346,-94,7440,0.2957,-377792,3400.0,RISE
2020-04-03,81600.0,80100.0,81900.0,79700.0,20910.0,3251,913,-4164,0.2957,-385232,0.0,EVEN
2020-04-02,81600.0,81000.0,82800.0,79100.0,26469.0,-3273,-1964,5237,0.2956,-381068,2100.0,RISE
2020-04-01,79500.0,76500.0,84200.0,76300.0,64016.0,-11874,1165,10709,0.2959,-386305,1800.0,RISE
2020-03-31,77700.0,75700.0,78800.0,75100.0,58073.0,-76,-1121,1197,0.2958,-397014,2100.0,RISE
