,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,10350.0,9960.0,10450.0,9850.0,117198.0,-18496,16125,2371,0.0356,-664884,400.0,RISE
2020-06-01,9950.0,9910.0,10150.0,9830.0,49061.0,13509,-7575,-5934,0.0349,-667255,40.0,RISE
2020-05-29,9910.0,9820.0,9990.0,9750.0,65801.0,-2066,2172,-106,0.0352,-661321,100.0,RISE
2020-05-28,9810.0,10050.0,10100.0,9500.0,86061.0,10251,-11005,754,0.0351,-661215,120.0,FALL
2020-05-27,9930.0,9750.0,10050.0,9690.0,100592.0,4425,-1733,-2692,0.0356,-661969,280.0,RISE
2020-05-26,9650.0,9330.0,9670.0,9330.0,95523.0,-14777,12768,2009,0.0357,-659277,300.0,RISE
2020-05-25,9350.0,9330.0,9420.0,9210.0,40459.0,7158,-7148,-10,0.0351,-661286,20.0,RISE
2020-05-22,9330.0,9380.0,9380.0,9170.0,56504.0,6221,-4398,-1823,0.0354,-661276,40.0,FALL
2020-05-21,9370.0,9380.0,9450.0,9210.0,48955.0,491.0,-426.0,-65.0,0.0356,-753647.0,0.0,EVEN
2020-05-20,9370.0,9550.0,9590.0,9270.0,98184.0,37813.0,-20630.0,-17183.0,0.0357,-753582.0,120.0,FALL
2020-05-19,9490.0,8930.0,9600.0,8740.0,315763.0,-47283.0,62204.0,-14921.0,0.0366,-736399.0,760.0,RISE
2020-05-18,8730.0,9450.0,9450.0,8690.0,395878.0,-4455.0,13121.0,-8666.0,0.0338,-721478.0,440.0,RISE
2020-05-15,8290.0,8210.0,8320.0,8120.0,142286.0,12104.0,3249.0,-15353.0,0.0332,-712812.0,80.0,RISE
2020-05-14,8210.0,8240.0,8400.0,8100.0,84669.0,3642.0,-498.0,-3144.0,0.033,-697459.0,160.0,FALL
2020-05-13,8370.0,8410.0,8420.0,8180.0,71562.0,2105.0,1939.0,-4044.0,0.033,-694315.0,60.0,FALL
2020-05-12,8430.0,8610.0,8710.0,8330.0,94977.0,13238.0,-9807.0,-3431.0,0.0329,-690271.0,270.0,FALL
2020-05-11,8700.0,8700.0,8910.0,8590.0,94412.0,6124.0,-3539.0,-2585.0,0.0334,-686840.0,50.0,RISE
2020-05-08,8650.0,8690.0,8690.0,8570.0,196966.0,-26756.0,29049.0,-2293.0,0.0336,-684255.0,60.0,RISE
2020-05-07,8590.0,8620.0,8730.0,8560.0,196312.0,-63853.0,34299.0,29554.0,0.0322,-681962.0,20.0,FALL
2020-05-06,8610.0,8500.0,8780.0,8490.0,92032.0,-16711.0,12941.0,3770.0,0.0307,-711516.0,170.0,RISE
2020-05-04,8440.0,8460.0,8460.0,8210.0,56344.0,-1040.0,982.0,58.0,0.0301,-715286.0,20.0,FALL
2020-04-29,8460.0,8340.0,8490.0,8300.0,80786.0,-12384.0,20449.0,-8065.0,0.0301,-715344.0,120.0,RISE
2020-04-28,8340.0,8350.0,8480.0,8170.0,35665.0,-4294.0,8615.0,-4321.0,0.0292,-707279.0,40.0,RISE
2020-04-27,8300.0,8170.0,8330.0,8170.0,99116.0,-13328.0,11796.0,1532.0,0.0288,-702958.0,70.0,RISE
2020-04-24,8230.0,8250.0,8410.0,8080.0,31921.0,1956.0,2204.0,-4160.0,0.0282,-704490.0,40.0,FALL
2020-04-23,8270.0,8280.0,8290.0,7750.0,42124.0,-791.0,792.0,-1.0,0.0281,-700330.0,60.0,RISE
2020-04-22,8210.0,7900.0,8250.0,7630.0,67537.0,-5729.0,1199.0,4530.0,0.0281,-700329.0,280.0,RISE
2020-04-21,7930.0,8050.0,8300.0,7430.0,98564.0,10276.0,-5975.0,-4301.0,0.027999999999999997,-704859.0,20.0,FALL
2020-04-20,7950.0,7880.0,8150.0,7800.0,54666.0,-1090.0,4145.0,-3055.0,0.0283,-700558.0,80.0,RISE
2020-04-17,7870.0,7700.0,7880.0,7690.0,50975.0,3214.0,1383.0,-4597.0,0.0281,-697503.0,190.0,RISE
2020-04-16,7680.0,7650.0,7980.0,7430.0,42896.0,3782.0,-729.0,-3053.0,0.0281,-692906.0,30.0,RISE
2020-04-14,7650.0,7460.0,7680.0,7460.0,80374.0,-16104.0,28792.0,-12688.0,0.0281,-689853.0,200.0,RISE
2020-04-13,7450.0,7580.0,7680.0,7450.0,61438.0,-5876.0,5990.0,-114.0,0.0268,-677165.0,200.0,FALL
2020-04-10,7650.0,7570.0,7650.0,7370.0,70842.0,-3451.0,6092.0,-2641.0,0.0265,-677051.0,150.0,RISE
2020-04-09,7500.0,7460.0,7560.0,7430.0,47461.0,-3867.0,1246.0,2621.0,0.0262,-674410.0,120.0,RISE
2020-04-08,7380.0,7440.0,7490.0,7290.0,70666.0,-5948.0,5460.0,488.0,0.0262,-677031.0,60.0,FALL
2020-04-07,7440.0,7420.0,7450.0,7280.0,98820.0,-7633.0,8156.0,-523.0,0.0259,-677519.0,160.0,RISE
2020-04-06,7280.0,7040.0,7370.0,6980.0,88294.0,-24950.0,15742.0,9208.0,0.0255,-676996.0,240.0,RISE
2020-04-03,7040.0,7090.0,7090.0,6970.0,36276.0,-1598.0,3241.0,-1643.0,0.0248,-686204.0,10.0,FALL
2020-04-02,7050.0,6890.0,7060.0,6800.0,61977.0,-103.0,1773.0,-1670.0,0.0247,-684561.0,50.0,RISE
2020-04-01,7000.0,7100.0,7130.0,6890.0,79137.0,-4192.0,-871.0,5063.0,0.0246,-682891.0,50.0,FALL
2020-03-31,7050.0,6850.0,7080.0,6820.0,137963.0,-24985.0,18362.0,6623.0,0.0247,-687954.0,280.0,RISE
2020-03-30,6770.0,6870.0,6870.0,6650.0,79324.0,-4140.0,6187.0,-2047.0,0.0238,-694577.0,120.0,FALL
2020-03-27,6890.0,7170.0,7250.0,6670.0,157039.0,34670.0,-122.0,-34548.0,0.0235,-692530.0,180.0,FALL
2020-03-26,7070.0,7150.0,7180.0,6910.0,84460.0,11859.0,1255.0,-13114.0,0.0235,-657982.0,30.0,RISE
2020-03-25,7040.0,6800.0,7470.0,6790.0,80037.0,12036.0,-12123.0,87.0,0.0235,-644868.0,250.0,RISE
2020-03-24,6790.0,6470.0,6850.0,6230.0,62343.0,-7133.0,-2536.0,9669.0,0.024,-644955.0,600.0,RISE
2020-03-23,6190.0,6390.0,6390.0,6020.0,49697.0,-6281.0,1654.0,4627.0,0.0243,-654624.0,370.0,FALL
2020-03-20,6560.0,6120.0,6600.0,6120.0,135995.0,-11596.0,4409.0,7187.0,0.0242,-659251.0,150.0,RISE
2020-03-19,6410.0,6820.0,7000.0,6000.0,189476.0,-22373.0,-16813.0,39186.0,0.024,-666438.0,490.0,FALL
2020-03-18,6900.0,7230.0,7730.0,6820.0,41278.0,-1243.0,616.0,627.0,0.0249,-705624.0,420.0,FALL
2020-03-17,7320.0,7000.0,7490.0,7000.0,59729.0,-6578.0,-2710.0,9288.0,0.0249,-706251.0,170.0,FALL
2020-03-16,7490.0,7330.0,8080.0,7100.0,139048.0,564.0,-1776.0,1212.0,0.025,-715539.0,190.0,FALL
2020-03-13,7680.0,6910.0,7700.0,6540.0,184492.0,-40185.0,-5209.0,45394.0,0.0251,-716751.0,20.0,FALL
2020-03-12,7700.0,7950.0,8000.0,7500.0,78157.0,16864.0,-13683.0,-3181.0,0.0254,-762145.0,280.0,FALL
2020-03-11,7980.0,8050.0,8400.0,7880.0,25787.0,798.0,1045.0,-1843.0,0.026000000000000002,-758964.0,60.0,FALL
2020-03-10,8040.0,7760.0,8350.0,7760.0,39762.0,634.0,-640.0,6.0,0.0254,-757121.0,50.0,RISE
2020-03-09,7990.0,8410.0,8410.0,7900.0,81986.0,12976.0,6940.0,-19916.0,0.0254,-757127.0,420.0,FALL
2020-03-06,8410.0,8410.0,8510.0,8300.0,19941.0,-1457.0,1249.0,208.0,0.0251,-737211.0,90.0,FALL
2020-03-05,8500.0,8350.0,8520.0,8330.0,46083.0,-6853.0,6386.0,467.0,0.025,-737419.0,120.0,RISE
2020-03-04,8380.0,8200.0,8510.0,8200.0,47660.0,618.0,545.0,-1163.0,0.0248,-737886.0,0.0,EVEN
2020-03-03,8380.0,8010.0,8420.0,8010.0,53508.0,-591.0,733.0,-142.0,0.0247,-736723.0,450.0,RISE
2020-03-02,7930.0,7690.0,7990.0,7690.0,34556.0,3405.0,-3603.0,198.0,0.0247,-736581.0,270.0,RISE
2020-02-28,7660.0,7850.0,8000.0,7460.0,67106.0,11655.0,-1940.0,-9715.0,0.0249,-736779.0,110.0,FALL
2020-02-27,7770.0,7880.0,8000.0,7710.0,22950.0,3889.0,-4509.0,620.0,0.0249,-727064.0,20.0,FALL
2020-02-26,7790.0,7830.0,7950.0,7700.0,26505.0,854.0,-884.0,30.0,0.025,-727684.0,40.0,FALL
2020-02-25,7830.0,7650.0,8130.0,7650.0,47311.0,11923.0,-14056.0,2133.0,0.025,-727714.0,80.0,RISE
2020-02-24,7750.0,7990.0,7990.0,7720.0,28992.0,11209.0,-10991.0,-218.0,0.0256,-729847.0,140.0,FALL
2020-02-21,7890.0,8040.0,8100.0,7890.0,40213.0,17427.0,-7799.0,-9628.0,0.0261,-729629.0,160.0,FALL
2020-02-20,8050.0,8180.0,8220.0,8050.0,22872.0,3840.0,-4130.0,290.0,0.0265,-720001.0,130.0,FALL
2020-02-19,8180.0,8270.0,8270.0,8140.0,25111.0,7338.0,-7458.0,120.0,0.0267,-720291.0,70.0,FALL
2020-02-18,8250.0,8540.0,8540.0,8200.0,34531.0,12930.0,-4746.0,-8184.0,0.027000000000000003,-720411.0,220.0,FALL
2020-02-17,8470.0,8560.0,8660.0,8420.0,14604.0,2666.0,-2554.0,-112.0,0.0273,-712227.0,90.0,FALL
2020-02-14,8560.0,8630.0,8670.0,8450.0,16325.0,2968.0,-2402.0,-566.0,0.0274,-712115.0,40.0,FALL
2020-02-13,8600.0,8660.0,8690.0,8510.0,36409.0,2646.0,-2726.0,80.0,0.0275,-711549.0,10.0,FALL
