날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-05-21,5180.0,5480.0,5600.0,5170.0,1812941.0,80509,-100509,20000,0.0087,18005,70.0,FALL
2020-05-20,5250.0,5220.0,5340.0,5160.0,483690.0,-33039,33039,0,0.015,-1995,60.0,RISE
2020-05-19,5190.0,5250.0,5250.0,5110.0,470041.0,9466,-9466,0,0.0129,-1995,60.0,RISE
2020-05-18,5130.0,5060.0,5240.0,4970.0,574049.0,-47940,27940,20000,0.0135,-1995,110.0,RISE
2020-05-15,5020.0,5070.0,5120.0,4945.0,131517.0,3546,-3546,0,0.0118,-21995,50.0,FALL
2020-05-14,5070.0,5110.0,5110.0,4905.0,238035.0,15682,-26279,10597,0.012,-21995,50.0,FALL
2020-05-13,5120.0,4865.0,5120.0,4830.0,308919.0,-28198,27992,206,0.0136,-32592,175.0,RISE
2020-05-12,4945.0,5060.0,5060.0,4905.0,139743.0,24413,-28013,3600,0.0119,-32798,95.0,FALL
2020-05-11,5040.0,5070.0,5080.0,4975.0,149102.0,-23896,23302,594,0.0136,-36398,40.0,FALL
2020-05-08,5080.0,5130.0,5140.0,5040.0,159072.0,6994,-6994,0,0.0122,-36992,40.0,FALL
2020-05-07,5120.0,5030.0,5130.0,4950.0,255387.0,-24529,24529,0,0.0126,-36992,110.0,RISE
2020-05-06,5010.0,5120.0,5120.0,4950.0,168563.0,15216,-15216,0,0.0111,-36992,60.0,RISE
2020-05-04,4950.0,4995.0,5100.0,4885.0,192044.0,-33333,33333,0,0.012,-36992,0.0,EVEN
2020-04-29,4950.0,5010.0,5100.0,4930.0,303110.0,-23300,13300,10000,0.0099,-36992,60.0,FALL
2020-04-28,5010.0,5210.0,5250.0,4750.0,370143.0,5058,-5058,0,0.0091,-46992,160.0,FALL
2020-04-27,5170.0,5190.0,5200.0,5050.0,357075.0,-41515,41515,0,0.0094,-46992,120.0,RISE
2020-04-24,5050.0,5320.0,5370.0,5030.0,637496.0,-54444,37676,16768,0.0068,-46992,170.0,FALL
2020-04-23,5220.0,5280.0,5500.0,5160.0,1560112.0,-12511,-7489,20000,0.0044,-63760,110.0,RISE
2020-04-22,5110.0,5050.0,5430.0,5000.0,1681015.0,-3393,-16607,20000,0.0049,-83760,0.0,EVEN
