날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-05-21,206500.0,211000.0,212000.0,201000.0,13349.0,5756,909,-6665,0.069,52362,3000.0,FALL
2020-05-20,209500.0,210000.0,210500.0,208500.0,5149.0,-434,-576,1010,0.0688,59027,1000.0,RISE
2020-05-19,208500.0,216500.0,217500.0,206500.0,13492.0,5081,4,-5085,0.0689,58017,7000.0,FALL
2020-05-18,215500.0,223000.0,225000.0,215000.0,7486.0,2496,-1992,-504,0.0689,63102,5500.0,FALL
2020-05-15,221000.0,216000.0,223500.0,214500.0,14953.0,-4510,-832,5342,0.0694,63606,7500.0,RISE
2020-05-14,213500.0,208000.0,214500.0,203500.0,10894.0,-1937,-182,2119,0.0697,58264,5500.0,RISE
2020-05-13,208000.0,202000.0,208500.0,200000.0,10140.0,-1201,768,433,0.07,56145,4000.0,RISE
2020-05-12,204000.0,205000.0,207500.0,201000.0,9853.0,-670,-1209,1879,0.0697,55712,1000.0,FALL
2020-05-11,205000.0,208000.0,208000.0,202000.0,9171.0,-1816,740,1076,0.07,53833,1000.0,RISE
2020-05-08,204000.0,203000.0,205500.0,200500.0,6532.0,-2844,1176,1668,0.0698,52757,0.0,EVEN
2020-05-07,204000.0,208500.0,209500.0,200500.0,14495.0,1018,-120,-898,0.0695,51089,1000.0,RISE
2020-05-06,203000.0,201500.0,203500.0,198500.0,6434.0,-505,-243,748,0.0696,51987,3500.0,RISE
2020-05-04,199500.0,195000.0,201000.0,192500.0,10068.0,-24,-743,767,0.0696,51239,2500.0,RISE
2020-04-29,197000.0,200500.0,202500.0,196000.0,9742.0,2635,-12,-2623,0.0698,50472,3500.0,FALL
2020-04-28,200500.0,204000.0,206000.0,197500.0,6890.0,1937,-164,-1773,0.0698,53095,3500.0,FALL
2020-04-27,204000.0,195000.0,207500.0,193000.0,21882.0,-5929,-1541,7470,0.0698,54868,13000.0,RISE
2020-04-24,191000.0,181500.0,197000.0,179500.0,21647.0,-7273,1982,5291,0.0702,47398,7500.0,RISE
