날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-09,21250.0,21300.0,21650.0,20950.0,14360.0,-3893,3286,607,0.061,71221,50.0,FALL
2014-04-10,21300.0,21500.0,21550.0,21050.0,6199.0,-1093,1093,0,0.061,71221,50.0,RISE
2014-04-11,21150.0,21050.0,21200.0,20950.0,12145.0,1795,-2970,1175,0.061,72396,150.0,FALL
2014-04-14,21000.0,21400.0,21400.0,20600.0,10560.0,-2213,363,1850,0.061,74246,150.0,FALL
2014-04-15,20800.0,21000.0,21150.0,20500.0,21659.0,3091,-176,-2915,0.061,71331,200.0,FALL
2014-04-16,21600.0,20800.0,21700.0,20500.0,19733.0,-5886,1072,4814,0.061,76145,800.0,RISE
2014-04-17,21200.0,21550.0,21750.0,21000.0,16395.0,6462,98,-6560,0.061,69585,400.0,FALL
2014-04-18,22200.0,21450.0,22700.0,21200.0,28611.0,-4050,1752,2298,0.061,71883,1000.0,RISE
2014-04-21,21200.0,22450.0,22450.0,21200.0,161237.0,-81593,1773,79820,0.062,151703,1000.0,FALL
2014-04-22,20900.0,21350.0,21400.0,20650.0,65250.0,6344,1513,-7857,0.062,143846,300.0,FALL
2014-04-23,20900.0,21050.0,21200.0,20700.0,22112.0,10251,382,-10633,0.062,133213,0.0,EVEN
2014-04-24,20850.0,21150.0,21150.0,20150.0,29483.0,1700,4039,-5739,0.062,127474,50.0,FALL
2014-04-25,20200.0,21100.0,21100.0,20100.0,42768.0,23505,2008,-25513,0.063,101961,650.0,FALL
2014-04-28,20350.0,20200.0,20450.0,19750.0,39228.0,2785,6840,-9625,0.063,92336,150.0,RISE
2014-04-29,20950.0,20750.0,21000.0,20350.0,22782.0,-13049,6086,6963,0.064,99299,600.0,RISE
2014-04-30,20900.0,21300.0,21450.0,20800.0,27711.0,-508,1092,-584,0.064,98715,50.0,FALL
2014-05-02,21250.0,21000.0,21350.0,20750.0,12104.0,-5465,808,4657,0.064,103372,350.0,RISE
2014-05-07,21350.0,21250.0,21350.0,20800.0,15789.0,-4924,1225,3699,0.064,107071,100.0,RISE
2014-05-08,21950.0,21350.0,22450.0,21100.0,58569.0,-9307,-430,9737,0.064,116808,600.0,RISE
2014-05-09,22050.0,21950.0,22250.0,21750.0,41057.0,-8774,261,8513,0.064,125321,100.0,RISE
2014-05-12,22150.0,22050.0,22250.0,21800.0,29180.0,671,-389,-282,0.064,125039,100.0,RISE
2014-05-13,22150.0,22350.0,22350.0,21650.0,19565.0,4339,-1026,-3313,0.064,121726,0.0,EVEN
2014-05-14,22250.0,22150.0,22700.0,21900.0,40938.0,-1879,-1702,3581,0.064,125307,100.0,RISE
2014-05-15,22700.0,22350.0,23300.0,22200.0,70671.0,-2033,-367,2400,0.064,127707,450.0,RISE
2014-05-16,22650.0,22450.0,23050.0,22250.0,33543.0,-1634,-1563,3197,0.064,130904,50.0,FALL
2014-05-19,22600.0,22800.0,23000.0,22450.0,36362.0,-6658,-74,6732,0.064,137636,50.0,FALL
2014-05-20,22250.0,22600.0,22800.0,21700.0,45762.0,-3202,-1811,5013,0.064,142649,350.0,FALL
2014-05-21,22100.0,22250.0,22400.0,21700.0,20455.0,-7993,3931,4062,0.064,146711,150.0,FALL
2014-05-22,21900.0,22150.0,22250.0,21700.0,27158.0,6716,678,-7394,0.064,139317,200.0,FALL
2014-05-23,22900.0,21850.0,22900.0,21750.0,28972.0,-11643,7357,4286,0.065,143603,1000.0,RISE
2014-05-26,23100.0,23000.0,23500.0,22550.0,55996.0,5274,-17872,12598,0.063,156201,200.0,RISE
2014-05-27,23200.0,23000.0,23250.0,22500.0,20017.0,-4563,-1253,5816,0.063,162017,100.0,RISE
2014-05-28,23500.0,22950.0,23850.0,22800.0,188663.0,-101610,7338,94272,0.064,256289,300.0,RISE
2014-05-29,24050.0,23300.0,24300.0,23050.0,88934.0,-6197,10205,-4008,0.065,252281,550.0,RISE
2014-05-30,24150.0,24600.0,24600.0,23950.0,53829.0,1313,2132,-3445,0.065,248836,100.0,RISE
2014-06-02,24400.0,24500.0,24500.0,23100.0,52692.0,-10186,2053,8133,0.065,256969,250.0,RISE
2014-06-03,24400.0,24400.0,24400.0,23500.0,40720.0,-758,11271,-10513,0.067,246456,0.0,EVEN
2014-06-05,23750.0,24400.0,24450.0,23350.0,50103.0,15724,-4670,-11054,0.066,235402,650.0,FALL
2014-06-09,23700.0,24000.0,24700.0,23600.0,31585.0,4581,-8073,3492,0.065,238894,50.0,FALL
2014-06-10,23700.0,23700.0,24200.0,23500.0,16756.0,-3517,1542,1975,0.065,240869,0.0,EVEN
2014-06-11,24500.0,23850.0,24500.0,23850.0,34268.0,-17965,10240,7725,0.067,248594,800.0,RISE
2014-06-12,24450.0,24550.0,24700.0,24200.0,25383.0,4612,-9478,4866,0.066,253460,50.0,FALL
2014-06-13,24400.0,24450.0,24450.0,23900.0,14424.0,-5981,1839,4142,0.066,257602,50.0,FALL
2014-06-16,25100.0,24600.0,25350.0,24300.0,50226.0,-12432,1542,10890,0.066,268492,700.0,RISE
2014-06-17,25300.0,25100.0,25400.0,24950.0,31190.0,-1910,-1890,3800,0.066,272292,200.0,RISE
2014-06-18,25350.0,25500.0,25500.0,25050.0,16725.0,-3344,-1416,4760,0.066,277052,50.0,RISE
2014-06-19,25700.0,25500.0,25700.0,25150.0,25338.0,-3851,-856,4707,0.065,281759,350.0,RISE
2014-06-20,25750.0,25750.0,25800.0,25100.0,21442.0,3118,-1771,-1347,0.065,280412,50.0,RISE
2014-06-23,25600.0,25750.0,25800.0,25200.0,11078.0,212,-280,68,0.065,280480,150.0,FALL
2014-06-24,25000.0,25700.0,25700.0,24500.0,37266.0,13820,934,-14754,0.065,265726,600.0,FALL
2014-06-25,24750.0,24900.0,25000.0,24500.0,11806.0,85,1259,-1344,0.065,264382,250.0,FALL
2014-06-26,24900.0,24750.0,25050.0,24050.0,22616.0,-5198,1884,3314,0.066,267696,150.0,RISE
2014-06-27,24400.0,24650.0,25000.0,24400.0,12853.0,-2762,-587,3349,0.066,271045,500.0,FALL
2014-06-30,24700.0,24250.0,24700.0,24200.0,11814.0,-5673,5613,60,0.066,271105,300.0,RISE
2014-07-01,24650.0,24800.0,24800.0,24200.0,18738.0,-9945,3297,6648,0.067,277753,50.0,FALL
2014-07-02,25100.0,24750.0,25350.0,24750.0,20839.0,-8394,8394,0,0.068,277753,450.0,RISE
