날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-05-21,24450.0,24600.0,25350.0,24250.0,529795.0,-31504,48941,-17437,0.2351,18152050,100.0,RISE
2020-05-20,24350.0,24450.0,24500.0,23900.0,428702.0,-39771,-31284,71055,0.2346,18169487,200.0,FALL
2020-05-19,24550.0,23550.0,24750.0,23450.0,980151.0,-255831,150177,105654,0.2349,18098432,1500.0,RISE
2020-05-18,23050.0,23200.0,23200.0,22800.0,323590.0,-33304,79509,-46205,0.2334,17992778,250.0,RISE
2020-05-15,22800.0,22800.0,24800.0,22150.0,1584519.0,-21589,-39895,61484,0.2326,18038983,400.0,FALL
2020-05-14,23200.0,23450.0,23600.0,23000.0,356174.0,-504,4291,-3787,0.233,17977499,500.0,FALL
2020-05-13,23700.0,23300.0,24150.0,23300.0,285659.0,17564,-39455,21891,0.233,17981286,250.0,FALL
2020-05-12,23950.0,24350.0,24900.0,23500.0,499837.0,-21760,42316,-20556,0.2334,17959395,200.0,FALL
2020-05-11,24150.0,23150.0,24950.0,22900.0,867351.0,-47285,58145,-10860,0.2329,17979951,900.0,RISE
2020-05-08,23250.0,23800.0,23800.0,23200.0,332363.0,132961,-111042,-21919,0.2324,17990811,200.0,FALL
2020-05-07,23450.0,23700.0,23850.0,23200.0,283623.0,25917,-26935,1018,0.2334,18012730,400.0,FALL
2020-05-06,23850.0,23150.0,23950.0,22900.0,434022.0,-54822,28288,26534,0.2337,18011712,1050.0,RISE
2020-05-04,22800.0,22850.0,23250.0,22500.0,452558.0,128328,-91386,-36942,0.2334,17985178,700.0,FALL
2020-04-29,23500.0,23250.0,23550.0,22900.0,669451.0,-24151,135132,-110981,0.2343,18022120,550.0,RISE
2020-04-28,22950.0,23350.0,23800.0,22200.0,681138.0,76898,37758,-114656,0.2329,18133101,200.0,RISE
2020-04-27,22750.0,22400.0,23050.0,22350.0,486871.0,88264,63358,-151622,0.2325,18247757,150.0,RISE
2020-04-24,22600.0,23700.0,23800.0,22500.0,686023.0,183744,-111956,-71788,0.2319,18399379,1550.0,FALL
2020-04-23,24150.0,24650.0,24950.0,23750.0,565780.0,84582,-45735,-38847,0.233,18471167,300.0,FALL
2020-04-22,24450.0,24500.0,24700.0,23550.0,636539.0,50878,-50293,-585,0.2334,18510014,0.0,EVEN
2020-04-21,24450.0,24650.0,25050.0,22850.0,1147474.0,-60309,-64218,124527,0.2339,18510599,450.0,FALL
2020-04-20,24900.0,22850.0,26450.0,22800.0,2632247.0,45327,-180440,135113,0.2345,18386072,2450.0,RISE
2020-04-17,22450.0,21750.0,22550.0,21700.0,811049.0,-59070,-63828,122898,0.2362,18250959,850.0,RISE
2020-04-16,21600.0,21850.0,22700.0,21100.0,1066343.0,105355,-98951,-6404,0.2366,18128061,650.0,FALL
2020-04-14,22250.0,22600.0,23200.0,21850.0,1043555.0,180383,-207572,27189,0.2376,18134465,50.0,RISE
2020-04-13,22200.0,22500.0,23250.0,21850.0,804323.0,52809,-102309,49500,0.2396,18107276,400.0,FALL
2020-04-10,22600.0,21500.0,25500.0,21300.0,3419128.0,325879,-258351,-67528,0.2406,18057776,1500.0,RISE
2020-04-09,21100.0,21650.0,21650.0,20850.0,578321.0,167339,-103297,-64042,0.2421,18125304,100.0,RISE
2020-04-08,21000.0,21250.0,21600.0,20600.0,574218.0,106761,-148739,41978,0.2431,18189346,550.0,FALL
2020-04-07,21550.0,22250.0,22250.0,21250.0,775026.0,49947,-113029,63082,0.2446,18147368,150.0,RISE
2020-04-06,21400.0,21300.0,21650.0,20600.0,662927.0,-20583,-134129,154712,0.2458,18084286,1050.0,RISE
2020-04-03,20350.0,20100.0,23000.0,20000.0,1705262.0,262498,-344471,81973,0.2472,17929574,500.0,RISE
2020-04-02,19850.0,21450.0,22450.0,18750.0,1573164.0,246136,-422862,176726,0.2505,17847601,1150.0,FALL
2020-04-01,21000.0,18000.0,23300.0,17950.0,1481838.0,143510,-207612,64102,0.2548,17670875,3050.0,RISE
2020-03-31,17950.0,17400.0,18400.0,17200.0,490408.0,-59285,38686,20599,0.2568,17606773,750.0,RISE
2020-03-30,17200.0,18000.0,18000.0,16850.0,514919.0,156534,23657,-180191,0.2564,17586174,950.0,FALL
2020-03-27,18150.0,18800.0,19000.0,16950.0,421583.0,34165,-106408,72243,0.2562,17766365,800.0,RISE
2020-03-26,17350.0,17000.0,18050.0,16400.0,481035.0,-2155,-51592,53747,0.2573,17694122,350.0,RISE
2020-03-25,17000.0,16000.0,17300.0,15700.0,444939.0,62481,-102144,39663,0.2578,17640375,1550.0,RISE
