,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,1760.0,1750.0,1795.0,1735.0,386746.0,27257,-27055,-202,0.0173,-7005340,10.0,RISE
2020-06-01,1750.0,1735.0,1775.0,1705.0,483190.0,-8832,8753,79,0.018,-7005138,0.0,EVEN
2020-05-29,1750.0,1780.0,1805.0,1695.0,737643.0,121555,-121550,-5,0.0178,-7005217,5.0,FALL
2020-05-28,1755.0,1910.0,1920.0,1685.0,1545345.0,-133123,84658,48465,0.0209,-7005212,115.0,FALL
2020-05-27,1870.0,1930.0,2060.0,1845.0,2419514.0,10654,-10617,-37,0.0187,-7053677,80.0,FALL
2020-05-26,1950.0,1960.0,1975.0,1890.0,1501203.0,52374,-52381,7,0.019,-7053640,20.0,RISE
2020-05-25,1930.0,2050.0,2085.0,1885.0,5525225.0,77661,-77684,23,0.0204,-7053647,5.0,FALL
2020-05-22,1935.0,1765.0,1935.0,1665.0,7051824.0,112855,-112852,-3,0.0224,-7053670,445.0,UPPER_LIMIT
2020-05-21,1490.0,1490.0,1620.0,1470.0,865233.0,-424.0,416.0,8.0,0.0253,-7103129.0,15.0,RISE
2020-05-20,1475.0,1460.0,1525.0,1455.0,148779.0,2250.0,-2260.0,10.0,0.0252,-7103137.0,10.0,FALL
2020-05-19,1485.0,1430.0,1520.0,1405.0,374054.0,-36353.0,36376.0,-23.0,0.0253,-7103147.0,85.0,RISE
2020-05-18,1400.0,1350.0,1415.0,1340.0,124144.0,-2888.0,2852.0,36.0,0.0244,-7103124.0,50.0,RISE
2020-05-15,1350.0,1385.0,1400.0,1340.0,109091.0,15666.0,-13324.0,-2342.0,0.0243,-7103160.0,30.0,FALL
2020-05-14,1380.0,1430.0,1450.0,1380.0,66667.0,12376.0,-12487.0,111.0,0.025,-7100818.0,45.0,FALL
2020-05-13,1425.0,1400.0,1460.0,1375.0,117317.0,17315.0,-17341.0,26.0,0.0253,-7100929.0,5.0,RISE
2020-05-12,1420.0,1470.0,1475.0,1420.0,62774.0,19172.0,-19396.0,224.0,0.0258,-7100955.0,50.0,FALL
2020-05-11,1470.0,1520.0,1525.0,1450.0,184617.0,9841.0,-9835.0,-6.0,0.0263,-7101179.0,50.0,FALL
2020-05-08,1520.0,1470.0,1695.0,1465.0,461550.0,48325.0,-47912.0,-413.0,0.0265,-7101173.0,60.0,RISE
2020-05-07,1460.0,1480.0,1485.0,1440.0,66337.0,16482.0,-16538.0,56.0,0.0277,-7100760.0,0.0,EVEN
2020-05-06,1460.0,1390.0,1485.0,1390.0,156696.0,20302.0,-20580.0,278.0,0.0282,-7100816.0,70.0,RISE
2020-05-04,1390.0,1350.0,1410.0,1335.0,81023.0,5718.0,-6024.0,306.0,0.0287,-7101094.0,20.0,RISE
2020-04-29,1370.0,1395.0,1440.0,1360.0,127543.0,10787.0,-10742.0,-45.0,0.0288,-7101400.0,35.0,FALL
2020-04-28,1405.0,1365.0,1445.0,1360.0,148747.0,-6578.0,6569.0,9.0,0.0291,-7101355.0,40.0,RISE
2020-04-27,1365.0,1335.0,1370.0,1320.0,178347.0,-13058.0,13042.0,16.0,0.028999999999999998,-7101364.0,30.0,RISE
2020-04-24,1335.0,1355.0,1375.0,1325.0,66380.0,22785.0,-22810.0,25.0,0.0286,-7101380.0,40.0,FALL
2020-04-23,1375.0,1360.0,1385.0,1340.0,42885.0,-7081.0,6931.0,150.0,0.0292,-7101405.0,10.0,RISE
2020-04-22,1365.0,1385.0,1385.0,1320.0,73021.0,25737.0,-25703.0,-34.0,0.0291,-7101555.0,20.0,FALL
2020-04-21,1385.0,1400.0,1450.0,1320.0,140328.0,39051.0,-39035.0,-16.0,0.0297,-7101521.0,20.0,FALL
2020-04-20,1405.0,1440.0,1440.0,1395.0,159748.0,22885.0,-22661.0,-224.0,0.0307,-7101505.0,15.0,RISE
2020-04-17,1390.0,1335.0,1425.0,1335.0,253463.0,-24384.0,24793.0,-409.0,0.0313,-7101281.0,65.0,RISE
2020-04-16,1325.0,1315.0,1335.0,1275.0,62433.0,4970.0,-4859.0,-111.0,0.0308,-7100872.0,5.0,RISE
2020-04-14,1320.0,1305.0,1345.0,1300.0,123658.0,-17126.0,17211.0,-85.0,0.031,-7100761.0,15.0,RISE
2020-04-13,1305.0,1365.0,1370.0,1290.0,217902.0,22147.0,-22149.0,2.0,0.0305,-7100676.0,80.0,FALL
2020-04-10,1385.0,1395.0,1410.0,1340.0,213529.0,3740.0,-3648.0,-92.0,0.0311,-7100678.0,10.0,RISE
2020-04-09,1375.0,1360.0,1390.0,1350.0,272854.0,-6275.0,6154.0,121.0,0.0312,-7100586.0,25.0,RISE
2020-04-08,1350.0,1310.0,1395.0,1270.0,286329.0,-12316.0,12222.0,94.0,0.031,-7100707.0,40.0,RISE
2020-04-07,1310.0,1290.0,1340.0,1265.0,188134.0,-20952.0,20935.0,17.0,0.0307,-7100801.0,50.0,RISE
2020-04-06,1260.0,1170.0,1270.0,1170.0,159692.0,-8851.0,8927.0,-76.0,0.0312,-7100818.0,60.0,RISE
2020-04-03,1200.0,1175.0,1245.0,1155.0,304149.0,-10210.0,10320.0,-110.0,0.031,-7100742.0,30.0,RISE
2020-04-02,1170.0,1165.0,1185.0,1105.0,116874.0,7361.0,-7050.0,-311.0,0.0307,-7100632.0,5.0,RISE
2020-04-01,1165.0,1160.0,1235.0,1100.0,319583.0,-20160.0,20118.0,42.0,0.0316,-7100321.0,0.0,EVEN
2020-03-31,1165.0,1130.0,1190.0,1130.0,253626.0,-29136.0,28988.0,148.0,0.031,-7100363.0,40.0,RISE
2020-03-30,1125.0,1040.0,1130.0,1040.0,115393.0,-30686.0,30650.0,36.0,0.0303,-7100511.0,20.0,RISE
2020-03-27,1105.0,1140.0,1160.0,1055.0,247758.0,17380.0,-17377.0,-3.0,0.0295,-7100547.0,10.0,FALL
2020-03-26,1115.0,1095.0,1140.0,1055.0,514732.0,144302.0,-144060.0,-242.0,0.0289,-7100544.0,15.0,RISE
2020-03-25,1100.0,1070.0,1140.0,1060.0,217430.0,571.0,-584.0,13.0,0.0326,-7100302.0,50.0,RISE
2020-03-24,1050.0,1000.0,1050.0,960.0,181465.0,10259.0,-10344.0,85.0,0.0326,-7100315.0,58.0,RISE
2020-03-23,992.0,990.0,992.0,912.0,307131.0,-33659.0,34414.0,-755.0,0.0329,-7100400.0,43.0,FALL
2020-03-20,1035.0,989.0,1045.0,951.0,648088.0,-13666.0,63944.0,-50278.0,0.032,-7099645.0,46.0,RISE
2020-03-19,989.0,1095.0,1150.0,965.0,354701.0,-120886.0,121150.0,-264.0,0.0302,-7049367.0,136.0,FALL
2020-03-18,1125.0,1160.0,1200.0,1090.0,200902.0,23045.0,-20272.0,-2773.0,0.0271,-7049103.0,65.0,FALL
2020-03-17,1190.0,1105.0,1200.0,1060.0,284131.0,-25239.0,22340.0,2899.0,0.0279,-7046330.0,20.0,FALL
2020-03-16,1210.0,1285.0,1330.0,1165.0,296971.0,-7536.0,7468.0,68.0,0.0273,-7049229.0,75.0,FALL
2020-03-13,1285.0,1450.0,1450.0,1155.0,630631.0,25140.0,-25791.0,651.0,0.0285,-7049297.0,240.0,FALL
2020-03-12,1525.0,1605.0,1605.0,1495.0,192798.0,18416.0,-18624.0,208.0,0.0292,-7049948.0,85.0,FALL
2020-03-11,1610.0,1625.0,1670.0,1550.0,91074.0,209.0,-4.0,-205.0,0.0297,-7050156.0,15.0,FALL
2020-03-10,1625.0,1620.0,1630.0,1575.0,94412.0,15274.0,-15601.0,327.0,0.0282,-7049951.0,25.0,FALL
2020-03-09,1650.0,1675.0,1700.0,1580.0,121680.0,285.0,-443.0,158.0,0.0286,-7050278.0,60.0,FALL
