날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-05-21,13700.0,14100.0,14400.0,13500.0,289741.0,11145,-37071,25926,0.0357,-1387506,300.0,FALL
2020-05-20,14000.0,13000.0,14150.0,13000.0,486046.0,-55353,28262,27091,0.0392,-1413432,1000.0,RISE
2020-05-19,13000.0,13550.0,13550.0,12850.0,207190.0,3650,-8096,4446,0.0366,-1440523,400.0,FALL
2020-05-18,13400.0,13600.0,13700.0,12900.0,331298.0,15208,-31661,16453,0.0373,-1444969,300.0,FALL
2020-05-15,13700.0,13050.0,14150.0,12750.0,723830.0,-107274,33381,73893,0.0402,-1461422,800.0,RISE
2020-05-14,12900.0,12950.0,13250.0,12650.0,283903.0,-55966,21641,34325,0.0371,-1535315,250.0,FALL
2020-05-13,13150.0,12750.0,13400.0,12600.0,448511.0,-11193,-36615,47808,0.0351,-1569640,150.0,RISE
2020-05-12,13000.0,12900.0,13050.0,12400.0,527483.0,-8556,-44235,52791,0.0395,-1617448,100.0,FALL
2020-05-11,13100.0,13050.0,13200.0,12600.0,626294.0,-74677,-129,74806,0.0436,-1670239,50.0,RISE
2020-05-08,13050.0,11150.0,13450.0,11150.0,2575956.0,-219066,65515,153551,0.0436,-1745045,2000.0,RISE
2020-05-07,11050.0,10650.0,11150.0,10550.0,286120.0,28380,-1867,-26513,0.0366,-1898596,400.0,RISE
2020-05-06,10650.0,10200.0,10700.0,10150.0,180975.0,-17574,27573,-9999,0.0367,-1872083,550.0,RISE
2020-05-04,10100.0,10250.0,10500.0,9970.0,132158.0,-21218,24433,-3215,0.0343,-1862084,450.0,FALL
2020-04-29,10550.0,10500.0,10650.0,10250.0,131377.0,-885,890,-5,0.032,-1858869,100.0,RISE
2020-04-28,10450.0,10400.0,10600.0,10250.0,114997.0,-2971,3025,-54,0.0321,-1858864,50.0,RISE
2020-04-27,10400.0,10300.0,10750.0,10200.0,252582.0,61461,-60861,-600,0.0318,-1858810,100.0,RISE
2020-04-24,10300.0,9830.0,11000.0,9640.0,762224.0,-50630,60671,-10041,0.0374,-1858210,490.0,RISE
2020-04-23,9810.0,9500.0,9850.0,9280.0,176415.0,-6674,4952,1722,0.0318,-1848169,410.0,RISE
2020-04-22,9400.0,9290.0,9410.0,9000.0,61717.0,-5778,5778,0,0.0314,-1849891,0.0,EVEN
2020-04-21,9400.0,9390.0,9460.0,9050.0,74689.0,3792,-5667,1875,0.0308,-1849891,30.0,FALL
2020-04-20,9430.0,9500.0,9500.0,9210.0,66963.0,3768,-3768,0,0.0314,-1851766,40.0,RISE
2020-04-17,9390.0,9150.0,9390.0,9110.0,89814.0,-7434,8934,-1500,0.0317,-1851766,390.0,RISE
2020-04-16,9000.0,8770.0,9030.0,8600.0,48845.0,-1097,1097,0,0.0309,-1850266,200.0,RISE
2020-04-14,8800.0,8750.0,8850.0,8540.0,61313.0,-10900,12646,-1746,0.0308,-1850266,90.0,RISE
2020-04-13,8710.0,9150.0,9240.0,8660.0,66514.0,-13402,13375,27,0.0296,-1848520,540.0,FALL
2020-04-10,9250.0,9300.0,9410.0,8960.0,104946.0,-22674,23528,-854,0.0284,-1848547,150.0,FALL
2020-04-09,9400.0,9230.0,9510.0,9220.0,186756.0,40582,-14582,-26000,0.0262,-1847693,180.0,RISE
2020-04-08,9220.0,9190.0,9330.0,8960.0,121467.0,-20514,5714,14800,0.0275,-1821693,230.0,RISE
2020-04-07,8990.0,8570.0,9030.0,8570.0,226525.0,26879,13281,-40160,0.027,-1836493,510.0,RISE
2020-04-06,8480.0,8170.0,8520.0,8160.0,146430.0,35049,-8883,-26166,0.0258,-1796333,230.0,RISE
2020-04-03,8250.0,8050.0,8250.0,7900.0,62863.0,-21047,4981,16066,0.0266,-1770167,70.0,RISE
2020-04-02,8180.0,7830.0,8190.0,7830.0,84438.0,20245,-20745,500,0.0261,-1786233,110.0,RISE
2020-04-01,8070.0,7980.0,8370.0,7940.0,110134.0,11983,-13978,1995,0.0288,-1786733,10.0,RISE
2020-03-31,8060.0,7790.0,8080.0,7610.0,159758.0,-5184,5207,-23,0.0302,-1788728,480.0,RISE
2020-03-30,7580.0,7110.0,7630.0,7000.0,94788.0,-9473,6519,2954,0.0297,-1788705,200.0,RISE
2020-03-27,7380.0,7260.0,7680.0,6910.0,162208.0,41053,-34571,-6482,0.0291,-1791659,300.0,RISE
2020-03-26,7080.0,7050.0,7330.0,6880.0,109622.0,-5571,-28062,33633,0.0323,-1785177,10.0,RISE
