,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,4320.0,4255.0,4320.0,4165.0,2039099.0,-121017,121017,0,0.0188,-95247,75.0,RISE
2020-06-01,4245.0,4230.0,4370.0,4185.0,2553765.0,-72441,72441,0,0.015,-95247,20.0,RISE
2020-05-29,4225.0,4420.0,4455.0,4220.0,3014319.0,32077,-32076,-1,0.0127,-95247,200.0,FALL
2020-05-28,4425.0,4530.0,4730.0,4230.0,20217768.0,10884,-10884,0,0.0137,-95246,90.0,RISE
2020-05-27,4335.0,4410.0,4520.0,4300.0,4891867.0,-627,627,0,0.0146,-95246,20.0,FALL
2020-05-26,4355.0,4450.0,4675.0,4255.0,18639313.0,179266,-168603,-10663,0.0147,-95246,115.0,FALL
2020-05-25,4470.0,4150.0,4645.0,4115.0,46305126.0,218015,-208739,-9276,0.02,-84583,425.0,RISE
2020-05-22,4045.0,4100.0,4185.0,3930.0,6319600.0,-364906,364906,0,0.0266,-75307,25.0,FALL
2020-05-21,4070.0,4575.0,4865.0,4015.0,25659744.0,49144.0,-49144.0,0.0,0.0152,-112349.0,295.0,FALL
2020-05-20,4365.0,4120.0,4655.0,4100.0,72467643.0,-22473.0,41427.0,-18954.0,0.0167,-112349.0,365.0,RISE
2020-05-19,4000.0,4190.0,4785.0,3960.0,45686857.0,74086.0,59861.0,-133947.0,0.0164,-93395.0,50.0,FALL
2020-05-18,4050.0,3420.0,4140.0,3330.0,45729197.0,13631.0,-13631.0,0.0,0.018000000000000002,40552.0,820.0,RISE
2020-05-15,3230.0,3380.0,3380.0,3225.0,2040874.0,-10131.0,10131.0,0.0,0.0184,40552.0,100.0,FALL
2020-05-14,3330.0,3360.0,3530.0,3300.0,12701017.0,116602.0,-60070.0,-56532.0,0.0181,40552.0,80.0,RISE
2020-05-13,3250.0,3180.0,3290.0,3150.0,4308398.0,-106962.0,39989.0,66973.0,0.02,97084.0,35.0,RISE
2020-05-12,3215.0,2995.0,3495.0,2990.0,21971690.0,-200892.0,38708.0,162184.0,0.0187,30111.0,245.0,RISE
2020-05-11,2970.0,2940.0,3140.0,2845.0,6756029.0,9589.0,-9589.0,0.0,0.0175,-132073.0,80.0,RISE
2020-05-08,2890.0,2950.0,2965.0,2880.0,1528672.0,5011.0,-5011.0,0.0,0.0184,-132073.0,5.0,RISE
2020-05-07,2885.0,2820.0,2990.0,2780.0,5670927.0,205522.0,-205522.0,0.0,0.018000000000000002,-132073.0,100.0,RISE
2020-05-06,2785.0,2650.0,2785.0,2640.0,1041384.0,-98765.0,98765.0,0.0,0.0244,-132073.0,165.0,RISE
2020-05-04,2620.0,2570.0,2675.0,2500.0,415819.0,-17689.0,67689.0,-50000.0,0.0245,-132073.0,10.0,RISE
2020-04-29,2610.0,2705.0,2715.0,2595.0,657025.0,90840.0,-90840.0,0.0,0.0224,-82073.0,95.0,FALL
2020-04-28,2705.0,2690.0,2715.0,2580.0,666921.0,-111591.0,111591.0,0.0,0.0252,-82073.0,30.0,RISE
2020-04-27,2675.0,2695.0,2775.0,2670.0,826229.0,4145.0,-3125.0,-1020.0,0.0219,-82073.0,0.0,EVEN
