날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2017-12-12,1955.0,2010.0,2010.0,1940.0,413455.0,171153.0,-50000.0,-121153.0,0.0,-121153.0,55.0,FALL
2017-12-13,1965.0,1955.0,1965.0,1950.0,18235.0,5130.0,961.0,-6091.0,0.0002,-127244.0,10.0,RISE
2017-12-14,1950.0,1960.0,1975.0,1950.0,78868.0,8522.0,-961.0,-7561.0,0.0,-134805.0,15.0,FALL
2017-12-15,1950.0,1955.0,1960.0,1945.0,126491.0,91900.0,0.0,-91900.0,0.0,-226705.0,0.0,EVEN
2017-12-18,1955.0,1950.0,1960.0,1945.0,56198.0,15620.0,2404.0,-18024.0,0.0005,-244729.0,5.0,RISE
2017-12-19,1950.0,1945.0,1955.0,1945.0,34257.0,21357.0,0.0,-21357.0,0.0005,-266086.0,5.0,FALL
2017-12-20,1950.0,1950.0,1950.0,1945.0,42843.0,11321.0,0.0,-11321.0,0.0,-277407.0,0.0,EVEN
2017-12-21,1950.0,1950.0,1950.0,1945.0,44165.0,30024.0,-756.0,-29268.0,0.0003,-306675.0,0.0,EVEN
2017-12-22,1950.0,1950.0,1950.0,1945.0,20491.0,7557.0,-1648.0,-5909.0,0.0,-312584.0,0.0,EVEN
2017-12-26,1950.0,1945.0,1955.0,1945.0,22453.0,-2077.0,0.0,2077.0,0.0,-310507.0,0.0,EVEN
2017-12-27,1950.0,1950.0,1955.0,1945.0,30492.0,30219.0,0.0,-30219.0,0.0,-340726.0,0.0,EVEN
2017-12-28,1950.0,1945.0,1950.0,1945.0,3603.0,3086.0,0.0,-3086.0,0.0,-343812.0,0.0,EVEN
2018-01-02,1945.0,1950.0,1950.0,1945.0,2721.0,2031.0,0.0,-2031.0,0.0,-345843.0,5.0,FALL
2018-01-03,1950.0,1950.0,1950.0,1945.0,13968.0,11461.0,0.0,-11461.0,0.0,-357304.0,5.0,RISE
2018-01-04,1945.0,1960.0,1960.0,1945.0,234100.0,233840.0,0.0,-233840.0,0.0,-591144.0,5.0,FALL
2018-01-05,1950.0,1950.0,1950.0,1945.0,41391.0,41011.0,0.0,-41011.0,0.0,-632155.0,5.0,RISE
2018-01-08,1955.0,1965.0,1965.0,1950.0,55185.0,31542.0,0.0,-31542.0,0.0,-663697.0,5.0,RISE
2018-01-09,1945.0,1955.0,1960.0,1940.0,52284.0,40595.0,0.0,-40595.0,0.0,-704292.0,10.0,FALL
2018-01-10,1960.0,1960.0,1965.0,1955.0,13980.0,-9276.0,0.0,9276.0,0.0,-695016.0,15.0,RISE
2018-01-11,1965.0,1960.0,1965.0,1960.0,7686.0,-4622.0,0.0,4622.0,0.0,-690394.0,5.0,RISE
2018-01-12,1970.0,1965.0,1975.0,1965.0,3494.0,-1142.0,0.0,1142.0,0.0,-689252.0,5.0,RISE
2018-01-15,1975.0,1955.0,1975.0,1955.0,8496.0,-6831.0,0.0,6831.0,0.0,-682421.0,5.0,RISE
2018-01-16,1960.0,1975.0,1975.0,1960.0,1538.0,-11.0,0.0,11.0,0.0,-682410.0,15.0,FALL
2018-01-17,1965.0,1960.0,1975.0,1960.0,5567.0,-1940.0,0.0,1940.0,0.0,-680470.0,5.0,RISE
2018-01-18,1965.0,1955.0,1965.0,1955.0,7637.0,2023.0,0.0,-2023.0,0.0,-682493.0,0.0,EVEN
2018-01-19,1975.0,1960.0,1975.0,1960.0,10356.0,-9977.0,0.0,9977.0,0.0,-672516.0,10.0,RISE
2018-01-22,1980.0,1960.0,1990.0,1960.0,13446.0,-12395.0,0.0,12395.0,0.0,-660121.0,5.0,RISE
2018-01-23,1975.0,1975.0,1975.0,1965.0,10384.0,-9305.0,0.0,9305.0,0.0,-650816.0,5.0,FALL
2018-01-24,1980.0,1985.0,1985.0,1980.0,16966.0,-13362.0,0.0,13362.0,0.0,-637454.0,5.0,RISE
2018-01-25,1985.0,1975.0,1985.0,1975.0,3202.0,2601.0,0.0,-2601.0,0.0,-640055.0,5.0,RISE
2018-01-26,1985.0,1970.0,1985.0,1970.0,1764.0,723.0,0.0,-723.0,0.0,-640778.0,0.0,EVEN
2018-01-29,1990.0,1980.0,1990.0,1980.0,20860.0,-14466.0,0.0,14466.0,0.0,-626312.0,5.0,RISE
2018-01-30,1995.0,1985.0,1995.0,1985.0,15800.0,-14551.0,0.0,14551.0,0.0,-611761.0,5.0,RISE
2018-01-31,1990.0,1995.0,1995.0,1975.0,14012.0,2999.0,0.0,-2999.0,0.0,-614760.0,5.0,FALL
2018-02-01,1995.0,1990.0,1995.0,1990.0,4112.0,-4010.0,0.0,4010.0,0.0,-610750.0,5.0,RISE
2018-02-02,1990.0,1975.0,1995.0,1975.0,10963.0,-1723.0,0.0,1723.0,0.0,-609027.0,5.0,FALL
2018-02-05,1990.0,1970.0,1990.0,1970.0,12401.0,3652.0,0.0,-3652.0,0.0,-612679.0,0.0,EVEN
2018-02-06,1990.0,1975.0,1995.0,1975.0,6821.0,-5960.0,0.0,5960.0,0.0,-606719.0,0.0,EVEN
2018-02-07,1995.0,1970.0,1995.0,1970.0,3002.0,-1988.0,0.0,1988.0,0.0,-604731.0,5.0,RISE
2018-02-08,1985.0,1985.0,1990.0,1985.0,3000.0,-500.0,0.0,500.0,0.0,-604231.0,10.0,FALL
2018-02-09,1990.0,1990.0,1990.0,1985.0,361.0,-11.0,0.0,11.0,0.0,-604220.0,5.0,RISE
2018-02-12,1995.0,1980.0,1995.0,1975.0,10051.0,3427.0,0.0,-3427.0,0.0,-607647.0,5.0,RISE
2018-02-13,1990.0,1980.0,1990.0,1975.0,10033.0,2949.0,0.0,-2949.0,0.0,-610596.0,5.0,FALL
2018-02-14,1980.0,1990.0,1995.0,1980.0,54.0,8.0,0.0,-8.0,0.0,-610604.0,10.0,FALL
2018-02-19,1995.0,1980.0,1995.0,1980.0,6475.0,-4994.0,0.0,4994.0,0.0,-605610.0,15.0,RISE
2018-02-20,1990.0,1990.0,1995.0,1990.0,15437.0,-8687.0,0.0,8687.0,0.0,-596923.0,5.0,FALL
2018-02-21,1985.0,1975.0,1985.0,1975.0,34.0,-16.0,0.0,16.0,0.0,-596907.0,5.0,FALL
2018-02-22,1985.0,1990.0,1995.0,1985.0,5287.0,-4521.0,0.0,4521.0,0.0,-592386.0,0.0,EVEN
2018-02-23,1990.0,1985.0,1990.0,1985.0,22.0,2.0,0.0,-2.0,0.0,-592388.0,5.0,RISE
2018-02-26,1980.0,1995.0,1995.0,1975.0,4886.0,2503.0,0.0,-2503.0,0.0,-594891.0,10.0,FALL
2018-02-27,1985.0,1990.0,1990.0,1985.0,6.0,1.0,0.0,-1.0,0.0,-594892.0,5.0,RISE
2018-02-28,1985.0,1985.0,1985.0,1980.0,762.0,-540.0,0.0,540.0,0.0,-594352.0,0.0,EVEN
2018-03-02,1995.0,1985.0,1995.0,1985.0,804.0,-699.0,0.0,699.0,0.0,-593653.0,10.0,RISE
2018-03-05,1995.0,1995.0,2000.0,1995.0,13357.0,-1931.0,0.0,1931.0,0.0,-591722.0,0.0,EVEN
2018-03-06,1995.0,2000.0,2000.0,1995.0,13366.0,5340.0,0.0,-5340.0,0.0,-597062.0,0.0,EVEN
2018-03-07,1995.0,1995.0,2000.0,1995.0,6097.0,5346.0,0.0,-5346.0,0.0,-602408.0,0.0,EVEN
2018-03-08,2000.0,1995.0,2000.0,1995.0,9566.0,5000.0,0.0,-5000.0,0.0,-607408.0,5.0,RISE
2018-03-09,1995.0,1995.0,1995.0,1995.0,50.0,0.0,0.0,0.0,0.0,-607408.0,5.0,FALL
2018-03-12,1970.0,1995.0,2000.0,1970.0,5372.0,519.0,0.0,-519.0,0.0,-607927.0,25.0,FALL
2018-03-13,1985.0,1975.0,2000.0,1975.0,1106.0,80.0,0.0,-80.0,0.0,-608007.0,15.0,RISE
