,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,441.0,439.0,446.0,437.0,1390930.0,-350684,350684,0,0.4295,-17447902,2.0,RISE
2020-06-01,439.0,435.0,449.0,430.0,1869717.0,-121966,121966,0,0.427,-17447902,2.0,RISE
2020-05-29,437.0,446.0,450.0,430.0,2525308.0,-33158,33158,0,0.4261,-17447902,13.0,FALL
2020-05-28,450.0,466.0,468.0,440.0,3030864.0,87749,-87749,0,0.4259,-17447902,14.0,FALL
2020-05-27,464.0,469.0,469.0,457.0,1689700.0,-118757,118757,0,0.4265,-17447902,1.0,RISE
2020-05-26,463.0,465.0,470.0,455.0,1490181.0,-43425,43425,0,0.4257,-17447902,1.0,RISE
2020-05-25,462.0,467.0,471.0,456.0,2205420.0,-15423,15423,0,0.4254,-17447902,5.0,FALL
2020-05-22,467.0,487.0,490.0,465.0,4982750.0,15088,-15088,0,0.4253,-17447902,22.0,FALL
2020-05-21,489.0,471.0,518.0,466.0,19863095.0,-8263,8263,0,0.4254,-17486667,17.0,RISE
2020-05-20,472.0,478.0,485.0,464.0,3726558.0,261153,-261153,0,0.4253,-17486667,3.0,RISE
2020-05-19,469.0,446.0,472.0,446.0,3769631.0,-315612,315612,0,0.4271,-17486667,22.0,RISE
2020-05-18,447.0,461.0,464.0,445.0,2186141.0,-73648,73648,0,0.4249,-17486667,14.0,FALL
2020-05-15,461.0,466.0,470.0,443.0,5118223.0,42676,-36581,-6095,0.4244,-17486667,3.0,FALL
2020-05-14,464.0,469.0,520.0,462.0,29032425.0,519032,-525127,6095,0.4247,-17480572,4.0,RISE
2020-05-13,460.0,456.0,470.0,456.0,3298669.0,323189,-323189,0,0.4284,-17486667,16.0,FALL
2020-05-12,476.0,464.0,478.0,450.0,6696648.0,234406,-234406,0,0.4306,-17486667,10.0,RISE
2020-05-11,466.0,485.0,488.0,463.0,12497154.0,-381396,381396,0,0.4324,-17486667,33.0,FALL
2020-05-08,499.0,481.0,530.0,473.0,75560453.0,4336915,-4086915,-250000,0.4297,-17486667,91.0,RISE
2020-05-07,408.0,396.0,410.0,394.0,2734885.0,-630084,380084,250000,0.4585,-17236667,15.0,RISE
2020-05-06,393.0,393.0,402.0,392.0,1501972.0,-201028,201028,0,0.4558,-17486667,0.0,EVEN
2020-05-04,393.0,388.0,399.0,385.0,1006001.0,-237504,237504,0,0.4544,-17486667,2.0,RISE
2020-04-29,391.0,393.0,400.0,391.0,1892984.0,-418192,418192,0,0.4527,-17486667,2.0,FALL
2020-04-28,393.0,401.0,401.0,388.0,1580245.0,121986,-121986,0,0.4498,-17486667,2.0,FALL
2020-04-27,395.0,386.0,399.0,386.0,2075555.0,-742300,742300,0,0.4506,-17486667,9.0,RISE
2020-04-24,386.0,396.0,400.0,383.0,2126045.0,393904,-393904,0,0.4454,-17486667,9.0,FALL
2020-04-23,395.0,390.0,399.0,388.0,1903643.0,-729177,729177,0,0.4482,-17486667,7.0,RISE
2020-04-22,388.0,386.0,389.0,378.0,2431099.0,-124452,124452,0,0.4431,-17486667,8.0,FALL
2020-04-21,396.0,411.0,414.0,373.0,4568659.0,-43861,43861,0,0.4422,-17486667,18.0,FALL
2020-04-20,414.0,428.0,428.0,410.0,3047368.0,-297099,297099,0,0.442,-17486667,3.0,FALL
2020-04-17,417.0,398.0,428.0,396.0,7720749.0,28450,-28450,0,0.4399,-17486667,24.0,RISE
2020-04-16,393.0,391.0,397.0,386.0,2444972.0,-517352,517352,0,0.4401,-17486667,2.0,RISE
2020-04-14,391.0,398.0,399.0,385.0,2948426.0,-299898,299898,0,0.4365,-17486667,1.0,RISE
2020-04-13,390.0,387.0,399.0,384.0,2456142.0,-112862,112862,0,0.4344,-17486667,4.0,RISE
2020-04-10,386.0,394.0,398.0,375.0,3174743.0,-227982,227982,0,0.4336,-17486667,8.0,FALL
2020-04-09,394.0,395.0,399.0,380.0,2942609.0,-235049,235049,0,0.43200000000000005,-17486667,0.0,EVEN
2020-04-08,394.0,359.0,419.0,346.0,19308347.0,1138433,-1138433,0,0.4304,-17486667,36.0,RISE
2020-04-07,358.0,340.0,371.0,337.0,7849979.0,-58275,58275,0,0.4385,-17486667,26.0,RISE
2020-04-06,332.0,325.0,334.0,315.0,2603533.0,-541035,541035,0,0.4385,-17486667,11.0,RISE
2020-04-03,321.0,321.0,323.0,310.0,1970778.0,-291403,291403,0,0.4347,-17486667,7.0,RISE
2020-04-02,314.0,310.0,319.0,299.0,2266490.0,-298718,298718,0,0.433,-17486667,6.0,RISE
2020-04-01,308.0,315.0,335.0,301.0,6577477.0,376574,-376574,0,0.4326,-17486667,4.0,FALL
2020-03-31,312.0,307.0,324.0,303.0,4185480.0,-441475,441475,0,0.4356,-17486667,12.0,RISE
2020-03-30,300.0,283.0,303.0,275.0,2194358.0,-348869,348869,0,0.4326,-17486667,5.0,RISE
2020-03-27,295.0,312.0,320.0,285.0,6655635.0,298823,-298823,0,0.4308,-17486667,6.0,FALL
2020-03-26,301.0,289.0,310.0,281.0,5077426.0,-57441,57441,0,0.4331,-17486667,17.0,RISE
2020-03-25,284.0,273.0,300.0,265.0,6306109.0,-274411,274411,0,0.4329,-17486667,24.0,RISE
2020-03-24,260.0,251.0,281.0,248.0,5502074.0,293095,-293095,0,0.4309,-17486667,13.0,RISE
2020-03-23,247.0,257.0,257.0,241.0,2668908.0,-14474,14474,0,0.4332,-17486667,15.0,FALL
2020-03-20,262.0,249.0,270.0,248.0,1916371.0,-82792,82792,0,0.4332,-17486667,13.0,RISE
2020-03-19,249.0,294.0,307.0,234.0,4481564.0,-408507,408507,0,0.4328,-17486667,50.0,FALL
2020-03-18,299.0,325.0,332.0,295.0,2446339.0,320307,-320307,0,0.4299,-17486667,19.0,FALL
2020-03-17,318.0,296.0,326.0,290.0,2942185.0,-763297,763297,0,0.433,-17486667,8.0,RISE
2020-03-16,310.0,333.0,345.0,310.0,2313708.0,-37247,37247,0,0.43,-17486667,15.0,FALL
2020-03-13,325.0,330.0,341.0,304.0,4116868.0,-514780,514780,0,0.4298,-17486667,33.0,FALL
2020-03-12,358.0,381.0,388.0,354.0,2944970.0,-142125,142125,0,0.4261,-17486667,32.0,FALL
2020-03-11,390.0,414.0,414.0,386.0,2435438.0,-11650,11650,0,0.4251,-17486667,12.0,FALL
