,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,3330.0,3225.0,3390.0,3200.0,93582.0,-25764,25764,0,0.0172,12217,105.0,RISE
2020-06-01,3225.0,3145.0,3255.0,3105.0,81955.0,-18655,18655,0,0.0144,12217,75.0,RISE
2020-05-29,3150.0,3400.0,3470.0,3070.0,407530.0,-51931,51931,0,0.0124,12217,250.0,FALL
2020-05-28,3400.0,3670.0,3720.0,3335.0,200388.0,-15274,15274,0,0.0069,12217,270.0,FALL
2020-05-27,3670.0,3660.0,3685.0,3600.0,149604.0,-251,251,0,0.0053,12217,5.0,FALL
2020-05-26,3675.0,3975.0,4090.0,3665.0,864580.0,7353,-5728,-1625,0.0052,12217,60.0,FALL
2020-05-25,3735.0,3685.0,3785.0,3550.0,233582.0,16668,-16668,0,0.0058,13842,80.0,RISE
2020-05-22,3655.0,3515.0,4095.0,3375.0,1792869.0,-1488,1891,-403,0.0076,13842,140.0,RISE
2020-05-21,3515.0,3690.0,3980.0,3505.0,669418.0,25249,-25249,0,0.0074,16535,50.0,FALL
2020-05-20,3565.0,3705.0,3735.0,3555.0,478020.0,-28362,28362,0,0.0101,16535,235.0,FALL
2020-05-19,3800.0,3465.0,4155.0,3400.0,3618912.0,50701,-49079,-1622,0.0071,16535,530.0,RISE
2020-05-18,3270.0,3235.0,3400.0,3180.0,104470.0,2802,-2802,0,0.0123,18157,35.0,RISE
2020-05-15,3235.0,3065.0,3470.0,3065.0,168303.0,-2702,2702,0,0.0126,18157,160.0,RISE
2020-05-14,3075.0,3145.0,3160.0,3010.0,39305.0,2207,-2207,0,0.0124,18157,75.0,FALL
2020-05-13,3150.0,3240.0,3240.0,3130.0,27141.0,2907,-2907,0,0.0126,18157,105.0,FALL
2020-05-12,3255.0,3295.0,3480.0,3135.0,75016.0,7855,-7855,0,0.0129,18157,40.0,FALL
2020-05-11,3295.0,3150.0,3315.0,3130.0,93428.0,-4098,4098,0,0.0137,18157,145.0,RISE
2020-05-08,3150.0,3125.0,3215.0,3060.0,63364.0,-228,228,0,0.0133,18157,25.0,RISE
2020-05-07,3125.0,2960.0,3245.0,2955.0,145671.0,-7068,7068,0,0.0133,18157,170.0,RISE
2020-05-06,2955.0,2845.0,3105.0,2845.0,43058.0,-5848,5848,0,0.0125,18157,115.0,RISE
2020-05-04,2840.0,2910.0,2950.0,2800.0,26265.0,-1507,1507,0,0.0119,18157,110.0,FALL
2020-04-29,2950.0,2930.0,2985.0,2820.0,37299.0,-4144,4144,0,0.0117,18157,5.0,RISE
2020-04-28,2945.0,2960.0,2990.0,2875.0,34531.0,-2523,2523,0,0.0113,18157,15.0,RISE
2020-04-27,2930.0,2880.0,2965.0,2875.0,42960.0,-1466,1466,0,0.011000000000000001,18157,50.0,RISE
2020-04-24,2880.0,2950.0,2995.0,2760.0,31567.0,-651,463,188,0.0109,18157,55.0,FALL
2020-04-23,2935.0,2825.0,3090.0,2825.0,91322.0,-6911,3983,2928,0.0108,17969,120.0,RISE
2020-04-22,2815.0,2790.0,2815.0,2675.0,20548.0,-718,-661,1379,0.0104,15041,10.0,RISE
2020-04-21,2805.0,2875.0,2880.0,2510.0,49810.0,-1899,1899,0,0.0105,13662,70.0,FALL
2020-04-20,2875.0,2945.0,2950.0,2850.0,40741.0,-2729,2935,-206,0.0103,13662,5.0,RISE
2020-04-17,2870.0,2890.0,2950.0,2825.0,34365.0,-1520,1520,0,0.0099,13868,20.0,FALL
2020-04-16,2890.0,2830.0,2890.0,2700.0,47101.0,-1188,1188,0,0.0098,13868,85.0,RISE
2020-04-14,2805.0,2750.0,2945.0,2750.0,99461.0,-1893,2712,-819,0.0096,13868,55.0,RISE
2020-04-13,2750.0,2810.0,2825.0,2690.0,26158.0,5466,-5466,0,0.0094,14687,70.0,FALL
2020-04-10,2820.0,2705.0,2850.0,2670.0,93810.0,-5453,5453,0,0.0099,14687,145.0,RISE
2020-04-09,2675.0,2700.0,2705.0,2640.0,41932.0,-806,806,0,0.0094,14687,5.0,RISE
2020-04-08,2670.0,2765.0,2765.0,2580.0,76683.0,-630,630,0,0.0093,14687,40.0,FALL
2020-04-07,2710.0,2445.0,3055.0,2445.0,600432.0,4716,-4716,0,0.0092,14687,270.0,RISE
2020-04-06,2440.0,2340.0,2440.0,2315.0,27942.0,205,-205,0,0.0097,14687,100.0,RISE
2020-04-03,2340.0,2350.0,2390.0,2230.0,50957.0,-865,865,0,0.0097,14687,10.0,RISE
2020-04-02,2330.0,2335.0,2390.0,2215.0,8939.0,1225,-1225,0,0.0096,14687,40.0,RISE
2020-04-01,2290.0,2240.0,2380.0,2200.0,74427.0,3956,-3956,0,0.0098,14687,60.0,RISE
