,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,54300.0,54000.0,54500.0,53600.0,3452.0,-43,178,-135,0.0619,-39188,500.0,RISE
2020-06-01,53800.0,53200.0,53900.0,53200.0,4320.0,419,581,-1000,0.0616,-39053,600.0,RISE
2020-05-29,53200.0,52900.0,53500.0,52200.0,2802.0,-201,201,0,0.0609,-38053,400.0,RISE
2020-05-28,52800.0,53200.0,53600.0,50000.0,5014.0,209,-209,0,0.0606,-38053,400.0,FALL
2020-05-27,53200.0,53900.0,54000.0,53100.0,8346.0,5712,650,-6362,0.0609,-38053,600.0,FALL
2020-05-26,53800.0,54500.0,54500.0,53500.0,6077.0,2607,393,-3000,0.0601,-31691,200.0,FALL
2020-05-25,54000.0,55100.0,55100.0,53100.0,4552.0,-748,448,300,0.0596,-28691,700.0,FALL
2020-05-22,54700.0,55300.0,55300.0,53900.0,1999.0,235,-235,0,0.059,-28991,800.0,FALL
2020-05-21,55500.0,56100.0,56400.0,54500.0,2961.0,126.0,-226.0,100.0,0.0593,-28989.0,300.0,FALL
2020-05-20,55800.0,55100.0,56000.0,54100.0,3018.0,-183.0,183.0,0.0,0.0596,-29089.0,800.0,RISE
2020-05-19,55000.0,54500.0,55600.0,54200.0,6570.0,1352.0,-1552.0,200.0,0.0593,-29089.0,700.0,RISE
2020-05-18,54300.0,53300.0,54300.0,52500.0,3171.0,-307.0,307.0,0.0,0.0613,-29289.0,800.0,RISE
2020-05-15,53500.0,54500.0,55700.0,52800.0,8614.0,2249.0,751.0,-3000.0,0.061,-29289.0,700.0,FALL
2020-05-14,54200.0,56000.0,56000.0,53600.0,6357.0,2890.0,-215.0,-2675.0,0.06,-26289.0,1500.0,FALL
2020-05-13,55700.0,55500.0,55800.0,54500.0,3881.0,177.0,192.0,-369.0,0.0603,-23614.0,700.0,FALL
2020-05-12,56400.0,57400.0,57400.0,55000.0,3181.0,169.0,-169.0,0.0,0.06,-23245.0,1200.0,FALL
2020-05-11,57600.0,58200.0,58300.0,56700.0,4050.0,-80.0,80.0,0.0,0.0602,-23245.0,600.0,FALL
2020-05-08,58200.0,59200.0,59400.0,58000.0,6675.0,1930.0,-1930.0,0.0,0.0601,-23245.0,500.0,FALL
2020-05-07,58700.0,59400.0,59400.0,58000.0,5295.0,818.0,-818.0,0.0,0.0626,-23245.0,700.0,FALL
2020-05-06,59400.0,60800.0,60900.0,58000.0,6202.0,609.0,-631.0,22.0,0.0637,-23245.0,200.0,FALL
2020-05-04,59600.0,61100.0,63000.0,57500.0,24156.0,750.0,-830.0,80.0,0.0645,-23267.0,700.0,FALL
2020-04-29,60300.0,60100.0,72800.0,59900.0,182132.0,1707.0,-918.0,-789.0,0.0656,-23347.0,5000.0,FALL
2020-04-28,65300.0,52300.0,66600.0,51600.0,128324.0,2873.0,-2106.0,-767.0,0.0667,-22558.0,13700.0,RISE
2020-04-27,51600.0,50600.0,51700.0,50300.0,4506.0,-897.0,897.0,0.0,0.0695,-21791.0,1500.0,RISE
2020-04-24,50100.0,50300.0,50400.0,49700.0,1592.0,-47.0,47.0,0.0,0.0683,-21791.0,100.0,FALL
