,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,28500.0,28150.0,28600.0,27750.0,86359.0,-32307,10969,21338,0.0998,649277,200.0,RISE
2020-06-01,28300.0,27700.0,28600.0,27600.0,94504.0,-33440,11565,21875,0.0994,627939,800.0,RISE
2020-05-29,27500.0,27900.0,28300.0,27500.0,114201.0,-2411,-17401,19812,0.0989,606064,600.0,FALL
2020-05-28,28100.0,27950.0,28550.0,27700.0,95255.0,-26331,5150,21181,0.0996,586252,0.0,EVEN
2020-05-27,28100.0,28200.0,28500.0,27700.0,87003.0,10642,-6637,-4005,0.0994,565071,150.0,FALL
2020-05-26,28250.0,28900.0,28900.0,28000.0,54206.0,289,-247,-42,0.0997,569076,300.0,FALL
2020-05-25,28550.0,27450.0,29050.0,27450.0,124095.0,-39986,24051,15935,0.0997,569118,1150.0,RISE
2020-05-22,27400.0,28450.0,28500.0,27300.0,72086.0,11745,-6742,-5003,0.0987,553183,850.0,FALL
2020-05-21,28250.0,28350.0,28450.0,28100.0,70455.0,-5842.0,-5819.0,11661.0,0.0996,599203.0,50.0,FALL
2020-05-20,28300.0,28850.0,28850.0,28250.0,86655.0,-2700.0,-9207.0,11907.0,0.0998,587542.0,100.0,FALL
2020-05-19,28400.0,28200.0,29200.0,28100.0,121649.0,-18153.0,-10904.0,29057.0,0.1002,575635.0,300.0,RISE
2020-05-18,28100.0,28850.0,29350.0,28100.0,129936.0,32823.0,-24922.0,-7901.0,0.1007,546578.0,750.0,FALL
2020-05-15,28850.0,26900.0,29250.0,26700.0,312770.0,-82425.0,36957.0,45468.0,0.1017,554479.0,2150.0,RISE
2020-05-14,26700.0,27500.0,27850.0,26500.0,107040.0,20469.0,-1845.0,-18624.0,0.1001,509011.0,850.0,FALL
2020-05-13,27550.0,27450.0,27900.0,27200.0,91969.0,-4183.0,-8673.0,12856.0,0.1003,527635.0,50.0,RISE
2020-05-12,27500.0,28100.0,28100.0,26700.0,134235.0,-31250.0,-29648.0,60898.0,0.1009,514779.0,0.0,EVEN
2020-05-11,27500.0,26600.0,28050.0,26550.0,179833.0,-85471.0,9769.0,75702.0,0.1021,453881.0,650.0,RISE
2020-05-08,26850.0,27300.0,27300.0,26550.0,103654.0,10570.0,-6149.0,-4421.0,0.1025,378179.0,50.0,RISE
2020-05-07,26800.0,26800.0,27450.0,26650.0,197549.0,-11182.0,7759.0,3423.0,0.1028,382600.0,50.0,RISE
2020-05-06,26750.0,27150.0,27650.0,26250.0,135301.0,1215.0,-8772.0,7557.0,0.1024,379177.0,50.0,FALL
2020-05-04,26800.0,27050.0,28200.0,26300.0,335244.0,30337.0,-23930.0,-6407.0,0.1028,371620.0,200.0,FALL
