,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,99600.0,99800.0,102100.0,98700.0,60115.0,-8236,8841,-605,0.4006,-1058856,100.0,FALL
2020-06-01,99700.0,97000.0,99700.0,96100.0,68839.0,7998,-3379,-4619,0.4,-1058251,3000.0,RISE
2020-05-29,96700.0,99100.0,99100.0,96500.0,91639.0,14260,-4226,-10034,0.4003,-1053632,2700.0,FALL
2020-05-28,99400.0,103000.0,103000.0,97800.0,118142.0,21656,7185,-28841,0.4005,-1043598,3800.0,FALL
2020-05-27,103200.0,102200.0,104200.0,101900.0,62163.0,-8122,25076,-16954,0.4001,-1014757,200.0,FALL
2020-05-26,103400.0,103400.0,104300.0,102100.0,48647.0,4417,7356,-11773,0.3984,-997803,100.0,RISE
2020-05-25,103300.0,106000.0,106400.0,101300.0,66655.0,9881,-4271,-5610,0.3979,-986030,1600.0,FALL
2020-05-22,104900.0,103000.0,106500.0,101600.0,72687.0,8761,18086,-26847,0.3982,-980420,1900.0,RISE
2020-05-21,103000.0,99500.0,103000.0,97900.0,83459.0,843.0,19302.0,-20145.0,0.3967,-939158.0,4600.0,RISE
2020-05-20,98400.0,97200.0,101700.0,96500.0,82032.0,6856.0,3774.0,-10630.0,0.3954,-919013.0,2400.0,RISE
2020-05-19,96000.0,98400.0,99600.0,94800.0,99078.0,27018.0,14215.0,-41233.0,0.3951,-908383.0,400.0,FALL
2020-05-18,96400.0,97800.0,103700.0,94900.0,125481.0,18757.0,7603.0,-26360.0,0.3941,-867150.0,0.0,EVEN
2020-05-15,96400.0,97000.0,98300.0,95100.0,120196.0,3812.0,15572.0,-19384.0,0.3935,-840790.0,3100.0,RISE
2020-05-14,93300.0,89400.0,94200.0,88500.0,62175.0,-319.0,9691.0,-9372.0,0.3923,-821406.0,3200.0,RISE
2020-05-13,90100.0,88300.0,91300.0,88300.0,43055.0,9030.0,-1898.0,-7132.0,0.3914,-812034.0,500.0,FALL
2020-05-12,90600.0,92400.0,93900.0,90100.0,63731.0,15333.0,-1938.0,-13395.0,0.3912,-804902.0,2000.0,FALL
2020-05-11,92600.0,95200.0,95700.0,92100.0,69382.0,20187.0,-15482.0,-4705.0,0.3911,-791507.0,2600.0,FALL
2020-05-08,95200.0,90000.0,95700.0,89100.0,77113.0,-7965.0,-4990.0,12955.0,0.3922,-786802.0,5200.0,RISE
2020-05-07,90000.0,88000.0,92000.0,87700.0,39184.0,-1605.0,773.0,832.0,0.3925,-799757.0,1400.0,RISE
2020-05-06,88600.0,89100.0,90700.0,88400.0,49367.0,11270.0,-17802.0,6532.0,0.3924,-800589.0,400.0,FALL
2020-05-04,89000.0,88500.0,92000.0,85000.0,77469.0,16539.0,-7846.0,-8693.0,0.3936,-807121.0,300.0,FALL
2020-04-29,89300.0,91600.0,92500.0,88500.0,81489.0,18809.0,8792.0,-27601.0,0.39399999999999996,-798428.0,2300.0,FALL
2020-04-28,91600.0,87400.0,91600.0,86800.0,88210.0,-12446.0,15014.0,-2568.0,0.3933,-770827.0,2500.0,RISE
2020-04-27,89100.0,83500.0,89500.0,82000.0,95531.0,-28288.0,29968.0,-1680.0,0.3923,-768259.0,6600.0,RISE
2020-04-24,82500.0,83000.0,85000.0,82300.0,57608.0,-9717.0,12136.0,-2419.0,0.3904,-766579.0,1100.0,FALL
2020-04-23,83600.0,80100.0,84900.0,80100.0,85293.0,-24727.0,23308.0,1419.0,0.3892,-764160.0,3700.0,RISE
2020-04-22,79900.0,78900.0,80400.0,77400.0,65490.0,1036.0,-3293.0,2257.0,0.3877,-765579.0,100.0,FALL
2020-04-21,80000.0,77800.0,80200.0,76600.0,75798.0,-22923.0,26198.0,-3275.0,0.3879,-767836.0,2100.0,RISE
2020-04-20,77900.0,78600.0,80300.0,77900.0,51438.0,18401.0,-4337.0,-14064.0,0.3862,-764561.0,2300.0,FALL
2020-04-17,80200.0,81000.0,81200.0,79200.0,64580.0,-6134.0,-9719.0,15853.0,0.3863,-750497.0,1100.0,RISE
2020-04-16,79100.0,75500.0,79400.0,75100.0,75217.0,-4340.0,11837.0,-7497.0,0.3869,-766350.0,2900.0,RISE
2020-04-14,76200.0,76500.0,77900.0,75500.0,43863.0,9651.0,-5160.0,-4491.0,0.3861,-758853.0,100.0,FALL
2020-04-13,76300.0,76800.0,77100.0,74800.0,57605.0,548.0,16291.0,-16839.0,0.3861,-754362.0,1400.0,FALL
2020-04-10,77700.0,78100.0,78700.0,76500.0,65801.0,7410.0,7789.0,-15199.0,0.3851,-737523.0,800.0,FALL
2020-04-09,78500.0,79800.0,80100.0,78000.0,60975.0,18684.0,-791.0,-17893.0,0.3844,-722324.0,600.0,FALL
2020-04-08,79100.0,79200.0,80700.0,78900.0,44731.0,10897.0,1956.0,-12853.0,0.3845,-704431.0,1300.0,FALL
2020-04-07,80400.0,81600.0,82300.0,79000.0,48588.0,7474.0,4517.0,-11991.0,0.3842,-691578.0,100.0,FALL
2020-04-06,80500.0,80700.0,80900.0,79100.0,68314.0,4398.0,-10394.0,5996.0,0.3853,-679587.0,1400.0,RISE
2020-04-03,79100.0,78700.0,79200.0,76800.0,63990.0,1074.0,5571.0,-6645.0,0.386,-685583.0,700.0,RISE
2020-04-02,78400.0,76600.0,78400.0,75300.0,76343.0,-26262.0,15414.0,10848.0,0.3856,-678938.0,4400.0,RISE
2020-04-01,74000.0,73600.0,77400.0,73300.0,116470.0,-18915.0,22284.0,-3369.0,0.3846,-689786.0,900.0,FALL
2020-03-31,74900.0,73500.0,75000.0,71800.0,94095.0,8480.0,-12430.0,3950.0,0.3831,-686417.0,1300.0,RISE
2020-03-30,73600.0,75100.0,75100.0,71400.0,93843.0,14975.0,-13087.0,-1888.0,0.3839,-690367.0,2200.0,FALL
2020-03-27,75800.0,78600.0,79600.0,74300.0,111717.0,27907.0,-17771.0,-10136.0,0.3848,-688479.0,2000.0,FALL
