날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-05-21,34550.0,34950.0,35200.0,34250.0,153469.0,1327,-1327,0,0.0432,-1002917,400.0,FALL
2020-05-20,34950.0,35200.0,35450.0,34600.0,207212.0,-18389,18389,0,0.0433,-1002917,50.0,RISE
2020-05-19,34900.0,33850.0,38400.0,33250.0,1425728.0,81856,-81758,-98,0.0395,-1002917,1350.0,RISE
2020-05-18,33550.0,34800.0,34950.0,33050.0,381896.0,12110,-12288,178,0.0472,-1002819,1550.0,FALL
2020-05-15,35100.0,36550.0,36550.0,34950.0,297666.0,37907,-38167,260,0.0484,-1002997,1450.0,FALL
2020-05-14,36550.0,34700.0,36750.0,34450.0,563445.0,-46210,46193,17,0.052,-1003257,1650.0,RISE
2020-05-13,34900.0,35450.0,35450.0,34800.0,134044.0,-851,850,1,0.0481,-1003274,350.0,FALL
2020-05-12,35250.0,34800.0,35500.0,34200.0,224371.0,-47904,47902,2,0.048,-1003275,550.0,RISE
2020-05-11,34700.0,35100.0,35500.0,34500.0,197864.0,-7418,14418,-7000,0.0435,-1003277,300.0,FALL
2020-05-08,35000.0,36350.0,36900.0,34850.0,571921.0,55420,-55420,0,0.0421,-996277,350.0,FALL
2020-05-07,35350.0,34650.0,36000.0,33900.0,556552.0,4412,-4551,139,0.0474,-996277,450.0,RISE
2020-05-06,34900.0,35050.0,35300.0,34300.0,155034.0,-5903,2903,3000,0.0478,-996416,150.0,RISE
2020-05-04,34750.0,34700.0,35650.0,34350.0,192486.0,8822,-12822,4000,0.0475,-999416,100.0,RISE
2020-04-29,34650.0,34300.0,34900.0,33100.0,249806.0,-21957,18086,3871,0.0488,-1003416,500.0,RISE
2020-04-28,34150.0,34700.0,35100.0,33950.0,199087.0,-5046,4787,259,0.0471,-1007287,850.0,FALL
2020-04-27,35000.0,34750.0,35500.0,34550.0,186117.0,-19038,18053,985,0.0467,-1007546,600.0,RISE
2020-04-24,34400.0,35000.0,35850.0,34250.0,262495.0,-12233,12233,0,0.045,-1008531,900.0,FALL
2020-04-23,35300.0,35100.0,35700.0,34850.0,249424.0,-23796,23796,0,0.0439,-1008531,200.0,RISE
2020-04-22,35100.0,34100.0,35350.0,34050.0,263579.0,-12512,12312,200,0.0422,-1008531,200.0,RISE
2020-04-21,34900.0,37200.0,37200.0,33600.0,792561.0,40495,-41195,700,0.0394,-1008731,2300.0,FALL
2020-04-20,37200.0,36250.0,39750.0,35800.0,1473284.0,-70178,70278,-100,0.0433,-1009431,950.0,RISE
2020-04-17,36250.0,39350.0,39400.0,35900.0,1177871.0,39998,-32198,-7800,0.0367,-1009331,1750.0,RISE
2020-04-16,34500.0,36900.0,37400.0,34100.0,766277.0,-19545,19345,200,0.0397,-1001531,2400.0,FALL
2020-04-14,36900.0,38200.0,38450.0,36500.0,844155.0,66339,-74539,8200,0.0379,-1001731,1600.0,FALL
2020-04-13,38500.0,39900.0,43100.0,37450.0,2852130.0,15125,-14725,-400,0.045,-1009931,750.0,RISE
2020-04-10,37750.0,39500.0,40300.0,37250.0,1177814.0,15999,-15999,0,0.0464,-1009531,700.0,FALL
2020-04-09,38450.0,40600.0,41300.0,38050.0,1148386.0,17711,-16561,-1150,0.0479,-1009531,700.0,RISE
2020-04-08,37750.0,37600.0,38750.0,36700.0,824703.0,1738,-1453,-285,0.0495,-1008381,650.0,RISE
2020-04-07,37100.0,39300.0,39300.0,36650.0,702226.0,-20702,17699,3003,0.0496,-1008096,2000.0,FALL
2020-04-06,39100.0,38550.0,39600.0,37750.0,727697.0,-4669,4829,-160,0.0479,-1011099,800.0,RISE
2020-04-03,38300.0,38450.0,39000.0,36850.0,751936.0,-23295,23363,-68,0.0476,-1010939,150.0,RISE
2020-04-02,38150.0,39000.0,39500.0,36800.0,671218.0,-35783,35348,435,0.0453,-1010871,550.0,FALL
2020-04-01,38700.0,41700.0,41800.0,36100.0,1903235.0,-49805,56455,-6650,0.0422,-1011306,2450.0,FALL
2020-03-31,41150.0,42500.0,48800.0,39300.0,4131572.0,-19773,20294,-521,0.0411,-1004656,750.0,RISE
2020-03-30,40400.0,40050.0,40800.0,37500.0,2019962.0,-23014,23154,-140,0.0408,-1004135,1500.0,RISE
2020-03-27,38900.0,37900.0,49200.0,34850.0,11321784.0,2519,-2021,-498,0.0394,-1003995,2350.0,FALL
2020-03-26,41250.0,39000.0,41250.0,36350.0,5763151.0,-72536,73633,-1097,0.0401,-1003497,9500.0,UPPER_LIMIT
2020-03-25,31750.0,30850.0,33100.0,29500.0,2254999.0,-95576,95821,-245,0.0333,-1002400,1500.0,RISE
2020-03-24,30250.0,31200.0,32550.0,29350.0,2509771.0,-29825,47800,-17975,0.0243,-1002155,1400.0,FALL
2020-03-23,31650.0,36850.0,37700.0,31200.0,2627791.0,21118,5339,-26457,0.0213,-984180,5100.0,FALL
2020-03-20,36750.0,36000.0,38600.0,35100.0,2728475.0,18402,-11094,-7308,0.0208,-957723,1250.0,FALL
2020-03-19,38000.0,36750.0,42700.0,33200.0,10544156.0,-49925,46031,3894,0.0221,-950415,4550.0,RISE
2020-03-18,33450.0,37500.0,39700.0,32900.0,3471168.0,12482,-12696,214,0.0177,-954309,3050.0,FALL
2020-03-17,36500.0,32000.0,40900.0,32000.0,6306740.0,18443,6727,-25170,0.0185,-954523,1800.0,RISE
2020-03-16,34700.0,35450.0,39200.0,34550.0,3360633.0,-22851,22390,461,0.0182,-929353,100.0,FALL
2020-03-13,34800.0,35000.0,42400.0,30100.0,5898604.0,-25965,24092,1873,0.0163,-929814,3100.0,FALL
2020-03-12,37900.0,38750.0,41700.0,36200.0,5095881.0,-8952,8721,231,0.0146,-931687,2250.0,FALL
2020-03-11,40150.0,35000.0,40150.0,33400.0,12120562.0,10806,5570,-16376,0.015,-931918,9250.0,UPPER_LIMIT
2020-03-10,30900.0,33900.0,35350.0,29600.0,2843345.0,28514,-18323,-10191,0.0144,-915542,5600.0,FALL
2020-03-09,36500.0,31900.0,39400.0,30550.0,10126091.0,15630,-18979,3349,0.0145,-905351,6000.0,RISE
2020-03-06,30500.0,28400.0,30500.0,28250.0,1572160.0,18054,-19896,1842,0.0163,-908700,2100.0,RISE
2020-03-05,28400.0,30200.0,31950.0,28250.0,2300225.0,5283,-5022,-261,0.0176,-910542,1750.0,FALL
