,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,5000.0,5130.0,5280.0,5000.0,1187.0,0,0,0,0.0,-83870,130.0,FALL
2020-06-01,5130.0,5150.0,5150.0,5060.0,619.0,0,0,0,0.5093,-83870,20.0,FALL
2020-05-29,5150.0,5240.0,5240.0,5100.0,329.0,0,0,0,0.5093,-83870,0.0,EVEN
2020-05-28,5150.0,5150.0,5180.0,5050.0,1133.0,101,-101,0,0.5093,-83870,10.0,RISE
2020-05-27,5140.0,5200.0,5240.0,5130.0,1838.0,0,0,0,0.5093,-83870,50.0,FALL
2020-05-26,5190.0,5150.0,5200.0,5080.0,4697.0,0,0,0,0.5093,-83870,30.0,RISE
2020-05-25,5160.0,5160.0,5170.0,5050.0,2268.0,0,0,0,0.5093,-83870,120.0,FALL
2020-05-22,5280.0,5410.0,5650.0,5280.0,5123.0,0,0,0,0.5093,-83870,120.0,FALL
2020-05-21,5400.0,5150.0,5400.0,5100.0,15334.0,5000.0,0.0,-5000.0,0.0,-84957.0,400.0,RISE
2020-05-20,5000.0,4800.0,5030.0,4800.0,13442.0,4692.0,0.0,-4692.0,0.5093,-79957.0,165.0,RISE
2020-05-19,4835.0,4815.0,4855.0,4700.0,5553.0,0.0,0.0,0.0,0.5093,-75265.0,20.0,RISE
2020-05-18,4815.0,4880.0,4880.0,4755.0,25190.0,3686.0,0.0,-3686.0,0.5093,-75265.0,320.0,RISE
2020-05-15,4495.0,4630.0,4630.0,4435.0,454.0,0.0,0.0,0.0,0.5093,-71579.0,5.0,FALL
2020-05-14,4500.0,4370.0,4500.0,4370.0,1169.0,0.0,0.0,0.0,0.5093,-71579.0,5.0,RISE
2020-05-13,4495.0,4400.0,4500.0,4390.0,1255.0,0.0,0.0,0.0,0.5093,-71579.0,20.0,RISE
2020-05-12,4475.0,4400.0,4475.0,4400.0,206.0,0.0,0.0,0.0,0.5093,-71579.0,0.0,EVEN
2020-05-11,4475.0,4490.0,4490.0,4400.0,461.0,0.0,0.0,0.0,0.5093,-71579.0,35.0,RISE
2020-05-08,4440.0,4505.0,4540.0,4435.0,577.0,0.0,0.0,0.0,0.5093,-71579.0,65.0,FALL
2020-05-07,4505.0,4640.0,4640.0,4475.0,376.0,0.0,0.0,0.0,0.5093,-71579.0,45.0,FALL
2020-05-06,4550.0,4400.0,4550.0,4400.0,333.0,0.0,0.0,0.0,0.5093,-71579.0,150.0,RISE
2020-05-04,4400.0,4360.0,4400.0,4360.0,1246.0,-1159.0,0.0,1159.0,0.5093,-71579.0,0.0,EVEN
2020-04-29,4400.0,4365.0,4400.0,4360.0,4856.0,-3694.0,0.0,3694.0,0.5093,-72738.0,55.0,FALL
2020-04-28,4455.0,4365.0,4550.0,4365.0,345.0,1.0,0.0,-1.0,0.5093,-76432.0,5.0,RISE
2020-04-27,4450.0,4315.0,4450.0,4315.0,2825.0,-656.0,0.0,656.0,0.5093,-76431.0,90.0,RISE
