,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,3730.0,3695.0,3730.0,3660.0,34116.0,4331,2519,-6850,0.0058,-330555,70.0,RISE
2020-06-01,3660.0,3665.0,3690.0,3450.0,33126.0,980,-980,0,0.0056,-323705,10.0,FALL
2020-05-29,3670.0,3700.0,3700.0,3605.0,21767.0,-3272,-1366,4638,0.0056,-323705,25.0,FALL
2020-05-28,3695.0,3650.0,3725.0,3595.0,82388.0,1134,-1134,0,0.0057,-328343,100.0,RISE
2020-05-27,3595.0,3530.0,3600.0,3505.0,35354.0,-1998,1958,40,0.0058,-328343,95.0,RISE
2020-05-26,3500.0,3470.0,3515.0,3465.0,20235.0,-571,571,0,0.0057,-328383,35.0,RISE
2020-05-25,3465.0,3460.0,3495.0,3385.0,14740.0,-661,661,0,0.0056,-328383,0.0,EVEN
2020-05-22,3465.0,3580.0,3580.0,3405.0,29574.0,900,-900,0,0.0056,-328383,50.0,FALL
2020-05-21,3515.0,3500.0,3665.0,3415.0,89734.0,-1492.0,1492.0,0.0,0.0057,-504427.0,85.0,RISE
2020-05-20,3430.0,3400.0,3445.0,3395.0,20824.0,-126.0,126.0,0.0,0.0056,-504427.0,10.0,RISE
2020-05-19,3420.0,3380.0,3440.0,3355.0,51070.0,-1484.0,1484.0,0.0,0.0055,-504427.0,90.0,RISE
2020-05-18,3330.0,3310.0,3360.0,3205.0,15347.0,118.0,-118.0,0.0,0.0054,-504427.0,35.0,RISE
2020-05-15,3295.0,3265.0,3340.0,3250.0,16502.0,1055.0,-1055.0,0.0,0.0054,-504427.0,30.0,RISE
2020-05-14,3265.0,3350.0,3350.0,3230.0,10022.0,633.0,-633.0,0.0,0.0055,-504427.0,25.0,FALL
2020-05-13,3290.0,3210.0,3295.0,3200.0,30275.0,-439.0,221.0,218.0,0.0056,-504427.0,0.0,EVEN
2020-05-12,3290.0,3370.0,3380.0,3260.0,42353.0,731.0,-1103.0,372.0,0.0056,-504645.0,100.0,FALL
2020-05-11,3390.0,3415.0,3455.0,3350.0,39173.0,671.0,-671.0,0.0,0.0056,-505017.0,35.0,FALL
2020-05-08,3425.0,3415.0,3460.0,3400.0,17439.0,-2761.0,2761.0,0.0,0.0057,-505017.0,10.0,RISE
2020-05-07,3415.0,3425.0,3495.0,3400.0,14772.0,1634.0,-1634.0,0.0,0.0055,-505017.0,0.0,EVEN
2020-05-06,3415.0,3400.0,3450.0,3355.0,42368.0,462.0,-462.0,0.0,0.0056,-505017.0,75.0,RISE
2020-05-04,3340.0,3405.0,3430.0,3275.0,42463.0,-14.0,14.0,0.0,0.0056,-505017.0,115.0,FALL
2020-04-29,3455.0,3260.0,4000.0,3260.0,374663.0,4707.0,-4707.0,0.0,0.0056,-505017.0,175.0,RISE
2020-04-28,3280.0,3275.0,3355.0,3270.0,24055.0,-880.0,880.0,0.0,0.0062,-505017.0,15.0,RISE
2020-04-27,3265.0,3250.0,3330.0,3250.0,30236.0,-7956.0,2756.0,5200.0,0.0062,-505017.0,15.0,RISE
2020-04-24,3250.0,3240.0,3300.0,3235.0,16634.0,997.0,-997.0,0.0,0.006,-510217.0,10.0,RISE
2020-04-23,3240.0,3240.0,3330.0,3150.0,26145.0,773.0,-773.0,0.0,0.0061,-510217.0,5.0,RISE
2020-04-22,3235.0,3220.0,3245.0,3145.0,10991.0,442.0,-442.0,0.0,0.0061,-510217.0,25.0,RISE
2020-04-21,3210.0,3250.0,3290.0,3205.0,13322.0,955.0,-955.0,0.0,0.0061,-510217.0,80.0,FALL
2020-04-20,3290.0,3300.0,3365.0,3280.0,26873.0,1538.0,-1538.0,0.0,0.0062,-510217.0,40.0,FALL
2020-04-17,3330.0,3220.0,3400.0,3220.0,70668.0,-7781.0,7781.0,0.0,0.0063,-510217.0,120.0,RISE
2020-04-16,3210.0,3250.0,3250.0,3160.0,11535.0,-128.0,128.0,0.0,0.0058,-510217.0,20.0,FALL
2020-04-14,3230.0,3195.0,3250.0,3195.0,18285.0,1151.0,1242.0,-2393.0,0.0058,-510217.0,35.0,RISE
2020-04-13,3195.0,3300.0,3330.0,3190.0,44670.0,2446.0,-2446.0,0.0,0.0057,-507824.0,95.0,FALL
2020-04-10,3290.0,3150.0,3290.0,3150.0,57957.0,-6295.0,7553.0,-1258.0,0.0058,-507824.0,95.0,RISE
2020-04-09,3195.0,3200.0,3220.0,3130.0,48239.0,-2481.0,2481.0,0.0,0.0053,-506566.0,25.0,RISE
2020-04-08,3170.0,3150.0,3180.0,3130.0,30532.0,-3115.0,3115.0,0.0,0.0051,-506566.0,10.0,FALL
2020-04-07,3180.0,3250.0,3250.0,3130.0,49695.0,-1553.0,1553.0,0.0,0.0049,-506566.0,15.0,RISE
2020-04-06,3165.0,3035.0,3180.0,3035.0,32605.0,-49.0,49.0,0.0,0.0048,-506566.0,85.0,RISE
2020-04-03,3080.0,3075.0,3135.0,3030.0,37583.0,1781.0,-1781.0,0.0,0.0048,-506566.0,5.0,FALL
2020-04-02,3085.0,3100.0,3100.0,3005.0,28367.0,-1657.0,1096.0,561.0,0.0049,-506566.0,15.0,FALL
2020-04-01,3100.0,3180.0,3200.0,3100.0,33803.0,7123.0,-1856.0,-5267.0,0.0048,-507127.0,80.0,FALL
2020-03-31,3180.0,3200.0,3250.0,3145.0,39256.0,5198.0,-5198.0,0.0,0.005,-501860.0,40.0,RISE
2020-03-30,3140.0,3000.0,3150.0,2940.0,34893.0,-5544.0,5544.0,0.0,0.0053,-501860.0,45.0,RISE
2020-03-27,3095.0,3140.0,3175.0,3030.0,56035.0,5115.0,-5115.0,0.0,0.0049,-501860.0,115.0,RISE
2020-03-26,2980.0,3000.0,3095.0,2875.0,282379.0,-16122.0,10660.0,5462.0,0.0053,-501860.0,10.0,FALL
2020-03-25,2990.0,2845.0,3015.0,2820.0,151088.0,2107.0,-1662.0,-445.0,0.0046,-507322.0,215.0,RISE
2020-03-24,2775.0,2530.0,2775.0,2530.0,53227.0,6406.0,-6406.0,0.0,0.0047,-506877.0,285.0,RISE
2020-03-23,2490.0,2500.0,2590.0,2405.0,72226.0,-144.0,-200.0,344.0,0.0051,-506877.0,190.0,FALL
2020-03-20,2680.0,2590.0,2750.0,2460.0,38102.0,-679.0,546.0,133.0,0.0051,-507221.0,230.0,RISE
2020-03-19,2450.0,3000.0,3025.0,2450.0,95690.0,-7318.0,7315.0,3.0,0.0051,-507354.0,555.0,FALL
2020-03-18,3005.0,3250.0,3320.0,3005.0,45598.0,10386.0,-2400.0,-7986.0,0.0054,-507357.0,220.0,FALL
