날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2015-12-01,13700.0,14900.0,15900.0,13700.0,939766.0,373628.0,-179570.0,-194058.0,0.017,-194058.0,1200.0,FALL
2015-12-02,14100.0,14000.0,14500.0,13700.0,200095.0,-32257.0,42831.0,-10574.0,0.025,-10574.0,400.0,RISE
2015-12-03,13850.0,14150.0,14500.0,13850.0,79808.0,-1804.0,2673.0,-869.0,0.026,-869.0,250.0,FALL
2015-12-04,13850.0,13550.0,13900.0,13450.0,67200.0,6477.0,-6524.0,47.0,0.024,47.0,0.0,EVEN
2015-12-07,13450.0,13850.0,13850.0,13300.0,44449.0,2674.0,-3064.0,390.0,0.024,390.0,400.0,FALL
2015-12-08,12850.0,13500.0,13500.0,12650.0,52466.0,16725.0,-180.0,-16545.0,0.024,-16545.0,600.0,FALL
2015-12-09,12500.0,12700.0,12900.0,12250.0,34273.0,2557.0,-946.0,-1611.0,0.024,-1611.0,350.0,FALL
2015-12-10,12500.0,12500.0,12700.0,12250.0,34850.0,-1697.0,2034.0,-337.0,0.024,-337.0,0.0,EVEN
2015-12-11,12650.0,12650.0,12800.0,12300.0,17130.0,1611.0,-239.0,-1372.0,0.024,-1372.0,150.0,RISE
2015-12-14,11950.0,12300.0,12350.0,11700.0,34961.0,4161.0,-821.0,-3340.0,0.024,-3340.0,700.0,FALL
2015-12-15,13000.0,12200.0,13750.0,11800.0,64856.0,-4254.0,13821.0,-9567.0,0.026,-9567.0,1050.0,RISE
2015-12-16,12800.0,13400.0,13400.0,12400.0,16465.0,2906.0,-561.0,-2345.0,0.026,-2345.0,200.0,FALL
2015-12-17,13000.0,12600.0,13050.0,12500.0,28201.0,9036.0,7654.0,-16690.0,0.028,-16690.0,200.0,RISE
2015-12-18,13100.0,12750.0,13250.0,12750.0,10139.0,-3869.0,2300.0,1569.0,0.028,1569.0,100.0,RISE
2015-12-21,13200.0,13000.0,13300.0,12850.0,14220.0,-1226.0,0.0,1226.0,0.028,1226.0,100.0,RISE
2015-12-22,12850.0,13300.0,13550.0,12850.0,14913.0,1380.0,-988.0,-392.0,0.028,-392.0,350.0,FALL
2015-12-23,12900.0,12850.0,13300.0,12750.0,7936.0,-509.0,0.0,509.0,0.028,509.0,50.0,RISE
2015-12-24,13450.0,13000.0,13650.0,13000.0,22935.0,3893.0,331.0,-4224.0,0.028,-4224.0,550.0,RISE
2015-12-28,13450.0,13550.0,14400.0,13450.0,91446.0,-9187.0,-331.0,9518.0,0.028,9518.0,0.0,EVEN
2015-12-29,13900.0,13250.0,14200.0,13250.0,52761.0,3819.0,0.0,-3819.0,0.028,-3819.0,450.0,RISE
2015-12-30,13950.0,13900.0,14200.0,13700.0,20955.0,4141.0,3630.0,-7771.0,0.028,-7771.0,50.0,RISE
2016-01-04,13400.0,13950.0,13950.0,13050.0,109723.0,69885.0,297.0,-70182.0,0.029,-70182.0,550.0,FALL
2016-01-05,14100.0,13200.0,14100.0,13200.0,36321.0,8094.0,-68.0,-8026.0,0.029,-8026.0,700.0,RISE
2016-01-06,13600.0,14250.0,14250.0,13350.0,32310.0,2938.0,-229.0,-2709.0,0.028,-2709.0,500.0,FALL
2016-01-07,13500.0,13250.0,13800.0,13250.0,22610.0,4081.0,282.0,-4363.0,0.029,-4363.0,100.0,FALL
2016-01-08,13150.0,13500.0,13500.0,13150.0,17953.0,6226.0,-157.0,-6069.0,0.028,-6069.0,350.0,FALL
2016-01-11,13500.0,13150.0,13700.0,13150.0,22167.0,2704.0,3365.0,-6069.0,0.029,-6069.0,350.0,RISE
2016-01-12,13500.0,13450.0,14700.0,13400.0,41896.0,3919.0,145.0,-4064.0,0.029,-4064.0,0.0,EVEN
2016-01-13,13500.0,13700.0,13800.0,13250.0,11531.0,4991.0,-145.0,-4846.0,0.029,-4846.0,0.0,EVEN
2016-01-14,12900.0,13500.0,13600.0,12900.0,20562.0,8172.0,192.0,-8364.0,0.029,-8364.0,600.0,FALL
2016-01-15,12650.0,12900.0,13100.0,12400.0,17541.0,1514.0,400.0,-1914.0,0.029,-1914.0,250.0,FALL
2016-01-18,12550.0,12500.0,12600.0,12250.0,5207.0,1000.0,0.0,-1000.0,0.029,-1000.0,100.0,FALL
2016-01-19,12800.0,12600.0,12900.0,12250.0,30362.0,-2370.0,2844.0,-474.0,0.03,-474.0,250.0,RISE
2016-01-20,12500.0,12950.0,13200.0,12150.0,12286.0,1514.0,-293.0,-1221.0,0.03,-1221.0,300.0,FALL
2016-01-21,12400.0,12500.0,12650.0,12100.0,19642.0,-1652.0,1234.0,418.0,0.03,418.0,100.0,FALL
2016-01-22,12500.0,12550.0,12850.0,12150.0,13852.0,-1471.0,-341.0,1812.0,0.03,1812.0,100.0,RISE
2016-01-25,12450.0,12500.0,12850.0,12200.0,16676.0,10117.0,-200.0,-9917.0,0.03,-9917.0,50.0,FALL
