,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,11650.0,12000.0,12000.0,11500.0,598259.0,19277,-14277,-5000,0.0554,-2483427,350.0,FALL
2020-06-01,12000.0,11900.0,12200.0,11800.0,400683.0,-54154,54154,0,0.056,-2478427,200.0,RISE
2020-05-29,11800.0,12100.0,12300.0,11800.0,424131.0,3819,-3819,0,0.0537,-2478427,300.0,FALL
2020-05-28,12100.0,12200.0,12350.0,11650.0,693566.0,-55240,58240,-3000,0.0537,-2478427,50.0,RISE
2020-05-27,12050.0,12300.0,12400.0,12000.0,736300.0,8566,-4843,-3723,0.0512,-2475427,450.0,FALL
2020-05-26,12500.0,12850.0,12850.0,12350.0,691826.0,12319,-12319,0,0.0523,-2471704,300.0,FALL
2020-05-25,12800.0,12850.0,13400.0,12550.0,1745716.0,83141,-83141,0,0.0526,-2471704,0.0,EVEN
2020-05-22,12800.0,12600.0,12950.0,11950.0,1154832.0,7535,-2535,-5000,0.0562,-2471704,250.0,RISE
2020-05-21,12550.0,12850.0,12950.0,12350.0,558858.0,-5976.0,5976.0,0.0,0.0564,-2393804.0,150.0,FALL
2020-05-20,12700.0,12950.0,13050.0,12550.0,961603.0,-18208.0,17708.0,500.0,0.0561,-2393804.0,200.0,RISE
2020-05-19,12500.0,13200.0,13500.0,12200.0,2151938.0,146584.0,-158687.0,12103.0,0.0553,-2394304.0,250.0,FALL
2020-05-18,12750.0,12200.0,12950.0,11950.0,1228676.0,-17606.0,41829.0,-24223.0,0.0623,-2406407.0,200.0,RISE
2020-05-15,12550.0,13600.0,13800.0,12300.0,2142709.0,127695.0,-129532.0,1837.0,0.0605,-2382184.0,700.0,FALL
2020-05-14,13250.0,12200.0,13850.0,12100.0,4714718.0,-122863.0,94677.0,28186.0,0.0662,-2384021.0,1050.0,RISE
2020-05-13,12200.0,12500.0,12550.0,11950.0,974154.0,99736.0,-102296.0,2560.0,0.062,-2412207.0,0.0,EVEN
2020-05-12,12200.0,12000.0,12400.0,11600.0,1525653.0,15358.0,-16418.0,1060.0,0.0665,-2414767.0,300.0,RISE
2020-05-11,11900.0,11800.0,12000.0,11400.0,1003967.0,-46816.0,46816.0,0.0,0.0668,-2415827.0,400.0,RISE
2020-05-08,11500.0,11200.0,11700.0,11050.0,883757.0,-36122.0,60966.0,-24844.0,0.0645,-2415827.0,350.0,RISE
2020-05-07,11150.0,10700.0,11200.0,10700.0,440328.0,-82419.0,85819.0,-3400.0,0.0618,-2390983.0,350.0,RISE
2020-05-06,10800.0,11150.0,11250.0,10500.0,814233.0,-87659.0,87659.0,0.0,0.0583,-2387583.0,200.0,FALL
2020-05-04,11000.0,11100.0,11450.0,10950.0,512808.0,-15903.0,21931.0,-6028.0,0.054000000000000006,-2387583.0,100.0,FALL
2020-04-29,11100.0,11600.0,11650.0,11000.0,802500.0,-40486.0,41685.0,-1199.0,0.0544,-2381555.0,350.0,FALL
2020-04-28,11450.0,11800.0,12100.0,11000.0,1657098.0,52278.0,-52278.0,0.0,0.0525,-2380356.0,250.0,FALL
2020-04-27,11700.0,11700.0,11850.0,11500.0,856857.0,3754.0,24246.0,-28000.0,0.054000000000000006,-2380356.0,50.0,RISE
2020-04-24,11650.0,11550.0,12200.0,11400.0,1984729.0,22191.0,-12191.0,-10000.0,0.0529,-2352356.0,50.0,FALL
2020-04-23,11700.0,11550.0,11800.0,11300.0,1160210.0,-26426.0,44426.0,-18000.0,0.0532,-2342356.0,250.0,RISE
2020-04-22,11450.0,11250.0,12050.0,11050.0,2428430.0,-54427.0,78427.0,-24000.0,0.0515,-2324356.0,200.0,RISE
2020-04-21,11250.0,11700.0,11950.0,10500.0,2216503.0,6907.0,-6907.0,0.0,0.0481,-2300356.0,550.0,FALL
2020-04-20,11800.0,11500.0,11800.0,11050.0,2596525.0,128566.0,-128566.0,0.0,0.0505,-2300356.0,650.0,RISE
2020-04-17,11150.0,11250.0,11250.0,10600.0,1657658.0,-180182.0,180182.0,0.0,0.0564,-2300356.0,50.0,FALL
2020-04-16,11200.0,11800.0,11800.0,10700.0,2305602.0,-60289.0,60290.0,-1.0,0.0483,-2300356.0,550.0,FALL
2020-04-14,11750.0,13350.0,13600.0,11500.0,5676208.0,263666.0,-263166.0,-500.0,0.0451,-2300355.0,250.0,RISE
2020-04-13,11500.0,12700.0,12850.0,11150.0,3398594.0,-261084.0,261084.0,0.0,0.0567,-2299855.0,1400.0,FALL
2020-04-10,12900.0,14100.0,15400.0,12700.0,12998426.0,235998.0,-235998.0,0.0,0.045,-2299855.0,500.0,FALL
2020-04-09,13400.0,13800.0,13900.0,13200.0,1695628.0,-57879.0,57879.0,0.0,0.0507,-2299855.0,650.0,FALL
2020-04-08,14050.0,13900.0,14400.0,13500.0,2469961.0,-26227.0,26227.0,0.0,0.0474,-2299855.0,300.0,RISE
2020-04-07,13750.0,14800.0,14800.0,13350.0,2482432.0,-51831.0,51831.0,0.0,0.0462,-2299855.0,950.0,FALL
2020-04-06,14700.0,14650.0,15600.0,14000.0,5027834.0,40251.0,-5697.0,-34554.0,0.0482,-2299855.0,700.0,RISE
2020-04-03,14000.0,14400.0,14800.0,13050.0,4213404.0,-9284.0,6157.0,3127.0,0.0486,-2265301.0,650.0,RISE
2020-04-02,13350.0,15550.0,15550.0,12650.0,4969405.0,-172703.0,141276.0,31427.0,0.0482,-2268428.0,2250.0,FALL
2020-04-01,15600.0,16500.0,18300.0,14200.0,10776466.0,136148.0,-125277.0,-10871.0,0.0426,-2299855.0,300.0,FALL
2020-03-31,15900.0,12700.0,15900.0,11800.0,16867464.0,-67333.0,53762.0,13571.0,0.0506,-2288984.0,3650.0,UPPER_LIMIT
2020-03-30,12250.0,12800.0,12800.0,11350.0,4546189.0,-46231.0,47281.0,-1050.0,0.0493,-2302555.0,250.0,RISE
2020-03-27,12000.0,13600.0,14750.0,9550.0,11337779.0,-13846.0,13846.0,0.0,0.0495,-2301505.0,250.0,FALL
2020-03-26,12250.0,10550.0,12700.0,10150.0,10587802.0,51817.0,-51817.0,0.0,0.049,-2301505.0,2300.0,RISE
2020-03-25,9950.0,9400.0,10750.0,8780.0,12891155.0,-139735.0,139735.0,0.0,0.051,-2301505.0,1200.0,RISE
2020-03-24,8750.0,8940.0,9140.0,8660.0,2272137.0,11404.0,-11404.0,0.0,0.0441,-2301505.0,230.0,FALL
2020-03-23,8980.0,9200.0,9250.0,8620.0,3597249.0,-36359.0,36359.0,0.0,0.0452,-2301505.0,300.0,RISE
2020-03-20,8680.0,9020.0,9300.0,8360.0,4749109.0,-16496.0,15446.0,1050.0,0.0444,-2301505.0,30.0,RISE
2020-03-19,8650.0,8300.0,10150.0,7410.0,17648144.0,-86640.0,87945.0,-1305.0,0.0442,-2302555.0,590.0,RISE
2020-03-18,8060.0,8700.0,9200.0,7860.0,9345845.0,-34270.0,34270.0,0.0,0.0443,-2301250.0,10.0,FALL
2020-03-17,8070.0,7260.0,8490.0,7110.0,17267099.0,-23171.0,89619.0,-66448.0,0.0428,-2301250.0,960.0,RISE
2020-03-16,7110.0,5360.0,7110.0,5140.0,12617449.0,10619.0,-12568.0,1949.0,0.0386,-2234802.0,1640.0,UPPER_LIMIT
2020-03-13,5470.0,6050.0,6290.0,5000.0,1756553.0,418.0,-418.0,0.0,0.0391,-2236751.0,1230.0,FALL
2020-03-12,6700.0,6450.0,6940.0,6350.0,3467642.0,22716.0,-22716.0,0.0,0.0386,-2236751.0,310.0,RISE
2020-03-11,6390.0,6900.0,6940.0,6190.0,1753409.0,-32431.0,29431.0,3000.0,0.04,-2236751.0,350.0,FALL
2020-03-10,6740.0,6850.0,7360.0,6530.0,4198093.0,179341.0,-137559.0,-41782.0,0.0424,-2239751.0,590.0,FALL
2020-03-09,7330.0,7200.0,7550.0,7100.0,5303241.0,60081.0,8692.0,-68773.0,0.0484,-2197969.0,430.0,RISE
2020-03-06,6900.0,6700.0,7270.0,6630.0,4434054.0,-29567.0,141964.0,-112397.0,0.0473,-2129196.0,360.0,RISE
2020-03-05,6540.0,6710.0,6760.0,6480.0,980532.0,16624.0,30522.0,-47146.0,0.0406,-2016799.0,90.0,FALL
2020-03-04,6630.0,6980.0,7020.0,6630.0,1251578.0,193686.0,-57065.0,-136621.0,0.0393,-1969653.0,420.0,FALL
2020-03-03,7050.0,7180.0,7710.0,6840.0,2738637.0,-17131.0,75619.0,-58488.0,0.040999999999999995,-1833032.0,70.0,FALL
2020-03-02,7120.0,7190.0,7650.0,7000.0,2792283.0,171428.0,-50488.0,-120940.0,0.036000000000000004,-1774544.0,280.0,RISE
