,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,2790.0,2830.0,2845.0,2780.0,856882.0,10983,-10376,-607,0.0145,-1022201,40.0,FALL
2020-06-01,2830.0,2810.0,2840.0,2785.0,1184425.0,43884,-44004,120,0.0147,-1021594,50.0,RISE
2020-05-29,2780.0,2855.0,2885.0,2760.0,1730793.0,245113,-245033,-80,0.0157,-1021714,70.0,FALL
2020-05-28,2850.0,2765.0,2855.0,2710.0,2602126.0,24613,-24462,-151,0.0211,-1021634,100.0,RISE
2020-05-27,2750.0,2750.0,2775.0,2730.0,890517.0,15995,-15909,-86,0.0217,-1021483,10.0,RISE
2020-05-26,2740.0,2745.0,2770.0,2715.0,747639.0,-45570,45567,3,0.0221,-1021397,5.0,RISE
2020-05-25,2735.0,2725.0,2770.0,2705.0,679155.0,-90851,91334,-483,0.021,-1021400,25.0,RISE
2020-05-22,2710.0,2780.0,2805.0,2665.0,1285885.0,54002,-53899,-103,0.0194,-1020917,60.0,FALL
2020-05-21,2770.0,2775.0,2815.0,2755.0,1417073.0,-61218.0,61221.0,-3.0,0.0214,-1508591.0,10.0,RISE
2020-05-20,2760.0,2740.0,2775.0,2730.0,985946.0,-35730.0,35736.0,-6.0,0.02,-1508588.0,25.0,RISE
2020-05-19,2735.0,2880.0,2880.0,2725.0,2964051.0,147287.0,-147232.0,-55.0,0.0192,-1508582.0,140.0,FALL
2020-05-18,2875.0,2900.0,2900.0,2795.0,1843653.0,-63055.0,74732.0,-11677.0,0.0225,-1508527.0,55.0,FALL
2020-05-15,2930.0,2950.0,3045.0,2900.0,7468605.0,424116.0,-428702.0,4586.0,0.0209,-1496850.0,25.0,RISE
2020-05-14,2905.0,2860.0,2915.0,2820.0,2292296.0,-84883.0,84714.0,169.0,0.0306,-1501436.0,60.0,RISE
2020-05-13,2845.0,2795.0,2905.0,2790.0,2313179.0,-79356.0,76628.0,2728.0,0.0288,-1501605.0,0.0,EVEN
