날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-09,5770.0,5780.0,5780.0,5620.0,5047.0,-103.0,103.0,0.0,0.0,-103.0,210.0,RISE
2014-04-10,5720.0,5800.0,5800.0,5550.0,3837.0,0.0,0.0,0.0,0.0,-103.0,50.0,FALL
2014-04-11,5660.0,5660.0,5770.0,5500.0,1207.0,0.0,0.0,0.0,0.0,-103.0,60.0,FALL
2014-04-14,5620.0,5660.0,5660.0,5450.0,5535.0,0.0,0.0,0.0,0.0,-103.0,40.0,FALL
2014-04-15,5700.0,5620.0,5850.0,5470.0,11703.0,-28.0,28.0,0.0,0.0,-28.0,80.0,RISE
2014-04-16,5840.0,5730.0,5850.0,5600.0,1428.0,0.0,0.0,0.0,0.0,-28.0,140.0,RISE
2014-04-17,5790.0,5890.0,5890.0,5690.0,208.0,0.0,0.0,0.0,0.0,-28.0,50.0,FALL
2014-04-18,5790.0,5880.0,5880.0,5660.0,116.0,0.0,0.0,0.0,0.0,-28.0,0.0,EVEN
2014-04-21,5630.0,5540.0,5790.0,5380.0,641.0,0.0,0.0,0.0,0.0,-28.0,160.0,FALL
2014-04-22,5350.0,5630.0,5670.0,5220.0,11481.0,-222.0,222.0,0.0,0.0,-222.0,280.0,FALL
2014-04-23,5200.0,5350.0,5690.0,5180.0,4269.0,-289.0,289.0,0.0,0.0,-289.0,150.0,FALL
2014-04-24,5260.0,5230.0,5350.0,5100.0,3251.0,126.0,-126.0,0.0,0.0,126.0,60.0,RISE
2014-04-25,5280.0,5350.0,5350.0,5250.0,75.0,0.0,0.0,0.0,0.0,126.0,20.0,RISE
2014-04-28,5410.0,5330.0,5550.0,5330.0,2262.0,0.0,0.0,0.0,0.0,126.0,130.0,RISE
2014-04-29,5490.0,5400.0,5540.0,5400.0,1177.0,0.0,0.0,0.0,0.0,126.0,80.0,RISE
2014-04-30,5560.0,5790.0,5800.0,5390.0,687.0,0.0,0.0,0.0,0.0,-400.0,70.0,RISE
2014-05-02,5550.0,5820.0,5820.0,5490.0,2292.0,18.0,-18.0,0.0,0.0,18.0,10.0,FALL
2014-05-07,5540.0,5530.0,5550.0,5530.0,4.0,0.0,0.0,0.0,0.0,18.0,10.0,FALL
2014-05-08,5540.0,5550.0,5550.0,5500.0,1862.0,,,,,,,
2014-05-09,5670.0,5690.0,5820.0,5460.0,6409.0,0.0,0.0,0.0,0.0,18.0,130.0,RISE
2014-05-12,5570.0,5630.0,5710.0,5530.0,951.0,0.0,0.0,0.0,0.0,18.0,100.0,FALL
2014-05-13,5570.0,5600.0,5600.0,5420.0,3370.0,,,,,,,
2014-05-14,5520.0,5550.0,5570.0,5450.0,3648.0,,,,,,,
2014-05-15,5520.0,5550.0,5550.0,5480.0,672.0,0.0,0.0,0.0,0.0,18.0,0.0,EVEN
2014-05-16,5450.0,5600.0,5600.0,5450.0,2826.0,0.0,0.0,0.0,0.0,18.0,70.0,FALL
2014-05-19,5400.0,5600.0,5600.0,5400.0,6022.0,0.0,0.0,0.0,0.0,18.0,50.0,FALL
