,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,2075.0,1970.0,2115.0,1930.0,6710775.0,-253306,33393,219913,0.0558,-2202163,80.0,RISE
2020-06-01,1995.0,1840.0,2000.0,1825.0,6684537.0,26864,-75194,48330,0.0553,-2422076,140.0,RISE
2020-05-29,1855.0,1700.0,1945.0,1680.0,12493305.0,27376,186989,-214365,0.056,-2470406,180.0,RISE
2020-05-28,1675.0,1830.0,1880.0,1655.0,4506623.0,357783,-261927,-95856,0.0533,-2256041,50.0,FALL
2020-05-27,1725.0,1715.0,1730.0,1680.0,1203659.0,30845,-26611,-4234,0.0571,-2160185,20.0,RISE
2020-05-26,1705.0,1665.0,1715.0,1645.0,870393.0,-182568,56879,125689,0.0575,-2155951,40.0,RISE
2020-05-25,1665.0,1645.0,1665.0,1625.0,439398.0,-66439,67182,-743,0.0567,-2281640,30.0,RISE
2020-05-22,1635.0,1690.0,1695.0,1620.0,2113896.0,-29998,30156,-158,0.0557,-2280897,60.0,FALL
2020-05-21,1695.0,1685.0,1850.0,1665.0,7954677.0,504544.0,-347579.0,-156965.0,0.0553,-2110889.0,55.0,RISE
2020-05-20,1640.0,1615.0,1675.0,1590.0,443037.0,-26443.0,26472.0,-29.0,0.0603,-1953924.0,25.0,RISE
2020-05-19,1615.0,1620.0,1630.0,1595.0,308611.0,-47486.0,47858.0,-372.0,0.0599,-1953895.0,15.0,RISE
2020-05-18,1600.0,1615.0,1615.0,1555.0,306631.0,-12103.0,12309.0,-206.0,0.0592,-1953523.0,15.0,RISE
2020-05-15,1585.0,1605.0,1610.0,1560.0,222251.0,-16120.0,15781.0,339.0,0.0591,-1953317.0,10.0,FALL
2020-05-14,1595.0,1605.0,1620.0,1575.0,324436.0,10206.0,-10403.0,197.0,0.0588,-1953656.0,20.0,FALL
2020-05-13,1615.0,1595.0,1635.0,1585.0,339227.0,-32287.0,28229.0,4058.0,0.059000000000000004,-1953853.0,5.0,FALL
2020-05-12,1620.0,1655.0,1655.0,1580.0,455113.0,31013.0,-31440.0,427.0,0.0586,-1957911.0,30.0,FALL
