,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,2115.0,2135.0,2165.0,2105.0,1888432.0,123365,-123072,-293,0.0113,123488,30.0,FALL
2020-06-01,2145.0,2095.0,2150.0,2060.0,2703473.0,120276,-120794,518,0.0134,123781,15.0,RISE
2020-05-29,2130.0,2055.0,2130.0,1990.0,5131712.0,233607,-233599,-8,0.0154,123263,30.0,RISE
2020-05-28,2100.0,1990.0,2400.0,1945.0,21159496.0,262823,-256117,-6706,0.0193,123271,135.0,RISE
2020-05-27,1965.0,1960.0,1970.0,1930.0,495282.0,27210,-27100,-110,0.0236,129977,25.0,RISE
2020-05-26,1940.0,1930.0,1955.0,1925.0,435951.0,-105461,105468,-7,0.024,130087,15.0,RISE
2020-05-25,1925.0,1950.0,1955.0,1920.0,359194.0,-27512,28631,-1119,0.0223,130094,5.0,FALL
2020-05-22,1970.0,1970.0,1970.0,1970.0,0.0,,,,,,,
2020-05-21,1970.0,2005.0,2020.0,1960.0,1154869.0,161808.0,-161789.0,-19.0,0.0226,133341.0,20.0,FALL
2020-05-20,1990.0,1955.0,2000.0,1940.0,1350066.0,-223439.0,223467.0,-28.0,0.025,133360.0,50.0,RISE
2020-05-19,1940.0,1980.0,1990.0,1930.0,892197.0,104377.0,-102649.0,-1728.0,0.0213,133388.0,15.0,FALL
2020-05-18,1955.0,1935.0,1995.0,1920.0,1105002.0,-39991.0,40010.0,-19.0,0.023,135116.0,15.0,RISE
2020-05-15,1940.0,1920.0,1960.0,1880.0,859349.0,41477.0,-42783.0,1306.0,0.0224,135135.0,35.0,RISE
2020-05-14,1905.0,1880.0,1925.0,1870.0,449532.0,-40065.0,39917.0,148.0,0.0231,133829.0,0.0,EVEN
2020-05-13,1905.0,1900.0,1935.0,1895.0,500422.0,-60632.0,60600.0,32.0,0.023,133681.0,30.0,FALL
2020-05-12,1935.0,1970.0,1970.0,1885.0,811631.0,-13024.0,34214.0,-21190.0,0.022000000000000002,133649.0,20.0,FALL
2020-05-11,1955.0,1970.0,2020.0,1945.0,1477206.0,81352.0,-81053.0,-299.0,0.0215,154839.0,5.0,FALL
2020-05-08,1960.0,1980.0,2010.0,1940.0,2214234.0,108830.0,-108168.0,-662.0,0.0228,155138.0,0.0,EVEN
2020-05-07,1960.0,1930.0,1970.0,1920.0,1970848.0,-48373.0,42211.0,6162.0,0.0246,155800.0,10.0,RISE
2020-05-06,1950.0,1840.0,2040.0,1810.0,9863397.0,370973.0,-390032.0,19059.0,0.0239,149638.0,140.0,RISE
2020-05-04,1810.0,1780.0,1840.0,1780.0,546654.0,-18865.0,-21620.0,40485.0,0.0304,130579.0,5.0,FALL
2020-04-29,1815.0,1790.0,1860.0,1785.0,1374806.0,-193798.0,154123.0,39675.0,0.0308,90094.0,35.0,RISE
2020-04-28,1780.0,1820.0,1840.0,1755.0,710125.0,172198.0,-215465.0,43267.0,0.0282,50419.0,20.0,FALL
2020-04-27,1800.0,1735.0,1815.0,1735.0,695871.0,-228461.0,228430.0,31.0,0.0318,7152.0,75.0,RISE
2020-04-24,1725.0,1800.0,1820.0,1720.0,624021.0,66887.0,-66927.0,40.0,0.027999999999999997,7121.0,65.0,FALL
2020-04-23,1790.0,1770.0,1815.0,1745.0,608160.0,-69583.0,69726.0,-143.0,0.0291,7081.0,40.0,RISE
2020-04-22,1750.0,1745.0,1750.0,1690.0,396090.0,-83240.0,83026.0,214.0,0.027999999999999997,7224.0,5.0,FALL
2020-04-21,1755.0,1800.0,1805.0,1665.0,675063.0,-23409.0,34169.0,-10760.0,0.0266,7010.0,55.0,FALL
2020-04-20,1810.0,1780.0,1835.0,1765.0,546472.0,-44342.0,44769.0,-427.0,0.026000000000000002,17770.0,35.0,RISE
2020-04-17,1775.0,1790.0,1800.0,1760.0,496057.0,-53254.0,53880.0,-626.0,0.0254,18197.0,5.0,RISE
2020-04-16,1770.0,1730.0,1790.0,1710.0,630887.0,120637.0,-33775.0,-86862.0,0.0245,18823.0,0.0,EVEN
2020-04-14,1770.0,1710.0,1780.0,1700.0,762484.0,-145191.0,76466.0,68725.0,0.0252,105685.0,90.0,RISE
2020-04-13,1680.0,1730.0,1750.0,1650.0,813862.0,-164894.0,111499.0,53395.0,0.0239,36960.0,80.0,FALL
2020-04-10,1760.0,1850.0,1860.0,1700.0,1282491.0,12100.0,-126034.0,113934.0,0.0221,-16435.0,85.0,FALL
2020-04-09,1845.0,1800.0,1890.0,1755.0,1543313.0,-142653.0,142818.0,-165.0,0.0242,-130369.0,100.0,RISE
2020-04-08,1745.0,1725.0,1775.0,1685.0,1015465.0,-134474.0,134303.0,171.0,0.0218,-130204.0,40.0,RISE
2020-04-07,1705.0,1715.0,1730.0,1650.0,1079227.0,-50465.0,50356.0,109.0,0.0196,-130375.0,40.0,RISE
2020-04-06,1665.0,1610.0,1670.0,1585.0,1355173.0,-86384.0,86623.0,-239.0,0.0187,-130484.0,95.0,RISE
2020-04-03,1570.0,1590.0,1620.0,1530.0,640914.0,-47881.0,47910.0,-29.0,0.0173,-130245.0,35.0,RISE
2020-04-02,1535.0,1520.0,1560.0,1475.0,982512.0,-110614.0,110613.0,1.0,0.0165,-130216.0,5.0,RISE
2020-04-01,1530.0,1475.0,1725.0,1420.0,4174483.0,81023.0,-81084.0,61.0,0.0154,-130217.0,55.0,RISE
2020-03-31,1475.0,1425.0,1510.0,1410.0,1384855.0,72686.0,-64820.0,-7866.0,0.0165,-130278.0,90.0,RISE
2020-03-30,1385.0,1290.0,1415.0,1290.0,939870.0,-49610.0,49545.0,65.0,0.0176,-122412.0,50.0,RISE
2020-03-27,1335.0,1315.0,1355.0,1265.0,1605189.0,27355.0,-27371.0,16.0,0.0169,-122477.0,75.0,RISE
2020-03-26,1260.0,1330.0,1340.0,1225.0,1706428.0,31098.0,-30706.0,-392.0,0.0169,-122493.0,15.0,RISE
2020-03-25,1245.0,1195.0,1260.0,1185.0,1497283.0,92934.0,-92815.0,-119.0,0.0191,-122101.0,85.0,RISE
2020-03-24,1160.0,1090.0,1160.0,1080.0,986250.0,-219799.0,219561.0,238.0,0.0206,-121982.0,100.0,RISE
2020-03-23,1060.0,1015.0,1075.0,1005.0,1225126.0,-55843.0,39439.0,16404.0,0.0176,-122220.0,55.0,FALL
