날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-09,766.0,797.0,799.0,765.0,2370811.0,-44405,44405,0,0.063,-72923,24.0,FALL
2014-04-10,780.0,767.0,786.0,755.0,1468253.0,-151337,151347,-10,0.066,-10,14.0,RISE
2014-04-11,777.0,770.0,781.0,766.0,759296.0,-44705,44705,0,0.066,-10,3.0,FALL
2014-04-14,793.0,779.0,820.0,775.0,3499198.0,85000,-85000,0,0.065,-10,16.0,RISE
2014-04-15,831.0,800.0,851.0,797.0,7166062.0,-17152,17152,0,0.065,-10,38.0,RISE
2014-04-16,820.0,845.0,872.0,814.0,4362438.0,157301,-157301,0,0.063,-10,11.0,FALL
2014-04-17,811.0,820.0,842.0,811.0,2835747.0,24952,-24952,0,0.062,-10,9.0,FALL
2014-04-18,785.0,816.0,816.0,781.0,2336713.0,-149975,149975,0,0.065,-10,26.0,FALL
2014-04-21,806.0,791.0,810.0,783.0,1338888.0,69697,-69697,0,0.064,-10,21.0,RISE
2014-04-22,798.0,809.0,817.0,794.0,986450.0,63432,-63432,0,0.063,-10,8.0,FALL
2014-04-23,769.0,806.0,806.0,769.0,1644043.0,-89752,89752,0,0.064,-10,29.0,FALL
2014-04-24,752.0,764.0,784.0,740.0,1758787.0,-72892,72892,0,0.065,-10,17.0,FALL
2014-04-25,745.0,750.0,765.0,741.0,1008510.0,79238,-79238,0,0.064,-10,7.0,FALL
2014-04-28,753.0,736.0,773.0,736.0,1289520.0,-61412,61412,0,0.065,-10,8.0,RISE
2014-04-29,747.0,751.0,766.0,745.0,898685.0,-11682,11682,0,0.065,-10,6.0,FALL
2014-04-30,749.0,750.0,760.0,746.0,586435.0,-62569,62569,0,0.066,-10,2.0,RISE
2014-05-02,741.0,748.0,761.0,739.0,686408.0,44244,-44244,0,0.066,-10,8.0,FALL
2014-05-07,713.0,741.0,741.0,701.0,1243458.0,4120,-4120,0,0.065,-10,28.0,FALL
2014-05-08,694.0,713.0,717.0,686.0,1312956.0,39297,-39297,0,0.065,-10,19.0,FALL
2014-05-09,724.0,696.0,729.0,694.0,1146030.0,-46369,46369,0,0.066,-10,30.0,RISE
2014-05-12,711.0,728.0,730.0,710.0,717730.0,-17545,17545,0,0.066,-10,13.0,FALL
2014-05-13,740.0,715.0,745.0,713.0,841163.0,-49962,49962,0,0.067,-10,29.0,RISE
2014-05-14,742.0,740.0,755.0,731.0,948513.0,22300,-22300,0,0.066,-10,2.0,RISE
2014-05-15,723.0,744.0,744.0,721.0,972027.0,-10797,10797,0,0.066,-10,19.0,FALL
2014-05-16,717.0,708.0,720.0,704.0,1088396.0,-15672,15672,0,0.067,-10,6.0,FALL
2014-05-19,700.0,718.0,723.0,698.0,942280.0,134359,-134359,0,0.065,-10,17.0,FALL
2014-05-20,712.0,701.0,719.0,695.0,861142.0,8952,-8952,0,0.064,-10,12.0,RISE
2014-05-21,714.0,714.0,723.0,705.0,870887.0,-22983,22983,0,0.065,-10,2.0,RISE
2014-05-22,713.0,723.0,723.0,713.0,611637.0,-7728,7728,0,0.065,-10,1.0,FALL
2014-05-23,715.0,711.0,721.0,708.0,707393.0,-43284,43284,0,,-10,2.0,RISE
2014-05-26,717.0,718.0,735.0,710.0,984344.0,62354,-62354,0,0.065,-10,2.0,RISE
2014-05-27,705.0,717.0,722.0,697.0,741343.0,58704,-58704,0,0.064,-10,12.0,FALL
2014-05-28,701.0,706.0,727.0,694.0,1004161.0,489,-489,0,0.064,-10,4.0,FALL
2014-05-29,700.0,700.0,713.0,695.0,803138.0,-61644,61644,0,0.065,-10,1.0,FALL
2014-05-30,702.0,701.0,721.0,699.0,1410755.0,42049,-42049,0,0.064,-10,2.0,RISE
2014-06-02,668.0,704.0,708.0,666.0,1438108.0,93251,-93251,0,0.062,-10,34.0,FALL
2014-06-03,670.0,667.0,675.0,653.0,593689.0,-27220,27220,0,0.063,-10,2.0,RISE
2014-06-05,645.0,671.0,675.0,639.0,642067.0,1152,-1152,0,0.063,-10,25.0,FALL
2014-06-09,651.0,643.0,655.0,633.0,423898.0,-94009,94009,0,0.064,-10,6.0,RISE
2014-06-10,674.0,655.0,682.0,650.0,622280.0,-38937,38937,0,0.065,-10,23.0,RISE
2014-06-11,676.0,679.0,682.0,670.0,318907.0,-25541,25541,0,0.065,-10,2.0,RISE
2014-06-12,674.0,676.0,679.0,667.0,302985.0,-39631,39631,0,0.066,-10,2.0,FALL
2014-06-13,669.0,680.0,680.0,662.0,365829.0,11769,-11769,0,0.066,-10,5.0,FALL
2014-06-16,662.0,662.0,673.0,658.0,356513.0,-20587,20587,0,0.066,-10,7.0,FALL
2014-06-17,672.0,663.0,675.0,655.0,454752.0,-77706,77706,0,0.068,-10,10.0,RISE
2014-06-18,660.0,668.0,678.0,660.0,382089.0,29577,-29577,0,0.067,-10,12.0,FALL
2014-06-19,652.0,664.0,668.0,652.0,453303.0,5162,-5162,0,0.067,-10,8.0,FALL
