,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,6990.0,7030.0,7170.0,6940.0,967929.0,-19795,19795,0,0.0336,-213675,140.0,RISE
2020-06-01,6850.0,6800.0,6930.0,6720.0,352262.0,-33983,33983,0,0.033,-213675,20.0,RISE
2020-05-29,6830.0,6890.0,6980.0,6690.0,358320.0,12194,-12194,0,0.032,-213675,110.0,RISE
2020-05-28,6720.0,6840.0,7050.0,6550.0,751155.0,47625,-47625,0,0.0324,-213675,10.0,FALL
2020-05-27,6730.0,6870.0,6870.0,6700.0,308652.0,7084,-7084,0,0.0335,-213675,140.0,FALL
2020-05-26,6870.0,6660.0,6880.0,6650.0,445974.0,-36423,36424,-1,0.0338,-213675,190.0,RISE
2020-05-25,6680.0,6750.0,6760.0,6600.0,446297.0,-32437,32437,0,0.0336,-213674,140.0,FALL
2020-05-22,6820.0,6940.0,6990.0,6760.0,750554.0,20359,-20359,0,0.0324,-213674,250.0,FALL
2020-05-21,7070.0,7180.0,7180.0,7060.0,433343.0,-21671.0,28071.0,-6400.0,0.033,-49366.0,150.0,FALL
2020-05-20,7220.0,7200.0,7300.0,7120.0,501845.0,-270.0,270.0,0.0,0.0322,-42966.0,40.0,RISE
2020-05-19,7180.0,7280.0,7280.0,7020.0,521980.0,394.0,-394.0,0.0,0.0321,-42966.0,20.0,FALL
2020-05-18,7200.0,7120.0,7450.0,6950.0,1218457.0,-28764.0,22364.0,6400.0,0.0322,-42966.0,150.0,RISE
2020-05-15,7050.0,7290.0,7350.0,6970.0,610956.0,15065.0,-15065.0,0.0,0.0309,-49366.0,70.0,FALL
2020-05-14,7120.0,6940.0,7200.0,6900.0,1383991.0,9991.0,-9991.0,0.0,0.0314,-49366.0,310.0,RISE
2020-05-13,6810.0,6780.0,6910.0,6730.0,334663.0,-24001.0,24001.0,0.0,0.0317,-49366.0,40.0,FALL
2020-05-12,6850.0,6880.0,7120.0,6690.0,839773.0,24461.0,-24461.0,0.0,0.0309,-49366.0,70.0,FALL
2020-05-11,6920.0,7150.0,7190.0,6870.0,1472856.0,36987.0,10462.0,-47449.0,0.0338,-49366.0,540.0,FALL
2020-05-08,7460.0,7490.0,7640.0,7300.0,2830359.0,-46096.0,-1352.0,47448.0,0.0316,-1917.0,340.0,RISE
2020-05-07,7120.0,6950.0,7280.0,6810.0,2661203.0,-10512.0,10512.0,0.0,0.0316,-49365.0,330.0,RISE
2020-05-06,6790.0,6860.0,6960.0,6720.0,869253.0,-1276.0,1276.0,0.0,0.0313,-49365.0,10.0,RISE
2020-05-04,6780.0,6870.0,7070.0,6600.0,2115861.0,23789.0,-23789.0,0.0,0.0314,-49365.0,160.0,RISE
2020-04-29,6620.0,6790.0,6830.0,6550.0,1384427.0,-31744.0,31744.0,0.0,0.0323,-49365.0,130.0,FALL
2020-04-28,6750.0,6060.0,7140.0,5940.0,8780046.0,71216.0,-71216.0,0.0,0.0313,-49365.0,720.0,RISE
2020-04-27,6030.0,5990.0,6050.0,5840.0,740592.0,1896.0,-1896.0,0.0,0.0331,-49365.0,290.0,RISE
2020-04-24,5740.0,6370.0,6400.0,5740.0,1800336.0,25947.0,-25947.0,0.0,0.0332,-49365.0,290.0,FALL
2020-04-23,6030.0,5980.0,6190.0,5960.0,903054.0,27180.0,-27180.0,0.0,0.0331,-49365.0,140.0,RISE
2020-04-22,5890.0,5600.0,5950.0,5500.0,727179.0,-42652.0,42652.0,0.0,0.0339,-49365.0,260.0,RISE
2020-04-21,5630.0,5730.0,5820.0,5300.0,570828.0,-16654.0,16654.0,0.0,0.0326,-49365.0,180.0,FALL
2020-04-20,5810.0,5780.0,5970.0,5700.0,484920.0,-13792.0,13792.0,0.0,0.0331,-49365.0,30.0,RISE
2020-04-17,5780.0,5630.0,5850.0,5560.0,786959.0,37711.0,-37711.0,0.0,0.0327,-49365.0,280.0,RISE
2020-04-16,5500.0,5230.0,5500.0,5080.0,390791.0,-17534.0,17534.0,0.0,0.0352,-49365.0,130.0,RISE
2020-04-14,5370.0,5400.0,5540.0,5370.0,274038.0,28939.0,-28940.0,1.0,0.0347,-49365.0,20.0,RISE
