,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,28900.0,28650.0,29150.0,28450.0,14365.0,-4627,3100,1527,0.0167,-31017,200.0,RISE
2020-06-01,28700.0,29350.0,29450.0,28550.0,13553.0,1034,-1037,3,0.016,-32544,650.0,FALL
2020-05-29,29350.0,28900.0,29550.0,28600.0,16613.0,-3128,3730,-602,0.0163,-32547,850.0,RISE
2020-05-28,28500.0,29400.0,29550.0,28400.0,16415.0,2651,-1733,-918,0.0155,-31945,900.0,FALL
2020-05-27,29400.0,29700.0,29750.0,29100.0,12090.0,-1902,1911,-9,0.0158,-31027,350.0,RISE
2020-05-26,29050.0,29050.0,29500.0,28950.0,9592.0,658,-659,1,0.0155,-31018,250.0,FALL
2020-05-25,29300.0,29700.0,29700.0,29200.0,7410.0,-3007,-447,3454,0.0156,-31019,100.0,FALL
2020-05-22,29400.0,30250.0,30250.0,29050.0,20732.0,1326,-1324,-2,0.0157,-34473,850.0,FALL
2020-05-21,30250.0,30650.0,30650.0,29950.0,30075.0,-657.0,661.0,-4.0,0.016,-38099.0,300.0,RISE
2020-05-20,29950.0,29500.0,33600.0,29400.0,144975.0,-3227.0,2479.0,748.0,0.0158,-38095.0,700.0,RISE
2020-05-19,29250.0,29400.0,29450.0,28900.0,13235.0,-2455.0,-602.0,3057.0,0.0153,-38843.0,100.0,RISE
2020-05-18,29150.0,29700.0,29700.0,28850.0,8872.0,-14.0,12.0,2.0,0.0154,-41900.0,0.0,EVEN
2020-05-15,29150.0,28900.0,29200.0,28500.0,10115.0,-1109.0,-326.0,1435.0,0.0154,-41902.0,300.0,RISE
2020-05-14,28850.0,28400.0,29400.0,28400.0,7940.0,-2123.0,-1178.0,3301.0,0.0155,-43337.0,100.0,RISE
2020-05-13,28750.0,28300.0,28800.0,27850.0,30271.0,-22762.0,-211.0,22973.0,0.0157,-46638.0,450.0,RISE
2020-05-12,28300.0,28950.0,28950.0,28000.0,11232.0,-3820.0,-1568.0,5388.0,0.0158,-69611.0,500.0,FALL
2020-05-11,28800.0,28350.0,30100.0,28000.0,27060.0,-958.0,962.0,-4.0,0.0161,-74999.0,800.0,RISE
2020-05-08,28000.0,28000.0,28200.0,27850.0,7286.0,987.0,-932.0,-55.0,0.0159,-74995.0,200.0,FALL
2020-05-07,28200.0,28450.0,28450.0,27700.0,12469.0,1146.0,-1388.0,242.0,0.0161,-74940.0,400.0,FALL
2020-05-06,28600.0,28950.0,28950.0,28400.0,15804.0,-5560.0,-2859.0,8419.0,0.0163,-75182.0,50.0,FALL
2020-05-04,28650.0,29150.0,29950.0,28450.0,17062.0,-119.0,-1062.0,1181.0,0.0169,-83601.0,750.0,FALL
2020-04-29,29400.0,28450.0,29450.0,28300.0,34846.0,-6324.0,3803.0,2521.0,0.0171,-84782.0,950.0,RISE
2020-04-28,28450.0,27950.0,28750.0,27300.0,25642.0,-10655.0,2234.0,8421.0,0.0164,-87303.0,950.0,RISE
2020-04-27,27500.0,27800.0,27850.0,27400.0,10468.0,-1287.0,1286.0,1.0,0.0159,-95724.0,300.0,FALL
2020-04-24,27800.0,27950.0,28050.0,27300.0,18587.0,-6997.0,-2201.0,9198.0,0.0156,-95725.0,100.0,RISE
2020-04-23,27700.0,27550.0,28400.0,26950.0,23153.0,-827.0,-1155.0,1982.0,0.0161,-104923.0,450.0,RISE
2020-04-22,27250.0,26250.0,27550.0,25800.0,20007.0,-4217.0,2088.0,2129.0,0.0163,-106905.0,950.0,RISE
2020-04-21,26300.0,26850.0,26850.0,25500.0,17973.0,2757.0,-2756.0,-1.0,0.0159,-109034.0,550.0,FALL
2020-04-20,26850.0,26900.0,27100.0,26550.0,12233.0,-518.0,589.0,-71.0,0.0165,-109033.0,100.0,FALL
2020-04-17,26950.0,26850.0,27050.0,26500.0,18622.0,32.0,54.0,-86.0,0.0163,-108962.0,400.0,RISE
2020-04-16,26550.0,26450.0,26600.0,26250.0,5614.0,-740.0,741.0,-1.0,0.0163,-108876.0,100.0,RISE
