,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,8390.0,8350.0,8410.0,8120.0,266438.0,-3141,4330,-1189,0.0429,-115270,30.0,FALL
2020-06-01,8420.0,7420.0,9060.0,7420.0,2508293.0,26573,-26213,-360,0.0426,-114081,1000.0,RISE
2020-05-29,7420.0,7480.0,7530.0,7280.0,19114.0,-907,972,-65,0.0443,-113721,50.0,FALL
2020-05-28,7470.0,7300.0,7810.0,7300.0,93104.0,-5123,5252,-129,0.0443,-113656,180.0,RISE
2020-05-27,7290.0,7110.0,7340.0,7100.0,42875.0,577,-577,0,0.0439,-113527,190.0,RISE
2020-05-26,7100.0,7100.0,7330.0,7090.0,30338.0,1436,-1182,-254,0.044,-113527,20.0,RISE
2020-05-25,7080.0,6990.0,7140.0,6980.0,12079.0,-3077,2959,118,0.044,-113273,90.0,RISE
2020-05-22,6990.0,7010.0,7090.0,6940.0,23401.0,-10424,-4408,14832,0.0438,-113391,20.0,FALL
2020-05-21,7010.0,7090.0,7140.0,7010.0,32187.0,-16925.0,1304.0,15621.0,0.0441,-168315.0,0.0,EVEN
2020-05-20,7010.0,6840.0,7130.0,6840.0,25568.0,-5210.0,1902.0,3308.0,0.0441,-183936.0,170.0,RISE
2020-05-19,6840.0,6860.0,7000.0,6820.0,29599.0,-3840.0,856.0,2984.0,0.0439,-187244.0,10.0,RISE
2020-05-18,6830.0,6980.0,7050.0,6660.0,31007.0,-6598.0,-3402.0,10000.0,0.0439,-190228.0,160.0,FALL
2020-05-15,6990.0,7020.0,7050.0,6930.0,14907.0,-1454.0,-8546.0,10000.0,0.0441,-200228.0,20.0,FALL
2020-05-14,7010.0,7110.0,7110.0,6920.0,23749.0,4771.0,-12807.0,8036.0,0.0447,-210228.0,100.0,FALL
2020-05-13,7110.0,7090.0,7150.0,7010.0,17272.0,-2329.0,-7161.0,9490.0,0.0456,-218264.0,10.0,RISE
2020-05-12,7100.0,6990.0,7150.0,6990.0,19099.0,2894.0,-12870.0,9976.0,0.0461,-227754.0,0.0,EVEN
2020-05-11,7100.0,7190.0,7200.0,6980.0,28146.0,780.0,-10716.0,9936.0,0.0469,-237730.0,110.0,FALL
2020-05-08,7210.0,7200.0,7260.0,7110.0,28579.0,6380.0,-6187.0,-193.0,0.0477,-247666.0,30.0,RISE
2020-05-07,7180.0,7100.0,7250.0,7100.0,10944.0,1852.0,-1852.0,0.0,0.0481,-247473.0,60.0,RISE
2020-05-06,7120.0,7050.0,7200.0,7030.0,7217.0,319.0,-181.0,-138.0,0.0482,-247473.0,100.0,RISE
2020-05-04,7020.0,7060.0,7200.0,7000.0,25643.0,393.0,-7047.0,6654.0,0.0482,-247335.0,180.0,FALL
2020-04-29,7200.0,7240.0,7340.0,7150.0,23578.0,5652.0,-5517.0,-135.0,0.0487,-253989.0,0.0,EVEN
2020-04-28,7200.0,7350.0,7390.0,7120.0,16598.0,6021.0,-5539.0,-482.0,0.0491,-253854.0,140.0,FALL
2020-04-27,7340.0,7350.0,7400.0,7210.0,24554.0,7468.0,-6788.0,-680.0,0.0495,-253372.0,10.0,FALL
2020-04-24,7350.0,7300.0,7440.0,7260.0,17052.0,2970.0,-2706.0,-264.0,0.0499,-252692.0,0.0,EVEN
2020-04-23,7350.0,7500.0,7500.0,7020.0,37503.0,407.0,124.0,-531.0,0.0501,-252428.0,160.0,FALL
2020-04-22,7510.0,7040.0,7510.0,6880.0,53318.0,-3261.0,4015.0,-754.0,0.0501,-251897.0,420.0,RISE
2020-04-21,7090.0,7140.0,7140.0,6800.0,43671.0,-5093.0,-4260.0,9353.0,0.0498,-251143.0,40.0,FALL
2020-04-20,7130.0,6980.0,7130.0,6920.0,33511.0,-3590.0,4448.0,-858.0,0.0501,-260496.0,160.0,RISE
2020-04-17,6970.0,6900.0,7070.0,6680.0,22933.0,112.0,-112.0,0.0,0.0498,-259638.0,70.0,RISE
2020-04-16,6900.0,6660.0,6960.0,6500.0,20296.0,-3137.0,-272.0,3409.0,0.0498,-259638.0,240.0,RISE
2020-04-14,6660.0,6470.0,6670.0,6460.0,22307.0,5180.0,-1576.0,-3604.0,0.0498,-263047.0,190.0,RISE
2020-04-13,6470.0,6360.0,6720.0,6300.0,28580.0,-3817.0,-1083.0,4900.0,0.0499,-259443.0,110.0,RISE
2020-04-10,6360.0,6290.0,6360.0,6050.0,33703.0,-190.0,370.0,-180.0,0.05,-264343.0,80.0,RISE
2020-04-09,6280.0,6340.0,6400.0,6220.0,27411.0,-8032.0,-778.0,8810.0,0.05,-264163.0,50.0,FALL
2020-04-08,6330.0,6300.0,6390.0,6150.0,13722.0,3122.0,445.0,-3567.0,0.05,-272973.0,40.0,RISE
2020-04-07,6290.0,6110.0,6300.0,6030.0,34600.0,5397.0,-123.0,-5274.0,0.05,-269406.0,190.0,RISE
2020-04-06,6100.0,5880.0,6120.0,5750.0,41301.0,3569.0,842.0,-4411.0,0.05,-264132.0,230.0,RISE
2020-04-03,5870.0,5870.0,5940.0,5710.0,37388.0,13907.0,-5978.0,-7929.0,0.05,-259721.0,100.0,RISE
2020-04-02,5770.0,5600.0,5770.0,5450.0,33555.0,-6893.0,-1787.0,8680.0,0.0504,-251792.0,170.0,RISE
2020-04-01,5600.0,5740.0,5800.0,5580.0,34706.0,4223.0,-7789.0,3566.0,0.051,-260472.0,130.0,FALL
2020-03-31,5730.0,5690.0,6160.0,5380.0,58533.0,-7646.0,-1223.0,8869.0,0.0516,-264038.0,580.0,RISE
2020-03-30,5150.0,5130.0,5280.0,4850.0,33523.0,8355.0,-7640.0,-715.0,0.0517,-272907.0,90.0,FALL
2020-03-27,5240.0,5200.0,5410.0,5130.0,37914.0,5098.0,-3676.0,-1422.0,0.0522,-272192.0,60.0,RISE
2020-03-26,5180.0,5000.0,5200.0,4940.0,36523.0,6348.0,-4496.0,-1852.0,0.0524,-270770.0,195.0,RISE
2020-03-25,4985.0,4835.0,4985.0,4680.0,49440.0,4368.0,105.0,-4473.0,0.0527,-268918.0,340.0,RISE
2020-03-24,4645.0,4300.0,4645.0,4200.0,68151.0,2825.0,-3931.0,1106.0,0.0523,-264445.0,515.0,RISE
