날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-05-21,7870.0,7950.0,7970.0,7800.0,61919.0,1945,-1933,-12,0.0251,-394021,40.0,FALL
2020-05-20,7910.0,8010.0,8010.0,7860.0,67337.0,-2902,2954,-52,0.0252,-394009,10.0,FALL
2020-05-19,7920.0,7950.0,8030.0,7790.0,105731.0,-707,742,-35,0.025,-393957,40.0,RISE
2020-05-18,7880.0,8280.0,8280.0,7780.0,236802.0,46659,-16268,-30391,0.025,-393922,320.0,FALL
2020-05-15,8200.0,7920.0,8320.0,7900.0,268966.0,6124,8065,-14189,0.026,-363531,290.0,RISE
2020-05-14,7910.0,7850.0,7990.0,7850.0,56347.0,14206,2641,-16847,0.0255,-349342,30.0,FALL
2020-05-13,7940.0,7900.0,7980.0,7830.0,27142.0,96,747,-843,0.0253,-332495,40.0,FALL
2020-05-12,7980.0,8140.0,8140.0,7800.0,76033.0,23381,-13693,-9688,0.0253,-331652,130.0,FALL
2020-05-11,8110.0,8200.0,8230.0,8000.0,82677.0,-556,373,183,0.0261,-321964,70.0,FALL
2020-05-08,8180.0,8130.0,8240.0,8060.0,76430.0,-22996,23083,-87,0.0261,-322147,60.0,RISE
2020-05-07,8120.0,8100.0,8120.0,7960.0,70301.0,-724,-1378,2102,0.0247,-322060,20.0,RISE
2020-05-06,8100.0,8130.0,8140.0,7960.0,70660.0,-4231,-3391,7622,0.0248,-324162,40.0,RISE
2020-05-04,8060.0,8020.0,8170.0,7890.0,108530.0,5145,-5027,-118,0.0266,-331784,50.0,RISE
2020-04-29,8010.0,7760.0,8050.0,7710.0,179952.0,-48085,43468,4617,0.0269,-331666,300.0,RISE
2020-04-28,7710.0,7650.0,7770.0,7620.0,63620.0,-8143,8265,-122,0.0242,-336283,70.0,RISE
2020-04-27,7640.0,7490.0,7670.0,7440.0,94968.0,-29635,29713,-78,0.0237,-336161,160.0,RISE
2020-04-24,7480.0,7580.0,7590.0,7400.0,77441.0,-3847,3798,49,0.0219,-336083,100.0,FALL
2020-04-23,7580.0,7400.0,7620.0,7400.0,97071.0,-38853,38330,523,0.0216,-336132,180.0,RISE
2020-04-22,7400.0,7350.0,7400.0,7100.0,67553.0,-13742,8938,4804,0.0193,-336655,0.0,EVEN
2020-04-21,7400.0,7610.0,7610.0,7000.0,125091.0,5804,-5727,-77,0.0187,-341459,260.0,FALL
2020-04-20,7660.0,7620.0,7740.0,7540.0,69107.0,-13489,13722,-233,0.0191,-341382,30.0,FALL
2020-04-17,7690.0,7750.0,7800.0,7640.0,65991.0,1653,-1653,0,0.0182,-341149,0.0,EVEN
2020-04-16,7690.0,7550.0,7770.0,7300.0,76320.0,-19812,5913,13899,0.0183,-341149,140.0,RISE
2020-04-14,7550.0,7490.0,7650.0,7490.0,100632.0,-10502,10378,124,0.018,-355048,80.0,RISE
2020-04-13,7470.0,7730.0,7780.0,7420.0,90606.0,21806,-27015,5209,0.0173,-355172,260.0,FALL
2020-04-10,7730.0,7450.0,7730.0,7340.0,192206.0,-53699,17092,36607,0.019,-360381,290.0,RISE
2020-04-09,7440.0,7500.0,7550.0,7340.0,94921.0,3057,-3017,-40,0.0179,-396988,10.0,FALL
2020-04-08,7450.0,7300.0,7570.0,7170.0,174012.0,-11333,13647,-2314,0.0181,-396948,200.0,RISE
2020-04-07,7250.0,7340.0,7400.0,7100.0,87315.0,-5872,6218,-346,0.0173,-394634,20.0,RISE
2020-04-06,7230.0,6990.0,7270.0,6980.0,90144.0,-24251,24802,-551,0.0169,-394288,310.0,RISE
2020-04-03,6920.0,6990.0,6990.0,6810.0,59405.0,-6912,6984,-72,0.0154,-393737,70.0,RISE
2020-04-02,6850.0,6840.0,6890.0,6600.0,62368.0,-6044,6044,0,0.0149,-393665,20.0,FALL
2020-04-01,6870.0,6810.0,7070.0,6750.0,89048.0,1786,-1786,0,0.015,-393665,40.0,FALL
2020-03-31,6910.0,7000.0,7100.0,6700.0,110742.0,-8967,8967,0,0.0152,-393665,260.0,RISE
2020-03-30,6650.0,6450.0,6780.0,6350.0,67128.0,-9923,9923,0,0.0146,-393665,50.0,RISE
2020-03-27,6600.0,6860.0,6870.0,6490.0,88567.0,7542,-4445,-3097,0.014,-393665,80.0,FALL
2020-03-26,6680.0,6240.0,6680.0,6100.0,120587.0,-1130,1296,-166,0.0155,-390568,450.0,RISE
2020-03-25,6230.0,6120.0,6290.0,6120.0,130433.0,6672,-7211,539,0.0154,-390402,230.0,RISE
2020-03-24,6000.0,5850.0,6000.0,5610.0,125733.0,15566,-15202,-364,0.0158,-390941,490.0,RISE
2020-03-23,5510.0,5600.0,5600.0,5250.0,144384.0,33164,-32174,-990,0.0168,-390577,260.0,FALL
2020-03-20,5770.0,5380.0,5850.0,5380.0,160426.0,-16692,17022,-330,0.0188,-389587,440.0,RISE
2020-03-19,5330.0,5910.0,6050.0,5270.0,171190.0,-13554,15981,-2427,0.0176,-389257,540.0,FALL
2020-03-18,5870.0,6080.0,6250.0,5870.0,127650.0,22321,-19312,-3009,0.0166,-386830,190.0,FALL
2020-03-17,6060.0,5700.0,6210.0,5360.0,209208.0,-28105,28709,-604,0.0179,-383821,80.0,RISE
2020-03-16,5980.0,6320.0,6650.0,5980.0,128415.0,-1144,2343,-1199,0.0163,-383217,370.0,FALL
2020-03-13,6350.0,6000.0,6500.0,5780.0,208156.0,-3274,3506,-232,0.0162,-382018,450.0,FALL
2020-03-12,6800.0,7380.0,7380.0,6640.0,351599.0,31767,-30096,-1671,0.0159,-381786,640.0,FALL
2020-03-11,7440.0,7930.0,7930.0,7270.0,244140.0,61044,-59735,-1309,0.0176,-380115,400.0,FALL
2020-03-10,7840.0,7690.0,7840.0,7590.0,197686.0,4257,-3677,-580,0.0206,-378806,10.0,FALL
2020-03-09,7850.0,8330.0,8500.0,7820.0,301127.0,75385,-72767,-2618,0.0208,-378226,630.0,FALL
2020-03-06,8480.0,8400.0,8540.0,8230.0,196360.0,47520,-47433,-87,0.0253,-375608,30.0,RISE
2020-03-05,8450.0,8330.0,8590.0,8250.0,288833.0,-21851,23633,-1782,0.0283,-375521,220.0,RISE
2020-03-04,8230.0,7890.0,8360.0,7850.0,314419.0,-17554,17812,-258,0.0268,-373739,340.0,RISE
2020-03-03,7890.0,7900.0,8000.0,7780.0,131596.0,13343,-14607,1264,0.0256,-373481,180.0,RISE
2020-03-02,7710.0,7730.0,7850.0,7590.0,158775.0,14981,-14974,-7,0.0265,-374745,130.0,RISE
2020-02-28,7580.0,8180.0,8180.0,7490.0,417779.0,50189,-50090,-99,0.0273,-374738,660.0,FALL
2020-02-27,8240.0,8730.0,8800.0,8100.0,386626.0,21270,-21055,-215,0.0299,-374639,480.0,FALL
2020-02-26,8720.0,8920.0,9180.0,8640.0,501711.0,77284,-77284,0,0.0309,-374424,60.0,FALL
2020-02-25,8780.0,10300.0,10350.0,8780.0,1206196.0,156927,-153363,-3564,0.0346,-374424,920.0,FALL
2020-02-24,9700.0,9010.0,10200.0,8810.0,2463428.0,-74085,74464,-379,0.0441,-370860,1120.0,RISE
2020-02-21,8580.0,8730.0,8800.0,8510.0,115517.0,28814,-28814,0,0.0394,-370481,20.0,FALL
2020-02-20,8600.0,8540.0,8930.0,8450.0,157452.0,-39116,40583,-1467,0.0412,-370481,60.0,RISE
2020-02-19,8540.0,8300.0,8600.0,8300.0,81519.0,-12802,13085,-283,0.0387,-369014,200.0,RISE
2020-02-18,8340.0,8310.0,8380.0,8290.0,46319.0,5614,-4603,-1011,0.0378,-368731,30.0,RISE
2020-02-17,8310.0,8340.0,8440.0,8180.0,68358.0,8474,-8117,-357,0.038,-367720,30.0,FALL
2020-02-14,8340.0,8490.0,8490.0,8250.0,139986.0,23455,-23430,-25,0.0385,-367363,150.0,FALL
2020-02-13,8490.0,8690.0,8700.0,8400.0,86892.0,6937,-6652,-285,0.0399,-367338,120.0,FALL
2020-02-12,8610.0,8640.0,8720.0,8600.0,45533.0,-1214,1422,-208,0.0403,-367053,30.0,FALL
2020-02-11,8640.0,8650.0,8730.0,8540.0,40053.0,-6239,6282,-43,0.0399,-366845,10.0,RISE
2020-02-10,8630.0,8590.0,8680.0,8520.0,37474.0,-3226,3562,-336,0.0395,-366802,40.0,RISE
2020-02-07,8590.0,8650.0,8650.0,8460.0,52079.0,16253,-16253,0,0.0393,-366466,30.0,FALL
2020-02-06,8620.0,8550.0,8660.0,8540.0,38517.0,4708,-4246,-462,0.0403,-366466,30.0,RISE
2020-02-05,8590.0,8730.0,8790.0,8510.0,66413.0,12250,-10784,-1466,0.0406,-366004,80.0,FALL
2020-02-04,8670.0,8700.0,8760.0,8100.0,91508.0,-7021,7634,-613,0.0412,-364538,20.0,FALL
2020-02-03,8690.0,8530.0,8930.0,8480.0,306706.0,-1182,1576,-394,0.0408,-363925,250.0,RISE
2020-01-31,8440.0,8540.0,8700.0,8260.0,153523.0,24950,-11789,-13161,0.0407,-363531,50.0,FALL
2020-01-30,8490.0,8680.0,8700.0,8300.0,134379.0,16672,-16350,-322,0.0414,-350370,190.0,FALL
2020-01-29,8680.0,8820.0,8850.0,8590.0,77192.0,17810,-17810,0,0.0424,-350048,90.0,FALL
2020-01-28,8770.0,8830.0,8950.0,8620.0,165891.0,10300,-5909,-4391,0.0435,-350048,300.0,FALL
2020-01-23,9070.0,9150.0,9230.0,8940.0,76001.0,14728,-17868,3140,0.0439,-345657,80.0,FALL
2020-01-22,9150.0,8810.0,9220.0,8810.0,344968.0,16269,-21132,4863,0.045,-348797,340.0,RISE
2020-01-21,8810.0,8530.0,8850.0,8530.0,289599.0,-40515,32238,8277,0.0463,-353660,240.0,RISE
2020-01-20,8570.0,8450.0,8650.0,8450.0,44103.0,-12803,12814,-11,0.0443,-361937,110.0,RISE
2020-01-17,8460.0,8680.0,8680.0,8450.0,48385.0,15331,-15263,-68,0.0435,-361926,180.0,FALL
2020-01-16,8640.0,8620.0,8730.0,8540.0,67520.0,-14300,14707,-407,0.0445,-361858,40.0,RISE
2020-01-15,8600.0,8420.0,8650.0,8410.0,43569.0,-14721,14791,-70,0.0435,-361451,110.0,RISE
2020-01-14,8490.0,8550.0,8560.0,8410.0,17817.0,4930,-4485,-445,0.0426,-361381,30.0,FALL
2020-01-13,8520.0,8530.0,8530.0,8400.0,13142.0,1377,-1377,0,0.0426,-360936,10.0,FALL
2020-01-10,8530.0,8310.0,8570.0,8310.0,84686.0,-32403,32672,-269,0.0427,-360936,220.0,RISE
2020-01-09,8310.0,8130.0,8360.0,8130.0,35760.0,-13479,13532,-53,0.0407,-360667,260.0,RISE
2020-01-08,8050.0,8250.0,8320.0,7960.0,114985.0,28518,-28298,-220,0.0398,-360614,280.0,FALL
2020-01-07,8330.0,8370.0,8490.0,8270.0,48731.0,21914,-21878,-36,0.0416,-360394,80.0,FALL
2020-01-06,8410.0,8440.0,8460.0,8330.0,56596.0,16743,-16629,-114,0.0429,-360358,90.0,FALL
2020-01-03,8500.0,8630.0,8630.0,8410.0,29817.0,8969,-8896,-73,0.044,-360244,80.0,FALL
2020-01-02,8580.0,8210.0,8610.0,8180.0,131441.0,-44955,45119,-164,0.0445,-360171,370.0,RISE
2019-12-30,8210.0,8410.0,8410.0,8190.0,73774.0,17125,-17075,-50,0.0417,-360007,200.0,FALL
2019-12-27,8410.0,8350.0,8450.0,8300.0,23784.0,195,-32,-163,0.0428,-359957,30.0,RISE
2019-12-26,8380.0,8350.0,8510.0,8270.0,29482.0,3109,-2938,-171,0.0428,-359794,50.0,FALL
2019-12-24,8430.0,8350.0,8570.0,8350.0,15427.0,1534,-1405,-129,0.0429,-359623,10.0,RISE
2019-12-23,8420.0,8660.0,8690.0,8310.0,104301.0,26843,-26802,-41,0.043,-359494,200.0,FALL
2019-12-20,8620.0,8460.0,8650.0,8380.0,78437.0,1752,-1690,-62,0.0447,-359453,160.0,RISE
2019-12-19,8460.0,8550.0,8600.0,8370.0,34471.0,10294,-9019,-1275,0.0448,-359391,90.0,FALL
2019-12-18,8550.0,8400.0,8620.0,8380.0,94591.0,-28638,29079,-441,0.0453,-358116,200.0,RISE
2019-12-17,8350.0,8260.0,8380.0,8260.0,55235.0,17707,13938,-31645,0.0435,-357675,70.0,RISE
2019-12-16,8280.0,8320.0,8360.0,8170.0,51740.0,4627,-4189,-438,0.0427,-326030,50.0,FALL
2019-12-13,8330.0,8370.0,8430.0,8250.0,28418.0,-4610,5096,-486,0.0429,-325592,50.0,RISE
2019-12-12,8280.0,8200.0,8370.0,8190.0,23883.0,-3943,4271,-328,0.0426,-325106,80.0,RISE
2019-12-11,8200.0,8280.0,8280.0,8110.0,27303.0,785,-685,-100,0.0424,-324778,90.0,FALL
2019-12-10,8290.0,8350.0,8400.0,8150.0,41194.0,2343,-2328,-15,0.0424,-324678,0.0,EVEN
2019-12-09,8290.0,8140.0,8310.0,8060.0,21677.0,-11499,11612,-113,0.0425,-324663,150.0,RISE
2019-12-06,8140.0,7980.0,8150.0,7900.0,23113.0,-5079,5137,-58,0.0418,-324550,240.0,RISE
2019-12-05,7900.0,8030.0,8030.0,7710.0,61150.0,4931,-4861,-70,0.0415,-324492,60.0,RISE
2019-12-04,7840.0,8000.0,8010.0,7790.0,45120.0,8398,-8398,0,0.0418,-324422,160.0,FALL
2019-12-03,8000.0,8100.0,8100.0,7910.0,19638.0,7136,-6934,-202,0.0417,-324422,110.0,FALL
2019-12-02,8110.0,8200.0,8200.0,8040.0,14360.0,4993,-4847,-146,0.0421,-324220,10.0,RISE
2019-11-29,8100.0,8160.0,8240.0,7990.0,21297.0,4478,-3927,-551,0.0424,-324074,70.0,FALL
2019-11-28,8170.0,8300.0,8300.0,8170.0,14995.0,938,-2422,1484,0.0427,-323523,130.0,FALL
2019-11-27,8300.0,8310.0,8410.0,8230.0,16315.0,2049,-2535,486,0.0428,-325007,40.0,FALL
2019-11-26,8340.0,8330.0,8400.0,8300.0,7982.0,-2148,1289,859,0.043,-325493,10.0,RISE
2019-11-25,8330.0,8210.0,8410.0,8210.0,22374.0,-3585,1668,1917,0.0429,-326352,120.0,RISE
2019-11-22,8210.0,8030.0,8300.0,8010.0,46169.0,-10336,10632,-296,0.0428,-328269,160.0,RISE
2019-11-21,8050.0,8120.0,8120.0,7820.0,79805.0,10861,-10874,13,0.0422,-327973,10.0,FALL
2019-11-20,8060.0,8380.0,8440.0,8020.0,57922.0,9240,-9206,-34,0.0428,-327986,290.0,FALL
2019-11-19,8350.0,8370.0,8390.0,8280.0,31078.0,-10330,4158,6172,0.0434,-327952,0.0,EVEN
2019-11-18,8350.0,8420.0,8420.0,8330.0,38391.0,-2131,-3573,5704,0.0431,-334124,70.0,FALL
2019-11-15,8420.0,8550.0,8550.0,8360.0,28062.0,2365,-1580,-785,0.0434,-339828,130.0,FALL
2019-11-14,8550.0,8620.0,8620.0,8250.0,22369.0,7642,-7084,-558,0.0435,-339043,30.0,FALL
2019-11-13,8580.0,8520.0,8620.0,8500.0,16566.0,5984,-5553,-431,0.0439,-338485,20.0,FALL
2019-11-12,8600.0,8600.0,8630.0,8480.0,15534.0,6344,-6303,-41,0.0442,-338054,0.0,EVEN
2019-11-11,8600.0,8550.0,8640.0,8520.0,10038.0,2442,-2442,0,0.0446,-338013,50.0,RISE
2019-11-08,8550.0,8310.0,8630.0,8300.0,36309.0,-6635,6753,-118,0.0448,-338013,210.0,RISE
2019-11-07,8340.0,8380.0,8400.0,8240.0,34003.0,-2333,1077,1256,0.0444,-337895,20.0,FALL
2019-11-06,8360.0,8360.0,8430.0,8300.0,16687.0,-941,1452,-511,0.0443,-339151,20.0,FALL
2019-11-05,8380.0,8460.0,8470.0,8340.0,12271.0,3860,-3514,-346,0.0442,-338640,90.0,FALL
2019-11-04,8470.0,8390.0,8500.0,8330.0,15682.0,3267,-3075,-192,0.0444,-338294,80.0,RISE
2019-11-01,8390.0,8230.0,8410.0,8120.0,43097.0,-6497,6497,0,0.0446,-338102,190.0,RISE
2019-10-31,8200.0,8160.0,8270.0,8150.0,16592.0,-2084,2220,-136,0.0442,-338102,0.0,EVEN
2019-10-30,8200.0,8150.0,8230.0,8120.0,36027.0,7799,-7668,-131,0.0441,-337966,20.0,FALL
2019-10-29,8220.0,8160.0,8250.0,8150.0,10737.0,4671,-4671,0,0.0446,-337835,20.0,RISE
2019-10-28,8200.0,8180.0,8300.0,8140.0,15751.0,1303,-1041,-262,0.0449,-337835,20.0,RISE
2019-10-25,8180.0,8320.0,8320.0,8130.0,24296.0,8236,-7714,-522,0.0449,-337573,120.0,FALL
2019-10-24,8300.0,8370.0,8370.0,8110.0,20411.0,7689,-7600,-89,0.0454,-337051,20.0,RISE
2019-10-23,8280.0,8380.0,8400.0,8210.0,30248.0,5918,-5718,-200,0.0459,-336962,100.0,FALL
2019-10-22,8380.0,8310.0,8390.0,8310.0,24071.0,5800,-5324,-476,0.0462,-336762,0.0,EVEN
2019-10-21,8380.0,8400.0,8400.0,8230.0,16916.0,3813,-3746,-67,0.0466,-336286,10.0,FALL
2019-10-18,8390.0,8360.0,8450.0,8330.0,18677.0,-292,398,-106,0.0467,-336219,30.0,RISE
2019-10-17,8360.0,8450.0,8450.0,8260.0,22806.0,4175,-4000,-175,0.0467,-336113,50.0,FALL
2019-10-16,8410.0,8410.0,8450.0,8370.0,11573.0,2916,-2872,-44,0.0469,-335938,30.0,FALL
2019-10-15,8440.0,8470.0,8480.0,8360.0,18158.0,1603,-1520,-83,0.0471,-335894,50.0,FALL
2019-10-14,8490.0,8300.0,8510.0,8260.0,31162.0,3395,-3395,0,0.0472,-335811,190.0,RISE
2019-10-11,8300.0,8200.0,8340.0,8110.0,24126.0,-1808,2426,-618,0.0474,-335811,210.0,RISE
2019-10-10,8090.0,8240.0,8240.0,8010.0,25352.0,1483,-1388,-95,0.0472,-335193,90.0,FALL
2019-10-08,8180.0,8170.0,8260.0,8000.0,17191.0,7458,-7310,-148,0.0473,-335098,40.0,RISE
2019-10-07,8140.0,8340.0,8370.0,8000.0,91053.0,2862,-2793,-69,0.0478,-334950,140.0,FALL
2019-10-04,8280.0,8400.0,8400.0,8270.0,21723.0,9255,-8971,-284,0.048,-334881,100.0,FALL
2019-10-02,8380.0,8490.0,8540.0,8320.0,26402.0,9071,-9051,-20,0.0482,-334597,120.0,FALL
2019-10-01,8500.0,8550.0,8570.0,8400.0,18212.0,2929,-2494,-435,0.0488,-334577,0.0,EVEN
2019-09-30,8500.0,8580.0,8580.0,8380.0,20440.0,5345,-4466,-879,0.0489,-334142,90.0,FALL
2019-09-27,8590.0,8700.0,8710.0,8490.0,24506.0,12412,-12349,-63,0.0492,-333263,80.0,FALL
2019-09-26,8670.0,8570.0,8750.0,8560.0,32261.0,10973,-10645,-328,0.05,-333200,100.0,RISE
2019-09-25,8570.0,8820.0,8860.0,8560.0,29957.0,10193,-10193,0,0.0506,-332872,250.0,FALL
2019-09-24,8820.0,8770.0,8840.0,8750.0,14283.0,5380,-4734,-646,0.0512,-332872,30.0,FALL
2019-09-23,8850.0,8960.0,8960.0,8820.0,8821.0,2444,-1875,-569,0.0515,-332226,120.0,FALL
2019-09-20,8970.0,9040.0,9110.0,8900.0,17253.0,3399,-3399,0,0.0517,-331657,80.0,FALL
2019-09-19,9050.0,8930.0,9070.0,8930.0,15816.0,3332,-3015,-317,0.0519,-331657,0.0,EVEN
2019-09-18,9050.0,9050.0,9100.0,8950.0,29692.0,6214,-5485,-729,0.0521,-331340,0.0,EVEN
2019-09-17,9050.0,9000.0,9120.0,8960.0,18824.0,3618,-3618,0,0.0524,-330611,40.0,RISE
2019-09-16,9010.0,8690.0,9040.0,8650.0,68716.0,-71,71,0,0.0526,-330611,370.0,RISE
2019-09-11,8640.0,8690.0,8700.0,8630.0,21573.0,5497,-5368,-129,0.0526,-330611,10.0,RISE
2019-09-10,8630.0,8650.0,8650.0,8520.0,20722.0,1517,-1181,-336,0.0529,-330482,60.0,RISE
2019-09-09,8570.0,8760.0,8760.0,8540.0,46752.0,13376,-13292,-84,0.053,-330146,170.0,FALL
2019-09-06,8740.0,8780.0,8780.0,8700.0,14228.0,3610,-3438,-172,0.0538,-330062,0.0,EVEN
2019-09-05,8740.0,8750.0,8790.0,8700.0,38760.0,-13078,14048,-970,0.0541,-329890,0.0,EVEN
2019-09-04,8740.0,8930.0,8930.0,8610.0,116489.0,10654,-10654,0,0.0532,-328920,170.0,FALL
2019-09-03,8910.0,9000.0,9030.0,8760.0,33132.0,6896,-6889,-7,0.0538,-328920,90.0,FALL
2019-09-02,9000.0,9050.0,9050.0,8810.0,47466.0,8063,-7809,-254,0.0543,-328913,0.0,EVEN
2019-08-30,9000.0,8900.0,9140.0,8880.0,37850.0,-2823,2823,0,0.0548,-328659,100.0,RISE
2019-08-29,8900.0,8800.0,8940.0,8720.0,47590.0,-935,971,-36,0.0546,-328659,70.0,RISE
2019-08-28,8830.0,8570.0,8950.0,8570.0,133184.0,17777,-17777,0,0.0545,-328623,330.0,RISE
2019-08-27,8500.0,8530.0,8550.0,8320.0,27811.0,3938,-3904,-34,0.0556,-328623,120.0,RISE
2019-08-26,8380.0,8600.0,8600.0,8270.0,47898.0,13921,-13799,-122,0.0559,-328589,340.0,FALL
2019-08-23,8720.0,8550.0,8910.0,8400.0,51106.0,1016,-1016,0,0.0567,-328467,160.0,RISE
2019-08-22,8560.0,8810.0,8890.0,8490.0,76132.0,5880,-5756,-124,0.0569,-328467,170.0,FALL
2019-08-21,8730.0,8740.0,8820.0,8670.0,57040.0,-2149,2278,-129,0.0573,-328343,90.0,FALL
2019-08-20,8820.0,8800.0,8850.0,8690.0,39680.0,-29,1291,-1262,0.0571,-328214,60.0,RISE
2019-08-19,8760.0,8940.0,8960.0,8650.0,103606.0,11063,-2465,-8598,0.057,-326952,180.0,FALL
2019-08-16,8940.0,9310.0,9310.0,8840.0,132803.0,46480,-27975,-18505,0.0572,-318354,550.0,FALL
2019-08-14,9490.0,9500.0,9690.0,9390.0,79104.0,-9008,9279,-271,0.0589,-299849,50.0,RISE
2019-08-13,9440.0,9180.0,9440.0,9020.0,51053.0,8489,-8350,-139,0.0583,-299578,250.0,RISE
2019-08-12,9190.0,8850.0,9320.0,8740.0,43855.0,6020,-6020,0,0.0588,-299439,390.0,RISE
2019-08-09,8800.0,8830.0,8980.0,8700.0,38792.0,8999,-8853,-146,0.0592,-299439,30.0,RISE
2019-08-08,8770.0,8580.0,8850.0,8400.0,38789.0,2157,-1829,-328,0.0598,-299293,360.0,RISE
2019-08-07,8410.0,8430.0,8530.0,8220.0,38917.0,4846,-4663,-183,0.0599,-298965,120.0,RISE
2019-08-06,8290.0,8050.0,8480.0,8000.0,95529.0,-29325,31662,-2337,0.0602,-298782,50.0,FALL
2019-08-05,8340.0,8860.0,8900.0,8300.0,100280.0,-4448,5083,-635,0.0582,-296445,590.0,FALL
2019-08-02,8930.0,8900.0,9000.0,8780.0,59572.0,4220,1447,-5667,0.0579,-295810,140.0,FALL
2019-08-01,9070.0,9110.0,9150.0,8930.0,14141.0,1481,-1384,-97,0.0578,-290143,50.0,FALL
2019-07-31,9120.0,9130.0,9150.0,8770.0,25705.0,5227,-4631,-596,0.0579,-290046,10.0,FALL
2019-07-30,9130.0,8900.0,9160.0,8890.0,30880.0,-8877,9065,-188,0.0582,-289450,230.0,RISE
2019-07-29,8900.0,9110.0,9190.0,8830.0,97335.0,-9092,11775,-2683,0.0576,-289262,290.0,FALL
2019-07-26,9190.0,9300.0,9300.0,9040.0,94833.0,-20486,25110,-4624,0.0569,-286579,60.0,FALL
2019-07-25,9250.0,9570.0,9570.0,9180.0,123545.0,18253,-18353,100,0.0553,-281955,330.0,FALL
2019-07-24,9580.0,9630.0,9680.0,9540.0,36397.0,3056,-2518,-538,0.0565,-282055,60.0,FALL
2019-07-23,9640.0,9710.0,9720.0,9510.0,52152.0,-3229,3525,-296,0.0565,-281517,70.0,FALL
2019-07-22,9710.0,9700.0,9710.0,9450.0,50721.0,-1788,2641,-853,0.0563,-281221,10.0,RISE
2019-07-19,9700.0,9630.0,9750.0,9630.0,26309.0,-1418,1993,-575,0.0561,-280368,70.0,RISE
2019-07-18,9630.0,9590.0,9680.0,9430.0,61037.0,-5720,5702,18,0.056,-279793,10.0,FALL
2019-07-17,9640.0,9840.0,10050.0,9500.0,104553.0,14257,-2341,-11916,0.0556,-279811,200.0,FALL
2019-07-16,9840.0,9840.0,9890.0,9710.0,29737.0,-363,675,-312,0.0558,-267895,0.0,EVEN
2019-07-15,9840.0,9930.0,9980.0,9740.0,50376.0,2536,-3816,1280,0.0557,-267583,90.0,FALL
2019-07-12,9930.0,10100.0,10200.0,9860.0,100330.0,-2922,3159,-237,0.056,-268863,170.0,FALL
2019-07-11,10100.0,10300.0,10350.0,10050.0,37955.0,6831,-6601,-230,0.0558,-268626,100.0,FALL
2019-07-10,10200.0,9950.0,10200.0,9950.0,32787.0,-1566,2338,-772,0.0562,-268396,210.0,RISE
2019-07-09,9990.0,9760.0,10100.0,9760.0,91180.0,-26239,26268,-29,0.056,-267624,200.0,RISE
2019-07-08,9790.0,10300.0,10300.0,9780.0,132932.0,-2028,1447,581,0.0544,-267595,510.0,FALL
2019-07-05,10300.0,10500.0,10550.0,10200.0,156115.0,-15891,15857,34,0.0543,-268176,150.0,FALL
2019-07-04,10450.0,10600.0,10700.0,10350.0,48830.0,3959,-3591,-368,0.0533,-268210,150.0,FALL
2019-07-03,10600.0,10800.0,10800.0,10550.0,50020.0,11552,-10837,-715,0.0535,-267842,150.0,FALL
2019-07-02,10750.0,10700.0,10800.0,10500.0,48721.0,1814,-1937,123,0.0542,-267127,50.0,RISE
2019-07-01,10700.0,10650.0,10900.0,10550.0,68654.0,1340,-853,-487,0.0543,-267250,50.0,RISE
