날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-09,5800.0,5850.0,6000.0,5670.0,16769.0,-5074,5080,-6,0.004,-70,50.0,FALL
2014-04-10,5790.0,5800.0,5860.0,5770.0,10430.0,-1310,1310,0,0.005,-70,10.0,FALL
2014-04-11,5800.0,5850.0,5850.0,5730.0,8520.0,440,-440,0,0.005,-70,10.0,RISE
2014-04-14,5740.0,5700.0,5850.0,5700.0,16270.0,670,-670,0,0.005,-70,60.0,FALL
2014-04-15,5610.0,5760.0,5790.0,5520.0,42770.0,2100,-2100,0,0.004,-70,130.0,FALL
2014-04-16,5370.0,5630.0,5630.0,5340.0,39186.0,940,-940,0,0.004,-70,240.0,FALL
2014-04-17,5450.0,5370.0,5490.0,5310.0,17914.0,-3360,3360,0,0.005,-70,80.0,RISE
2014-04-18,5800.0,5440.0,5900.0,5430.0,39830.0,-480,480,0,0.005,-70,350.0,RISE
2014-04-21,5620.0,5730.0,5800.0,5590.0,28096.0,-180,180,0,0.005,-70,180.0,FALL
2014-04-22,5640.0,5540.0,5690.0,5470.0,19320.0,140,-140,0,0.005,-70,20.0,RISE
2014-04-23,5630.0,5730.0,5730.0,5560.0,7800.0,2090,-2090,0,0.004,-70,10.0,FALL
2014-04-24,5350.0,5640.0,5640.0,5350.0,20780.0,760,-760,0,0.004,-70,280.0,FALL
2014-04-25,5300.0,5350.0,5440.0,5260.0,15852.0,220,-190,-30,0.004,-100,50.0,FALL
2014-04-28,5320.0,5300.0,5380.0,5200.0,5000.0,-240,250,-10,0.004,-110,20.0,RISE
2014-04-29,5550.0,5330.0,5690.0,5330.0,19980.0,520,-520,0,0.004,-110,230.0,RISE
2014-04-30,5540.0,5570.0,5700.0,5490.0,16567.0,-989,990,-1,0.004,-111,10.0,FALL
2014-05-02,5580.0,5450.0,5660.0,5430.0,9773.0,-150,150,0,0.004,-111,40.0,RISE
2014-05-07,5500.0,5580.0,5680.0,5440.0,8560.0,530,-530,0,0.004,-111,80.0,FALL
2014-05-08,5080.0,5470.0,5470.0,4680.0,153742.0,2520,-2520,0,0.004,-111,420.0,FALL
2014-05-09,5200.0,5120.0,5740.0,4960.0,79123.0,-2790,2790,0,0.004,-111,120.0,RISE
2014-05-12,5200.0,5360.0,5520.0,5180.0,39912.0,1510,-1510,0,0.004,-111,0.0,EVEN
2014-05-13,5200.0,5350.0,5350.0,5150.0,22590.0,-1670,1670,0,0.004,-111,0.0,EVEN
2014-05-14,5420.0,5290.0,5540.0,5150.0,30413.0,-4790,4800,-10,0.003,-121,220.0,RISE
2014-05-15,5370.0,5390.0,5460.0,5350.0,16000.0,-580,580,0,0.003,-121,50.0,FALL
2014-05-16,5550.0,5370.0,5630.0,5300.0,29921.0,-1170,1170,0,0.004,-121,180.0,RISE
2014-05-19,6380.0,5650.0,6380.0,5650.0,215765.0,853,-850,-3,0.004,-124,830.0,UPPER_LIMIT
2014-05-20,6300.0,6600.0,6940.0,5950.0,198873.0,6220,-6220,0,0.003,-124,80.0,FALL
2014-05-21,6050.0,6220.0,6430.0,5930.0,120659.0,-540,540,0,0.003,-124,250.0,FALL
2014-05-22,5960.0,6110.0,6110.0,5740.0,63690.0,1650,-1650,0,0.003,-124,90.0,FALL
2014-05-23,5800.0,5910.0,5980.0,5660.0,42880.0,2280,-2280,0,0.003,-124,160.0,FALL
2014-05-26,5790.0,5890.0,5890.0,5680.0,30760.0,250,-240,-10,0.003,-134,10.0,FALL
2014-05-27,5790.0,5770.0,5850.0,5630.0,29374.0,1590,-1590,0,0.002,-134,0.0,EVEN
2014-05-28,5650.0,5730.0,5750.0,5450.0,63854.0,6311,-6310,-1,0.002,-135,140.0,FALL
2014-05-29,5420.0,5610.0,5690.0,5400.0,18330.0,620,-620,0,0.002,-135,230.0,FALL
2014-05-30,5300.0,5470.0,5480.0,5280.0,17893.0,260,-260,0,0.002,-135,120.0,FALL
2014-06-02,5490.0,5300.0,5500.0,5160.0,31988.0,1029,-896,-133,0.001,-268,190.0,RISE
2014-06-03,5320.0,5490.0,5540.0,5160.0,22231.0,20,-11,-9,0.001,-277,170.0,FALL
2014-06-05,5170.0,5350.0,5350.0,5080.0,15347.0,1434,-1427,-7,0.001,-284,150.0,FALL
2014-06-09,5500.0,5200.0,5570.0,5200.0,44272.0,2984,-2749,-235,0.001,-519,330.0,RISE
2014-06-10,5400.0,5690.0,5690.0,5340.0,7419.0,618,-618,0,0.001,-519,100.0,FALL
2014-06-11,5390.0,5310.0,5470.0,5110.0,16989.0,-286,287,-1,0.001,-520,10.0,FALL
2014-06-12,5600.0,5400.0,5630.0,5340.0,25957.0,-716,716,0,0.001,-520,210.0,RISE
2014-06-13,5600.0,5600.0,5690.0,5310.0,23584.0,344,-333,-11,0.001,-531,0.0,EVEN
2014-06-16,5470.0,5680.0,5680.0,5470.0,3766.0,117,-117,0,0.001,-531,130.0,FALL
2014-06-17,5500.0,5470.0,5570.0,5330.0,29295.0,-1757,1757,0,0.001,-531,30.0,RISE
2014-06-18,5570.0,5590.0,5600.0,5400.0,18908.0,-358,358,0,0.001,-531,70.0,RISE
2014-06-19,5560.0,5550.0,5700.0,5400.0,9451.0,572,-572,0,0.001,-531,10.0,FALL
2014-06-20,5530.0,5600.0,5600.0,5420.0,9636.0,519,-511,-8,0.001,-539,30.0,FALL
2014-06-23,5400.0,5600.0,5600.0,5290.0,12693.0,-352,352,0,0.001,-539,130.0,FALL
2014-06-24,5430.0,5400.0,5440.0,5300.0,9391.0,-1212,1212,0,0.001,-539,30.0,RISE
2014-06-25,5440.0,5430.0,5530.0,5300.0,21479.0,3,-3,0,0.001,-539,10.0,RISE
2014-06-26,6250.0,5310.0,6250.0,5300.0,494582.0,2656,-2656,0,0.001,-539,810.0,UPPER_LIMIT
2014-06-27,5960.0,6600.0,7110.0,5940.0,679413.0,1451,-1451,0,0.001,-539,290.0,FALL
2014-06-30,5750.0,6040.0,6050.0,5710.0,80700.0,-1011,1011,0,0.001,-539,210.0,FALL
2014-07-01,5900.0,5780.0,5900.0,5600.0,69224.0,-3263,3263,0,0.001,-539,150.0,RISE
2014-07-02,5850.0,5950.0,5990.0,5710.0,64217.0,1750,-1750,0,0.001,-539,50.0,FALL
2014-07-03,6230.0,5900.0,6480.0,5730.0,176689.0,-5329,5329,0,0.002,-539,380.0,RISE
2014-07-04,6360.0,6230.0,6800.0,6190.0,222785.0,1587,-1587,0,0.002,-539,130.0,RISE
2014-07-07,6660.0,6380.0,6970.0,6360.0,122546.0,5518,-5518,0,0.001,-539,300.0,RISE
2014-07-08,6470.0,6880.0,6880.0,6460.0,50255.0,1293,-1293,0,0.001,-539,190.0,FALL
2014-07-09,6440.0,6440.0,6600.0,6330.0,41701.0,-4499,4499,0,0.002,-539,30.0,FALL
