,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,6230.0,6250.0,6250.0,6100.0,11123.0,2561,-2084,-477,0.0922,-243098,60.0,RISE
2020-06-01,6170.0,6150.0,6270.0,6140.0,9408.0,3009,-3012,3,0.0924,-242621,0.0,EVEN
2020-05-29,6170.0,6120.0,6210.0,6070.0,5962.0,2266,-1814,-452,0.0928,-242624,50.0,RISE
2020-05-28,6120.0,6200.0,6260.0,6070.0,14768.0,5136,-4973,-163,0.093,-242172,30.0,FALL
2020-05-27,6150.0,6120.0,6330.0,6100.0,24350.0,4126,-4120,-6,0.0936,-242009,30.0,RISE
2020-05-26,6120.0,6050.0,6250.0,6040.0,13409.0,3749,-3744,-5,0.0941,-242003,30.0,RISE
2020-05-25,6090.0,6110.0,6340.0,6000.0,13962.0,4465,-4467,2,0.0946,-241998,20.0,FALL
2020-05-22,6110.0,6400.0,6490.0,6070.0,16055.0,3771,-3740,-31,0.0951,-242000,240.0,FALL
2020-05-21,6350.0,6190.0,6450.0,6100.0,27457.0,7459.0,-7436.0,-23.0,0.0956,-247179.0,160.0,RISE
2020-05-20,6190.0,6050.0,6280.0,5890.0,40884.0,-7187.0,-8653.0,15840.0,0.0965,-247156.0,160.0,RISE
2020-05-19,6030.0,5950.0,6060.0,5900.0,12325.0,846.0,-752.0,-94.0,0.0976,-262996.0,130.0,RISE
2020-05-18,5900.0,5860.0,5920.0,5700.0,9023.0,-256.0,253.0,3.0,0.0977,-262902.0,40.0,RISE
2020-05-15,5860.0,5810.0,5930.0,5810.0,5824.0,12.0,-55.0,43.0,0.0977,-262905.0,110.0,RISE
2020-05-14,5750.0,5970.0,6040.0,5700.0,12228.0,208.0,-195.0,-13.0,0.0977,-262948.0,220.0,FALL
2020-05-13,5970.0,5840.0,5970.0,5840.0,5185.0,440.0,-419.0,-21.0,0.0977,-262935.0,0.0,EVEN
2020-05-12,5970.0,5990.0,6090.0,5950.0,6968.0,908.0,-920.0,12.0,0.0977,-262914.0,60.0,FALL
2020-05-11,6030.0,6090.0,6120.0,6020.0,10698.0,3182.0,-3090.0,-92.0,0.0978,-262926.0,10.0,FALL
2020-05-08,6040.0,6030.0,6140.0,6000.0,20840.0,5470.0,-5126.0,-344.0,0.0982,-262834.0,40.0,RISE
2020-05-07,6000.0,6010.0,6070.0,5860.0,24871.0,2526.0,-2537.0,11.0,0.0989,-262490.0,10.0,FALL
2020-05-06,6010.0,5920.0,6040.0,5920.0,14122.0,1883.0,-1187.0,-696.0,0.0992,-262501.0,50.0,RISE
2020-05-04,5960.0,6050.0,6080.0,5750.0,27624.0,6609.0,-2754.0,-3855.0,0.0993,-261805.0,120.0,FALL
2020-04-29,6080.0,6060.0,6090.0,5980.0,16563.0,4333.0,-4308.0,-25.0,0.0997,-257950.0,30.0,RISE
2020-04-28,6050.0,5900.0,6060.0,5850.0,22958.0,4770.0,-1670.0,-3100.0,0.1002,-257925.0,170.0,RISE
2020-04-27,5880.0,5950.0,5950.0,5790.0,11658.0,1399.0,1793.0,-3192.0,0.1004,-254825.0,20.0,RISE
2020-04-24,5860.0,5950.0,5950.0,5830.0,5185.0,927.0,0.0,-927.0,0.1002,-251633.0,90.0,FALL
2020-04-23,5950.0,5880.0,6000.0,5850.0,9856.0,2998.0,-360.0,-2638.0,0.1002,-250706.0,70.0,RISE
2020-04-22,5880.0,5800.0,5970.0,5730.0,14331.0,2048.0,360.0,-2408.0,0.1002,-248068.0,100.0,FALL
2020-04-21,5980.0,6110.0,6110.0,5830.0,11751.0,1291.0,0.0,-1291.0,0.1002,-245660.0,180.0,FALL
2020-04-20,6160.0,6190.0,6330.0,6090.0,13984.0,2200.0,-30.0,-2170.0,0.1002,-244369.0,20.0,FALL
2020-04-17,6180.0,6100.0,6300.0,6100.0,11789.0,57.0,30.0,-87.0,0.1002,-242199.0,80.0,RISE
2020-04-16,6100.0,6100.0,6160.0,6010.0,4088.0,90.0,0.0,-90.0,0.1002,-242112.0,20.0,FALL
2020-04-14,6120.0,5960.0,6140.0,5950.0,26560.0,2091.0,0.0,-2091.0,0.1002,-242022.0,200.0,RISE
2020-04-13,5920.0,5930.0,5940.0,5770.0,12620.0,2930.0,-1825.0,-1105.0,0.1002,-239931.0,100.0,RISE
2020-04-10,5820.0,5840.0,5840.0,5690.0,16910.0,688.0,0.0,-688.0,0.1004,-238826.0,60.0,RISE
2020-04-09,5760.0,5720.0,5850.0,5720.0,24785.0,15098.0,-6531.0,-8567.0,0.1004,-238138.0,20.0,RISE
2020-04-08,5740.0,5660.0,5790.0,5630.0,12559.0,8682.0,0.0,-8682.0,0.1012,-229571.0,90.0,RISE
2020-04-07,5650.0,5690.0,5890.0,5560.0,23434.0,11696.0,0.0,-11696.0,0.1012,-220889.0,60.0,RISE
2020-04-06,5590.0,5520.0,5630.0,5470.0,28034.0,19876.0,0.0,-19876.0,0.1012,-209193.0,140.0,RISE
2020-04-03,5450.0,5450.0,5540.0,5360.0,6699.0,2109.0,0.0,-2109.0,0.1016,-189317.0,0.0,EVEN
2020-04-02,5450.0,5370.0,5480.0,5360.0,8325.0,-9.0,0.0,9.0,0.1016,-187208.0,50.0,FALL
2020-04-01,5500.0,5530.0,5550.0,5420.0,12767.0,5452.0,0.0,-5452.0,0.1016,-187217.0,10.0,RISE
2020-03-31,5490.0,5370.0,5690.0,5340.0,18411.0,6011.0,0.0,-6011.0,0.1016,-181765.0,120.0,RISE
2020-03-30,5370.0,5330.0,5370.0,5190.0,11707.0,2096.0,0.0,-2096.0,0.1016,-175754.0,0.0,EVEN
2020-03-27,5370.0,5400.0,5590.0,5300.0,14622.0,2828.0,0.0,-2828.0,0.1016,-173658.0,40.0,RISE
