,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,2020.0,2020.0,2020.0,2010.0,1570.0,-71,70,1,0.0,-1320480,0.0,EVEN
2020-06-01,2020.0,2020.0,2020.0,2015.0,4158.0,-70,70,0,0.0,-1320481,0.0,EVEN
2020-05-29,2020.0,2020.0,2020.0,2010.0,9228.0,-1100,0,1100,0.0,-1320481,0.0,EVEN
2020-05-28,2020.0,2020.0,2020.0,2015.0,6029.0,197,-198,1,0.0002,-1321581,0.0,EVEN
2020-05-27,2020.0,2020.0,2020.0,2020.0,505.0,0,0,0,0.0003,-1321582,0.0,EVEN
2020-05-26,2020.0,2020.0,2020.0,2015.0,3007.0,0,0,0,0.0,-1321582,0.0,EVEN
2020-05-25,2020.0,2020.0,2020.0,2020.0,2.0,0,0,0,0.0,-1321582,0.0,EVEN
2020-05-22,2020.0,2020.0,2020.0,2010.0,128.0,-5,0,5,0.0,-1321582,0.0,EVEN
2020-05-21,2020.0,2020.0,2020.0,2010.0,986.0,-1.0,0.0,1.0,0.0,-1321587.0,0.0,EVEN
2020-05-20,2020.0,2015.0,2020.0,2015.0,6009.0,0.0,0.0,0.0,0.0,-1321588.0,5.0,RISE
2020-05-19,2015.0,2020.0,2020.0,2015.0,3915.0,552.0,-552.0,0.0,-0.0001,-1321588.0,5.0,FALL
2020-05-18,2020.0,2020.0,2020.0,2010.0,16.0,0.0,0.0,0.0,0.0,-1321588.0,5.0,FALL
2020-05-15,2025.0,2020.0,2025.0,2005.0,3267.0,-1056.0,-141.0,1197.0,0.0,-1321588.0,5.0,RISE
2020-05-14,2020.0,2015.0,2020.0,2005.0,2739.0,1000.0,0.0,-1000.0,0.0,-1322785.0,15.0,RISE
2020-05-13,2005.0,2020.0,2020.0,2005.0,6604.0,4118.0,-361.0,-3757.0,0.0,-1321785.0,0.0,EVEN
2020-05-12,2005.0,2020.0,2020.0,2005.0,1465.0,985.0,0.0,-985.0,0.0,-1318028.0,15.0,FALL
2020-05-11,2020.0,2015.0,2020.0,2005.0,32322.0,29661.0,0.0,-29661.0,0.0,-1317043.0,5.0,RISE
2020-05-08,2015.0,2020.0,2020.0,2015.0,4880.0,-3775.0,379.0,3396.0,0.0001,-1287382.0,0.0,EVEN
2020-05-07,2015.0,2015.0,2015.0,2005.0,3691.0,-732.0,296.0,436.0,0.0,-1290778.0,0.0,EVEN
2020-05-06,2015.0,2015.0,2015.0,2015.0,7324.0,-929.0,0.0,929.0,0.0,-1291214.0,0.0,EVEN
2020-05-04,2015.0,2005.0,2015.0,2000.0,6232.0,595.0,1.0,-596.0,0.0,-1292143.0,5.0,FALL
2020-04-29,2020.0,2010.0,2020.0,2005.0,10495.0,-4601.0,0.0,4601.0,0.0,-1291547.0,10.0,RISE
2020-04-28,2010.0,2005.0,2010.0,2000.0,11234.0,-4024.0,378.0,3646.0,0.0001,-1296148.0,5.0,RISE
2020-04-27,2005.0,2010.0,2010.0,2000.0,10424.0,-888.0,0.0,888.0,0.0,-1299794.0,5.0,RISE
2020-04-24,2000.0,2010.0,2010.0,2000.0,13489.0,-54.0,0.0,54.0,0.0,-1300682.0,5.0,FALL
2020-04-23,2005.0,2005.0,2005.0,2000.0,3392.0,1634.0,-9.0,-1625.0,0.0,-1300736.0,5.0,RISE
2020-04-22,2000.0,2010.0,2010.0,2000.0,4421.0,2999.0,0.0,-2999.0,0.0,-1299111.0,5.0,FALL
2020-04-21,2005.0,2020.0,2020.0,2000.0,18321.0,-1002.0,0.0,1002.0,0.0,-1296112.0,10.0,FALL
2020-04-20,2015.0,2010.0,2015.0,2000.0,13014.0,-4614.0,0.0,4614.0,0.0,-1297114.0,10.0,RISE
