날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-09,1057000.0,1071000.0,1077000.0,1045000.0,49098.0,575,5366,-5941,0.828,38879,14000.0,FALL
2014-04-10,1064000.0,1057000.0,1067000.0,1046000.0,37268.0,599,-6867,6268,0.828,45147,7000.0,RISE
2014-04-11,1065000.0,1047000.0,1065000.0,1036000.0,34365.0,803,-1403,600,0.828,45747,1000.0,RISE
2014-04-14,1060000.0,1052000.0,1074000.0,1051000.0,12184.0,306,1862,-2168,0.828,43579,5000.0,FALL
2014-04-15,1087000.0,1085000.0,1093000.0,1081000.0,35427.0,-3688,13704,-10016,0.828,33563,27000.0,RISE
2014-04-16,1094000.0,1088000.0,1094000.0,1077000.0,24713.0,-1424,-3443,4867,0.828,38430,7000.0,RISE
2014-04-17,1090000.0,1095000.0,1095000.0,1072000.0,16991.0,1193,265,-1458,0.828,36972,4000.0,FALL
2014-04-18,1083000.0,1078000.0,1088000.0,1070000.0,16161.0,615,-6355,5740,0.828,42712,7000.0,FALL
2014-04-21,1081000.0,1083000.0,1090000.0,1075000.0,2708.0,-152,951,-799,0.828,41913,2000.0,FALL
2014-04-22,1075000.0,1080000.0,1080000.0,1073000.0,25703.0,1453,-2916,1463,0.828,43376,6000.0,FALL
2014-04-23,1072000.0,1081000.0,1085000.0,1072000.0,45663.0,117,-14964,14847,0.827,58223,3000.0,FALL
2014-04-24,1092000.0,1081000.0,1096000.0,1080000.0,24882.0,-3100,-7295,10395,0.826,68618,20000.0,RISE
2014-04-25,1086000.0,1092000.0,1092000.0,1083000.0,33242.0,-236,-11236,11472,0.826,80090,6000.0,FALL
2014-04-28,1076000.0,1078000.0,1085000.0,1071000.0,18497.0,1087,-2557,1470,0.826,81560,10000.0,FALL
2014-04-29,1056000.0,1080000.0,1081000.0,1046000.0,25119.0,1864,-1026,-838,0.826,80722,20000.0,FALL
2014-04-30,1037000.0,1068000.0,1070000.0,1026000.0,61958.0,2935,-4515,1580,0.826,82302,19000.0,FALL
2014-05-02,1050000.0,1045000.0,1058000.0,1038000.0,27295.0,-265,-2823,3088,0.825,85390,13000.0,RISE
2014-05-07,1031000.0,1035000.0,1045000.0,1031000.0,37633.0,2102,-7903,5801,0.825,91191,19000.0,FALL
2014-05-08,1040000.0,1046000.0,1050000.0,1036000.0,18802.0,1244,-3924,2680,0.825,93871,9000.0,RISE
2014-05-09,1041000.0,1040000.0,1043000.0,1023000.0,9501.0,560,-473,-87,0.825,93784,1000.0,RISE
2014-05-12,1083000.0,1041000.0,1085000.0,1040000.0,39878.0,-4094,-16849,20943,0.824,114727,42000.0,RISE
2014-05-13,1105000.0,1083000.0,1115000.0,1083000.0,47303.0,-11660,-4585,16245,0.824,130972,22000.0,RISE
2014-05-14,1117000.0,1110000.0,1117000.0,1094000.0,46635.0,-5028,2163,2865,0.824,133837,12000.0,RISE
2014-05-15,1117000.0,1116000.0,1120000.0,1107000.0,18045.0,-1749,4922,-3173,0.824,130664,0.0,EVEN
2014-05-16,1125000.0,1115000.0,1127000.0,1113000.0,45179.0,1246,-5481,4235,0.824,134899,8000.0,RISE
2014-05-19,1161000.0,1125000.0,1165000.0,1120000.0,50688.0,-5773,-1621,7394,0.824,142293,36000.0,RISE
2014-05-20,1165000.0,1159000.0,1191000.0,1156000.0,36726.0,-1303,-3453,4756,0.824,147049,4000.0,RISE
2014-05-21,1153000.0,1174000.0,1174000.0,1145000.0,26102.0,612,-2655,2043,0.824,149092,12000.0,FALL
2014-05-22,1149000.0,1160000.0,1160000.0,1133000.0,41682.0,2504,1637,-4141,0.824,144951,4000.0,FALL
