날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-05-21,4305.0,4310.0,4330.0,4250.0,4204073.0,-233925,478800,-244875,0.1617,-15800551,50.0,RISE
2020-05-20,4255.0,4250.0,4315.0,4195.0,4429255.0,-110721,271275,-160554,0.161,-15555676,5.0,RISE
2020-05-19,4250.0,4150.0,4290.0,4140.0,7491196.0,-2850110,2225584,624526,0.1605,-15395122,200.0,RISE
2020-05-18,4050.0,4130.0,4130.0,4035.0,2869952.0,770638,-165596,-605042,0.1568,-16019648,60.0,FALL
2020-05-15,4110.0,4140.0,4145.0,4050.0,3135894.0,388391,-19412,-368979,0.1571,-15414606,15.0,FALL
2020-05-14,4125.0,4070.0,4125.0,4010.0,3778660.0,456122,-345933,-110189,0.156,-15045627,20.0,RISE
2020-05-13,4105.0,4030.0,4105.0,4010.0,2585940.0,257579,-118962,-138617,0.1568,-14935438,5.0,RISE
2020-05-12,4100.0,4180.0,4190.0,4070.0,3805804.0,774083,-174723,-599360,0.1563,-14796821,100.0,FALL
2020-05-11,4200.0,4275.0,4285.0,4185.0,3839058.0,875934,-316424,-559510,0.1567,-14197461,60.0,FALL
2020-05-08,4260.0,4290.0,4320.0,4250.0,4257379.0,41834,384694,-426528,0.1572,-13637951,0.0,EVEN
2020-05-07,4260.0,4260.0,4295.0,4220.0,2757706.0,237831,-294595,56764,0.1566,-13211423,5.0,FALL
2020-05-06,4265.0,4260.0,4335.0,4215.0,5463490.0,-451241,231109,220132,0.1571,-13268187,100.0,RISE
2020-05-04,4165.0,4210.0,4230.0,4160.0,4439043.0,2024879,-1350037,-674842,0.1567,-13488319,120.0,FALL
2020-04-29,4285.0,4105.0,4325.0,4100.0,10054461.0,-1639705,1379158,260547,0.1589,-12813477,195.0,RISE
2020-04-28,4090.0,4140.0,4155.0,4060.0,5914504.0,1585377,-892026,-693351,0.1566,-13074024,85.0,FALL
2020-04-27,4175.0,4230.0,4275.0,4175.0,4583851.0,202481,-155331,-47150,0.158,-12380673,5.0,RISE
2020-04-24,4170.0,4290.0,4320.0,4125.0,5125163.0,987688,-276865,-710823,0.1581,-12333523,70.0,FALL
2020-04-23,4240.0,4295.0,4445.0,4235.0,10300114.0,1391816,-845883,-545933,0.1586,-11622700,45.0,RISE
2020-04-22,4195.0,4085.0,4210.0,4030.0,7087315.0,2261375,-96158,-2165217,0.1599,-11076767,35.0,RISE
2020-04-21,4160.0,4225.0,4245.0,4050.0,8560548.0,1804689,-1421938,-382751,0.1601,-8911550,160.0,FALL
2020-04-20,4320.0,4350.0,4385.0,4310.0,5485159.0,1159152,-739008,-420144,0.1624,-8528799,15.0,FALL
2020-04-17,4335.0,4335.0,4415.0,4320.0,6785940.0,273901,466382,-740283,0.1634,-8108655,65.0,RISE
2020-04-16,4270.0,4350.0,4355.0,4205.0,6757360.0,2287787,-1317460,-970327,0.1626,-7368372,130.0,FALL
2020-04-14,4400.0,4310.0,4435.0,4290.0,6052795.0,-580070,446903,133167,0.164,-6398045,120.0,RISE
2020-04-13,4280.0,4450.0,4500.0,4280.0,6749487.0,1869144,-851819,-1017325,0.1633,-6531212,220.0,FALL
2020-04-10,4500.0,4350.0,4650.0,4290.0,10534619.0,647017,-824796,177779,0.1646,-5513887,150.0,RISE
2020-04-09,4350.0,4295.0,4355.0,4260.0,6599072.0,-3072,-88921,91993,0.166,-5691666,150.0,RISE
2020-04-08,4200.0,4250.0,4280.0,4185.0,5348124.0,522517,-37532,-484985,0.1661,-5783659,80.0,FALL
2020-04-07,4280.0,4340.0,4380.0,4175.0,7036094.0,562049,-447555,-114494,0.1662,-5298674,45.0,RISE
2020-04-06,4235.0,4095.0,4240.0,4045.0,7587278.0,-1098848,122635,976213,0.1668,-5184180,185.0,RISE
