날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-09,2835.0,2840.0,2840.0,2805.0,7360.0,0.0,0.0,0.0,0.334,-10.0,5.0,RISE
2014-04-10,2835.0,2835.0,2835.0,2830.0,4190.0,0.0,0.0,0.0,0.334,-10.0,0.0,EVEN
2014-04-11,2950.0,2810.0,2950.0,2810.0,27211.0,,,,,,,
2014-04-14,3065.0,2960.0,3080.0,2960.0,30990.0,0.0,0.0,0.0,0.334,-10.0,115.0,RISE
2014-04-15,3045.0,3100.0,3100.0,3000.0,10250.0,-260.0,260.0,0.0,0.334,-260.0,20.0,FALL
2014-04-16,3050.0,3045.0,3070.0,3010.0,6030.0,260.0,-260.0,0.0,0.334,260.0,5.0,RISE
2014-04-17,3030.0,3050.0,3100.0,2990.0,23710.0,0.0,0.0,0.0,0.334,260.0,20.0,FALL
2014-04-18,3020.0,3030.0,3050.0,3000.0,4100.0,-80.0,80.0,0.0,0.334,-80.0,10.0,FALL
2014-04-21,3060.0,3050.0,3090.0,3000.0,17310.0,0.0,0.0,0.0,0.334,-80.0,40.0,RISE
2014-04-22,3065.0,3060.0,3070.0,3010.0,2020.0,0.0,0.0,0.0,0.334,-80.0,5.0,RISE
2014-04-23,3020.0,3065.0,3065.0,3020.0,5092.0,0.0,0.0,0.0,0.334,-2.0,45.0,FALL
2014-04-24,3020.0,3020.0,3080.0,2980.0,3800.0,,,,,,,
2014-04-25,2980.0,2970.0,3000.0,2925.0,13640.0,0.0,0.0,0.0,0.334,-2.0,40.0,FALL
2014-04-28,2930.0,2915.0,2930.0,2900.0,4520.0,0.0,0.0,0.0,0.334,-2.0,50.0,FALL
2014-04-29,2930.0,2930.0,2940.0,2910.0,7630.0,0.0,0.0,0.0,0.334,-2.0,0.0,EVEN
2014-04-30,3000.0,2905.0,3010.0,2905.0,5210.0,0.0,0.0,0.0,0.334,1500.0,70.0,RISE
2014-05-02,3015.0,3000.0,3030.0,2960.0,9983.0,,,,,,,
