날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-05-21,46850.0,45400.0,47150.0,44550.0,121335.0,-6738,-315,7053,0.0554,-524661,3050.0,RISE
2020-05-20,43800.0,44450.0,46700.0,43500.0,68096.0,9518,-6290,-3228,0.0554,-531714,650.0,FALL
2020-05-19,44450.0,44100.0,44900.0,43100.0,78851.0,-9848,-2049,11897,0.056,-528486,1250.0,RISE
2020-05-18,43200.0,40150.0,45550.0,38700.0,185812.0,-16452,1335,15117,0.0562,-540383,4800.0,RISE
2020-05-15,38400.0,38000.0,38500.0,37850.0,12922.0,-127,-629,756,0.0561,-555500,450.0,RISE
2020-05-14,37950.0,38150.0,38500.0,37450.0,14752.0,2313,-785,-1528,0.0562,-556256,600.0,FALL
2020-05-13,38550.0,37950.0,38800.0,37900.0,14020.0,1808,482,-2290,0.0562,-554728,100.0,FALL
2020-05-12,38650.0,39400.0,39400.0,37700.0,19301.0,4787,-3295,-1492,0.0562,-552438,600.0,FALL
2020-05-11,39250.0,39150.0,39850.0,38800.0,20973.0,-1147,-1035,2182,0.0565,-550946,350.0,RISE
2020-05-08,38900.0,38900.0,39400.0,38650.0,18051.0,-150,1371,-1221,0.0566,-553128,400.0,RISE
2020-05-07,38500.0,38500.0,38800.0,38000.0,18348.0,3404,-380,-3024,0.0562,-551907,300.0,FALL
2020-05-06,38800.0,38400.0,38900.0,38250.0,17328.0,1855,-431,-1424,0.0563,-548883,550.0,RISE
2020-05-04,38250.0,39200.0,39200.0,38050.0,25343.0,9178,-3488,-5690,0.0563,-547459,950.0,FALL
2020-04-29,39200.0,39000.0,39350.0,38700.0,22007.0,-403,-419,822,0.0567,-541769,50.0,RISE
2020-04-28,39150.0,40150.0,40450.0,38450.0,38328.0,11246,-4986,-6260,0.0566,-542591,350.0,FALL
2020-04-27,39500.0,36850.0,39800.0,36850.0,60770.0,-7361,3032,4329,0.0571,-536331,2800.0,RISE
2020-04-24,36700.0,35500.0,37200.0,35050.0,44655.0,-5816,6727,-911,0.0568,-540660,1200.0,RISE
2020-04-23,35500.0,34550.0,35950.0,34550.0,24484.0,600,5271,-5871,0.0562,-539749,650.0,RISE
2020-04-22,34850.0,35350.0,35450.0,33950.0,21884.0,4376,1435,-5811,0.0557,-533878,550.0,FALL
2020-04-21,35400.0,36500.0,36500.0,34000.0,32624.0,7850,154,-8004,0.0557,-528067,900.0,FALL
2020-04-20,36300.0,36300.0,36700.0,36050.0,24807.0,4801,1835,-6636,0.0557,-520063,100.0,RISE
2020-04-17,36200.0,35850.0,36700.0,35850.0,27573.0,220,1511,-1731,0.0554,-513427,350.0,RISE
2020-04-16,35850.0,35700.0,35950.0,35000.0,16978.0,2206,407,-2613,0.0552,-511696,100.0,FALL
2020-04-14,35950.0,35700.0,36150.0,35300.0,25565.0,-1041,1002,39,0.0552,-509083,250.0,RISE
2020-04-13,35700.0,35900.0,36200.0,35400.0,25832.0,-2247,-645,2892,0.0551,-509122,50.0,FALL
2020-04-10,35750.0,35750.0,36000.0,35050.0,28893.0,-5680,2128,3552,0.0553,-512014,0.0,EVEN
2020-04-09,35750.0,37300.0,37300.0,35300.0,31641.0,7334,-3255,-4079,0.0551,-515566,50.0,RISE
2020-04-08,35700.0,35450.0,36400.0,34600.0,33577.0,4228,-1518,-2710,0.0554,-511487,650.0,RISE
2020-04-07,35050.0,34500.0,35200.0,33900.0,54179.0,6291,-1871,-4420,0.0555,-508777,1350.0,RISE
