날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-09,28000.0,28000.0,28000.0,28000.0,0.0,,,,,,,
2014-04-10,28000.0,28000.0,28000.0,28000.0,80.0,,,,,,,
2014-04-11,27900.0,28150.0,28150.0,27900.0,30.0,,,,,,,
2014-04-14,28200.0,28250.0,28250.0,28200.0,50.0,0.0,0.0,0.0,0.077,-16.0,300.0,RISE
2014-04-15,28850.0,28300.0,28850.0,28300.0,21.0,,,,,,,
2014-04-16,28750.0,28750.0,28750.0,28750.0,0.0,,,,,,,
2014-04-17,28600.0,28600.0,28600.0,28600.0,0.0,,,,,,,
2014-04-18,28300.0,27800.0,28550.0,27800.0,63.0,0.0,0.0,0.0,0.077,-16.0,300.0,FALL
2014-04-21,28300.0,28700.0,28700.0,28000.0,710.0,,,,,,,
2014-04-22,28500.0,28500.0,28500.0,28500.0,30.0,0.0,0.0,0.0,0.077,-16.0,200.0,RISE
2014-04-23,28750.0,28750.0,28750.0,28700.0,312.0,0.0,0.0,0.0,0.077,-16.0,250.0,RISE
2014-04-24,28750.0,28750.0,28750.0,28750.0,21.0,,,,,,,
2014-04-25,28850.0,28850.0,28850.0,28850.0,10.0,0.0,0.0,0.0,0.077,-16.0,100.0,RISE
2014-04-28,28750.0,29000.0,29000.0,28100.0,160.0,,,,,,,
2014-04-29,28650.0,28950.0,28950.0,28250.0,450.0,,,,,,,
2014-04-30,28500.0,28950.0,28950.0,28350.0,140.0,0.0,0.0,0.0,0.077,-16.0,150.0,FALL
2014-05-02,28500.0,27900.0,28500.0,27900.0,20.0,,,,,,,
2014-05-07,28950.0,28950.0,28950.0,28950.0,10.0,0.0,0.0,0.0,0.077,-16.0,450.0,RISE
2014-05-08,28500.0,28500.0,28500.0,28500.0,1.0,,,,,,,
2014-05-09,29000.0,29350.0,29350.0,28300.0,823.0,0.0,0.0,0.0,0.077,-16.0,500.0,RISE
2014-05-12,28950.0,29050.0,29050.0,28950.0,426.0,0.0,0.0,0.0,0.077,-16.0,50.0,FALL
2014-05-13,28950.0,28950.0,28950.0,28950.0,41.0,,,,,,,
2014-05-14,29300.0,29300.0,29300.0,29300.0,10.0,,,,,,,
2014-05-15,29200.0,28700.0,29200.0,28600.0,990.0,0.0,0.0,0.0,0.077,-16.0,100.0,FALL
2014-05-16,29550.0,29250.0,29550.0,29200.0,601.0,0.0,0.0,0.0,0.077,-16.0,350.0,RISE
2014-05-19,30300.0,29500.0,30300.0,29500.0,1180.0,0.0,0.0,0.0,0.077,-16.0,750.0,RISE
2014-05-20,30300.0,29700.0,30800.0,29700.0,660.0,,,,,,,
2014-05-21,30900.0,30950.0,31000.0,30300.0,600.0,0.0,0.0,0.0,0.077,-16.0,600.0,RISE
2014-05-22,31550.0,31700.0,31800.0,31100.0,220.0,0.0,0.0,0.0,0.077,-16.0,650.0,RISE
2014-05-23,31050.0,31050.0,31050.0,31000.0,60.0,0.0,0.0,0.0,0.077,-16.0,500.0,FALL
2014-05-26,31050.0,30700.0,31050.0,30700.0,339.0,0.0,0.0,0.0,0.077,-16.0,0.0,EVEN
2014-05-27,31000.0,31000.0,31050.0,31000.0,406.0,6.0,0.0,-6.0,0.077,-22.0,50.0,FALL
2014-05-28,31000.0,30500.0,31000.0,30500.0,270.0,0.0,0.0,0.0,0.077,-22.0,0.0,EVEN
2014-05-29,31400.0,30700.0,31400.0,30550.0,570.0,0.0,0.0,0.0,0.077,-22.0,400.0,RISE
2014-05-30,30600.0,30600.0,30650.0,30600.0,458.0,0.0,0.0,0.0,0.077,-22.0,800.0,FALL
2014-06-02,30000.0,30600.0,30600.0,30000.0,315.0,5.0,0.0,-5.0,0.077,-27.0,600.0,FALL
2014-06-03,29800.0,30000.0,30650.0,29500.0,164.0,39.0,0.0,-39.0,0.077,-66.0,200.0,FALL
2014-06-05,29300.0,29800.0,29850.0,29300.0,232.0,0.0,0.0,0.0,0.077,-66.0,500.0,FALL
2014-06-09,29700.0,29300.0,29700.0,29300.0,294.0,0.0,0.0,0.0,0.077,-66.0,400.0,RISE
2014-06-10,30000.0,29150.0,30300.0,29150.0,337.0,0.0,0.0,0.0,0.077,-66.0,300.0,RISE
2014-06-11,30200.0,29650.0,30200.0,29650.0,142.0,0.0,0.0,0.0,0.077,-66.0,200.0,RISE
2014-06-12,30500.0,29850.0,30500.0,29850.0,286.0,32.0,0.0,-32.0,0.077,-98.0,300.0,RISE
2014-06-13,30550.0,30400.0,30550.0,30000.0,414.0,0.0,0.0,0.0,0.077,-98.0,50.0,RISE
2014-06-16,30650.0,30650.0,30650.0,30650.0,1.0,0.0,0.0,0.0,0.077,-98.0,100.0,RISE
2014-06-17,30650.0,30650.0,30650.0,30650.0,0.0,,,,,,,
2014-06-18,30550.0,30650.0,30650.0,30300.0,113.0,,,,,,,
2014-06-19,30100.0,30000.0,30550.0,30000.0,116.0,0.0,0.0,0.0,0.077,-98.0,450.0,FALL
