날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-05-21,1935.0,1920.0,1940.0,1910.0,33252.0,-2661,2661,0,0.0139,492937,5.0,RISE
2020-05-20,1930.0,1915.0,1955.0,1895.0,65237.0,-2339,2339,0,0.0137,492937,0.0,EVEN
2020-05-19,1930.0,1920.0,1935.0,1895.0,51591.0,-9292,9292,0,0.0136,492937,10.0,RISE
2020-05-18,1920.0,1945.0,1970.0,1910.0,65267.0,5968,-5968,0,0.013,492937,25.0,FALL
2020-05-15,1945.0,1915.0,1970.0,1895.0,77373.0,-3218,3218,0,0.0134,492937,25.0,RISE
2020-05-14,1920.0,1930.0,1930.0,1905.0,26359.0,-60,60,0,0.0132,492937,20.0,FALL
2020-05-13,1940.0,1900.0,1950.0,1890.0,57122.0,-5964,5964,0,0.0132,492937,40.0,RISE
2020-05-12,1900.0,1940.0,1950.0,1900.0,97976.0,-8177,8177,0,0.0128,492937,30.0,FALL
2020-05-11,1930.0,1945.0,1960.0,1880.0,109828.0,-465,465,0,0.0123,492937,30.0,RISE
2020-05-08,1900.0,1880.0,1900.0,1865.0,49690.0,-3296,3296,0,0.0123,492937,20.0,RISE
2020-05-07,1880.0,1870.0,1880.0,1825.0,57812.0,-3778,3778,0,0.0121,492937,40.0,RISE
2020-05-06,1840.0,1840.0,1875.0,1830.0,26568.0,-3168,3168,0,0.0118,492937,0.0,EVEN
2020-05-04,1840.0,1820.0,1855.0,1820.0,15363.0,-6161,6161,0,0.0116,492937,20.0,RISE
2020-04-29,1820.0,1830.0,1870.0,1815.0,76616.0,-7877,7877,0,0.0113,492937,10.0,FALL
2020-04-28,1830.0,1820.0,1840.0,1805.0,45892.0,-4620,4620,0,0.0108,492937,10.0,RISE
2020-04-27,1820.0,1810.0,1835.0,1790.0,66587.0,-7385,7385,0,0.0105,492937,10.0,RISE
2020-04-24,1810.0,1850.0,1860.0,1790.0,56391.0,1579,1825,-3404,0.01,492937,40.0,FALL
2020-04-23,1850.0,1800.0,1860.0,1800.0,65170.0,12227,4942,-17169,0.0099,496341,50.0,RISE
2020-04-22,1800.0,1795.0,1825.0,1765.0,60332.0,8798,1973,-10771,0.0096,513510,5.0,FALL
