,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,2885.0,2900.0,2900.0,2840.0,113627.0,-4513,4634,-121,0.0334,-507520,5.0,RISE
2020-06-01,2880.0,2820.0,2890.0,2800.0,121687.0,-20750,20799,-49,0.033,-507399,60.0,RISE
2020-05-29,2820.0,2770.0,2870.0,2770.0,283845.0,-11082,11090,-8,0.0313,-507350,50.0,RISE
2020-05-28,2770.0,2905.0,2935.0,2720.0,542383.0,-15596,15596,0,0.0304,-507342,110.0,FALL
2020-05-27,2880.0,3090.0,3360.0,2870.0,5149001.0,103771,-104271,500,0.0292,-507342,40.0,RISE
2020-05-26,2840.0,2790.0,2845.0,2760.0,295697.0,1310,-1170,-140,0.0376,-507842,60.0,RISE
2020-05-25,2780.0,2820.0,2835.0,2780.0,28497.0,4864,-4864,0,0.0377,-507702,45.0,FALL
2020-05-22,2825.0,2845.0,2880.0,2770.0,63082.0,6538,-6432,-106,0.0381,-507702,20.0,FALL
2020-05-21,2845.0,2800.0,2890.0,2770.0,108312.0,-10741.0,10741.0,0.0,0.0386,-487001.0,85.0,RISE
2020-05-20,2760.0,2765.0,2915.0,2730.0,73743.0,1122.0,-1020.0,-102.0,0.0377,-487001.0,15.0,RISE
2020-05-19,2745.0,2720.0,2750.0,2715.0,35893.0,-1970.0,2014.0,-44.0,0.0378,-486899.0,30.0,RISE
2020-05-18,2715.0,2725.0,2725.0,2600.0,39102.0,-1176.0,1176.0,0.0,0.0377,-486855.0,5.0,FALL
2020-05-15,2720.0,2710.0,2735.0,2680.0,26966.0,3191.0,-3191.0,0.0,0.0376,-486855.0,10.0,RISE
2020-05-14,2710.0,2730.0,2750.0,2705.0,32808.0,1784.0,-1755.0,-29.0,0.0378,-486855.0,25.0,FALL
2020-05-13,2735.0,2720.0,2760.0,2660.0,46880.0,-8061.0,8070.0,-9.0,0.038,-486826.0,40.0,FALL
2020-05-12,2775.0,2805.0,2850.0,2745.0,37684.0,9284.0,-9284.0,0.0,0.0373,-486817.0,30.0,FALL
2020-05-11,2805.0,2855.0,2860.0,2805.0,34739.0,-3960.0,3960.0,0.0,0.0381,-486817.0,25.0,FALL
2020-05-08,2830.0,2845.0,2900.0,2770.0,178191.0,-31905.0,31911.0,-6.0,0.0377,-486817.0,15.0,FALL
2020-05-07,2845.0,2820.0,2855.0,2815.0,25016.0,3066.0,-3066.0,0.0,0.0352,-486811.0,25.0,RISE
2020-05-06,2820.0,2815.0,2890.0,2800.0,27976.0,604.0,-604.0,0.0,0.0354,-486811.0,10.0,FALL
2020-05-04,2830.0,2795.0,2945.0,2750.0,49626.0,10319.0,-10285.0,-34.0,0.0355,-486811.0,0.0,EVEN
2020-04-29,2830.0,2870.0,2870.0,2800.0,46031.0,-10950.0,11165.0,-215.0,0.0363,-486777.0,35.0,RISE
2020-04-28,2795.0,2860.0,2995.0,2780.0,147988.0,5629.0,-5629.0,0.0,0.0355,-486562.0,65.0,FALL
2020-04-27,2860.0,2840.0,2920.0,2800.0,91809.0,9784.0,-9731.0,-53.0,0.0359,-486562.0,20.0,RISE
2020-04-24,2840.0,2790.0,2960.0,2755.0,160930.0,8287.0,-8287.0,0.0,0.0367,-486509.0,30.0,RISE
2020-04-23,2810.0,2850.0,2860.0,2780.0,68155.0,-5346.0,3895.0,1451.0,0.0374,-486509.0,40.0,FALL
2020-04-22,2850.0,2565.0,2900.0,2565.0,236914.0,-18324.0,16035.0,2289.0,0.0371,-487960.0,185.0,RISE
2020-04-21,2665.0,2665.0,2700.0,2415.0,138224.0,15910.0,-15901.0,-9.0,0.0358,-490249.0,0.0,EVEN
2020-04-20,2665.0,2685.0,2735.0,2610.0,94053.0,-5631.0,5843.0,-212.0,0.0371,-490240.0,5.0,FALL
2020-04-17,2670.0,2605.0,2685.0,2580.0,81057.0,-2657.0,2657.0,0.0,0.0366,-490028.0,65.0,RISE
2020-04-16,2605.0,2670.0,2670.0,2510.0,85403.0,-5326.0,5339.0,-13.0,0.0364,-490028.0,5.0,RISE
2020-04-14,2600.0,2630.0,2675.0,2565.0,93906.0,-6970.0,5880.0,1090.0,0.036000000000000004,-490015.0,30.0,RISE
2020-04-13,2570.0,2535.0,2650.0,2475.0,127996.0,-47.0,69.0,-22.0,0.0355,-491105.0,35.0,RISE
2020-04-10,2535.0,2550.0,2590.0,2330.0,68026.0,10980.0,-10980.0,0.0,0.0355,-491083.0,10.0,FALL
2020-04-09,2545.0,2595.0,2600.0,2490.0,59869.0,-5824.0,5824.0,0.0,0.0364,-491083.0,15.0,RISE
2020-04-08,2530.0,2440.0,2540.0,2390.0,48547.0,-4945.0,5335.0,-390.0,0.0359,-491083.0,80.0,RISE
2020-04-07,2450.0,2475.0,2530.0,2360.0,82387.0,15799.0,-15775.0,-24.0,0.0355,-490693.0,30.0,RISE
2020-04-06,2420.0,2340.0,2420.0,2295.0,152551.0,-9708.0,10806.0,-1098.0,0.0368,-490669.0,105.0,RISE
2020-04-03,2315.0,2300.0,2350.0,2280.0,110861.0,-2883.0,2883.0,0.0,0.0359,-489571.0,15.0,RISE
2020-04-02,2300.0,2200.0,2400.0,2150.0,101324.0,2744.0,-2744.0,0.0,0.0357,-489571.0,95.0,RISE
2020-04-01,2205.0,2200.0,2290.0,2105.0,98763.0,13544.0,-13441.0,-103.0,0.0359,-489571.0,10.0,RISE
2020-03-31,2195.0,2120.0,2230.0,2115.0,216141.0,15893.0,-15893.0,0.0,0.037000000000000005,-489468.0,85.0,RISE
2020-03-30,2110.0,1995.0,2165.0,1940.0,134773.0,-14784.0,14784.0,0.0,0.0383,-489468.0,115.0,RISE
2020-03-27,1995.0,1995.0,2035.0,1920.0,101517.0,-2323.0,2347.0,-24.0,0.0371,-489468.0,90.0,RISE
2020-03-26,1905.0,1915.0,2020.0,1805.0,207932.0,23622.0,-23577.0,-45.0,0.0369,-489444.0,5.0,RISE
2020-03-25,1900.0,1845.0,1915.0,1785.0,78232.0,13918.0,-13802.0,-116.0,0.0387,-489399.0,150.0,RISE
2020-03-24,1750.0,1705.0,1800.0,1700.0,203503.0,23867.0,-23658.0,-209.0,0.0394,-489283.0,70.0,RISE
2020-03-23,1680.0,1670.0,1705.0,1550.0,189818.0,18909.0,-18596.0,-313.0,0.0414,-489074.0,155.0,FALL
