,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,68000.0,66000.0,68000.0,65700.0,15313.0,-2457,2764,-307,0.1848,-68645,2300.0,RISE
2020-06-01,65700.0,65700.0,66500.0,65100.0,23640.0,6107,-2482,-3625,0.1841,-68338,600.0,RISE
2020-05-29,65100.0,66900.0,67800.0,65100.0,31786.0,13888,-13660,-228,0.1847,-64713,1800.0,FALL
2020-05-28,66900.0,68100.0,68600.0,66900.0,13845.0,6428,-3387,-3041,0.1881,-64485,1000.0,FALL
2020-05-27,67900.0,67300.0,68000.0,67300.0,8926.0,453,-290,-163,0.1889,-61444,600.0,RISE
2020-05-26,67300.0,67800.0,67900.0,67100.0,17901.0,10583,-6321,-4262,0.189,-61281,400.0,FALL
2020-05-25,67700.0,68700.0,69200.0,67600.0,12312.0,6266,-4320,-1946,0.1906,-57019,1100.0,FALL
2020-05-22,68800.0,69900.0,70300.0,68700.0,13712.0,7332,-7307,-25,0.1916,-55073,500.0,FALL
2020-05-21,69300.0,70400.0,71800.0,69000.0,25795.0,10688.0,-10631.0,-57.0,0.1934,-38200.0,800.0,FALL
2020-05-20,70100.0,70200.0,70900.0,70000.0,3574.0,479.0,-429.0,-50.0,0.196,-38143.0,400.0,RISE
2020-05-19,69700.0,70000.0,70200.0,68900.0,12602.0,5025.0,-5018.0,-7.0,0.1962,-38093.0,200.0,RISE
2020-05-18,69500.0,70200.0,70700.0,69100.0,12680.0,8627.0,-7488.0,-1139.0,0.1974,-38086.0,1200.0,FALL
2020-05-15,70700.0,71700.0,71700.0,70100.0,5952.0,3096.0,-2904.0,-192.0,0.1992,-36947.0,900.0,FALL
2020-05-14,71600.0,72800.0,72800.0,71500.0,2497.0,923.0,-691.0,-232.0,0.2,-36755.0,1400.0,FALL
2020-05-13,73000.0,71500.0,73000.0,71000.0,2286.0,-315.0,325.0,-10.0,0.2001,-36523.0,400.0,RISE
2020-05-12,72600.0,72500.0,72800.0,71400.0,3047.0,736.0,-717.0,-19.0,0.2,-36513.0,100.0,RISE
2020-05-11,72500.0,73200.0,73400.0,72400.0,2738.0,580.0,-747.0,167.0,0.2002,-36494.0,200.0,FALL
2020-05-08,72700.0,74600.0,74600.0,72000.0,11547.0,1408.0,-1630.0,222.0,0.2004,-36661.0,1300.0,FALL
2020-05-07,74000.0,73800.0,74200.0,73500.0,2797.0,90.0,-534.0,444.0,0.2008,-36883.0,100.0,FALL
2020-05-06,74100.0,74800.0,76300.0,73700.0,6469.0,1810.0,-1175.0,-635.0,0.2009,-37327.0,800.0,FALL
2020-05-04,74900.0,74000.0,77400.0,72700.0,16342.0,-527.0,-3930.0,4457.0,0.2012,-36692.0,700.0,RISE
2020-04-29,74200.0,71300.0,74200.0,71300.0,12745.0,-5179.0,4343.0,836.0,0.2022,-41149.0,2900.0,RISE
2020-04-28,71300.0,70400.0,71800.0,70200.0,12182.0,-3200.0,2968.0,232.0,0.2011,-41985.0,1000.0,RISE
2020-04-27,70300.0,71500.0,71900.0,70200.0,20675.0,791.0,466.0,-1257.0,0.2004,-42217.0,1200.0,FALL
2020-04-24,71500.0,72000.0,72400.0,71100.0,3509.0,1902.0,324.0,-2226.0,0.2003,-40960.0,500.0,FALL
2020-04-23,72000.0,71800.0,72400.0,70600.0,2629.0,-461.0,515.0,-54.0,0.2002,-38734.0,600.0,RISE
2020-04-22,71400.0,70500.0,71800.0,69400.0,2398.0,43.0,-454.0,411.0,0.2001,-38680.0,900.0,RISE
2020-04-21,70500.0,72100.0,72100.0,68900.0,5035.0,1564.0,-1666.0,102.0,0.2002,-39091.0,1600.0,FALL
2020-04-20,72100.0,72200.0,72600.0,71800.0,2700.0,806.0,-795.0,-11.0,0.2006,-39193.0,400.0,RISE
2020-04-17,71700.0,71200.0,72400.0,71200.0,3416.0,784.0,28.0,-812.0,0.2008,-39182.0,500.0,RISE
2020-04-16,71200.0,72300.0,72300.0,69900.0,2280.0,975.0,-969.0,-6.0,0.2008,-38370.0,1100.0,FALL
2020-04-14,72300.0,72400.0,73000.0,71800.0,3279.0,537.0,-1428.0,891.0,0.2011,-38364.0,100.0,FALL
2020-04-13,72400.0,72400.0,73300.0,72100.0,4220.0,-1188.0,-158.0,1346.0,0.2011,-39255.0,100.0,RISE
2020-04-10,72300.0,70500.0,72400.0,70000.0,5463.0,-2987.0,-29.0,3016.0,0.2012,-40601.0,1700.0,RISE
2020-04-09,70600.0,70500.0,71300.0,70400.0,3759.0,816.0,-879.0,63.0,0.2012,-43617.0,100.0,RISE
2020-04-08,70500.0,70000.0,70900.0,69300.0,1763.0,-638.0,474.0,164.0,0.2023,-43680.0,100.0,RISE
2020-04-07,70400.0,71100.0,71300.0,70300.0,6194.0,1888.0,-342.0,-1546.0,0.2022,-43844.0,400.0,RISE
2020-04-06,70000.0,68100.0,70400.0,68100.0,3728.0,355.0,-870.0,515.0,0.2023,-42298.0,400.0,RISE
2020-04-03,69600.0,69700.0,69900.0,68100.0,4266.0,-527.0,-221.0,748.0,0.2027,-42813.0,900.0,RISE
2020-04-02,68700.0,66500.0,69100.0,66200.0,5901.0,-1756.0,666.0,1090.0,0.2018,-43561.0,1500.0,RISE
2020-04-01,67200.0,66400.0,68500.0,66400.0,7444.0,-895.0,-812.0,1707.0,0.2017,-44651.0,0.0,EVEN
2020-03-31,67200.0,66100.0,67600.0,66100.0,6006.0,-1238.0,-651.0,1889.0,0.201,-46358.0,1700.0,RISE
2020-03-30,65500.0,65700.0,66100.0,64000.0,7472.0,-2307.0,1285.0,1022.0,0.2011,-48247.0,0.0,EVEN
2020-03-27,65500.0,64400.0,66600.0,64100.0,12757.0,-2354.0,1068.0,1286.0,0.2008,-49269.0,2000.0,RISE
2020-03-26,63500.0,60500.0,65200.0,59500.0,18889.0,-9854.0,2306.0,7548.0,0.2006,-50555.0,3900.0,RISE
2020-03-25,59600.0,61000.0,62600.0,58900.0,45939.0,19508.0,399.0,-19907.0,0.2,-58103.0,200.0,RISE
2020-03-24,59400.0,57000.0,60600.0,56000.0,22980.0,-4351.0,6084.0,-1733.0,0.1999,-38196.0,3400.0,RISE
2020-03-23,56000.0,56700.0,57500.0,54400.0,24345.0,1396.0,1281.0,-2677.0,0.1984,-36463.0,2800.0,FALL
2020-03-20,58800.0,59600.0,61800.0,56900.0,40317.0,13524.0,-2558.0,-10966.0,0.1981,-33786.0,2600.0,FALL
2020-03-19,61400.0,67800.0,68000.0,59800.0,21276.0,1844.0,3776.0,-5620.0,0.1988,-22820.0,7000.0,FALL
2020-03-18,68400.0,69900.0,70400.0,66600.0,9051.0,-492.0,-1129.0,1621.0,0.1979,-17200.0,400.0,FALL
2020-03-17,68800.0,68500.0,70000.0,67900.0,9110.0,-444.0,-494.0,938.0,0.1982,-18821.0,1400.0,FALL
2020-03-16,70200.0,66900.0,70500.0,66900.0,12141.0,-3564.0,-404.0,3968.0,0.1984,-19759.0,2000.0,RISE
2020-03-13,68200.0,66900.0,70000.0,65800.0,14087.0,-2486.0,189.0,2297.0,0.1985,-23727.0,3600.0,FALL
2020-03-12,71800.0,75200.0,75900.0,71700.0,14644.0,5767.0,-572.0,-5195.0,0.1984,-26024.0,4400.0,FALL
2020-03-11,76200.0,76700.0,77100.0,75900.0,7594.0,-5120.0,660.0,4460.0,0.1986,-20829.0,500.0,FALL
2020-03-10,76700.0,75300.0,77600.0,75200.0,13871.0,-1730.0,1684.0,46.0,0.1983,-25289.0,500.0,RISE
2020-03-09,76200.0,80000.0,80000.0,76200.0,13327.0,5293.0,-4226.0,-1067.0,0.1978,-25335.0,4100.0,FALL
2020-03-06,80300.0,81000.0,81000.0,78500.0,11302.0,6747.0,-1766.0,-4981.0,0.1987,-24268.0,1200.0,FALL
2020-03-05,81500.0,79300.0,81600.0,78600.0,7136.0,-922.0,-53.0,975.0,0.1989,-19287.0,2300.0,RISE
2020-03-04,79200.0,77900.0,79400.0,76600.0,7859.0,1083.0,38.0,-1121.0,0.1989,-20262.0,1000.0,RISE
2020-03-03,78200.0,78900.0,79300.0,77700.0,9858.0,4275.0,2069.0,-6344.0,0.1989,-19141.0,200.0,FALL
2020-03-02,78400.0,78600.0,79200.0,76000.0,4609.0,836.0,-1427.0,591.0,0.1984,-12797.0,0.0,EVEN
2020-02-28,78400.0,80400.0,80400.0,78100.0,14253.0,-2064.0,-3266.0,5330.0,0.1988,-13388.0,2800.0,FALL
2020-02-27,81200.0,81500.0,81900.0,80700.0,3648.0,505.0,-1428.0,923.0,0.1996,-18718.0,800.0,FALL
2020-02-26,82000.0,81900.0,82100.0,81100.0,3573.0,315.0,-92.0,-223.0,0.1997,-19641.0,200.0,FALL
2020-02-25,82200.0,80100.0,82300.0,80100.0,3915.0,-1670.0,51.0,1619.0,0.1997,-19418.0,1000.0,RISE
2020-02-24,81200.0,81600.0,81600.0,80000.0,11399.0,-4201.0,808.0,3393.0,0.1997,-21037.0,800.0,FALL
2020-02-21,82000.0,82700.0,83100.0,81300.0,9405.0,-1002.0,-827.0,1829.0,0.1995,-24430.0,1300.0,FALL
