,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,7810.0,7780.0,7890.0,7700.0,533302.0,-24397,34720,-10323,0.0787,-2039092,100.0,RISE
2020-06-01,7710.0,7700.0,7900.0,7610.0,639993.0,101646,3714,-105360,0.0781,-2028769,80.0,RISE
2020-05-29,7630.0,7850.0,8010.0,7630.0,770921.0,120748,-109653,-11095,0.078,-1923409,280.0,FALL
2020-05-28,7910.0,8120.0,8690.0,7770.0,3162740.0,117706,-167347,49641,0.0794,-1912314,110.0,FALL
2020-05-27,8020.0,8100.0,8110.0,7910.0,555205.0,67472,-92763,25291,0.0821,-1961955,20.0,FALL
2020-05-26,8040.0,7850.0,8130.0,7760.0,1081620.0,-115357,109227,6130,0.0836,-1987246,290.0,RISE
2020-05-25,7750.0,7750.0,7780.0,7620.0,450776.0,-20338,9097,11241,0.0815,-1993376,20.0,RISE
2020-05-22,7730.0,8320.0,8470.0,7660.0,1870019.0,441932,-464898,22966,0.0813,-2004617,590.0,FALL
2020-05-21,8320.0,7910.0,8380.0,7750.0,2116281.0,-368571.0,330840.0,37731.0,0.0892,-2128067.0,590.0,RISE
2020-05-20,7730.0,7570.0,7780.0,7490.0,464895.0,-188639.0,133586.0,55053.0,0.0832,-2165798.0,130.0,RISE
2020-05-19,7600.0,7740.0,7740.0,7490.0,416458.0,26877.0,-51543.0,24666.0,0.0808,-2220851.0,50.0,RISE
2020-05-18,7550.0,7550.0,7640.0,7400.0,491127.0,-102228.0,77153.0,25075.0,0.0814,-2245517.0,190.0,FALL
2020-05-15,7740.0,7500.0,7770.0,7470.0,349076.0,-67847.0,67507.0,340.0,0.08,-2270592.0,240.0,RISE
2020-05-14,7500.0,7660.0,7730.0,7460.0,460567.0,21165.0,-20883.0,-282.0,0.0788,-2270932.0,250.0,FALL
2020-05-13,7750.0,7550.0,7750.0,7500.0,275696.0,-39858.0,39893.0,-35.0,0.0795,-2270650.0,50.0,RISE
2020-05-12,7700.0,7910.0,7930.0,7550.0,481821.0,16486.0,-16506.0,20.0,0.0791,-2270615.0,170.0,FALL
2020-05-11,7870.0,8100.0,8130.0,7850.0,624193.0,82921.0,3265.0,-86186.0,0.0799,-2270635.0,200.0,FALL
2020-05-08,8070.0,8240.0,8450.0,8040.0,1430209.0,-13623.0,5965.0,7658.0,0.0783,-2184449.0,50.0,FALL
2020-05-07,8120.0,8150.0,8230.0,8060.0,489078.0,-7575.0,7471.0,104.0,0.0779,-2192107.0,140.0,RISE
2020-05-06,7980.0,7950.0,8200.0,7920.0,728214.0,-73352.0,70906.0,2446.0,0.0779,-2192211.0,150.0,RISE
2020-05-04,7830.0,7680.0,8010.0,7600.0,511776.0,-67479.0,65195.0,2284.0,0.0766,-2194657.0,0.0,EVEN
2020-04-29,7830.0,7750.0,7910.0,7620.0,403586.0,-23005.0,23078.0,-73.0,0.0754,-2196941.0,60.0,RISE
2020-04-28,7770.0,7750.0,8100.0,7660.0,1044357.0,-15403.0,15789.0,-386.0,0.0756,-2196868.0,100.0,RISE
2020-04-27,7670.0,7540.0,7830.0,7400.0,553287.0,-136710.0,136322.0,388.0,0.0753,-2196482.0,150.0,RISE
2020-04-24,7520.0,7730.0,7790.0,7370.0,708938.0,-84435.0,84154.0,281.0,0.0729,-2196870.0,280.0,FALL
2020-04-23,7800.0,8000.0,8010.0,7730.0,505368.0,-24040.0,23651.0,389.0,0.0716,-2197151.0,60.0,FALL
2020-04-22,7860.0,7800.0,7910.0,7610.0,641067.0,-25757.0,25755.0,2.0,0.0714,-2197540.0,190.0,FALL
2020-04-21,8050.0,8240.0,8250.0,7580.0,1115265.0,2900.0,-2900.0,0.0,0.0711,-2197542.0,180.0,FALL
2020-04-20,8230.0,8030.0,8330.0,7960.0,799532.0,-21824.0,30853.0,-9029.0,0.07200000000000001,-2197542.0,200.0,RISE
2020-04-17,8030.0,7320.0,8220.0,7260.0,1805242.0,-16457.0,24052.0,-7595.0,0.0715,-2188513.0,790.0,RISE
2020-04-16,7240.0,7090.0,7340.0,7050.0,758754.0,-103992.0,118747.0,-14755.0,0.071,-2180918.0,220.0,RISE
2020-04-14,7020.0,7050.0,7100.0,6900.0,427120.0,-12607.0,31279.0,-18672.0,0.0689,-2166163.0,180.0,RISE
2020-04-13,6840.0,6820.0,7040.0,6690.0,441278.0,-20840.0,21118.0,-278.0,0.0683,-2147491.0,60.0,RISE
2020-04-10,6780.0,6850.0,6970.0,6630.0,483453.0,-4398.0,4577.0,-179.0,0.0679,-2147213.0,70.0,FALL
2020-04-09,6850.0,6570.0,6980.0,6530.0,1024967.0,45877.0,-42976.0,-2901.0,0.0678,-2147034.0,370.0,RISE
2020-04-08,6480.0,6340.0,6670.0,6280.0,747132.0,-14121.0,14126.0,-5.0,0.0686,-2144133.0,190.0,RISE
2020-04-07,6290.0,6340.0,6480.0,6180.0,627221.0,-69368.0,69363.0,5.0,0.0684,-2144128.0,90.0,RISE
2020-04-06,6200.0,6030.0,6250.0,5980.0,684659.0,-161850.0,161625.0,225.0,0.0672,-2144133.0,130.0,RISE
