날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-09,,,,,,972619.0,-91192.0,-881427.0,0.019,-1740138.0,135.0,FALL
2014-04-10,1765.0,1680.0,1765.0,1635.0,2882703.0,-443843.0,331998.0,111845.0,0.022,-1628293.0,85.0,RISE
2014-04-11,1750.0,1725.0,1775.0,1725.0,886339.0,63320.0,-105385.0,42065.0,0.021,-1586228.0,15.0,FALL
2014-04-14,1770.0,1750.0,1770.0,1730.0,646484.0,-29411.0,-34689.0,64100.0,0.021,-1522128.0,20.0,RISE
2014-04-15,1760.0,1770.0,1775.0,1745.0,749471.0,7659.0,-69277.0,61618.0,0.02,-1460510.0,10.0,FALL
2014-04-16,1800.0,1775.0,1830.0,1755.0,1369145.0,-158564.0,-10404.0,168968.0,0.02,-1291542.0,40.0,RISE
2014-04-17,1850.0,1805.0,1885.0,1800.0,2556896.0,-150466.0,164012.0,-13546.0,0.021,-1305088.0,50.0,RISE
2014-04-18,1860.0,1850.0,1880.0,1820.0,1224163.0,89151.0,-5614.0,-83537.0,0.021,-1388625.0,10.0,RISE
2014-04-21,1850.0,1860.0,1870.0,1835.0,677548.0,-84390.0,-30017.0,114407.0,0.02,-1274218.0,10.0,FALL
2014-04-22,1830.0,1850.0,1875.0,1820.0,658861.0,-72990.0,11535.0,61455.0,0.021,-1212763.0,20.0,FALL
2014-04-23,1825.0,1855.0,1855.0,1820.0,603741.0,-108686.0,58585.0,50101.0,0.021,-1162662.0,5.0,FALL
2014-04-24,1850.0,1810.0,1855.0,1790.0,900486.0,-4551.0,4551.0,0.0,0.021,-1162662.0,25.0,RISE
2014-04-25,1815.0,1855.0,1855.0,1800.0,1038427.0,-62305.0,-29376.0,91681.0,0.021,-1070981.0,35.0,FALL
2014-04-28,1815.0,1835.0,1840.0,1810.0,655690.0,7683.0,-64549.0,56866.0,0.02,-1014115.0,0.0,EVEN
2014-04-29,1845.0,1825.0,1870.0,1815.0,1226164.0,123528.0,8691.0,-132219.0,0.021,-1146334.0,30.0,RISE
2014-04-30,1900.0,1870.0,1900.0,1850.0,1587350.0,-113268.0,39133.0,74135.0,0.021,-1072199.0,55.0,RISE
2014-05-02,1920.0,1915.0,1930.0,1895.0,1020899.0,7242.0,-24679.0,17437.0,0.021,-1054762.0,20.0,RISE
2014-05-07,1875.0,1920.0,1920.0,1855.0,919679.0,-7276.0,-19865.0,27141.0,0.02,-1027621.0,45.0,FALL
2014-05-08,1930.0,1875.0,1940.0,1875.0,1342483.0,-21116.0,21116.0,0.0,0.021,-1027621.0,55.0,RISE
2014-05-09,1965.0,1940.0,1985.0,1925.0,1895043.0,-159727.0,47254.0,112473.0,0.021,-915148.0,35.0,RISE
2014-05-12,1930.0,1965.0,1990.0,1925.0,1670085.0,14064.0,13301.0,-27365.0,0.021,-942513.0,35.0,FALL
2014-05-13,1865.0,1930.0,1940.0,1855.0,2348263.0,-61001.0,163441.0,-102440.0,0.023,-1044953.0,65.0,FALL
2014-05-14,1990.0,1880.0,2005.0,1870.0,4917751.0,-614846.0,439054.0,175792.0,0.027,-869161.0,125.0,RISE
2014-05-15,1955.0,2010.0,2070.0,1930.0,7650151.0,-46128.0,-83391.0,129519.0,0.026,-739642.0,35.0,FALL
2014-05-16,1960.0,1940.0,1975.0,1895.0,2416407.0,-171683.0,164602.0,7081.0,0.028,-732561.0,5.0,RISE
2014-05-19,1910.0,1960.0,1975.0,1895.0,1580928.0,206010.0,-94227.0,-111783.0,0.027,-844344.0,50.0,FALL
2014-05-20,1820.0,1890.0,1905.0,1790.0,3208408.0,158124.0,23831.0,-181955.0,0.027,-1026299.0,90.0,FALL
2014-05-21,1815.0,1815.0,1850.0,1810.0,1057462.0,-111540.0,100703.0,10837.0,0.028,-1015462.0,5.0,FALL
2014-05-22,1830.0,1850.0,1850.0,1810.0,953578.0,48371.0,-47291.0,-1080.0,0.028,-1016542.0,15.0,RISE
2014-05-23,1815.0,1835.0,1840.0,1785.0,1216047.0,119239.0,35976.0,-155215.0,0.028,-1171757.0,15.0,FALL
2014-05-26,1740.0,1820.0,1820.0,1735.0,1713508.0,10762.0,37955.0,-48717.0,0.029,-1220474.0,75.0,FALL
2014-05-27,1775.0,1740.0,1780.0,1725.0,1194407.0,25294.0,109000.0,-134294.0,0.03,-1354768.0,35.0,RISE
2014-05-28,1720.0,1775.0,1790.0,1700.0,1344916.0,250971.0,-204011.0,-46960.0,0.028,-1401728.0,55.0,FALL
2014-05-29,1745.0,1705.0,1770.0,1705.0,808999.0,-94044.0,80754.0,13290.0,0.028,-1388438.0,25.0,RISE
2014-05-30,1730.0,1740.0,1760.0,1725.0,593575.0,54036.0,-56026.0,1990.0,0.028,-1386448.0,15.0,FALL
2014-06-02,1690.0,1740.0,1745.0,1680.0,969553.0,153238.0,-75357.0,-77881.0,0.027,-1464329.0,40.0,FALL
2014-06-03,1725.0,1680.0,1735.0,1665.0,750789.0,58545.0,33529.0,-92074.0,0.028,-1556403.0,35.0,RISE
2014-06-05,1735.0,1730.0,1755.0,1710.0,643169.0,179762.0,-221051.0,41289.0,0.025,-1515114.0,10.0,RISE
2014-06-09,1670.0,1735.0,1750.0,1660.0,955173.0,252464.0,-40918.0,-211546.0,0.025,-1726660.0,65.0,FALL
2014-06-10,1685.0,1670.0,1705.0,1640.0,933363.0,25438.0,129769.0,-155207.0,0.026,-1881867.0,15.0,RISE
2014-06-11,1675.0,1685.0,1705.0,1660.0,917270.0,-18592.0,2463.0,16129.0,0.026,-1865738.0,10.0,FALL
2014-06-12,1725.0,1680.0,1755.0,1680.0,1732180.0,7893.0,-2715.0,-5178.0,0.026,-1870916.0,50.0,RISE
2014-06-13,1725.0,1725.0,1730.0,1695.0,419169.0,28444.0,-65265.0,36821.0,0.026,-1834095.0,0.0,EVEN
2014-06-16,1805.0,1725.0,1815.0,1720.0,1370378.0,-111028.0,-22018.0,133046.0,0.025,-1701049.0,80.0,RISE
2014-06-17,1825.0,1800.0,1835.0,1780.0,1081225.0,-21995.0,-60445.0,82440.0,0.025,-1618609.0,20.0,RISE
2014-06-18,1815.0,1825.0,1845.0,1810.0,650792.0,45960.0,-93145.0,47185.0,0.024,-1571424.0,10.0,FALL
2014-06-19,1800.0,1815.0,1835.0,1780.0,653978.0,-28809.0,-16586.0,45395.0,0.024,-1526029.0,15.0,FALL
2014-06-20,1810.0,1805.0,1815.0,1790.0,384629.0,-5241.0,-9456.0,14697.0,0.024,-1511332.0,10.0,RISE
2014-06-23,1755.0,1785.0,1810.0,1755.0,664417.0,88346.0,-13959.0,-74387.0,0.024,-1585719.0,55.0,FALL
2014-06-24,1695.0,1740.0,1755.0,1675.0,1483480.0,439602.0,89631.0,-529233.0,0.024,-2114952.0,60.0,FALL
2014-06-25,1705.0,1685.0,1715.0,1685.0,420931.0,-27999.0,64146.0,-36147.0,0.025,-2151099.0,10.0,RISE
2014-06-26,1765.0,1705.0,1780.0,1705.0,894328.0,-78516.0,-20362.0,98878.0,0.025,-2052221.0,60.0,RISE
2014-06-27,1765.0,1760.0,1790.0,1745.0,634597.0,99878.0,-44940.0,-54938.0,0.024,-2107159.0,0.0,EVEN
2014-06-30,1770.0,1765.0,1785.0,1745.0,325288.0,-59745.0,48861.0,10884.0,0.025,-2096275.0,5.0,RISE
2014-07-01,1790.0,1785.0,1800.0,1755.0,555949.0,-16354.0,16354.0,0.0,0.025,-2096275.0,20.0,RISE
2014-07-02,1795.0,1795.0,1800.0,1775.0,813056.0,-159778.0,69934.0,89844.0,0.026,-2006431.0,5.0,RISE
2014-07-03,1850.0,1805.0,1860.0,1795.0,1909816.0,-302704.0,68031.0,234673.0,0.026,-1771758.0,55.0,RISE
2014-07-04,1920.0,1890.0,1945.0,1855.0,3259860.0,-318473.0,19158.0,299315.0,0.027,-1472443.0,70.0,RISE
2014-07-07,1935.0,1925.0,1940.0,1900.0,1431403.0,-175003.0,11716.0,163287.0,0.027,-1309156.0,15.0,RISE
2014-07-08,1950.0,1945.0,1965.0,1925.0,1470663.0,-228218.0,-47503.0,275721.0,0.026,-1033435.0,15.0,RISE
2014-07-09,1965.0,1970.0,1970.0,1920.0,1497509.0,-238476.0,-7877.0,246353.0,0.026,-787082.0,15.0,RISE
2014-07-10,1960.0,1980.0,2005.0,1960.0,2380726.0,-9320.0,29884.0,-20564.0,0.026,-807646.0,5.0,FALL
2014-07-11,2000.0,1960.0,2000.0,1905.0,2569381.0,-385666.0,96576.0,289090.0,0.027,-518556.0,40.0,RISE
2014-07-14,2125.0,2025.0,2130.0,2025.0,5384123.0,-303931.0,160454.0,143477.0,0.029,-375079.0,125.0,RISE
2014-07-15,2020.0,2115.0,2125.0,2000.0,3234971.0,-106350.0,47178.0,59172.0,0.029,-315907.0,105.0,FALL
2014-07-16,2050.0,2055.0,2065.0,1965.0,2564601.0,-37870.0,-12770.0,50640.0,0.029,-265267.0,30.0,RISE
2014-07-17,2015.0,2055.0,2100.0,1990.0,2512000.0,88350.0,-26100.0,-62250.0,0.029,-327517.0,35.0,FALL
2014-07-18,2020.0,1980.0,2040.0,1980.0,1269096.0,-136195.0,160742.0,-24547.0,0.031,-352064.0,5.0,RISE
2014-07-21,1995.0,2020.0,2030.0,1965.0,1934148.0,205632.0,-27336.0,-178296.0,0.03,-530360.0,25.0,FALL
2014-07-22,2000.0,1995.0,2010.0,1955.0,1007513.0,59715.0,82426.0,-142141.0,0.031,-672501.0,5.0,RISE
2014-07-23,2020.0,2015.0,2070.0,1985.0,2589165.0,31248.0,34314.0,-65562.0,0.032,-738063.0,20.0,RISE
2014-07-24,1990.0,2025.0,2035.0,1965.0,1711418.0,183905.0,-69081.0,-114824.0,0.031,-852887.0,30.0,FALL
2014-07-25,1960.0,1975.0,1990.0,1925.0,1076399.0,28711.0,52781.0,-81492.0,0.031,-934379.0,30.0,FALL
2014-07-28,1920.0,1975.0,1985.0,1870.0,2022777.0,3911.0,60553.0,-64464.0,0.032,-998843.0,40.0,FALL
2014-07-29,1915.0,1900.0,1930.0,1860.0,1582433.0,82919.0,-21044.0,-61875.0,0.032,-1060718.0,5.0,FALL
2014-07-30,1950.0,1915.0,1955.0,1885.0,1229047.0,-101459.0,-38021.0,139480.0,0.032,-921238.0,35.0,RISE
2014-07-31,1975.0,1940.0,1985.0,1925.0,1456404.0,262153.0,-231933.0,-30220.0,0.03,-951458.0,25.0,RISE
2014-08-01,1945.0,1930.0,1975.0,1930.0,579968.0,15839.0,-28291.0,12452.0,0.029,-939006.0,30.0,FALL
2014-08-04,2040.0,1955.0,2050.0,1935.0,2808854.0,182478.0,-81163.0,-101315.0,0.029,-1040321.0,95.0,RISE
2014-08-05,1980.0,2035.0,2055.0,1970.0,2052997.0,136981.0,-81491.0,-55490.0,0.028,-1095811.0,60.0,FALL
2014-08-06,2085.0,1980.0,2125.0,1955.0,3977285.0,-243177.0,-149190.0,392367.0,0.027,-703444.0,105.0,RISE
2014-08-07,2140.0,2100.0,2180.0,2070.0,4562505.0,149255.0,-189747.0,40492.0,0.026,-662952.0,55.0,RISE
2014-08-08,2130.0,2160.0,2225.0,2115.0,3653951.0,239593.0,-171435.0,-68158.0,0.024,-731110.0,10.0,FALL
2014-08-11,2120.0,2120.0,2155.0,2075.0,1330952.0,-74374.0,-10681.0,85055.0,0.024,-646055.0,10.0,FALL
2014-08-12,2180.0,2160.0,2195.0,2150.0,2441732.0,252100.0,-60829.0,-191271.0,0.024,-837326.0,60.0,RISE
