,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,29600.0,29100.0,29600.0,29000.0,29706.0,-7229,6286,943,0.3465,315239,300.0,RISE
2020-06-01,29300.0,28700.0,29400.0,28700.0,27531.0,-7798,7523,275,0.346,314296,600.0,RISE
2020-05-29,28700.0,29150.0,29200.0,28700.0,57546.0,22428,-10270,-12158,0.3455,314021,450.0,FALL
2020-05-28,29150.0,29800.0,30000.0,28850.0,56677.0,19592,-18525,-1067,0.3462,326179,550.0,FALL
2020-05-27,29700.0,30250.0,30300.0,29550.0,51864.0,21711,-21075,-636,0.3476,327246,700.0,FALL
2020-05-26,30400.0,29200.0,30400.0,29150.0,63498.0,-5185,439,4746,0.3491,327882,1200.0,RISE
2020-05-25,29200.0,29300.0,29400.0,28900.0,19242.0,4375,-4411,36,0.349,323136,150.0,RISE
2020-05-22,29750.0,29900.0,29900.0,29650.0,3000.0,,,,,,,
2020-05-21,29650.0,29700.0,29850.0,29250.0,26333.0,7970.0,-6739.0,-1231.0,0.3496,362910.0,0.0,EVEN
2020-05-20,29650.0,29850.0,29900.0,29550.0,22069.0,8664.0,-8071.0,-593.0,0.3501,364141.0,250.0,FALL
2020-05-19,29900.0,29500.0,30350.0,29500.0,40008.0,-6998.0,-389.0,7387.0,0.3507,364734.0,700.0,RISE
2020-05-18,29200.0,29900.0,29900.0,29000.0,32761.0,6928.0,-7818.0,890.0,0.3507,357347.0,700.0,FALL
2020-05-15,29900.0,29400.0,29900.0,29000.0,35724.0,-7673.0,-3607.0,11280.0,0.3513,356457.0,1000.0,RISE
2020-05-14,28900.0,28750.0,29250.0,28450.0,36064.0,-8350.0,-8661.0,17011.0,0.3515,345177.0,0.0,EVEN
2020-05-13,28900.0,28350.0,28950.0,28100.0,40449.0,3091.0,-13604.0,10513.0,0.3522,328166.0,0.0,EVEN
2020-05-12,28900.0,29950.0,30400.0,28700.0,55505.0,1973.0,-12776.0,10803.0,0.3531,317653.0,1050.0,FALL
2020-05-11,29950.0,29800.0,30150.0,28650.0,52357.0,-12541.0,1631.0,10910.0,0.354,306850.0,500.0,RISE
2020-05-08,29450.0,29200.0,29700.0,29100.0,31149.0,-2167.0,1214.0,953.0,0.3539,295940.0,450.0,RISE
2020-05-07,29000.0,28000.0,29050.0,27850.0,38774.0,-9312.0,2328.0,6984.0,0.3537,294987.0,1000.0,RISE
2020-05-06,28000.0,27800.0,28150.0,27500.0,51776.0,13973.0,-12850.0,-1123.0,0.3536,288003.0,500.0,RISE
2020-05-04,27500.0,28100.0,28100.0,27400.0,66798.0,37367.0,-23352.0,-14015.0,0.3545,289126.0,1400.0,FALL
2020-04-29,28900.0,28500.0,29100.0,28450.0,34728.0,622.0,-3921.0,3299.0,0.3562,303141.0,450.0,RISE
2020-04-28,28450.0,28550.0,28900.0,28200.0,40807.0,8426.0,-12614.0,4188.0,0.3563,299842.0,350.0,FALL
2020-04-27,28800.0,27650.0,28850.0,27550.0,33804.0,-11244.0,-177.0,11421.0,0.3573,295654.0,1150.0,RISE
2020-04-24,27650.0,27850.0,28200.0,27450.0,42157.0,-3021.0,-9309.0,12330.0,0.3573,284233.0,300.0,FALL
2020-04-23,27950.0,27000.0,28000.0,26950.0,32192.0,-3288.0,437.0,2851.0,0.3579,271903.0,950.0,RISE
2020-04-22,27000.0,26650.0,27100.0,26350.0,33642.0,7762.0,-9751.0,1989.0,0.3579,269052.0,350.0,FALL
2020-04-21,27350.0,28400.0,28400.0,26800.0,62847.0,10152.0,-3602.0,-6550.0,0.3586,267063.0,800.0,FALL
2020-04-20,28150.0,28100.0,28800.0,27900.0,42356.0,-3164.0,2119.0,1045.0,0.3587,273613.0,0.0,EVEN
2020-04-17,28150.0,27750.0,28700.0,27750.0,38313.0,1662.0,-3464.0,1802.0,0.3584,272568.0,550.0,RISE
2020-04-16,27600.0,27850.0,28050.0,27300.0,51860.0,31831.0,-24191.0,-7640.0,0.3587,270766.0,800.0,FALL
2020-04-14,28400.0,27700.0,28450.0,27600.0,27463.0,-7415.0,4136.0,3279.0,0.3603,278406.0,800.0,RISE
2020-04-13,27600.0,28000.0,28450.0,27600.0,40722.0,1707.0,-1835.0,128.0,0.36,275127.0,900.0,FALL
2020-04-10,28500.0,28300.0,28700.0,27650.0,34699.0,1837.0,-504.0,-1333.0,0.3601,274999.0,200.0,RISE
2020-04-09,28300.0,28000.0,28300.0,27800.0,45880.0,4125.0,-14133.0,10008.0,0.3602,276332.0,650.0,RISE
2020-04-08,27650.0,27650.0,28200.0,27300.0,44708.0,8007.0,-15933.0,7926.0,0.3612,266324.0,350.0,FALL
2020-04-07,28000.0,27350.0,28000.0,27000.0,63357.0,2126.0,-7671.0,5545.0,0.3624,258398.0,1000.0,RISE
2020-04-06,27000.0,25600.0,27000.0,25600.0,53056.0,-7627.0,-3939.0,11566.0,0.3629,252853.0,1250.0,RISE
2020-04-03,25750.0,25850.0,25900.0,25150.0,44002.0,5304.0,-10871.0,5567.0,0.3632,241287.0,0.0,EVEN
2020-04-02,25750.0,25450.0,26300.0,24700.0,46978.0,7199.0,-19468.0,12269.0,0.364,235720.0,50.0,RISE
2020-04-01,25700.0,25500.0,26750.0,25400.0,73152.0,6466.0,-4596.0,-1870.0,0.3654,223451.0,300.0,FALL
2020-03-31,26000.0,25400.0,26250.0,25400.0,41253.0,2408.0,-3312.0,904.0,0.3657,225321.0,700.0,RISE
2020-03-30,25300.0,24800.0,25400.0,24250.0,31116.0,-3199.0,-4547.0,7746.0,0.366,224417.0,50.0,RISE
2020-03-27,25250.0,25400.0,25650.0,24600.0,46942.0,-4655.0,-3563.0,8218.0,0.3663,216671.0,800.0,RISE
2020-03-26,24450.0,24850.0,25250.0,24300.0,73396.0,12047.0,-24464.0,12417.0,0.3666,208453.0,700.0,FALL
2020-03-25,25150.0,24500.0,25400.0,24250.0,79299.0,27176.0,-31506.0,4330.0,0.3683,196036.0,700.0,RISE
2020-03-24,24450.0,23050.0,24450.0,22700.0,40210.0,4485.0,-5787.0,1302.0,0.3706,191706.0,1450.0,RISE
2020-03-23,23000.0,23500.0,24350.0,22600.0,48915.0,5414.0,-7786.0,2372.0,0.371,190404.0,3000.0,FALL
2020-03-20,26000.0,22300.0,26000.0,22300.0,56794.0,-3364.0,-2641.0,6005.0,0.3715,188032.0,3500.0,RISE
2020-03-19,22500.0,25750.0,26600.0,22500.0,72914.0,-21045.0,1882.0,19163.0,0.3716,182027.0,3050.0,FALL
2020-03-18,25550.0,26150.0,26800.0,25500.0,43595.0,-4906.0,-8373.0,13279.0,0.3715,162864.0,1100.0,FALL
2020-03-17,26650.0,24400.0,26700.0,24400.0,41953.0,6773.0,-13945.0,7172.0,0.3721,149585.0,900.0,FALL
2020-03-16,27550.0,27900.0,28300.0,26150.0,34205.0,-3822.0,-1648.0,5470.0,0.3732,142413.0,150.0,RISE
2020-03-13,27400.0,26350.0,28150.0,25750.0,48732.0,-3203.0,-4778.0,7981.0,0.3733,136943.0,1800.0,FALL
2020-03-12,29200.0,30450.0,31100.0,28650.0,43279.0,-536.0,-9157.0,9693.0,0.3736,128962.0,1600.0,FALL
2020-03-11,30800.0,31150.0,31400.0,30750.0,31588.0,-1964.0,-7270.0,9234.0,0.3743,119269.0,400.0,FALL
2020-03-10,31200.0,32000.0,32050.0,31050.0,40837.0,-909.0,-14551.0,15460.0,0.3748,110035.0,750.0,FALL
2020-03-09,31950.0,31950.0,32150.0,31050.0,36112.0,-1337.0,-8967.0,10304.0,0.3759,94575.0,350.0,FALL
2020-03-06,32300.0,33200.0,33250.0,32050.0,20470.0,832.0,-1685.0,853.0,0.3765,84271.0,600.0,FALL
