,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,3060.0,3040.0,3080.0,3000.0,735711.0,36852,-36852,0,0.0166,-640003,20.0,RISE
2020-06-01,3040.0,2890.0,3050.0,2890.0,732316.0,-106274,106274,0,0.0182,-640003,140.0,RISE
2020-05-29,2900.0,2955.0,3000.0,2860.0,373551.0,-7085,7085,0,0.0136,-640003,55.0,FALL
2020-05-28,2955.0,3120.0,3125.0,2855.0,1044117.0,32942,-32942,0,0.0133,-640003,140.0,FALL
2020-05-27,3095.0,3015.0,3095.0,2985.0,1222493.0,8646,-8646,0,0.0147,-640003,80.0,RISE
2020-05-26,3015.0,2985.0,3055.0,2970.0,862193.0,-67716,67716,0,0.0151,-640003,35.0,RISE
2020-05-25,2980.0,2985.0,3005.0,2875.0,808775.0,-6414,6414,0,0.0128,-640003,10.0,RISE
2020-05-22,3060.0,3095.0,3110.0,3035.0,243539.0,,,,,,,
2020-05-21,3070.0,3135.0,3230.0,3040.0,2822506.0,24297.0,-24297.0,0.0,0.0115,-643003.0,10.0,RISE
2020-05-20,3060.0,3030.0,3085.0,2980.0,1054632.0,-64136.0,64136.0,0.0,0.0126,-643003.0,30.0,RISE
2020-05-19,3030.0,3075.0,3095.0,3000.0,1481319.0,-8011.0,11401.0,-3390.0,0.0097,-643003.0,40.0,FALL
2020-05-18,3070.0,2915.0,3110.0,2890.0,3384765.0,-34730.0,34730.0,0.0,0.0092,-639613.0,175.0,RISE
2020-05-15,2895.0,3060.0,3080.0,2890.0,2252934.0,-33653.0,30263.0,3390.0,0.0077,-639613.0,145.0,FALL
2020-05-14,3040.0,2725.0,3245.0,2695.0,13826886.0,20573.0,-20573.0,0.0,0.0063,-643003.0,315.0,RISE
2020-05-13,2725.0,2580.0,2800.0,2490.0,5751313.0,175790.0,-175790.0,0.0,0.0072,-643003.0,225.0,RISE
2020-05-12,2500.0,2500.0,2515.0,2405.0,332405.0,46874.0,-46874.0,0.0,0.0151,-643003.0,0.0,EVEN
2020-05-11,2500.0,2505.0,2535.0,2470.0,245399.0,-11917.0,11917.0,0.0,0.0172,-643003.0,30.0,FALL
2020-05-08,2530.0,2555.0,2560.0,2510.0,251254.0,-29208.0,29208.0,0.0,0.0166,-643003.0,10.0,RISE
2020-05-07,2520.0,2495.0,2560.0,2480.0,395821.0,-36148.0,36148.0,0.0,0.0153,-643003.0,40.0,RISE
2020-05-06,2480.0,2485.0,2520.0,2430.0,271132.0,13919.0,-13919.0,0.0,0.0137,-643003.0,0.0,EVEN
2020-05-04,2480.0,2425.0,2495.0,2420.0,172244.0,464.0,-464.0,0.0,0.0141,-643003.0,50.0,RISE
2020-04-29,2430.0,2440.0,2465.0,2420.0,172769.0,-15976.0,16976.0,-1000.0,0.0141,-643003.0,15.0,RISE
2020-04-28,2415.0,2480.0,2500.0,2415.0,227917.0,4315.0,-4315.0,0.0,0.0134,-642003.0,65.0,FALL
2020-04-27,2480.0,2445.0,2485.0,2400.0,290209.0,-42318.0,42318.0,0.0,0.0135,-642003.0,55.0,RISE
2020-04-24,2425.0,2510.0,2510.0,2420.0,320028.0,21455.0,-21455.0,0.0,0.0117,-642003.0,95.0,FALL
2020-04-23,2520.0,2550.0,2595.0,2495.0,515563.0,-21599.0,21599.0,0.0,0.0126,-642003.0,15.0,FALL
2020-04-22,2535.0,2485.0,2545.0,2370.0,232048.0,13092.0,-13092.0,0.0,0.0116,-642003.0,0.0,EVEN
2020-04-21,2535.0,2500.0,2600.0,2360.0,729753.0,41234.0,-41234.0,0.0,0.0122,-642003.0,5.0,FALL
2020-04-20,2540.0,2480.0,2540.0,2440.0,841184.0,-6689.0,5689.0,1000.0,0.0141,-642003.0,60.0,RISE
2020-04-17,2480.0,2285.0,2645.0,2270.0,3602500.0,103283.0,-103283.0,0.0,0.0138,-643003.0,255.0,RISE
2020-04-16,2225.0,2145.0,2240.0,2105.0,394051.0,-36522.0,36522.0,0.0,0.0184,-643003.0,80.0,RISE
2020-04-14,2145.0,2105.0,2170.0,2105.0,213813.0,-81336.0,81336.0,0.0,0.0168,-643003.0,65.0,RISE
2020-04-13,2080.0,2190.0,2205.0,2075.0,153163.0,-2780.0,2780.0,0.0,0.0174,-643003.0,110.0,FALL
2020-04-10,2190.0,2240.0,2265.0,2065.0,331152.0,-7677.0,7677.0,0.0,0.0173,-643003.0,40.0,FALL
2020-04-09,2230.0,2255.0,2340.0,2195.0,529910.0,-12370.0,12370.0,0.0,0.017,-643003.0,65.0,RISE
2020-04-08,2165.0,2130.0,2175.0,2070.0,426355.0,4690.0,-4690.0,0.0,0.0164,-643003.0,30.0,RISE
2020-04-07,2135.0,2070.0,2150.0,2010.0,460844.0,-19574.0,19575.0,-1.0,0.0166,-643003.0,155.0,RISE
2020-04-06,1980.0,1965.0,1980.0,1810.0,383167.0,4382.0,-4382.0,0.0,0.0157,-643002.0,55.0,RISE
2020-04-03,1925.0,1850.0,1925.0,1820.0,399361.0,-467.0,467.0,0.0,0.0159,-643002.0,110.0,RISE
2020-04-02,1815.0,1775.0,1820.0,1735.0,226008.0,4545.0,-4545.0,0.0,0.0159,-643002.0,45.0,RISE
2020-04-01,1770.0,1770.0,1870.0,1730.0,467426.0,12611.0,-12611.0,0.0,0.0161,-643002.0,20.0,FALL
2020-03-31,1790.0,1790.0,1840.0,1705.0,558247.0,-21954.0,21954.0,0.0,0.0167,-643002.0,85.0,RISE
2020-03-30,1705.0,1650.0,1725.0,1550.0,314881.0,16004.0,-16004.0,0.0,0.0157,-643002.0,35.0,RISE
2020-03-27,1670.0,1720.0,1775.0,1600.0,461383.0,33896.0,-33896.0,0.0,0.0164,-643002.0,10.0,RISE
2020-03-26,1660.0,1625.0,1780.0,1560.0,608980.0,63781.0,-63781.0,0.0,0.0184,-643002.0,60.0,RISE
2020-03-25,1600.0,1505.0,1600.0,1470.0,576851.0,-34041.0,34041.0,0.0,0.0215,-643002.0,195.0,RISE
2020-03-24,1405.0,1345.0,1415.0,1340.0,351441.0,-81519.0,81519.0,0.0,0.02,-643002.0,90.0,RISE
2020-03-23,1315.0,1340.0,1360.0,1250.0,616109.0,-37655.0,37655.0,0.0,0.0163,-643002.0,155.0,FALL
2020-03-20,1470.0,1330.0,1490.0,1330.0,705982.0,8015.0,-11144.0,3129.0,0.0147,-643002.0,115.0,RISE
2020-03-19,1355.0,1755.0,1890.0,1230.0,1223427.0,-74162.0,74162.0,0.0,0.0152,-646131.0,390.0,FALL
2020-03-18,1745.0,1990.0,2030.0,1745.0,421092.0,66134.0,-66134.0,0.0,0.0118,-646131.0,225.0,FALL
2020-03-17,1970.0,1780.0,2020.0,1780.0,485223.0,-67831.0,67831.0,0.0,0.0154,-646131.0,30.0,FALL
2020-03-16,2000.0,2195.0,2235.0,1990.0,524288.0,-51545.0,51544.0,1.0,0.0124,-646131.0,105.0,FALL
2020-03-13,2105.0,2000.0,2295.0,1880.0,1045414.0,-126347.0,126347.0,0.0,0.0101,-646132.0,265.0,FALL
2020-03-12,2370.0,2555.0,2575.0,2370.0,515063.0,-4015.0,4015.0,0.0,0.0044,-646132.0,255.0,FALL
2020-03-11,2625.0,2820.0,2840.0,2620.0,377246.0,33819.0,-33819.0,0.0,0.0043,-646132.0,185.0,FALL
2020-03-10,2810.0,2680.0,2815.0,2650.0,482610.0,-47873.0,47873.0,0.0,0.0058,-646132.0,40.0,RISE
2020-03-09,2770.0,2910.0,2940.0,2770.0,591049.0,5416.0,-5416.0,0.0,0.0036,-646132.0,220.0,FALL
2020-03-06,2990.0,3050.0,3065.0,2925.0,462135.0,-9312.0,9312.0,0.0,0.0035,-646132.0,105.0,FALL
2020-03-05,3095.0,3160.0,3210.0,3080.0,996308.0,20903.0,-20903.0,0.0,0.0033,-646132.0,5.0,RISE
2020-03-04,3090.0,2865.0,3125.0,2865.0,784675.0,-26210.0,26210.0,0.0,0.0042,-646132.0,160.0,RISE
2020-03-03,2930.0,2915.0,2975.0,2870.0,350178.0,19127.0,-19127.0,0.0,0.003,-646132.0,85.0,RISE
2020-03-02,2845.0,2785.0,2870.0,2760.0,237570.0,-20893.0,20893.0,0.0,0.0039,-646132.0,60.0,RISE
2020-02-28,2785.0,2800.0,2890.0,2750.0,427782.0,-2001.0,2001.0,0.0,0.003,-646132.0,120.0,FALL
2020-02-27,2905.0,3025.0,3060.0,2875.0,483891.0,52346.0,-52345.0,-1.0,0.0027,-646132.0,95.0,FALL
2020-02-26,3000.0,2950.0,3040.0,2905.0,605408.0,78227.0,-78227.0,0.0,0.005,-646131.0,5.0,FALL
2020-02-25,3005.0,2850.0,3005.0,2810.0,488993.0,-72170.0,72170.0,0.0,0.0084,-646131.0,140.0,RISE
