날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-09,,,,,,-9096.0,9096.0,0.0,0.019,-7033.0,30.0,RISE
2014-04-10,2050.0,2075.0,2100.0,2005.0,239425.0,28988.0,-28988.0,0.0,0.018,25988.0,20.0,FALL
2014-04-11,2050.0,2020.0,2050.0,2000.0,158678.0,-10973.0,10973.0,0.0,0.019,-12973.0,0.0,EVEN
2014-04-14,2080.0,2045.0,2095.0,2025.0,140673.0,3006.0,-3006.0,0.0,0.019,5456.0,30.0,RISE
2014-04-15,2040.0,2065.0,2080.0,1970.0,312970.0,13093.0,-13093.0,0.0,0.018,-2907.0,40.0,FALL
2014-04-16,2025.0,2040.0,2045.0,2000.0,160300.0,-5624.0,5624.0,0.0,0.018,-5624.0,15.0,FALL
2014-04-17,2325.0,2025.0,2325.0,2005.0,1594719.0,49332.0,-49332.0,0.0,0.016,55667.0,300.0,UPPER_LIMIT
2014-04-18,2670.0,2525.0,2670.0,2510.0,912332.0,40397.0,-40397.0,0.0,0.015,51212.0,345.0,UPPER_LIMIT
2014-04-21,3070.0,3070.0,3070.0,2705.0,5399902.0,72275.0,-72275.0,0.0,0.012,167864.0,400.0,UPPER_LIMIT
2014-04-22,3230.0,3000.0,3435.0,2905.0,7344291.0,48186.0,-48186.0,0.0,0.01,55354.0,160.0,RISE
2014-04-23,3230.0,3225.0,3380.0,3110.0,2363158.0,34101.0,-34101.0,0.0,0.008,55429.0,0.0,EVEN
2014-04-24,3100.0,3245.0,3300.0,2970.0,2564225.0,25445.0,-25445.0,0.0,0.007,23855.0,130.0,FALL
2014-04-25,2850.0,3020.0,3090.0,2850.0,1637698.0,-47851.0,47851.0,0.0,0.009,-39274.0,250.0,FALL
2014-04-28,2960.0,2845.0,3075.0,2755.0,2107642.0,-22148.0,22148.0,0.0,0.008,652.0,110.0,RISE
2014-04-29,2800.0,3005.0,3020.0,2775.0,896391.0,50722.0,-50722.0,0.0,0.006,50371.0,160.0,FALL
2014-04-30,2740.0,2800.0,2900.0,2705.0,907141.0,-28101.0,28101.0,0.0,0.007,-27257.0,60.0,FALL
2014-05-02,2785.0,2760.0,2815.0,2635.0,792466.0,-30969.0,30969.0,0.0,0.008,-32739.0,45.0,RISE
2014-05-07,2700.0,2760.0,2855.0,2675.0,733211.0,60775.0,-60775.0,0.0,0.006,60244.0,85.0,FALL
2014-05-08,2630.0,2680.0,2740.0,2580.0,667180.0,-36881.0,36881.0,0.0,0.008,-35881.0,70.0,FALL
2014-05-09,2600.0,2610.0,2650.0,2570.0,432953.0,-2382.0,2382.0,0.0,0.008,-12851.0,30.0,FALL
2014-05-12,2735.0,2605.0,2775.0,2595.0,1022014.0,-22091.0,22091.0,0.0,0.009,-23441.0,135.0,RISE
2014-05-13,2835.0,2745.0,2950.0,2660.0,836929.0,2130.0,-2130.0,0.0,0.009,3630.0,100.0,RISE
2014-05-14,2795.0,2785.0,2860.0,2725.0,615041.0,37905.0,-37905.0,0.0,0.007,16869.0,40.0,FALL
2014-05-15,2600.0,2800.0,2840.0,2600.0,742554.0,51766.0,-51766.0,0.0,0.005,19641.0,195.0,FALL
2014-05-16,2715.0,2635.0,2735.0,2500.0,451031.0,-31607.0,31607.0,0.0,0.007,-38977.0,115.0,RISE
2014-05-19,2735.0,2670.0,2760.0,2670.0,332314.0,19591.0,-19591.0,0.0,0.006,15212.0,20.0,RISE
