,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,286.0,291.0,291.0,281.0,2417089.0,-78330,78330,0,0.0325,-38074238,4.0,FALL
2020-06-01,290.0,285.0,295.0,282.0,2216381.0,-47000,47000,0,0.0318,-38074238,1.0,RISE
2020-05-29,289.0,295.0,304.0,270.0,6988081.0,45450,-45449,-1,0.0325,-38074238,20.0,FALL
2020-05-28,309.0,324.0,326.0,308.0,3479178.0,890960,-890960,0,0.0329,-38074237,12.0,FALL
2020-05-27,321.0,316.0,325.0,311.0,4834474.0,-700482,700482,0,0.041,-38074237,4.0,RISE
2020-05-26,317.0,312.0,320.0,306.0,2355497.0,-592693,592694,-1,0.0346,-38074237,5.0,RISE
2020-05-25,312.0,315.0,316.0,307.0,1731934.0,-259529,259528,1,0.0292,-38074236,1.0,FALL
2020-05-22,318.0,322.0,330.0,316.0,1197329.0,,,,,,,
2020-05-21,320.0,319.0,322.0,316.0,2209671.0,-193670.0,193670.0,0.0,0.0303,-38142508.0,3.0,RISE
2020-05-20,317.0,312.0,330.0,309.0,4402869.0,-414417.0,414417.0,0.0,0.0286,-38142508.0,4.0,RISE
2020-05-19,313.0,318.0,321.0,309.0,2755516.0,-173426.0,173520.0,-94.0,0.0248,-38142508.0,2.0,FALL
2020-05-18,315.0,312.0,339.0,311.0,6698190.0,51539.0,-51539.0,0.0,0.0232,-38142414.0,8.0,RISE
2020-05-15,307.0,315.0,317.0,306.0,2907892.0,249674.0,-249674.0,0.0,0.0237,-38142414.0,7.0,FALL
2020-05-14,314.0,321.0,328.0,311.0,5558484.0,-127125.0,127125.0,0.0,0.026000000000000002,-38142414.0,9.0,FALL
2020-05-13,323.0,292.0,348.0,291.0,37781221.0,-119593.0,136013.0,-16420.0,0.025,-38142414.0,20.0,RISE
2020-05-12,303.0,306.0,308.0,299.0,2510121.0,111754.0,-121652.0,9898.0,0.0237,-38125994.0,3.0,FALL
2020-05-11,306.0,309.0,312.0,305.0,1450135.0,70941.0,-77463.0,6522.0,0.0248,-38135892.0,2.0,FALL
2020-05-08,308.0,313.0,314.0,306.0,2457785.0,-84269.0,84269.0,0.0,0.0255,-38142414.0,4.0,FALL
2020-05-07,312.0,309.0,316.0,306.0,2803793.0,-12775.0,12775.0,0.0,0.0248,-38142414.0,3.0,RISE
2020-05-06,309.0,312.0,315.0,307.0,2110327.0,109845.0,-109845.0,0.0,0.0247,-38142414.0,0.0,EVEN
2020-05-04,309.0,308.0,315.0,302.0,1907834.0,-84016.0,84016.0,0.0,0.0257,-38142414.0,3.0,FALL
2020-04-29,312.0,308.0,316.0,304.0,4150809.0,-87008.0,87009.0,-1.0,0.0249,-38142414.0,2.0,RISE
2020-04-28,310.0,325.0,325.0,308.0,4365140.0,227345.0,-227344.0,-1.0,0.0241,-38142413.0,9.0,FALL
2020-04-27,319.0,314.0,324.0,306.0,7592596.0,-154448.0,154448.0,0.0,0.0262,-38142412.0,2.0,RISE
2020-04-24,317.0,320.0,326.0,306.0,12493300.0,340410.0,-337340.0,-3070.0,0.0248,-38142412.0,9.0,FALL
2020-04-23,326.0,328.0,344.0,324.0,11378622.0,35442.0,-35442.0,0.0,0.0278,-38139342.0,4.0,FALL
2020-04-22,330.0,353.0,353.0,326.0,21234043.0,-132366.0,132366.0,0.0,0.0289,-38139342.0,30.0,FALL
2020-04-21,360.0,324.0,397.0,278.0,110969513.0,371827.0,-371827.0,0.0,0.0277,-38139342.0,48.0,RISE
2020-04-20,312.0,321.0,335.0,308.0,9426124.0,-273323.0,273323.0,0.0,0.0311,-38139342.0,8.0,FALL
2020-04-17,320.0,326.0,333.0,318.0,5608407.0,-148565.0,148566.0,-1.0,0.0286,-38139342.0,6.0,FALL
2020-04-16,326.0,337.0,338.0,315.0,7235118.0,331002.0,-331002.0,0.0,0.0273,-38139341.0,7.0,FALL
2020-04-14,333.0,321.0,352.0,321.0,21824328.0,-352342.0,352342.0,0.0,0.0304,-38139341.0,16.0,RISE
2020-04-13,317.0,321.0,352.0,309.0,24342155.0,185529.0,-185529.0,0.0,0.0272,-38139341.0,5.0,FALL
2020-04-10,322.0,296.0,369.0,293.0,83359141.0,-48406.0,46406.0,2000.0,0.0288,-38139341.0,23.0,RISE
2020-04-09,299.0,306.0,324.0,296.0,7117591.0,103614.0,-103614.0,0.0,0.0284,-38141341.0,13.0,FALL
2020-04-08,312.0,301.0,353.0,294.0,30193273.0,142916.0,-142916.0,0.0,0.0294,-38141341.0,8.0,RISE
2020-04-07,304.0,302.0,307.0,284.0,9778584.0,76209.0,-76209.0,0.0,0.0307,-38141341.0,5.0,RISE
2020-04-06,299.0,290.0,326.0,270.0,31022073.0,139055.0,-139055.0,0.0,0.0316,-38141341.0,12.0,RISE
2020-04-03,287.0,330.0,347.0,278.0,90329868.0,991400.0,488655.0,-1480055.0,0.0329,-38141341.0,20.0,RISE
2020-04-02,267.0,206.0,267.0,199.0,23649696.0,731950.0,-1019917.0,287967.0,0.0284,-36661286.0,61.0,UPPER_LIMIT
2020-04-01,206.0,208.0,217.0,203.0,4095417.0,-452065.0,451620.0,445.0,0.0383,-36949253.0,5.0,FALL
2020-03-31,211.0,214.0,227.0,208.0,7228571.0,180174.0,-180174.0,0.0,0.0342,-36949698.0,3.0,RISE
2020-03-30,208.0,200.0,210.0,194.0,4341084.0,-253569.0,253569.0,0.0,0.0359,-36949698.0,1.0,RISE
2020-03-27,207.0,214.0,224.0,197.0,8445742.0,378709.0,-378708.0,-1.0,0.0336,-36949698.0,1.0,RISE
2020-03-26,206.0,200.0,229.0,195.0,11369774.0,-60396.0,60396.0,0.0,0.037000000000000005,-36949697.0,7.0,RISE
2020-03-25,199.0,200.0,207.0,194.0,6788769.0,-62039.0,62039.0,0.0,0.0364,-36949697.0,1.0,RISE
2020-03-24,198.0,202.0,211.0,193.0,6764923.0,128367.0,-128366.0,-1.0,0.0358,-36949697.0,5.0,FALL
2020-03-23,203.0,250.0,255.0,200.0,21290279.0,1099197.0,-1100266.0,1069.0,0.0374,-36949696.0,19.0,FALL
2020-03-20,222.0,220.0,222.0,209.0,5422636.0,-139331.0,145021.0,-5690.0,0.0484,-36950765.0,51.0,UPPER_LIMIT
2020-03-19,171.0,194.0,205.0,161.0,2751178.0,-259244.0,263817.0,-4573.0,0.0471,-36945075.0,25.0,FALL
2020-03-18,196.0,195.0,207.0,190.0,1353362.0,203184.0,-203184.0,0.0,0.0448,-36940502.0,1.0,RISE
2020-03-17,195.0,175.0,200.0,175.0,1246919.0,-293091.0,293091.0,0.0,0.0467,-36940502.0,4.0,RISE
2020-03-16,191.0,188.0,207.0,188.0,1615842.0,-182851.0,182843.0,8.0,0.049,-36940502.0,6.0,RISE
2020-03-13,185.0,202.0,202.0,168.0,4505183.0,-517937.0,517936.0,1.0,0.0474,-36940510.0,25.0,FALL
2020-03-12,210.0,231.0,236.0,205.0,3427897.0,-521233.0,521232.0,1.0,0.0427,-36940511.0,29.0,FALL
2020-03-11,239.0,254.0,257.0,238.0,1342248.0,58893.0,-58893.0,0.0,0.038,-36940512.0,11.0,FALL
2020-03-10,250.0,242.0,256.0,230.0,1955903.0,-466843.0,466843.0,0.0,0.0389,-36940512.0,1.0,FALL
2020-03-09,251.0,273.0,274.0,246.0,3153985.0,291033.0,-291033.0,0.0,0.035,-36940512.0,22.0,FALL
2020-03-06,273.0,279.0,286.0,271.0,1340629.0,197872.0,-197872.0,0.0,0.0381,-36940512.0,7.0,FALL
2020-03-05,280.0,277.0,283.0,275.0,1557232.0,-71586.0,71586.0,0.0,0.0403,-36940512.0,3.0,RISE
2020-03-04,277.0,265.0,281.0,264.0,1862041.0,-196324.0,196324.0,0.0,0.0402,-36940512.0,5.0,RISE
2020-03-03,272.0,263.0,279.0,261.0,2386455.0,-292934.0,292934.0,0.0,0.0391,-36940512.0,12.0,RISE
2020-03-02,260.0,249.0,261.0,245.0,1684743.0,-419615.0,419615.0,0.0,0.0367,-36940512.0,8.0,RISE
2020-02-28,252.0,256.0,264.0,249.0,2112733.0,-387342.0,387342.0,0.0,0.0275,-36940512.0,9.0,FALL
2020-02-27,261.0,278.0,283.0,259.0,3173746.0,388891.0,-388882.0,-9.0,0.0256,-36940512.0,14.0,FALL
2020-02-26,275.0,266.0,284.0,261.0,3768108.0,-204982.0,204982.0,0.0,0.0298,-36940503.0,7.0,RISE
2020-02-25,268.0,256.0,291.0,256.0,8267239.0,-254906.0,254906.0,0.0,0.0301,-36940503.0,8.0,RISE
2020-02-24,260.0,267.0,267.0,250.0,2566894.0,-445713.0,445714.0,-1.0,0.0284,-36940503.0,10.0,FALL
2020-02-21,270.0,276.0,280.0,268.0,3064661.0,-142550.0,142550.0,0.0,0.0246,-36940502.0,7.0,FALL
2020-02-20,277.0,282.0,285.0,272.0,3889083.0,-391948.0,391947.0,1.0,0.0223,-36940502.0,6.0,FALL
2020-02-19,283.0,284.0,289.0,276.0,4255042.0,-421187.0,421187.0,0.0,0.0188,-36940503.0,3.0,FALL
