날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-09,,,,,,-2026.0,-300.0,2326.0,0.167,8936.0,3000.0,RISE
2014-04-10,88100.0,89200.0,89200.0,87900.0,899.0,23.0,170.0,-193.0,0.167,8743.0,1200.0,FALL
2014-04-11,88000.0,87600.0,88300.0,87500.0,1992.0,240.0,-39.0,-201.0,0.167,8542.0,100.0,FALL
2014-04-14,88000.0,89800.0,89800.0,87500.0,1750.0,32.0,-32.0,0.0,0.167,8542.0,0.0,EVEN
2014-04-15,88400.0,88500.0,88700.0,87900.0,1352.0,382.0,76.0,-458.0,0.167,8084.0,400.0,RISE
2014-04-16,87400.0,88000.0,88100.0,87100.0,4447.0,135.0,1342.0,-1477.0,0.168,6607.0,1000.0,FALL
2014-04-17,85800.0,87100.0,87300.0,84800.0,7066.0,3707.0,1080.0,-4787.0,0.168,1820.0,1600.0,FALL
2014-04-18,84100.0,85800.0,85800.0,83800.0,8607.0,7434.0,-305.0,-7129.0,0.168,-5309.0,1700.0,FALL
2014-04-21,82700.0,84100.0,84100.0,82000.0,8287.0,4975.0,135.0,-5110.0,0.168,-10419.0,1400.0,FALL
2014-04-22,83000.0,82300.0,83200.0,82300.0,2021.0,1004.0,-340.0,-664.0,0.168,-11083.0,300.0,RISE
2014-04-23,81500.0,82500.0,82900.0,81400.0,5970.0,3952.0,-317.0,-3635.0,0.168,-14718.0,1500.0,FALL
2014-04-24,83200.0,81800.0,83800.0,81000.0,8124.0,-2455.0,-541.0,2996.0,0.168,-11722.0,1700.0,RISE
2014-04-25,82000.0,83500.0,84500.0,81900.0,3442.0,1611.0,-267.0,-1344.0,0.168,-13066.0,1200.0,FALL
2014-04-28,83700.0,81400.0,83900.0,81000.0,3115.0,77.0,-111.0,34.0,0.168,-13032.0,1700.0,RISE
2014-04-29,81900.0,83100.0,83200.0,81700.0,1533.0,338.0,-67.0,-271.0,0.168,-13303.0,1800.0,FALL
2014-04-30,82300.0,81900.0,82500.0,81900.0,649.0,46.0,-46.0,0.0,0.168,-13303.0,400.0,RISE
2014-05-02,83400.0,81700.0,83400.0,81700.0,4044.0,-930.0,-13.0,943.0,0.168,-12360.0,1100.0,RISE
2014-05-07,83500.0,83100.0,83800.0,82000.0,2168.0,-524.0,-320.0,844.0,0.168,-11516.0,100.0,RISE
2014-05-08,83500.0,83100.0,84000.0,82900.0,1906.0,-184.0,-423.0,607.0,0.167,-10909.0,0.0,EVEN
2014-05-09,84000.0,83500.0,84200.0,82700.0,1838.0,-1044.0,12.0,1032.0,0.167,-9877.0,500.0,RISE
2014-05-12,83000.0,84100.0,84100.0,82300.0,1259.0,595.0,-31.0,-564.0,0.167,-10441.0,1000.0,FALL
2014-05-13,82000.0,83400.0,83400.0,81900.0,3416.0,872.0,1544.0,-2416.0,0.168,-12857.0,1000.0,FALL
2014-05-14,81200.0,82000.0,82400.0,80300.0,7359.0,301.0,2591.0,-2892.0,0.169,-15749.0,800.0,FALL
2014-05-15,80700.0,81200.0,81200.0,80500.0,6298.0,1481.0,2096.0,-3577.0,0.169,-19326.0,500.0,FALL
2014-05-16,79000.0,80700.0,80800.0,78400.0,12874.0,6129.0,3271.0,-9400.0,0.17,-28726.0,1700.0,FALL
2014-05-19,77500.0,78800.0,78900.0,77500.0,10572.0,3366.0,2356.0,-5722.0,0.171,-34448.0,1500.0,FALL
2014-05-20,74000.0,77300.0,77500.0,72600.0,36829.0,12936.0,16135.0,-29071.0,0.176,-63519.0,3500.0,FALL
2014-05-21,75000.0,74500.0,75300.0,73300.0,2841.0,897.0,303.0,-1200.0,0.176,-64719.0,1000.0,RISE
2014-05-22,77000.0,75400.0,77200.0,74200.0,4216.0,-2195.0,1380.0,815.0,0.176,-63904.0,2000.0,RISE
2014-05-23,75100.0,77000.0,77000.0,75000.0,4957.0,3586.0,-1848.0,-1738.0,0.176,-65642.0,1900.0,FALL
2014-05-26,72800.0,75300.0,75500.0,72800.0,12151.0,7518.0,-2719.0,-4799.0,0.175,-70441.0,2300.0,FALL
2014-05-27,71900.0,72700.0,73100.0,71700.0,7781.0,5751.0,-3395.0,-2356.0,0.174,-72797.0,900.0,FALL
2014-05-28,71000.0,71900.0,71900.0,70500.0,15015.0,7139.0,-452.0,-6687.0,0.174,-79484.0,900.0,FALL
