,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,4320.0,4710.0,4730.0,4240.0,340535.0,18216,-18055,-161,0.0149,-220879,70.0,RISE
2020-06-01,4250.0,4330.0,4375.0,4115.0,345475.0,29668,-29703,35,0.0164,-220718,310.0,FALL
2020-05-29,4560.0,4550.0,4715.0,4265.0,671714.0,-21236,21258,-22,0.019,-220753,235.0,RISE
2020-05-28,4325.0,4235.0,4890.0,4160.0,2289407.0,42303,-42261,-42,0.0172,-220731,115.0,RISE
2020-05-27,4210.0,4140.0,4245.0,4045.0,181566.0,-20408,20418,-10,0.0207,-220689,100.0,RISE
2020-05-26,4110.0,4080.0,4135.0,4070.0,39676.0,-2395,2395,0,0.019,-220679,5.0,FALL
2020-05-25,4115.0,4200.0,4205.0,4050.0,66982.0,7476,-7479,3,0.0188,-220679,40.0,FALL
2020-05-22,4095.0,4030.0,4140.0,4025.0,45855.0,,,,,,,
2020-05-21,3990.0,4090.0,4110.0,3980.0,64420.0,-1795.0,1790.0,5.0,0.0159,-233217.0,100.0,FALL
2020-05-20,4090.0,4045.0,4095.0,3995.0,74285.0,-22355.0,22358.0,-3.0,0.0158,-233222.0,105.0,RISE
2020-05-19,3985.0,4075.0,4080.0,3980.0,66323.0,-3216.0,3267.0,-51.0,0.0139,-233219.0,70.0,FALL
2020-05-18,4055.0,4120.0,4180.0,3995.0,137436.0,43.0,1.0,-44.0,0.0136,-233168.0,25.0,RISE
2020-05-15,4030.0,3935.0,4370.0,3905.0,737037.0,-956.0,1561.0,-605.0,0.0136,-233124.0,100.0,RISE
2020-05-14,3930.0,3980.0,4080.0,3860.0,13105.0,-1401.0,1370.0,31.0,0.0135,-232519.0,50.0,FALL
2020-05-13,3980.0,3970.0,4025.0,3810.0,32950.0,432.0,-437.0,5.0,0.0134,-232550.0,45.0,FALL
2020-05-12,4025.0,3945.0,4185.0,3925.0,153666.0,-757.0,689.0,68.0,0.0134,-232555.0,85.0,RISE
2020-05-11,3940.0,4025.0,4085.0,3880.0,84979.0,1575.0,-1566.0,-9.0,0.0134,-232623.0,85.0,FALL
2020-05-08,4025.0,3870.0,4165.0,3865.0,339903.0,-1811.0,1964.0,-153.0,0.0135,-232614.0,140.0,RISE
2020-05-07,3885.0,3915.0,3990.0,3860.0,41117.0,-2292.0,2282.0,10.0,0.0133,-232461.0,10.0,RISE
2020-05-06,3875.0,3850.0,4050.0,3770.0,100572.0,-5698.0,5614.0,84.0,0.0132,-232471.0,10.0,FALL
2020-05-04,3885.0,3910.0,4295.0,3790.0,435581.0,554.0,-609.0,55.0,0.0127,-232555.0,115.0,RISE
2020-04-29,3770.0,3795.0,3810.0,3705.0,47321.0,-5090.0,5120.0,-30.0,0.0127,-232610.0,65.0,RISE
2020-04-28,3705.0,3620.0,3730.0,3620.0,46994.0,-11023.0,11089.0,-66.0,0.0123,-232580.0,95.0,RISE
2020-04-27,3610.0,3575.0,3670.0,3525.0,20389.0,-3103.0,3102.0,1.0,0.0114,-232514.0,0.0,EVEN
2020-04-24,3610.0,3690.0,3745.0,3585.0,45734.0,-3185.0,3178.0,7.0,0.0111,-232515.0,0.0,EVEN
2020-04-23,3610.0,3555.0,3650.0,3520.0,15586.0,-4580.0,4525.0,55.0,0.0108,-232522.0,55.0,RISE
2020-04-22,3555.0,3455.0,3585.0,3455.0,13623.0,-1768.0,1773.0,-5.0,0.0105,-232577.0,30.0,FALL
2020-04-21,3585.0,3550.0,3620.0,3350.0,34561.0,-3148.0,3147.0,1.0,0.0104,-232572.0,55.0,RISE
2020-04-20,3530.0,3670.0,3720.0,3530.0,89511.0,26579.0,2324.0,-28903.0,0.0101,-232573.0,115.0,FALL
2020-04-17,3645.0,3550.0,3950.0,3520.0,109171.0,-1020.0,1156.0,-136.0,0.0099,-203670.0,105.0,RISE
2020-04-16,3540.0,3595.0,3620.0,3470.0,31777.0,-2347.0,2372.0,-25.0,0.0098,-203534.0,70.0,FALL
2020-04-14,3610.0,3775.0,3795.0,3600.0,78845.0,-4076.0,-2721.0,6797.0,0.0097,-203509.0,180.0,FALL
2020-04-13,3790.0,3360.0,3930.0,3335.0,535179.0,-10060.0,-12104.0,22164.0,0.01,-210306.0,430.0,RISE
2020-04-10,3360.0,3370.0,3370.0,3265.0,29793.0,-4194.0,3879.0,315.0,0.011000000000000001,-232470.0,10.0,FALL
2020-04-09,3370.0,3350.0,3475.0,3320.0,22967.0,104.0,-169.0,65.0,0.0107,-232785.0,20.0,RISE
2020-04-08,3350.0,3320.0,3400.0,3275.0,14291.0,-3422.0,3412.0,10.0,0.0107,-232850.0,25.0,RISE
2020-04-07,3325.0,3395.0,3435.0,3260.0,36277.0,-216.0,196.0,20.0,0.0104,-232860.0,25.0,RISE
2020-04-06,3300.0,3300.0,3345.0,3200.0,44041.0,-5566.0,5557.0,9.0,0.0105,-232880.0,60.0,RISE
2020-04-03,3240.0,3270.0,3270.0,3175.0,40317.0,-25342.0,11391.0,13951.0,0.0102,-232889.0,40.0,RISE
2020-04-02,3200.0,3110.0,3220.0,3000.0,54442.0,-5312.0,5324.0,-12.0,0.0092,-246840.0,35.0,RISE
2020-04-01,3165.0,3280.0,3635.0,3150.0,345344.0,8772.0,-8783.0,11.0,0.0097,-246828.0,115.0,FALL
2020-03-31,3280.0,3380.0,3400.0,3210.0,54103.0,5233.0,-5300.0,67.0,0.0106,-246839.0,0.0,EVEN
2020-03-30,3280.0,3090.0,3360.0,3055.0,102999.0,-18819.0,4603.0,14216.0,0.011000000000000001,-246906.0,190.0,RISE
2020-03-27,3090.0,2995.0,3115.0,2995.0,85852.0,-36362.0,247.0,36115.0,0.0106,-261122.0,130.0,RISE
2020-03-26,2960.0,2950.0,3025.0,2825.0,91453.0,-47101.0,-2839.0,49940.0,0.0106,-297237.0,25.0,RISE
2020-03-25,2935.0,2820.0,2940.0,2815.0,83586.0,-50874.0,10690.0,40184.0,0.0108,-347177.0,140.0,RISE
2020-03-24,2795.0,2665.0,2795.0,2665.0,44428.0,-20667.0,205.0,20462.0,0.0099,-387361.0,130.0,RISE
2020-03-23,2665.0,2505.0,2740.0,2505.0,77604.0,-22435.0,-15764.0,38199.0,0.0099,-407823.0,5.0,FALL
2020-03-20,2670.0,2485.0,2715.0,2485.0,83776.0,-44786.0,4805.0,39981.0,0.0112,-446022.0,175.0,RISE
2020-03-19,2495.0,2665.0,2770.0,2435.0,156218.0,-75125.0,-16165.0,91290.0,0.0108,-486003.0,170.0,FALL
2020-03-18,2665.0,2810.0,2920.0,2665.0,114163.0,-33261.0,-16739.0,50000.0,0.0123,-577293.0,180.0,FALL
