날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-09,,,,,,0.0,0.0,0.0,0.257,399.0,1000.0,RISE
2014-04-10,107000.0,107000.0,107000.0,105000.0,25.0,16.0,0.0,-16.0,0.257,383.0,500.0,RISE
2014-04-11,106500.0,104000.0,106500.0,104000.0,113.0,0.0,0.0,0.0,0.257,383.0,500.0,FALL
2014-04-14,106500.0,105000.0,106500.0,104000.0,214.0,3.0,0.0,-3.0,0.257,380.0,0.0,EVEN
2014-04-15,106500.0,105500.0,106500.0,104500.0,174.0,8.0,0.0,-8.0,0.257,372.0,0.0,EVEN
2014-04-16,106000.0,105000.0,106000.0,104000.0,106.0,28.0,0.0,-28.0,0.257,344.0,500.0,FALL
2014-04-17,104000.0,106000.0,106500.0,104000.0,450.0,-28.0,0.0,28.0,0.257,372.0,2000.0,FALL
2014-04-18,106000.0,104000.0,106000.0,104000.0,336.0,-162.0,0.0,162.0,0.257,534.0,2000.0,RISE
2014-04-21,106500.0,106000.0,107000.0,104000.0,985.0,-271.0,0.0,271.0,0.257,805.0,500.0,RISE
2014-04-22,108500.0,109000.0,109000.0,108000.0,128.0,-79.0,0.0,79.0,0.257,884.0,2000.0,RISE
2014-04-23,108500.0,108500.0,109000.0,106000.0,71.0,-20.0,0.0,20.0,0.257,904.0,0.0,EVEN
2014-04-24,107000.0,107000.0,108500.0,107000.0,196.0,-118.0,0.0,118.0,0.257,1022.0,1500.0,FALL
2014-04-25,106000.0,107000.0,108000.0,106000.0,451.0,-408.0,408.0,0.0,0.257,1022.0,1000.0,FALL
2014-04-28,109000.0,108500.0,109000.0,107000.0,106.0,-75.0,0.0,75.0,0.257,1097.0,3000.0,RISE
2014-04-29,107000.0,109000.0,109000.0,107000.0,659.0,-520.0,525.0,-5.0,0.258,1092.0,2000.0,FALL
2014-04-30,109500.0,109500.0,109500.0,107000.0,445.0,-131.0,0.0,131.0,0.258,1223.0,2500.0,RISE
2014-05-02,108000.0,109500.0,109500.0,108000.0,116.0,0.0,0.0,0.0,0.258,1223.0,1500.0,FALL
2014-05-07,108000.0,112000.0,112000.0,108000.0,621.0,-5.0,0.0,5.0,0.258,1228.0,0.0,EVEN
2014-05-08,108500.0,108000.0,110000.0,108000.0,349.0,5.0,0.0,-5.0,0.258,1223.0,500.0,RISE
2014-05-09,109000.0,107000.0,109000.0,107000.0,12.0,0.0,0.0,0.0,0.258,1223.0,500.0,RISE
2014-05-12,110500.0,109000.0,110500.0,109000.0,165.0,-10.0,0.0,10.0,0.258,1233.0,1500.0,RISE
2014-05-13,110000.0,110000.0,110000.0,109000.0,205.0,-30.0,0.0,30.0,0.258,1263.0,500.0,FALL
2014-05-14,110000.0,108000.0,111000.0,108000.0,246.0,-2.0,0.0,2.0,0.258,1265.0,0.0,EVEN
2014-05-15,109500.0,109000.0,110500.0,109000.0,23.0,-10.0,0.0,10.0,0.258,1275.0,500.0,FALL
2014-05-16,108000.0,108000.0,111000.0,108000.0,379.0,-192.0,191.0,1.0,0.258,1276.0,1500.0,FALL
2014-05-19,109500.0,108000.0,109500.0,108000.0,88.0,-24.0,0.0,24.0,0.258,1300.0,1500.0,RISE
2014-05-20,109000.0,108500.0,110500.0,108000.0,311.0,-88.0,0.0,88.0,0.258,1388.0,500.0,FALL
2014-05-21,110500.0,111000.0,111000.0,110000.0,158.0,-155.0,47.0,108.0,0.258,1496.0,1500.0,RISE
2014-05-22,108000.0,110000.0,110000.0,107000.0,617.0,-24.0,0.0,24.0,0.258,1520.0,2500.0,FALL
2014-05-23,110000.0,107000.0,110500.0,107000.0,560.0,-338.0,0.0,338.0,0.258,1858.0,2000.0,RISE
2014-05-26,110500.0,110500.0,110500.0,110000.0,85.0,-20.0,0.0,20.0,0.258,1878.0,500.0,RISE
2014-05-27,111000.0,111500.0,112000.0,109000.0,121.0,-18.0,0.0,18.0,0.258,1896.0,500.0,RISE
2014-05-28,110000.0,110500.0,110500.0,109000.0,488.0,1.0,0.0,-1.0,0.258,1895.0,1000.0,FALL
2014-05-29,111000.0,109500.0,111500.0,109500.0,205.0,-57.0,0.0,57.0,0.258,1952.0,1000.0,RISE
2014-05-30,106000.0,109500.0,111000.0,104500.0,2390.0,-105.0,0.0,105.0,0.258,2057.0,5000.0,FALL
2014-06-02,106000.0,106000.0,107000.0,104000.0,1184.0,-172.0,0.0,172.0,0.258,2229.0,0.0,EVEN
2014-06-03,106000.0,107000.0,107000.0,105000.0,128.0,-38.0,0.0,38.0,0.258,2267.0,0.0,EVEN
2014-06-05,104500.0,108000.0,108000.0,104500.0,769.0,-229.0,229.0,0.0,0.258,2267.0,1500.0,FALL
2014-06-09,103500.0,105000.0,105000.0,103500.0,157.0,-31.0,0.0,31.0,0.258,2298.0,1000.0,FALL
2014-06-10,104500.0,107500.0,107500.0,103000.0,612.0,-93.0,0.0,93.0,0.258,2391.0,1000.0,RISE
2014-06-11,101500.0,102000.0,103000.0,100500.0,2507.0,-609.0,0.0,609.0,0.258,3000.0,3000.0,FALL
2014-06-12,102000.0,101500.0,103000.0,100500.0,1451.0,-36.0,0.0,36.0,0.258,3036.0,500.0,RISE
