날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2019-11-21,8950.0,8400.0,10300.0,8100.0,15928268.0,947630.0,-138139.0,-809491.0,0.0031,-809491.0,550.0,RISE
2019-11-22,9300.0,8940.0,10550.0,8830.0,10472231.0,111942.0,-21228.0,-90714.0,0.0009,-900205.0,350.0,RISE
2019-11-25,8730.0,9250.0,9770.0,8700.0,1941375.0,23872.0,-4142.0,-19730.0,0.0005,-919935.0,570.0,FALL
2019-11-26,9630.0,8960.0,10450.0,8850.0,9577714.0,161799.0,-1044.0,-160755.0,0.0004,-1080690.0,900.0,RISE
2019-11-27,9310.0,9680.0,9980.0,9180.0,1718230.0,-2798.0,1721.0,1077.0,0.0005,-1079613.0,320.0,FALL
2019-11-28,8860.0,9450.0,9640.0,8630.0,1006835.0,2872.0,2819.0,-5691.0,0.0008,-1085304.0,450.0,FALL
2019-11-29,8210.0,8850.0,9020.0,8210.0,803545.0,-20849.0,-452.0,21301.0,0.0008,-1064003.0,650.0,FALL
2019-12-02,7860.0,8340.0,8350.0,7680.0,427832.0,-50349.0,3138.0,47211.0,0.0011,-1016792.0,350.0,FALL
2019-12-03,7610.0,7860.0,8090.0,7580.0,318532.0,-3470.0,-5432.0,8902.0,0.0005,-1007890.0,250.0,FALL
2019-12-04,7800.0,7600.0,8170.0,7570.0,893310.0,-9728.0,3460.0,6268.0,0.0009,-1001622.0,190.0,RISE
2019-12-05,7920.0,7830.0,8440.0,7610.0,742764.0,-13189.0,2735.0,10454.0,0.0012,-991168.0,120.0,RISE
2019-12-06,8050.0,8030.0,8350.0,7930.0,534676.0,7877.0,-8095.0,218.0,0.0003,-990950.0,130.0,RISE
2019-12-09,8010.0,8350.0,8790.0,8010.0,723898.0,6087.0,0.0,-6087.0,0.0003,-997037.0,40.0,FALL
2019-12-10,7910.0,8000.0,8300.0,7810.0,374106.0,5963.0,19.0,-5982.0,0.0003,-1003019.0,100.0,FALL
2019-12-11,8080.0,8030.0,8400.0,7980.0,438405.0,4581.0,1930.0,-6511.0,0.0006,-1009530.0,170.0,RISE
2019-12-12,7990.0,8200.0,8320.0,7960.0,195496.0,5410.0,-1943.0,-3467.0,0.0003,-1012997.0,90.0,FALL
2019-12-13,8050.0,8020.0,8230.0,7870.0,301516.0,1793.0,1158.0,-2951.0,0.0005,-1015948.0,60.0,RISE
2019-12-16,8060.0,8070.0,8120.0,7980.0,99635.0,-13771.0,68.0,13703.0,0.0005,-1002245.0,10.0,RISE
2019-12-17,8150.0,8100.0,8350.0,8050.0,267098.0,-9772.0,-1852.0,11624.0,0.0003,-990621.0,90.0,RISE
2019-12-18,7980.0,8140.0,8260.0,7970.0,241181.0,-10394.0,3596.0,6798.0,0.0007,-983823.0,170.0,FALL
2019-12-19,8690.0,8100.0,8950.0,8070.0,1409557.0,-41383.0,-287.0,41670.0,0.0006,-942153.0,710.0,RISE
2019-12-20,8700.0,8680.0,8830.0,8520.0,264543.0,-33424.0,3482.0,29942.0,0.001,-912211.0,10.0,RISE
2019-12-23,8850.0,8790.0,9570.0,8700.0,1797463.0,31284.0,-7325.0,-23959.0,0.0003,-936170.0,150.0,RISE
2019-12-24,8620.0,8850.0,8850.0,8530.0,188909.0,-25453.0,1906.0,23547.0,0.0005,-912623.0,230.0,FALL
2019-12-26,8700.0,8700.0,8880.0,8480.0,207351.0,-26280.0,12434.0,13846.0,0.0018,-898777.0,80.0,RISE
