,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,30450.0,29350.0,30700.0,28900.0,241117.0,-26671,19547,7124,0.0746,544986,1050.0,RISE
2020-06-01,29400.0,28400.0,29400.0,27750.0,190531.0,-16595,13695,2900,0.0736,537862,1050.0,RISE
2020-05-29,28350.0,28500.0,29500.0,28300.0,203820.0,9818,-6640,-3178,0.0726,534962,250.0,FALL
2020-05-28,28600.0,30750.0,31000.0,28150.0,430561.0,6319,30185,-36504,0.0729,538140,1950.0,FALL
2020-05-27,30550.0,31100.0,31650.0,30500.0,213974.0,29135,-12204,-16931,0.0712,574644,950.0,FALL
2020-05-26,31500.0,31400.0,31750.0,30700.0,201570.0,-23978,50,23928,0.0718,591575,100.0,RISE
2020-05-25,31400.0,31250.0,32150.0,30750.0,270088.0,-1810,-6147,7957,0.0715,567647,750.0,RISE
2020-05-22,30700.0,31000.0,31050.0,29750.0,167438.0,,,,,,,
2020-05-21,30900.0,29900.0,31700.0,29500.0,736653.0,-66573.0,23990.0,42583.0,0.0728,581475.0,1350.0,RISE
2020-05-20,29550.0,28700.0,29600.0,28350.0,189514.0,-22374.0,-6075.0,28449.0,0.0715,538892.0,850.0,RISE
2020-05-19,28700.0,29550.0,29650.0,28200.0,220668.0,5607.0,6976.0,-12583.0,0.0717,510443.0,400.0,FALL
2020-05-18,29100.0,29550.0,30700.0,28800.0,314731.0,35638.0,-43323.0,7685.0,0.0713,523026.0,350.0,FALL
2020-05-15,29450.0,27550.0,29500.0,27050.0,581868.0,6355.0,-10431.0,4076.0,0.0735,515341.0,1750.0,RISE
2020-05-14,27700.0,27400.0,28200.0,26950.0,216645.0,33783.0,-21620.0,-12163.0,0.0738,511265.0,100.0,FALL
2020-05-13,27800.0,26800.0,27950.0,26350.0,232019.0,-22968.0,18856.0,4112.0,0.0747,523428.0,700.0,RISE
2020-05-12,27100.0,27850.0,28000.0,26750.0,225466.0,-21023.0,24471.0,-3448.0,0.0736,519316.0,650.0,FALL
2020-05-11,27750.0,28050.0,28700.0,27750.0,202583.0,23144.0,-18866.0,-4278.0,0.0722,522764.0,500.0,FALL
2020-05-08,28250.0,28200.0,28750.0,27600.0,182300.0,976.0,-19910.0,18934.0,0.0733,527042.0,450.0,RISE
2020-05-07,27800.0,27150.0,27900.0,27050.0,135575.0,-8654.0,10379.0,-1725.0,0.0744,508108.0,250.0,RISE
2020-05-06,27550.0,27200.0,27800.0,26850.0,224458.0,-44430.0,33088.0,11342.0,0.07400000000000001,509833.0,750.0,RISE
2020-05-04,26800.0,28000.0,29650.0,26800.0,501199.0,19770.0,-503.0,-19267.0,0.0723,498491.0,1350.0,FALL
2020-04-29,28150.0,28050.0,28600.0,27150.0,285936.0,18043.0,-2801.0,-15242.0,0.0722,517758.0,200.0,RISE
2020-04-28,27950.0,28900.0,29050.0,27500.0,445699.0,27516.0,2940.0,-30456.0,0.0722,533000.0,1350.0,FALL
