날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2019-07-11,11700.0,14350.0,14350.0,11450.0,3087685.0,660974.0,-65823.0,-595151.0,0.0045,-595151.0,2650.0,FALL
2019-07-12,11650.0,11650.0,12100.0,11100.0,1217018.0,-5403.0,6437.0,-1034.0,0.0051,-596185.0,50.0,FALL
2019-07-15,9980.0,11650.0,11700.0,9960.0,1577802.0,111390.0,-50820.0,-60570.0,0.001,-656755.0,1670.0,FALL
2019-07-16,9890.0,10150.0,10200.0,9860.0,508360.0,-13451.0,9079.0,4372.0,0.0018,-652383.0,90.0,FALL
2019-07-17,10250.0,10000.0,11400.0,9950.0,1772716.0,-20603.0,13072.0,7531.0,0.0028,-644852.0,360.0,RISE
2019-07-18,9880.0,10300.0,10300.0,9810.0,373277.0,8035.0,-19468.0,11433.0,0.0012,-633419.0,370.0,FALL
2019-07-19,10050.0,9970.0,10550.0,9950.0,554594.0,-5572.0,3606.0,1966.0,0.0015,-631453.0,170.0,RISE
2019-07-22,10050.0,10100.0,10350.0,9970.0,351754.0,22667.0,-578.0,-22089.0,0.0015,-653542.0,0.0,EVEN
2019-07-23,10800.0,10150.0,10800.0,10050.0,673450.0,-58193.0,9419.0,48774.0,0.0022,-604768.0,750.0,RISE
2019-07-24,10200.0,10700.0,10900.0,10100.0,605166.0,11048.0,-6453.0,-4595.0,0.0017,-609363.0,600.0,FALL
2019-07-25,10200.0,10250.0,10550.0,10000.0,420764.0,-2327.0,-470.0,2797.0,0.0017,-606566.0,0.0,EVEN
2019-07-26,9870.0,10250.0,10350.0,9760.0,271735.0,16823.0,-6532.0,-10291.0,0.0012,-616857.0,330.0,FALL
2019-07-29,8680.0,9860.0,9870.0,8650.0,323001.0,-9426.0,2547.0,6879.0,0.0014,-609978.0,1190.0,FALL
2019-07-30,8530.0,8510.0,8850.0,8460.0,224499.0,-31000.0,-3639.0,34639.0,0.0011,-575339.0,150.0,FALL
2019-07-31,8700.0,8580.0,9100.0,8490.0,247420.0,-12458.0,3069.0,9389.0,0.0014,-565950.0,170.0,RISE
