날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-09,,,,,,-23499.0,1390.0,22109.0,0.023,37360.0,0.0,EVEN
2014-04-10,24000.0,24100.0,24250.0,23650.0,52002.0,-13424.0,3800.0,9624.0,0.023,46984.0,100.0,FALL
2014-04-11,23900.0,23700.0,23950.0,23650.0,26159.0,6575.0,-3320.0,-3255.0,0.023,43729.0,100.0,FALL
2014-04-14,23000.0,23700.0,23700.0,22800.0,154630.0,2470.0,-3740.0,1270.0,0.023,44999.0,900.0,FALL
2014-04-15,23100.0,23150.0,23200.0,22500.0,80701.0,-34170.0,28890.0,5280.0,0.024,50279.0,100.0,RISE
2014-04-16,22850.0,23100.0,23300.0,22800.0,34606.0,-9235.0,11120.0,-1885.0,0.024,48394.0,250.0,FALL
2014-04-17,22550.0,22800.0,23050.0,22450.0,58278.0,-3690.0,8150.0,-4460.0,0.023,43934.0,300.0,FALL
2014-04-18,23150.0,22600.0,23300.0,22550.0,45659.0,-15450.0,15310.0,140.0,0.024,44074.0,600.0,RISE
2014-04-21,22850.0,23200.0,23500.0,22850.0,30340.0,-11760.0,1870.0,9890.0,0.024,53964.0,300.0,FALL
2014-04-22,23000.0,23050.0,23100.0,22850.0,30080.0,-12340.0,3310.0,9030.0,0.024,62994.0,150.0,RISE
2014-04-23,22950.0,22850.0,23300.0,22850.0,16600.0,920.0,1250.0,-2170.0,0.024,60824.0,50.0,FALL
2014-04-24,22800.0,22800.0,23050.0,22600.0,26696.0,-3470.0,20.0,3450.0,0.024,64274.0,150.0,FALL
2014-04-25,22600.0,22900.0,23050.0,22350.0,43205.0,4820.0,-4810.0,-10.0,0.024,64264.0,200.0,FALL
2014-04-28,22400.0,22600.0,22750.0,22300.0,21082.0,-310.0,380.0,-70.0,0.024,64194.0,200.0,FALL
2014-04-29,22700.0,22500.0,22800.0,22450.0,40950.0,-15760.0,3280.0,12480.0,0.024,76674.0,300.0,RISE
2014-04-30,23350.0,23000.0,23800.0,23000.0,115958.0,16877.0,-5940.0,-10937.0,0.023,65737.0,650.0,RISE
2014-05-02,22950.0,23350.0,23500.0,22700.0,63982.0,12520.0,-10080.0,-2440.0,0.022,63297.0,400.0,FALL
2014-05-07,22500.0,22900.0,22900.0,22250.0,55470.0,10930.0,-8200.0,-2730.0,0.022,60567.0,450.0,FALL
2014-05-08,22500.0,22450.0,22600.0,22300.0,33030.0,4010.0,540.0,-4550.0,0.022,56017.0,0.0,EVEN
2014-05-09,22850.0,22500.0,23050.0,22500.0,44840.0,6410.0,260.0,-6670.0,0.022,49347.0,350.0,RISE
2014-05-12,22850.0,23000.0,23050.0,22700.0,36700.0,-210.0,1730.0,-1520.0,0.022,47827.0,0.0,EVEN
2014-05-13,22850.0,23000.0,23300.0,22700.0,24951.0,-800.0,1290.0,-490.0,0.022,47337.0,0.0,EVEN
2014-05-14,22850.0,22850.0,23050.0,22600.0,36675.0,-2340.0,4270.0,-1930.0,0.022,45407.0,0.0,EVEN
2014-05-15,22950.0,23050.0,23150.0,22850.0,31490.0,430.0,-400.0,-30.0,0.022,45377.0,100.0,RISE
2014-05-16,22900.0,23100.0,23450.0,22750.0,71071.0,27680.0,-3060.0,-24620.0,0.022,20757.0,50.0,FALL
2014-05-19,22000.0,22900.0,22900.0,21700.0,107491.0,13260.0,-8050.0,-5210.0,0.022,15547.0,900.0,FALL
2014-05-20,21500.0,22200.0,22200.0,21200.0,48732.0,-9190.0,16600.0,-7410.0,0.022,8137.0,500.0,FALL
2014-05-21,21650.0,21500.0,21850.0,21200.0,72744.0,-5036.0,22790.0,-17754.0,0.023,-9617.0,150.0,RISE
2014-05-22,21650.0,21650.0,21850.0,21600.0,29930.0,5800.0,5140.0,-10940.0,0.024,-20557.0,0.0,EVEN
2014-05-23,22300.0,21700.0,22400.0,21650.0,55770.0,4070.0,13560.0,-17630.0,,-38187.0,650.0,RISE
2014-05-26,22550.0,22550.0,22550.0,22300.0,25670.0,4350.0,-3390.0,-960.0,0.024,-39147.0,250.0,RISE
2014-05-27,22550.0,22700.0,22700.0,22100.0,28340.0,5110.0,-8960.0,3850.0,0.024,-35297.0,0.0,EVEN
2014-05-28,22400.0,22650.0,22650.0,22150.0,42680.0,6480.0,-2680.0,-3800.0,0.024,-39097.0,150.0,FALL
2014-05-29,23800.0,22900.0,23950.0,22700.0,152411.0,29900.0,-7810.0,-22090.0,0.023,-61187.0,1400.0,RISE
2014-05-30,24000.0,23900.0,24600.0,23350.0,88321.0,1770.0,-15670.0,13900.0,0.023,-47287.0,200.0,RISE
2014-06-02,24050.0,23900.0,24450.0,23800.0,99880.0,3640.0,-3060.0,-580.0,0.023,-47867.0,50.0,RISE
2014-06-03,24050.0,24000.0,24100.0,23600.0,46630.0,2465.0,-2056.0,-409.0,0.022,-48276.0,0.0,EVEN
2014-06-05,24200.0,24050.0,24700.0,23800.0,109015.0,8893.0,-5113.0,-3780.0,0.021,-52056.0,150.0,RISE
2014-06-09,24200.0,24250.0,24550.0,24000.0,49953.0,9565.0,-23.0,-9542.0,0.021,-61598.0,0.0,EVEN
2014-06-10,24300.0,24200.0,24400.0,24200.0,25028.0,-2653.0,2518.0,135.0,0.022,-61463.0,100.0,RISE
2014-06-11,24850.0,24450.0,24900.0,24150.0,59630.0,3997.0,44.0,-4041.0,0.022,-65504.0,550.0,RISE
2014-06-12,25750.0,24950.0,26100.0,24850.0,191548.0,-9172.0,6125.0,3047.0,0.022,-62457.0,900.0,RISE
2014-06-13,25700.0,25950.0,26100.0,25400.0,79865.0,17762.0,-20549.0,2787.0,0.02,-59670.0,50.0,FALL
2014-06-16,27300.0,25650.0,27350.0,25500.0,114771.0,-13245.0,5159.0,8086.0,0.02,-51584.0,1600.0,RISE
